date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.255       3.063       3.510       4.744
20150802       4.565       2.722       3.047       3.756
20150803       6.089       4.504       2.812       3.812
20150804       5.862       2.731       3.125       4.637
20150805       5.791       3.432       2.767       3.816
20150806      12.636      18.116       9.819      16.254
20150807      12.680       7.084       9.957      11.600
20150808      10.327       8.489      10.365       7.713
20150809       8.708       7.316       7.886      11.566
20150810       6.863       5.547       6.547       5.636
20150811       5.610       4.684       5.429       6.360
20150812       4.970       6.216       4.659       4.314
20150813       4.425       4.222       5.046       4.442
20150814       3.896       3.700       4.195       3.094
20150815       3.485       3.249       3.700       3.793
20150816       3.030       2.892       3.246       2.953
20150817       2.601       2.560       2.892       2.996
20150818       2.317       2.329       2.559       2.769
20150819       2.059       2.117       2.327       2.316
20150820       1.850       1.923       2.117       1.958
20150821       1.713       1.747       1.923       1.837
20150822       1.558       1.586       1.747       1.652
20150823       1.480       1.439       1.586       1.556
20150824       1.394       1.306       1.439       1.414
20150825       1.313       1.185       1.306       1.275
20150826       1.231       1.079       1.185       1.139
20150827       1.245       1.195       1.196       1.264
20150828       4.663      30.850      17.073      17.195
20150829       8.599      10.139      13.461      11.017
20150830       6.766       6.841      10.620       2.419
20150831       6.307       7.088       9.451       8.081
20150901       6.201       5.038       8.428       8.698
20150902       5.375       4.175       5.843       5.351
20150903       4.642       3.610       4.875       4.133
20150904       4.083       3.127       3.563       4.819
20150905       3.902       7.187       3.741       3.956
20150906       4.495       7.124       7.360       9.152
20150907       4.761       5.385       5.128       3.398
20150908       4.647       4.324       4.104       2.671
20150909       4.366       3.964       4.058       3.512
20150910       3.864       3.485       3.901       3.827
20150911       3.409       3.055       3.336       3.535
20150912       2.988       2.698       3.055       3.461
20150913       2.670       2.388       2.698       2.838
20150914       2.409       2.180       2.380       2.425
20150915       2.135       1.988       2.172       2.037
20150916       1.957       1.812       1.991       1.856
20150917       1.787       1.651       1.812       1.817
20150918       1.692       2.082       2.201       1.998
20150919       2.383       4.883       3.029       3.026
20150920       6.109       8.126       4.995       4.472
20150921       7.464       5.728       4.448       1.877
20150922       6.858       4.327       3.460       2.844
20150923       5.578       3.793       3.530       4.893
20150924       4.652       3.290       3.686       4.714
20150925       4.157       4.523       5.307       6.844
20150926       6.016       7.985       7.437      10.170
20150927       7.030       4.469       6.197       5.803
20150928       5.848       3.824       4.425       3.274
20150929       4.948       3.368       3.909       5.848
20150930       4.443       2.766       3.440       4.266
20151001       4.574       4.273       3.718       5.279
20151002       5.036       5.305       4.549       5.657
20151003       7.278       9.238       5.115       4.742
20151004       7.358       6.571       7.046       6.095
20151005       6.640       6.275       5.631       5.045
20151006       5.950       4.893       4.478       4.712
20151007       5.206       4.077       4.955       4.992
20151008       4.234       3.624       4.269       4.767
20151009       3.997       3.547       3.804       4.455
20151010       3.253       3.173       3.337       2.899
20151011       3.036       2.839       3.132       3.343
20151012       2.845       2.643       2.842       2.520
20151013       2.679       2.455       2.625       2.491
20151014       2.518       2.276       2.416       2.917
20151015       2.370       2.091       2.255       2.328
20151016       2.265       1.924       2.093       2.091
20151017       2.154       1.788       1.924       1.930
20151018       2.072       1.643       1.783       1.922
20151019       2.004       1.513       1.644       1.291
20151020       1.936       1.394       1.523       1.543
20151021       1.861       1.282       1.398       1.526
20151022       1.935       4.059       1.801       2.134
20151023       2.475       6.733       4.122       5.128
20151024       3.253       4.020       4.739       2.388
20151025       3.298       4.872       4.272       1.990
20151026       3.577       5.327       4.207       3.442
20151027       3.920       6.580       4.039       3.155
20151028       4.250       4.472       4.931       3.586
20151029       3.859       3.804       4.292       3.569
20151030       3.416       3.349       3.821       3.534
20151031       3.281       3.224       3.400       3.123
20151101       3.198       2.997       3.743       3.636
20151102       3.150       2.809   -9999.000   -9999.000
20151103       2.987       2.602       2.695       2.838
20151104       2.986       3.466       2.819       3.043
20151105       3.255       2.786       2.610       2.835
20151106       3.125       2.576       2.551       2.880
20151107       2.955       3.048       2.916       3.241
20151108       2.944       2.800       3.283       2.836
20151109       2.917       2.909       2.629       2.432
20151110       2.707       2.817       2.879       3.172
20151111       3.463       6.348       4.277       4.465
20151112       4.212       3.926       4.829       2.852
20151113       3.791       3.254       3.494       3.495
20151114       3.240       3.002       3.254       3.551
20151115       3.054       3.314       3.014       3.303
20151116       3.047       2.762       3.084       2.622
20151117       2.944       3.333       2.908       3.125
20151118       2.944       2.762       2.764       2.671
20151119       2.241       2.549       2.661       2.602
20151120       2.219       2.483       2.679       2.872
20151121       2.068       2.497       2.578       2.225
20151122       1.892       2.003       2.170       1.875
20151123       1.940       2.888       2.766       3.036
20151124       2.019       2.314       1.953       1.292
20151125       2.040       1.640       1.797       1.554
20151126       2.040       1.855       4.394       4.870
20151127       4.031       5.051       6.279       6.110
20151128       7.491       9.211       4.141       2.620
20151129       6.331       5.226       7.077       7.353
20151130       4.618       4.372       5.297       5.684
20151201       3.876       5.660       5.124       5.583
20151202       3.759       3.920       4.600       3.087
20151203       3.713       4.169       3.191       2.655
20151204       3.413       2.883       3.251       3.391
20151205       3.642       2.545       3.670       4.064
20151206       4.014       5.354       4.078       4.950
20151207       7.119       8.395       5.253       5.202
20151208       7.266       4.641       7.910       5.913
20151209       7.188       9.163       4.713       6.836
20151210       7.324       9.666       7.526       9.036
20151211       6.252       9.330       9.175       8.066
20151212       5.474       8.555       9.071       6.779
20151213       4.833       7.115       8.527       5.353
20151214       4.087       5.599       6.490       4.273
20151215       3.685       4.883       5.815       4.184
20151216       3.557       4.305       4.599       3.020
20151217       3.325       4.079       6.002       4.556
20151218       3.398       5.322       5.667       4.188
20151219       3.884       7.684       7.984       5.446
20151220       7.873      10.020      11.699       6.281
20151221      10.929      14.139   -9999.000   -9999.000
20151222      10.754      11.623   -9999.000   -9999.000
20151223       8.417       9.480      11.675      10.724
20151224       6.834       7.845      10.101       9.185
20151225       6.302      12.248       7.968       6.627
20151226       6.095      12.084      11.831       8.340
20151227       5.411       8.034       9.314       5.085
20151228       6.036       6.442       7.638       4.912
20151229       4.034       5.485       6.429       4.970
20151230       3.939       7.256       6.079       4.162
20151231       4.158      13.317       6.118       4.371
20160101       3.892      11.746      11.540       4.829
20160102       3.458       9.852      11.076       3.918
20160103       6.910       8.086       9.668       3.471
20160104       8.555       6.825       8.078       3.066
20160105       2.849       5.804       6.825       8.351
20160106       1.931       5.064       5.804       5.804
20160107       1.748       4.513       5.062       5.062
20160108       1.546       4.131       4.473       4.472
20160109       1.823       3.821       4.135       4.131
20160110       1.804       3.535       3.821       3.821
20160111       1.561       3.270       3.539       3.539
20160112       1.454       3.061       3.270       3.270
20160113       1.370       2.832       3.027       3.027
20160114       1.299       2.621       2.798       2.798
20160115       1.299       2.423       2.620       2.619
20160116       1.333       2.305       2.423       2.423
20160117       1.321       2.115       2.310       2.308
20160118       1.523       5.622       4.020       4.016
20160119       1.480       2.531       2.873       0.819
20160120       1.352       2.870       2.937       1.732
20160121       1.242       2.703       2.606       1.615
20160122       1.144       1.680       1.783       0.892
20160123       1.088       1.688       1.569       1.052
20160124       1.121       1.409       1.576       0.953
20160125       1.156       2.025       3.957       1.889
20160126       1.156       6.715       1.833       1.090
20160127       1.196       7.729       4.046       1.564
20160128       1.226       6.299       6.244       1.565
20160129       1.360       4.546       5.547       1.344
20160130       1.633      17.838       4.924       1.308
20160131       1.730       9.467      11.719       2.038
20160201       1.774       7.755       9.275       1.812
20160202       1.774       7.875       7.992       1.898
20160203       1.774       5.703       7.043       1.603
20160204       1.774       6.050       7.157       2.208
20160205       1.692       6.056       6.886       2.082
20160206       1.690       3.670       4.005       1.226
20160207       1.633       3.508       4.455       1.959
20160208       1.608       8.878       3.430       1.753
20160209       1.583       8.782       6.505       2.320
20160210       1.527       6.227       7.543       1.944
20160211       1.527       5.796       6.775       1.684
20160212       1.523       4.575       5.631       1.504
20160213       1.449       3.828       4.485       1.472
20160214       1.539       3.414       3.847       1.458
20160215       1.449       3.608       3.781       1.620
20160216       1.425       3.469       3.462       1.501
20160217       1.347       2.641       2.946       1.232
20160218       1.288       3.187       2.685       1.365
20160219       1.226       2.458       2.768       1.373
20160220       1.199       2.236       2.427       1.175
20160221       1.184       2.075       2.570       1.358
20160222       1.175       1.905       2.097       1.136
20160223       1.193       1.763       1.942       1.167
20160224       1.249       3.498       3.221       2.099
20160225       1.325       3.530       2.617       1.058
20160226       1.444       4.819       3.786       1.696
20160227       1.449       3.009       2.831       0.967
20160228       1.449       3.285       2.696       1.349
20160229       1.462       1.806       2.165       1.077
20160301       1.430       1.364       1.553       1.070
