date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.055       1.224       1.274       0.610
20150802       7.553       8.363       1.651       0.834
20150803       7.528       3.577       5.421       0.840
20150804       9.554       2.837       3.756       1.890
20150805      20.012      34.261       3.560       2.758
20150806      11.800      14.784      18.679       7.439
20150807       8.439       7.267      11.494       7.272
20150808       6.177       5.830       7.235       3.329
20150809       4.679       4.708       5.827       2.850
20150810       3.710       3.827       4.715       2.006
20150811       3.308       3.975       3.827       1.520
20150812       3.060       3.179       3.721       1.273
20150813       2.592       2.428       3.103       0.999
20150814       2.195       1.904       2.426       0.937
20150815       3.826       4.762       2.342       0.927
20150816      13.566      39.544       4.118       1.071
20150817      11.055       8.974      24.314       6.875
20150818       7.931       6.682       8.632       2.107
20150819       5.739       5.410       6.684       3.599
20150820       4.260       4.364       5.413       2.694
20150821       3.292       3.503       4.364       1.918
20150822       2.629       2.794       3.503       1.359
20150823       2.122       2.211       2.793       1.043
20150824       1.732       1.720       2.212       0.806
20150825       1.482       1.440       1.983       0.702
20150826       3.199       5.736       1.737       1.188
20150827       7.495      11.285       7.642       1.353
20150828       9.063      10.445       7.887       1.348
20150829       9.179       7.454       8.234       3.559
20150830       8.622       6.604       6.853       2.660
20150831       7.048       5.393       6.114       3.004
20150901       5.534       4.349       5.040       2.580
20150902       6.358       8.001       5.184       2.740
20150903       8.033       6.841       7.558       2.442
20150904       6.930       5.194       6.518       1.920
20150905       6.017       4.317       5.179       0.002
20150906       5.951       3.424       4.147       2.196
20150907       3.437       2.916       3.398       1.777
20150908       2.770       2.318       2.714       1.095
20150909       2.296       1.791       2.161       1.024
20150910       1.904       1.546       1.796       0.782
20150911       1.601       1.384       1.547       0.715
20150912       1.357       1.323       1.385       0.636
20150913       2.311       1.880       1.354       0.560
20150914       6.165       8.988       1.963       0.598
20150915       6.257      21.714       6.479       0.874
20150916      16.204      15.828      19.804       8.648
20150917      10.954       7.742      14.936       8.969
20150918       8.373       6.580       7.810       7.971
20150919       6.368       5.276       6.472       3.389
20150920       4.902       4.280       5.255       2.711
20150921       3.852       3.426       4.273       2.022
20150922       3.517       3.408       3.810       1.694
20150923       4.039       4.242       3.492       1.409
20150924       4.345       3.099       3.779       1.173
20150925       8.416       7.418       5.680       2.362
20150926       8.971       6.589       6.807       1.993
20150927       7.085       4.653       5.989       2.516
20150928       5.467       3.751       4.624       2.758
20150929       4.290       3.014       3.716       2.198
20150930       3.454       1.408       3.023       1.646
20151001       2.839       1.352       2.414       1.294
20151002       2.385       1.299       1.908       1.005
20151003       2.010       1.257       1.299       0.966
20151004       1.718       1.361       1.254       0.796
20151005       1.485       1.311       1.213       0.686
20151006       1.290       1.267       1.174       0.585
20151007       1.102       1.230       1.267       0.495
20151008       0.973       1.229       1.544       0.556
20151009       0.910       1.799       2.094       0.676
20151010       0.853       1.325       1.404       0.322
20151011       0.802       1.223       1.253       0.264
20151012       0.769       1.205       1.223       0.290
20151013       0.739       1.191       1.209       0.275
20151014       0.712       1.157       1.180       0.001
20151015       0.688       1.141       1.157       0.001
20151016       0.660       1.126       1.141       0.242
20151017       0.635       1.111       1.125       0.241
20151018       0.612       1.095       1.111       0.001
20151019       0.590       1.080       1.095       0.217
20151020       0.571       1.065       1.080       0.208
20151021       0.583       1.361       1.069       0.189
20151022       1.030       3.578       1.592       0.280
20151023       5.372      12.760       3.759       0.388
20151024       6.188       5.368       7.091       0.420
20151025       9.139      16.798       6.543       1.898
20151026       9.023       7.873      10.175       9.209
20151027       7.216       6.022       7.369       6.846
20151028       5.642       4.841       5.970       6.531
