date          Qobs       Qsimobs        Qsim       Qusi
20150801      48.084      26.062      45.977      58.114
20150802      39.993      42.493      29.456      40.759
20150803      37.159      35.643      48.713      58.144
20150804      38.338      38.381      48.776      48.544
20150805     128.324      95.509      69.426      68.132
20150806      98.729      70.867      90.678     127.428
20150807     105.876      89.461      74.509     100.333
20150808      98.057      67.979      83.220      89.585
20150809      71.202      47.188      68.655      86.773
20150810      64.969      52.851      54.972      67.970
20150811      84.734      62.115      50.867      59.305
20150812      95.500      72.305      55.723      66.406
20150813      63.982      34.033      68.703      93.255
20150814      50.245      52.775      46.042      65.728
20150815      50.066      62.740      55.529      68.743
20150816      61.844      74.699      64.283      59.541
20150817      66.668      63.505      71.779      61.858
20150818      57.936      53.730      62.342      59.638
20150819      45.302      54.379      55.753      58.222
20150820      43.603      55.728      53.692      48.332
20150821      47.731      53.684      52.946      43.796
20150822      52.729      49.978      53.329      47.263
20150823      54.061      51.205      51.118      53.055
20150824      48.405      52.817      55.065      56.918
20150825      55.875      57.627      53.950      52.413
20150826     107.982      86.949      71.145      91.488
20150827     114.301      72.061      83.301      72.532
20150828      86.210      71.120      67.509      82.790
20150829      60.250      36.733      52.844      68.591
20150830      52.546      33.717      42.918      50.552
20150831      46.585      31.458      33.650      48.330
20150901      39.709      23.662      32.117      44.868
20150902      38.320      33.300      23.636      35.166
20150903      40.191      30.292      34.404      43.468
20150904      32.455      28.679      29.652      38.430
20150905      32.135      30.489      24.240      27.613
20150906      27.775      21.192      25.162      24.713
20150907      23.406      20.843      21.210      27.089
20150908      21.069      20.586      20.950      23.607
20150909      21.058      22.337      20.712      22.119
20150910      21.053      38.170      28.575      29.459
20150911      20.235      39.194      31.746      28.907
20150912      20.506      28.488      31.327      18.376
20150913      27.526      33.056      30.933      19.862
20150914      38.855      35.535      35.563      25.023
20150915      62.626      40.976      33.060      32.611
20150916      65.630      76.343      45.661      59.731
20150917      43.288      32.945      57.910      62.917
20150918      40.013      64.612      41.406      36.726
20150919      34.633      29.028      46.320      37.405
20150920      27.485      21.214      27.300      24.255
20150921      22.736      20.279      21.215      24.294
20150922      19.832      20.143      20.929      23.853
20150923      18.211      19.627      20.818      20.724
20150924      20.211      19.196      20.084      18.968
20150925      31.037      37.071      21.681      20.523
20150926      25.875      20.135      26.785      27.797
20150927      20.790      19.349      19.865      23.873
20150928      17.714      19.083      19.448      22.031
20150929      15.839      19.060      19.080      18.593
20150930      15.360      17.247      18.951      16.155
20151001      20.611      16.914      20.521      15.529
20151002      25.039      16.606      18.295      17.827
20151003      23.001      16.306      17.433      24.497
20151004      19.318      17.869      16.321      23.976
20151005      16.345      17.477      15.986      19.627
20151006      14.453      17.211      15.638      16.611
20151007      12.271      16.824      17.170      15.175
20151008      11.041      16.467      16.882      12.640
20151009       9.916      16.178      16.556      11.668
20151010       9.267      15.956      16.154      10.776
20151011       8.524      15.697      15.890       9.346
20151012       8.024      15.344      15.618       8.490
20151013       7.505      15.020      15.274       7.987
20151014       6.768      14.781      14.996       8.043
20151015       6.314      14.478      14.718       6.928
20151016       6.103      14.181      14.405       6.812
20151017       5.454      13.901      14.188       6.796
20151018       5.390      13.731      13.902       5.867
20151019       5.091      13.539      13.707       5.990
20151020       4.800      13.202      13.501       5.989
20151021       5.181      12.947      13.245       5.995
