date          Qobs       Qsimobs        Qsim       Qusi
20150801      18.389      15.523      16.683      17.679
20150802      17.373      15.212      15.704      17.523
20150803      16.897      15.954      15.265      17.107
20150804      16.158      14.471      15.106      16.160
20150805      19.321      27.187      15.983      17.118
20150806      26.568      23.123      21.517      22.931
20150807      26.233      19.185      21.596      24.143
20150808      23.589      16.986      19.579      22.913
20150809      20.734      15.658      16.922      20.632
20150810      18.700      15.007      15.634      19.066
20150811      17.473      14.401      14.979      17.809
20150812      17.581      15.279      14.779      17.236
20150813      16.769      13.867      14.552      20.139
20150814      15.629      13.274      13.877      16.009
20150815      14.680      12.704      13.278      14.914
20150816      14.105      12.147      12.704      14.091
20150817      13.758      11.769      12.146      13.511
20150818      13.397      11.243      11.605      13.108
20150819      12.858      10.749      11.086      12.839
20150820      12.379      10.262      10.740      12.298
20150821      11.956       9.830      10.254      11.837
20150822      11.620       9.420       9.830      11.495
20150823      11.474       9.026       9.421      11.109
20150824      11.101       8.681       9.026      10.928
20150825      11.019       8.839       8.689      10.750
20150826      13.233      15.066      10.300      12.681
20150827      17.223      17.691      12.787      15.424
20150828      24.560      23.968      16.070      18.705
20150829      24.082      17.077      18.643      25.977
20150830      20.564      15.525      17.491      20.668
20150831      17.792      15.735      15.542      18.566
20150901      15.947      14.941      14.890      17.099
20150902      15.126      14.272      13.947      15.165
20150903      19.184      26.483      16.128      16.407
20150904      23.236      19.696      18.564      21.953
20150905      30.172      20.858      19.321      20.660
20150906      24.571      17.671      19.069      27.626
20150907      20.024      16.340      17.236      23.071
20150908      17.556      15.565      16.347      16.349
20150909      16.077      14.820      15.824      16.500
20150910      15.067      14.149      14.860      15.463
20150911      14.257      13.502      14.184      14.553
20150912      13.613      12.871      13.500      13.697
20150913      13.485      13.112      13.018      13.281
20150914      14.225      12.933      12.576      13.119
20150915      15.240      13.443      12.420      13.724
20150916      18.099      16.570      15.252      17.761
20150917      21.356      15.071      15.027      18.027
20150918      26.681      22.229      16.350      21.442
20150919      26.882      16.737      17.411      26.550
20150920      23.531      15.739      16.696      23.364
20150921      20.811      14.730      15.837      21.325
20150922      19.199      15.752      15.306      20.020
20150923      18.176      15.141      15.887      19.220
20150924      17.256      14.685      14.876      17.832
20150925      18.649      19.330      15.612      17.912
20150926      20.701      15.933      16.486      17.761
20150927      19.695      15.032      15.852      19.119
20150928      17.952      14.354      15.035      18.133
20150929      16.475      13.738      14.383      17.232
20150930      15.590       9.020      13.758      16.017
20151001      14.763       8.694      13.220      15.016
20151002      13.929       8.409      12.624      14.388
20151003      13.553       8.206       8.444      13.602
20151004      13.224      10.233       8.173      12.944
20151005      12.838       9.799       7.951      12.926
20151006      12.484       9.594       7.710      12.401
20151007      12.117       9.188       9.513      12.087
20151008      11.698       8.838       9.169      11.517
20151009      11.384       8.559       8.874      11.305
20151010      11.244       8.299       8.571      11.086
20151011      11.044       8.119       8.293      10.723
20151012      10.728       7.928       8.103      10.700
20151013      10.515       7.718       7.865      10.300
20151014      10.157       7.481       7.682      10.133
20151015       9.844       7.340       7.530       9.924
20151016       9.586       7.204       7.387       9.652
20151017       9.376       7.058       7.204       9.394
20151018       9.150       6.961       7.058       9.116
20151019       9.022       6.878       6.961       9.300
20151020       8.797       6.782       6.872       8.828
20151021       8.588       6.677       6.783       8.644
20151022       8.595       7.038       6.817       8.595
20151023       8.700       6.836       7.288       8.748
20151024       8.507       6.617       6.771       8.571
20151025       8.517       6.997       6.878       8.558
20151026       8.271       6.599       6.684       8.348
20151027       8.094       6.510       6.569       8.146
20151028       7.927       6.422       6.478       7.859
20151029       7.741       6.335       6.422       7.804
20151030       7.477       6.249       6.335       7.729
20151031       7.433       6.316       6.307       7.357
20151101       7.419       6.666       6.354       7.319
20151102       7.559       6.324   -9999.000   -9999.000
20151103       7.200       6.195       6.324       7.539
20151104       7.094       6.077       6.193       7.073
20151105       7.008       6.009       6.080       6.949
20151106       6.886       5.921       6.011       6.959
20151107       7.107       8.269       6.904       7.618
20151108       7.464       6.830       7.286       7.216
20151109       7.582       6.878       7.300       7.261
20151110       7.563       6.327       6.934       7.297
20151111       7.286       6.023       6.355       7.235
20151112       7.072       5.908       6.123       7.114
20151113       6.793       5.897       5.923       6.989
20151114       6.426       5.786       5.955       6.763
20151115       6.184       5.674       5.804       6.337
20151116       6.080       5.598       5.675       6.035
20151117       5.858       6.178       5.910       6.278
20151118       5.826       5.586       5.903       5.633
20151119       5.651       5.429       5.567       5.639
20151120       5.255       5.318       5.459       5.556
20151121       4.852       5.239       5.347       5.347
20151122       4.528       5.162       5.234       4.836
20151123       4.310       5.095       5.190       4.577
20151124       4.349       5.064       5.138       4.314
20151125       4.563       4.962       5.064       4.290
20151126       4.564       4.891       4.995       4.495
20151127       4.802       4.854       5.187       4.716
20151128       5.104       5.528       5.102       4.966
20151129       5.398       5.384       5.403       5.284
20151130       5.339       4.947       5.234       5.098
20151201       5.121       4.926       4.950       5.123
20151202       4.980       4.945       4.929       5.060
20151203       4.901       4.856       4.904       4.909
20151204       4.960       5.386       4.946       4.950
20151205       4.935       4.944       5.142       4.868
20151206       4.985       4.700       5.127       4.976
20151207       4.984       4.553       4.827       4.900
20151208       4.761       4.400       4.633       4.941
20151209       4.813       4.463       4.522       4.795
20151210       4.772       4.336       4.426       4.787
20151211       4.684       4.257       4.497       4.901
20151212       4.577       4.145       4.251       4.593
20151213       4.427       4.081       4.151       4.522
20151214       4.166       4.014       4.079       4.360
20151215       3.975       3.965       4.019       4.155
20151216       3.844       3.914       3.960       3.900
20151217       3.789       3.888       3.965       3.839
20151218       3.859       4.118       4.030       3.785
20151219       3.888       4.438       4.488       3.864
20151220       4.174       4.162       5.097       4.743
20151221       4.694       4.881   -9999.000   -9999.000
20151222       4.958       4.290   -9999.000   -9999.000
20151223       4.917       4.374       4.403       4.845
20151224       4.823       3.980       4.229       4.689
20151225       4.792       4.087       4.325       4.950
20151226       4.601       3.869       4.175       4.685
20151227       4.216       3.701       3.828       4.467
20151228       3.894       3.622       3.741       4.182
20151229       3.747       3.565       3.616       3.820
20151230       3.727       3.742       3.583       3.700
20151231       3.716       3.554       3.729       3.670
20160101       3.771       3.598       3.660       3.722
20160102       3.818       3.885       3.639       3.752
20160103       3.778       3.487       3.595       3.643
20160104       3.666       3.334       3.510       3.574
20160105       3.562       3.262       3.341       3.570
20160106       3.518       3.203       3.260       3.489
20160107       3.518       3.154       3.199       3.431
20160108       3.516       3.098       3.149       3.465
20160109       3.496       3.065       3.098       3.460
20160110       3.480       3.125       3.089       3.481
20160111       3.466       3.879       3.261       3.587
20160112       3.457       3.307       3.550       3.292
20160113       3.445       3.228       3.286       3.293
20160114       3.449       2.976       3.133       3.212
20160115       3.442       2.887       2.976       3.335
20160116       3.432       2.833       2.881       3.335
20160117       3.416       2.780       2.821       3.326
20160118       3.408       2.768       2.832       3.430
20160119       3.396       2.694       2.786       3.389
20160120       3.396       2.642       2.713       3.335
20160121       3.382       2.617       2.644       3.353
20160122       3.379       2.564       2.609       3.277
20160123       3.364       2.555       2.569       3.303
20160124       3.356       2.496       2.551       3.286
20160125       3.347       2.500       2.667       3.349
20160126       3.345       2.451       2.501       3.310
20160127       3.345       2.618       2.637       3.513
20160128       3.339       3.146       2.836       3.630
20160129       3.333       2.509       2.820       3.040
20160130       3.335       2.769       2.865       3.553
20160131       3.347       2.441       2.680       3.146
20160201       3.345       2.317       2.427       3.144
20160202       3.347       2.450       2.464       3.385
20160203       3.345       2.256       2.435       3.245
20160204       3.347       2.220       2.310       3.285
20160205       3.345       2.166       2.222       3.283
20160206       3.336       2.300       2.274       3.404
20160207       3.335       2.636       2.396       3.502
20160208       3.332       2.385       2.709       3.468
20160209       3.329       2.287       2.620       3.470
20160210       3.331       2.075       2.214       3.073
20160211       3.331       2.111       2.124       3.266
20160212       3.329       2.037       2.094       3.239
20160213       3.331       1.979       2.056       3.269
20160214       3.330       1.913       1.974       3.225
20160215       3.329       1.869       1.917       3.251
20160216       3.331       1.842       1.873       1.872
20160217       3.317       1.822       1.840       1.840
20160218       3.312       1.800       1.829       1.828
20160219       3.297       1.779       1.799       1.796
20160220       3.296       1.980       1.881       1.876
20160221       3.286       2.274       2.126       2.082
20160222       3.281       1.806       2.022       1.937
20160223       3.279       1.730       1.822       1.822
20160224       3.276       1.698       1.744       1.746
20160225       3.270       1.647       1.698       1.696
20160226       3.263       1.729       1.734       1.734
20160227       3.264       1.619       1.704       1.685
20160228       3.264       1.578       1.639       1.636
20160229       3.263       1.549       1.594       1.594
20160301       3.265       1.523       1.555       1.552
20160302       3.264       2.001       1.681       1.681
20160303       3.255       1.771       1.862       1.777
20160304       3.247       1.765       1.795       1.762
20160305       2.465       2.198       1.940       1.901
20160306       2.133       1.621       1.890       1.773
20160307       2.196       1.639       1.687       1.684
20160308       2.199       1.528       1.652       1.627
20160309       2.175       1.422       1.496       1.485
20160310       2.160       1.377       1.419       1.417
20160311       2.157       1.348       1.374       1.377
20160312       2.143       1.319       1.346       1.346
20160313       2.127       1.319       1.327       1.320
20160314       2.155       1.989       1.892       1.899
20160315       2.325       3.145       2.608       2.657
20160316       2.583       4.313       4.009       4.075
20160317       2.849       6.285       4.620       4.726
20160318       3.036       5.431       5.339       5.340
20160319       3.130       4.950       5.300       5.302
20160320       3.146       4.580       4.943       4.936
20160321       3.093       4.281       4.584       4.581
20160322       3.058       4.309       4.307       4.303
20160323   -9999.000   -9999.000       4.019       4.006
20160324       2.836       3.499   -9999.000   -9999.000
20160325       2.779       3.287   -9999.000   -9999.000
20160326       2.677       3.070   -9999.000   -9999.000
20160327       2.699       3.177       3.197       3.210
20160328       2.719       3.106       3.287       3.348
20160329       2.854       3.374       3.674       3.501
20160330       2.968       3.170       3.418       3.354
20160331       2.973       2.815       3.000       2.958
20160401       2.909       2.753       2.804       2.805
20160402       2.873       2.857       2.813       2.800
20160403       2.870       2.552       2.783       2.752
20160404       2.808       3.035       2.675       2.698
20160405       2.877       3.667       3.225       3.300
20160406       3.038       3.965       3.607       3.676
20160407       3.221       4.062       3.629       3.637
20160408       3.324       3.602       3.772       3.773
20160409       3.323       3.362       3.583       3.585
20160410       3.253       3.153       3.360       3.360
20160411       3.162       3.177       3.152       3.153
20160412       3.113       2.938       3.061       3.058
20160413       3.086       2.748       2.862       2.864
20160414       3.007       2.631       2.900       2.898
20160415       2.974       2.661       2.775       2.776
20160416       2.958       2.504       2.787       2.780
20160417       2.895       2.420       2.502       2.497
20160418       2.865       2.425       2.406       2.406
20160419       2.891       2.481       2.483       2.488
20160420       2.890       2.487       2.419       2.436
20160421       2.891       2.427       2.424       2.426
20160422       2.893       2.353       2.404       2.874
20160423       2.899       2.252       2.334       2.812
20160424       2.882       2.262       2.290       2.859
20160425       2.858       2.192       2.282       2.852
20160426       2.791       2.230       2.254       2.931
20160427       2.758       2.161       2.220       2.764
20160428       2.698       2.124       2.159       2.737
20160429       2.697       2.811       2.727       3.485
20160430       2.862       2.983       3.087       3.138
20160501       3.077       4.866       3.408       3.154
20160502       3.041       3.239       3.927       2.660
20160503       3.108       3.513       3.393       3.047
20160504       3.608       4.564       3.701       3.419
20160505       4.298       5.469       4.417       3.755
20160506       4.968       7.111       5.369       5.491
20160507       5.866       9.346       7.114       6.325
20160508       8.780      14.456       9.477       7.574
20160509      15.399      27.363      13.558      11.873
