date          Qobs       Qsimobs        Qsim       Qusi
20150801      13.084      12.764      16.516      15.447
20150802      12.454      15.380      13.098      11.234
20150803      11.808      13.105      13.812      11.361
20150804      10.600      11.370      12.322      10.656
20150805      45.237      66.364      20.562      17.096
20150806      35.817      35.852      40.901      44.036
20150807      26.254      26.944      33.789      32.711
20150808      21.788      21.432      26.677      21.684
20150809      16.726      17.667      21.411      18.065
20150810      14.070      14.474      17.583      13.610
20150811      12.964      12.986      14.532      12.140
20150812      12.811      14.525      13.339      12.140
20150813      10.766      11.730      12.882      12.064
20150814       9.385      10.914      11.732      10.182
20150815       8.297      10.196      10.915       8.880
20150816       7.462       9.461      10.184       7.677
20150817       6.866       9.074       9.461       7.125
20150818       6.247       8.699       9.074       6.490
20150819       5.758       8.337       8.699       5.764
20150820       5.286       7.988       8.338       5.390
20150821       4.846       7.657       7.988       5.034
20150822       4.479       7.353       7.654       4.541
20150823       4.279       7.045       7.342       4.381
20150824       4.208       6.751       7.039       3.990
20150825       4.874       9.136       6.822       4.287
20150826      14.831      36.201      15.102       8.186
20150827      38.606      61.668      29.177      22.041
20150828      40.294      52.827      48.543      44.944
20150829      22.455      32.419      41.758      37.497
20150830      16.049      25.846      32.482      20.321
20150831      12.671      20.791      26.038      15.133
20150901      10.859      16.562      20.747      11.167
20150902      50.382      22.492      16.788       9.451
20150903      92.949      77.199      40.875      55.999
20150904      49.901      36.431      47.583      89.197
20150905      43.694      44.494      40.709      47.501
20150906      35.010      31.673      38.718      38.755
20150907      26.349      25.479      31.110      29.076
20150908      20.792      20.727      25.434      22.266
20150909      17.129      16.899      20.693      17.528
20150910      14.612      13.873      16.957      14.163
20150911      13.191      11.995      13.912      11.868
20150912      12.098      11.167      11.995      11.510
20150913      18.197      17.314      12.242      13.306
20150914      22.171      14.523      14.037      16.248
20150915      37.506      15.740      13.404      17.848
20150916      68.880      49.871      28.498      41.655
20150917      84.410      31.541      39.430      73.842
20150918      97.471      73.140      40.420      73.841
20150919      57.394      39.715      51.047     104.057
20150920      40.305      32.436      39.639      47.237
20150921      32.433      26.928      32.417      34.144
20150922      30.410      24.621      27.107      26.055
20150923      38.013      33.225      29.521      30.973
20150924      31.699      22.321      28.033      34.668
20150925      49.896      48.345      28.921      31.677
20150926      36.546      29.236      37.428      45.629
20150927      29.009      23.767      28.896      31.228
20150928      24.059      19.870      23.756      24.724
20150929      21.153      16.659      19.832      20.558
20150930      18.513       9.888      16.658      18.088
20151001      16.607       9.541      14.464      16.259
20151002      14.739       9.199      13.407      15.688
20151003      13.359       8.858       9.193      14.793
20151004      12.248      11.443       8.858      13.088
20151005      11.624      11.044       8.534      11.959
20151006      11.475      11.260       8.249      11.271
20151007      10.646      10.661      10.885      10.850
20151008      10.007      10.243      10.489      10.361
20151009      10.490      10.096      10.524       9.889
20151010      10.603       9.731      10.141      10.383
20151011       9.966       9.471       9.793      10.398
20151012       9.111       9.145       9.471       9.532
20151013       8.390       8.842       9.152       9.176
20151014       7.423       8.534       8.837       8.172
20151015       6.924       8.246       8.533       7.304
20151016       6.652       7.961       8.249       6.674
20151017       6.771       7.715       7.967       6.394
20151018       6.577       7.466       7.718       6.578
20151019       6.234       7.237       7.461       6.378
20151020       6.027       7.008       7.221       6.143
20151021       5.921       6.760       6.988       5.889
20151022       6.083       7.282       6.822       6.046
20151023       6.363       6.752       6.812       6.141
20151024       5.834       6.508       6.709       6.104
20151025       6.065       7.626       6.786       6.078
20151026       5.645       6.491       6.610       5.534
20151027       5.410       6.272       6.494       5.504
20151028       5.253       6.076       6.273       5.362
20151029       5.088       5.862       6.067       5.182
20151030       4.931       5.663       5.862       5.059
20151031       5.301       6.832       5.700       4.877
20151101       6.100       8.863       6.010       5.141
20151102       5.783       6.538   -9999.000   -9999.000
20151103       5.528       6.074       6.538       5.261
20151104       5.309       5.888       6.074       5.133
20151105       5.036       5.682       5.879       5.447
20151106       4.933       5.491       5.681       4.872
20151107       7.696      12.363       6.967       6.111
20151108       8.750      21.042       8.112       5.213
20151109      11.592      31.037      14.046      12.928
20151110       9.806      20.052      25.554      12.427
20151111       8.092      15.504      19.027       9.103
20151112       7.138      11.867      15.379       6.754
20151113       6.486      10.140      12.147       5.862
20151114       5.105       9.560       9.626       5.586
20151115       4.904       8.043       8.510       4.617
20151116       4.226       7.826       8.154       4.791
20151117       4.671      10.055       9.663       5.928
20151118       5.292       7.525       8.282       3.906
20151119      29.399       7.141       7.497       5.320
20151120      43.088       6.819       7.123      18.703
20151121      16.882       6.576       6.834      42.894
20151122      73.464       6.365       6.576      15.183
20151123      59.976       6.160       6.365      63.352
20151124      54.412       6.060       6.308      43.841
20151125      46.083       5.782       6.013      47.390
20151126      36.157       5.585       5.848      40.950
20151127      34.929       5.417       7.508       7.381
20151128      30.882      27.082       5.533       5.530
20151129      28.176      16.650      19.229      19.378
20151130      47.511      11.502      15.050      14.702
20151201     102.353       8.031      11.114      11.102
20151202      45.642       7.110       8.245       8.256
20151203      42.912       7.097       7.272       7.275
20151204      48.884       8.517       8.633       8.477
20151205      34.084       9.085      12.269      11.402
20151206      36.423      14.478       9.013       8.413
20151207      94.673       9.689      10.749      10.088
20151208      46.213       7.902       9.627       9.774
20151209      32.033      12.217       9.082       8.597
20151210      40.963       9.295       8.500       8.788
20151211      16.971       9.910       8.760       8.976
20151212      25.323       7.381       8.607       8.870
20151213      52.604       6.711       7.405       7.410
20151214      48.338       6.181       6.699       6.697
20151215      48.856       5.936       6.177       6.173
20151216      29.211       7.135       5.931       5.936
20151217      27.975       7.260       5.884       5.889
20151218      21.513       7.533       6.161       6.063
20151219      16.647       7.383       7.475       7.646
20151220      15.567      17.235       9.374       9.785
20151221      16.574      22.606   -9999.000   -9999.000
20151222      13.697      14.903   -9999.000   -9999.000
20151223      10.923      13.466      15.365      15.361
20151224       9.967       9.573      12.745      12.310
20151225      15.329      24.124      10.492      10.636
20151226      10.226      13.792      17.375      17.420
20151227       8.295      10.848      13.751      13.751
20151228      10.086       9.577      11.134      11.137
20151229      10.941       8.791       9.453       9.444
20151230      10.449       8.543       9.011       9.014
20151231      10.304      10.504       8.998       8.993
20160101       9.432       8.716      10.475      10.181
20160102  -10000.000      10.911       8.969       8.954
20160103  -10000.000       8.300       9.616       9.277
20160104  -10000.000       7.628       8.110       8.097
20160105  -10000.000       7.434       7.685       7.688
20160106  -10000.000       7.053       7.290       7.288
20160107      10.806       6.749       7.009       7.009
20160108      12.442       6.622       6.751       6.749
20160109      13.258       6.478       6.577       6.576
20160110      11.866       6.912       6.698       6.695
20160111      10.365       8.957       7.473       7.462
20160112      10.333       7.324       6.953       6.915
20160113      10.424       7.109       6.828       6.807
20160114       9.871       5.983       6.260       6.238
20160115      10.063       5.413       5.789       5.786
20160116       9.355       5.620       5.687       5.687
20160117       8.784       5.079       5.264       5.250
20160118       8.523       4.823       5.043       5.050
20160119       8.275       4.635       4.856       4.856
20160120       8.105       4.488       4.641       4.638
20160121       7.672       4.331       4.477       4.480
20160122       7.330       4.197       4.331       4.331
20160123       6.904       4.473       4.213       4.218
20160124       6.891       3.986       4.157       4.150
20160125       6.690       3.876       3.982       3.977
20160126       6.131       3.749       3.958       3.897
20160127       8.183       5.867       4.824       4.695
20160128       7.412      12.483       5.131       4.982
20160129       7.325       6.295       8.508       7.533
20160130       9.706      14.055       7.414       7.420
20160131       9.107       8.082      10.537       9.669
20160201       9.886       6.440       7.823       7.810
20160202      10.603       6.304       7.001       6.998
20160203      10.119       4.830       5.678       5.658
20160204       9.665       4.121       4.708       4.703
20160205       9.288       3.673       4.094       4.098
20160206       9.007       3.985       4.691       4.925
20160207       9.284       9.981       6.150       5.945
20160208      12.687      19.315       9.151       8.247
20160209      11.908      18.763      15.362      12.970
20160210      10.447      11.523      14.779      13.559
20160211       9.152       9.345      11.236      11.275
20160212       8.203       7.803       9.336       9.331
20160213       8.372       6.562       7.861       7.862
20160214       7.808       5.581       6.571       6.568
20160215       7.889       4.669       5.536       5.538
20160216       8.799       3.942       4.671       4.669
20160217       9.487       3.743       3.937       3.942
20160218       8.532       3.636       3.882       3.882
20160219       7.788       3.565       3.689       3.692
20160220       7.176       4.205       4.168       4.160
20160221       6.906       5.387       5.029       5.021
20160222       6.713       3.503       3.845       3.809
20160223       6.397       3.246       3.568       3.567
20160224       6.461       3.082       3.243       3.246
20160225       6.293       2.955       3.115       3.117
20160226       6.222       2.846       2.974       3.011
20160227       6.145       2.745       2.894       2.892
20160228       5.915       2.661       2.745       2.745
20160229       5.440       2.568       2.656       2.661
20160301       4.583       2.489       2.576       2.570
20160302      10.396       3.869       3.578       3.578
20160303       9.770       3.617       3.734       3.708
20160304       9.164       3.416       3.320       3.299
20160305       8.592       4.245       4.061       4.044
20160306       8.266       2.648       3.041       3.013
20160307       7.770       3.073       3.071       3.070
20160308       7.220       2.431       2.609       2.591
20160309       6.790       2.108       2.249       2.249
20160310       6.666       1.951       2.078       2.079
20160311       6.160       1.858       1.955       1.951
20160312       5.871       1.791       1.860       1.858
20160313       5.725       1.733       1.786       1.791
20160314       6.342       4.585       2.788       3.159
20160315       9.260      22.315       6.198       6.928
20160316       9.736      33.537      17.047      19.805
20160317      12.022      45.962      29.045      32.208
20160318      14.736      45.427      36.825      38.775
20160319      13.698      31.922      39.429      39.584
20160320      11.691      26.826      32.351      32.904
20160321       8.849      21.095      26.451      26.509
20160322       7.003      21.368      21.272      21.462
20160323   -9999.000   -9999.000      16.902      16.932
20160324       4.560      13.760   -9999.000   -9999.000
20160325       4.250      10.945   -9999.000   -9999.000
20160326       4.025       9.475   -9999.000   -9999.000
20160327       5.928      11.663      10.828      11.677
20160328       7.805      21.904      13.068      13.577
20160329      19.160      38.030      28.885      28.831
20160330      17.019      28.426      33.503      31.663
20160331      11.064      20.886      25.744      25.727
20160401       8.688      17.052      21.002      21.004
20160402       7.935      15.615      17.563      17.953
20160403       7.656      12.477      14.889      15.723
20160404       8.429      18.517      14.611      14.753
20160405      12.208      33.766      19.709      19.896
20160406      14.825      26.168      29.310      28.380
20160407      16.073      26.745      25.865      26.371
20160408      14.567      23.497      24.884      25.261
20160409      12.521      19.237      23.157      24.184
20160410      11.543      15.531      18.446      18.755
20160411      11.141      18.578      15.785      16.267
20160412      11.614      17.154      16.531      17.410
20160413      11.408      18.924      16.693      17.395
20160414      10.273      16.989      21.550      23.113
20160415      10.080      15.180      17.973      18.305
20160416      10.119      13.370      19.107      18.416
20160417      10.025      13.165      13.321      13.241
20160418      10.391      15.417      13.275      14.092
20160419      11.879      18.916      14.351      14.602
20160420      12.927      23.096      17.223      18.505
20160421      12.794      22.266      21.524      22.395
20160422      13.210      22.340      20.780      13.000
20160423      11.533      16.932      20.415      12.599
20160424       9.986      14.193      16.941       9.899
20160425       9.002      12.232      14.671       9.350
20160426       8.305      11.029      13.094       8.933
20160427       7.826      10.256      11.017       7.626
20160428       7.788      10.148      10.390       7.755
20160429       8.199      23.593      17.548      14.281
20160430      11.525      32.464      29.739      13.747
20160501      12.099      40.435      31.616      13.379
20160502      13.019      37.855      32.932      10.488
20160503      16.693      35.164      36.682      14.258
20160504      22.337      49.123      35.396      15.694
20160505      24.465      47.861      44.815      23.569
20160506      29.269      53.154      48.462      25.233
20160507      36.673      66.214      54.178      30.202
20160508      52.860     101.573      68.957      43.237
20160509      72.896     128.748     103.869      71.120
20160510      83.983     140.563     124.724      85.619
20160511      88.631     112.973     129.065      90.388
20160512      92.591     100.111     108.900      76.669
20160513      88.917      81.422      93.659      80.877
20160514      63.343      53.745      69.005      68.022
20160515      50.666      47.658      53.826      53.697
20160516      48.955      44.951      48.173      44.953
20160517      51.032      47.740      46.317      46.782
20160518      50.169      46.616      46.552      52.049
20160519      62.766      48.711      49.316      54.241
20160520     105.310      54.325      49.359      57.762
20160521     125.798     121.833      57.583      96.196
20160522     113.467      74.483      95.952     135.380
20160523     138.439     134.994      96.628     112.965
20160524      96.353      74.205     103.397     141.128
20160525      70.008      59.252      69.894      70.388
20160526      52.839      52.530      58.211      57.861
20160527      42.585      54.284      54.619      51.775
20160528      40.214      56.491      55.127      46.502
20160529      39.170      50.820      55.579      41.489
20160530      42.262      52.583      50.536      38.007
20160531      35.550      48.830      51.263      41.817
20160601      30.454      52.663      49.551      35.684
20160602      25.681      49.951      52.288      32.235
20160603      21.983      46.627      51.574      27.438
20160604      18.459      39.149      43.957      19.359
20160605      14.846      32.165      37.658      15.628
20160606      12.497      27.729      32.336      12.301
20160607      10.742      24.070      27.968      11.495
20160608       9.467      21.327      23.863       8.608
20160609       8.376      18.336      20.102       8.629
20160610       7.436      16.870      18.241       8.348
20160611       6.705      15.641      16.909       6.665
20160612       6.389      14.983      15.797       6.756
20160613       5.774      15.013      15.372       6.453
20160614       4.928      13.988      17.204       7.370
20160615       4.552      13.070      13.954       5.144
20160616       8.264      24.168      15.226       5.427
20160617       7.713      14.827      17.133       7.790
20160618       6.712      13.465      15.862       7.848
20160619       5.353      12.203      13.257       6.611
20160620       4.584      11.152      12.170       5.221
20160621       9.210      28.428      13.693       5.559
20160622       7.191      13.906      18.300       8.915
20160623       5.672      12.007      13.902       5.671
20160624       4.960      10.993      12.007       4.951
20160625       6.690      16.904      14.709       6.730
20160626       6.025      10.895      12.558       6.346
20160627      17.137      25.156      17.923       9.119
20160628      21.382      24.291      21.343      19.503
20160629      13.588      14.965      20.169      20.630
20160630      15.870      13.584      15.646      12.832
20160701      24.094      30.254      18.267      15.304
20160702      22.919      25.198      26.963      27.082
20160703      26.080      30.387      25.709      23.361
20160704      20.270      20.876      28.431      27.495
20160705      17.005      18.037      22.172      19.879
20160706      18.679      29.711      19.917      15.630
20160707      14.532      18.265      23.249      17.378
20160708      11.891      15.033      18.034      11.992
20160709      12.513      17.089      15.217      10.546
20160710      13.817      14.672      18.555      12.541
20160711      19.504      20.808      21.561      19.738
20160712      21.663      31.494      19.587      19.124
20160713      19.791      30.359      30.961      26.320
20160714      16.867      35.289      28.253      21.137
20160715      13.327      23.745      29.350      17.226
20160716      12.591      21.568      24.622      13.938
20160717      10.522      17.339      20.489      11.280
20160718       8.912      14.818      17.155       9.518
20160719       8.343      13.277      14.837       8.274
20160720       8.353      13.246      13.278       7.479
20160721       7.161      11.535      12.534       7.934
20160722       6.339      10.754      11.535       6.849
20160723       5.814       9.980      17.402      10.236
20160724       6.313      10.334      11.625       6.431
20160725       5.993      18.770       9.913       6.149
20160726       8.982      19.133      14.170       5.771
20160727      12.335      25.083      18.439       8.672
