date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.745       4.224       4.767       5.197
20150802       7.891       9.226       5.417       4.518
20150803       8.028       5.755       8.747       8.680
20150804       7.846       5.209       6.018       8.406
20150805      13.321      16.989       6.793       7.819
20150806      11.499       9.155      11.770      14.727
20150807      10.039       7.307       9.516      10.147
20150808       8.440       6.482       7.269       7.965
20150809       7.074       5.832       6.477       7.613
20150810       6.182       5.156       5.842       6.216
20150811       6.160       5.027       5.327       5.755
20150812       5.977       5.556       4.909       5.254
20150813       5.329       4.594       5.104       5.716
20150814       4.786       4.149       4.591       4.914
20150815       4.506       4.108       4.158       4.191
20150816      24.089      45.282       5.714       5.921
20150817      20.265      32.146      31.734      31.440
20150818      15.639      16.025      26.269      21.158
20150819      12.296      11.399      16.073      11.602
20150820      10.091       9.344      11.409       9.090
20150821       8.655       8.425       9.356       8.220
20150822       7.570       7.586       8.424       7.860
20150823       6.655       6.816       7.587       6.892
20150824       6.951       6.220       6.827       6.367
20150825      34.846      19.989       8.392       8.081
20150826      39.651      35.514      16.577      26.631
20150827      52.090      46.161      32.157      37.005
20150828      43.064      30.491      42.376      43.255
20150829      32.877      19.265      27.667      29.480
20150830      26.540      15.706      18.937      21.486
20150831      21.640      11.381      15.054      16.129
20150901      19.546      10.056      11.787      14.936
20150902      66.395      42.784      28.193      34.842
20150903      83.222      66.343      44.865      56.141
20150904      58.726      42.882      52.963      57.918
20150905      42.433      24.121      38.623      40.636
20150906      32.523      16.561      24.116      26.482
20150907      25.012      12.477      16.549      21.091
20150908      19.444      11.089      12.330      17.527
20150909      15.445      10.050      10.957      17.733
20150910      12.531       9.108      10.055      14.293
20150911      10.377       8.250       9.113      11.680
20150912       9.099       7.652       8.278       9.646
20150913      17.606      28.349       9.676       9.755
20150914      51.517      52.945      28.963      28.096
20150915      96.687     100.327      56.720      58.339
20150916      63.615      73.817      86.212      88.550
20150917      64.133      55.793      79.267      71.456
20150918      53.932      52.058      55.146      51.442
20150919      38.553      27.978      49.589      43.371
20150920      29.122      18.692      27.949      27.279
20150921      22.695      14.073      18.691      19.892
20150922      22.384      13.529      14.504      15.370
20150923      22.822      27.675      15.904      18.669
20150924      20.396      14.058      21.497      19.994
20150925      21.388      25.927      17.602      17.129
20150926      18.434      16.225      21.837      20.921
20150927      15.007      12.393      15.206      13.976
20150928      12.615      11.288      12.396      12.194
20150929      10.847      10.261      11.265      11.810
20150930       9.459       7.642      10.238      10.099
20151001       8.311       6.935       9.328       8.814
20151002       7.314       6.290       8.474       7.635
20151003       6.339       5.701       6.291       6.799
20151004       5.570       6.355       5.702       5.883
20151005       4.934       5.775       5.176       5.083
20151006       4.461       5.254       4.709       4.364
20151007       4.172       4.800       5.269       4.240
20151008       4.525       5.628       5.253       4.508
20151009      10.183      10.571       6.171       4.803
20151010      12.261      10.233       9.330      10.476
20151011      10.680       8.775       9.512      12.427
20151012      10.064       9.802       8.753      10.332
20151013       9.535       9.307       8.915       9.724
20151014       8.389       8.042       8.564       9.131
20151015       7.447       7.271       8.098       7.774
20151016       6.688       6.579       7.327       6.883
20151017       6.015       5.946       6.583       6.069
20151018       5.438       5.374       5.953       5.583
20151019       4.915       4.769       5.379       5.011
20151020       4.469       4.172       4.852       4.511
20151021       4.111       4.001       4.401       4.124
20151022       3.959       4.348       3.997       3.905
20151023       3.921       4.482       3.920       3.848
20151024       3.503       3.899       4.146       3.941
20151025       3.963       5.388       4.166       3.359
20151026       3.875       4.314       4.862       3.890
20151027       3.622       3.881       4.296       3.671
20151028       3.396       3.411       3.883       3.408
20151029       3.148       3.076       3.508       3.146
20151030       2.924       2.909       3.179       2.835
20151031       3.126       3.963       2.854       2.772
20151101       3.287       3.285       3.555       3.128
20151102       3.079       2.938   -9999.000   -9999.000
20151103       2.804       2.661       2.938       2.870
20151104       2.641       2.442       2.661       2.612
20151105       2.578       2.281       2.439       2.476
20151106       2.818       3.246       2.920       2.856
20151107       7.598       4.658       3.602       3.881
20151108      13.197      15.356       4.907       7.614
20151109      21.266      26.267       8.846      18.309
20151110      19.664      22.376      21.108      22.524
20151111      15.544      12.652      19.178      18.034
20151112      13.641      14.500      12.817      11.395
20151113      21.692      29.306      12.876      13.157
20151114      21.347      18.827      24.683      22.376
20151115      17.871      15.905      18.359      17.331
20151116      18.757      13.168      24.476      19.331
20151117      18.031      12.158      13.848      14.884
20151118      15.874      12.351      13.704      17.955
20151119      15.021      12.231      11.612      14.692
20151120      13.206       9.828      11.114      13.442
20151121      11.162       8.890       9.806      11.832
20151122       9.612       8.060       8.891      10.273
20151123       9.241       7.161       8.060       8.832
20151124       7.465       6.530       7.388       9.167
20151125       6.890       6.074       6.704       6.858
20151126       6.153       5.448       6.336       6.677
20151127       6.260       5.765       6.733       6.673
20151128      10.992      15.369       5.629       5.971
20151129      12.225      10.035      10.642      13.318
20151130      11.013       9.366       9.982      11.209
20151201       9.669       9.431       9.204      10.511
20151202       8.731       8.453      10.180      11.863
20151203       9.412       8.482       8.441       8.005
20151204      28.926       8.695      10.450      10.981
20151205      47.172      43.437      14.936      35.790
20151206      67.049     104.488      28.486      60.496
20151207      49.472      72.754      82.202      81.953
20151208      39.893      40.922      64.796      45.938
20151209      45.335      52.916      44.227      32.296
20151210      41.870      48.517      45.913      40.925
20151211      37.060      39.239      41.669      35.921
20151212      29.274      21.845      35.311      29.048
20151213      23.285      15.067      21.848      20.081
20151214      18.881      12.372      15.067      16.570
20151215      15.487      11.267      12.380      15.239
20151216      13.032      10.331      11.269      13.831
20151217      11.588       9.636      11.396      12.880
20151218      12.642       9.376      11.353      12.443
20151219      13.605      10.731      10.695      13.358
20151220      18.323      28.662      14.987      18.138
20151221      21.494      33.815   -9999.000   -9999.000
20151222      21.180      25.985   -9999.000   -9999.000
20151223      24.270      27.315      23.851      19.025
20151224      30.207      33.690      26.644      22.769
20151225      44.517      63.108      28.248      24.601
20151226      32.524      32.858      50.088      43.526
20151227      25.549      20.876      31.802      24.074
20151228      21.067      14.373      20.802      17.994
20151229      17.671      12.472      14.378      15.076
20151230      16.574      12.740      13.006      16.151
20151231      19.182      24.268      12.464      16.142
20160101      18.200      17.456      17.982      21.752
20160102      16.236      14.805      16.207      14.005
20160103      12.831      11.574      14.504      13.023
20160104      11.334      10.563      11.544      11.159
20160105       9.948       9.676      10.554      10.575
20160106       9.847       8.848       9.669       9.037
20160107       9.814       8.112       8.844       8.711
20160108       9.166       7.461       8.120       8.762
20160109       8.287       6.830       7.463       8.282
20160110       7.426       6.669       6.901       8.002
20160111       7.754       6.399       6.710       6.947
20160112       6.459       5.713       6.338       7.255
20160113       5.644       5.341       5.724       6.109
20160114       5.546       5.103       5.373       5.354
20160115       5.895       4.653       5.073       5.030
