date          Qobs       Qsimobs        Qsim       Qusi
20150801      48.303      65.716      67.542      49.151
20150802      41.771      65.259      66.497      49.835
20150803      52.449      63.809      64.888      44.072
20150804      56.409      62.070      63.123      47.972
20150805      65.589     120.236      67.064      59.508
20150806      70.953      85.903      90.325      84.088
20150807      70.225      84.761      86.996      67.624
20150808      69.889      76.742      81.988      68.006
20150809      67.850      71.894      76.669      65.770
20150810      73.145      67.095      71.873      64.025
20150811      81.405      65.324      67.876      66.347
20150812      75.644      66.927      65.838      73.957
20150813      74.716      63.658      65.341      76.268
20150814      64.726      62.257      63.657      73.665
20150815      48.172      61.736      62.257      65.310
20150816      36.057      61.244      61.740      50.714
20150817      33.919      60.706      61.280      37.589
20150818      27.319      60.166      60.722      32.124
20150819      22.225      59.653      60.178      27.432
20150820      25.336      59.156      59.655      22.637
20150821      26.273      58.668      59.155      24.508
20150822      19.013      58.193      58.667      25.425
20150823      22.418      57.738      58.194      19.284
20150824      24.841      57.244      57.742      20.423
20150825      30.299      58.217      57.391      25.730
20150826      44.630     116.367      59.230      30.196
20150827      62.616     118.008      81.049      61.007
20150828      79.420     109.564     105.028      72.974
20150829      94.049      97.698     103.886      76.254
20150830      93.905      90.450      97.645      85.760
20150831      93.583      80.115      90.051      87.660
20150901      93.530      73.622      83.103      86.552
20150902     111.288     104.295      81.555      88.147
20150903     144.186     173.371     108.219     130.290
20150904     159.504     133.536     123.798     149.545
20150905     169.891     148.838     131.271     142.445
20150906     154.156     123.349     135.039     167.284
20150907     112.208     110.771     122.925     141.889
20150908     100.888      99.628     110.145     106.058
20150909      99.892      91.967      99.226      90.204
20150910      99.322      84.247      91.258      92.742
20150911      99.396      77.589      83.614      91.582
20150912      99.744      72.164      77.661      91.058
20150913      98.062     104.159      74.182      91.049
20150914      88.177     107.845      85.593     109.140
20150915     123.729     154.934     104.509      91.504
20150916     212.177     282.805     170.306     159.102
20150917     253.284     219.859     235.834     270.026
20150918     301.203     305.927     222.998     231.165
20150919     287.093     238.394     261.622     310.474
20150920     258.876     211.663     238.378     258.379
20150921     207.182     186.391     212.539     235.988
20150922     172.111     165.538     188.428     191.702
20150923     144.661     173.264     177.039     170.453
20150924     111.976     145.706     164.825     143.826
20150925     110.561     171.125     157.640     110.306
20150926     111.706     140.011     155.628     113.450
20150927     104.578     122.557     139.254     101.981
20150928     103.358     106.888     122.453      93.642
20150929     103.195      93.730     107.330      90.862
20150930      88.214      68.666      94.148      91.409
20151001      85.577      68.110      83.406      78.978
20151002      75.236      67.556      76.718      75.602
20151003      65.999      67.065      67.591      76.110
20151004      64.967      69.684      67.052      65.976
20151005      65.035      69.110      66.539      62.204
20151006      65.657      68.826      66.062      65.563
20151007      61.763      68.530      68.752      64.987
20151008      61.362      67.919      68.390      62.934
