date          Qobs       Qsimobs        Qsim       Qusi
20150801      41.087      39.615      53.356      49.445
20150802      34.928      38.553      38.771      34.540
20150803      37.971      51.229      37.849      34.975
20150804      33.697      37.978      44.123      39.334
20150805      46.790      49.363      38.091      33.769
20150806      62.542      52.169      45.134      43.310
20150807      48.911      42.535      43.909      47.966
20150808      47.215      86.431      38.255      40.763
20150809      47.374     125.052      62.010      47.066
20150810      45.343      47.752      89.631      53.860
20150811      51.669      45.476      44.023      31.371
20150812      89.029      94.345      50.173      51.178
20150813      68.123      54.938      72.125      73.332
20150814      54.494      47.339      47.370      48.689
20150815      49.109      39.424      42.182      49.209
20150816      63.570      53.167      38.766      43.378
20150817      56.655      41.067      43.888      57.144
20150818      47.298      40.210      39.378      53.883
20150819      42.036      40.797      38.143      46.182
20150820      39.567      43.623      37.564      42.335
20150821      39.757      45.089      38.436      36.600
20150822      39.344      45.611      38.299      36.451
20150823      39.728      39.996      41.733      37.276
20150824      39.747      46.686      38.132      36.757
20150825      40.126      45.593      40.476      37.379
20150826      41.732      46.409      39.989      35.617
20150827      57.699      50.048      42.139      39.025
20150828     103.526      53.699      47.240      45.413
20150829     127.161      54.479      53.888      79.957
20150830     118.419      54.124      73.847      96.656
20150831      88.132      66.098      66.856      90.595
20150901      50.331      42.869      51.777      68.842
20150902      31.878      31.338      34.639      40.653
20150903      23.360      28.472      31.088      33.293
20150904      18.425      26.509      26.829      22.529
20150905      15.956      27.776      26.258      20.823
20150906      15.188      35.852      26.402      16.945
20150907      14.643      28.190      31.958      16.753
20150908      13.971      24.995      28.579      16.337
20150909      12.532      25.122      25.728      14.841
20150910      12.382      23.842      25.274      13.316
20150911      12.892      21.567      23.404      13.364
20150912      14.921      21.359      21.696      11.729
20150913      19.724      23.789      21.107      14.665
20150914      25.791      27.698      21.514      17.264
20150915      30.707      29.171      22.445      25.136
20150916      34.294      34.893      26.044      28.520
20150917      31.944      31.672      30.285      35.092
20150918      40.164      35.431      33.736      34.799
20150919      60.243      55.032      33.802      37.295
20150920      71.549     102.665      65.451      58.088
20150921      39.376      34.399      78.963      73.862
20150922      28.582      31.049      32.526      27.574
20150923      22.062      28.593      30.514      29.530
20150924      18.950      26.837      29.284      25.800
20150925      23.116      26.851      26.044      20.218
20150926      49.252      52.449      31.458      23.197
20150927      48.490      53.573      39.227      38.194
20150928      29.175      31.690      40.900      40.966
20150929      32.464      34.083      32.003      31.343
20150930      59.731      82.425      52.565      44.888
20151001      84.804      92.698      81.526      72.849
20151002     130.438      67.489      73.669      84.161
20151003      58.238      53.205      42.575      56.656
20151004      40.359      43.806      39.086      49.325
20151005      23.924      30.428      35.584      30.540
20151006      15.292      24.915      29.697      26.958
20151007      11.280      21.208      24.894      14.791
20151008       8.975      17.723      20.742      11.759
20151009       7.531      14.783      17.298       8.410
20151010       6.587      12.415      14.785       7.446
20151011       9.523      16.431      14.663       8.524
20151012      11.099      16.434      16.170       9.350
20151013      18.961      17.395      17.367      12.154
20151014      23.677      32.061      19.472      13.559
20151015      50.806      34.851      29.052      32.876
20151016      51.556     130.063      36.547      29.352
20151017      60.614      54.028      94.344      79.651
20151018      38.895      51.285      45.190      37.094
20151019      27.481      35.540      39.805      39.996
20151020      23.698      29.609      35.068      29.453
20151021      30.413      31.761      31.755      25.460
20151022      38.566      31.108      34.143      27.745
20151023      33.542      43.028      31.209      36.954
20151024      25.381      30.174      33.956      37.287
20151025      31.882      42.592      29.967      25.935
20151026      23.764      31.956      35.622      27.372
20151027      15.198      24.776      29.838      25.745
20151028      10.454      20.476      24.511      15.081
20151029       8.613      16.922      20.553       9.837
20151030       7.737      14.425      17.283       8.547
20151031      10.450      11.768      16.257       8.797
20151101      40.730      31.971      21.222      12.475
20151102      58.646      40.846   -9999.000   -9999.000
20151103      58.816      66.413      43.300      51.238
20151104      60.393      90.010      58.411      73.906
20151105      35.554      40.010      44.853      48.964
20151106      22.825      31.347      38.032      31.853
20151107      16.155      27.325      31.912      22.053
20151108      16.350      27.693      29.324      27.922
20151109      13.411      23.640      24.210      29.810
20151110      11.784      24.646      23.476      13.544
20151111      11.670      21.624      22.089      11.872
20151112       9.052      18.258      20.184      10.844
20151113       7.313      15.011      17.056       8.787
20151114       6.188      14.839      14.878       7.401
20151115       5.018      12.140      13.600       6.667
20151116       4.176       9.866      11.568       5.060
20151117       3.769       8.819       9.866       4.333
20151118       3.572       7.355       8.249       3.676
20151119       3.352       5.999       6.855       3.337
20151120       2.948       4.978       5.999       2.915
20151121       2.557       4.065       4.978       2.724
20151122       2.272       3.386       4.065       2.505
20151123       2.395       2.804       3.386       1.866
20151124       2.260       2.335       2.803       2.036
20151125       2.232       2.620       2.334       2.240
20151126       2.623       1.912       2.199       3.591
20151127       4.977       6.415       1.911       4.441
20151128       4.346       6.709       6.093       6.402
20151129       3.669       4.835       5.492       4.785
20151130       3.563       4.146       4.836       3.506
20151201       3.937       3.424       4.051       3.077
20151202       3.931       2.845       3.366       3.200
20151203       3.791       5.087       2.845       4.800
20151204       5.275      17.160       3.842       4.441
20151205       3.658       9.792      12.034       7.859
20151206       3.604      20.328       9.322       4.857
20151207       3.816      12.936      11.457       4.543
20151208       3.618      12.128      11.361       3.307
20151209       4.141      14.656      11.385       4.941
20151210       4.809      29.550      11.553       4.342
20151211       4.204      17.728      12.819       5.725
20151212       4.366      23.925      15.174       3.455
20151213       3.615      13.382      16.132       4.338
20151214       3.582      11.063      13.382       3.720
20151215       3.557       9.146      11.063       3.560
20151216       3.556       7.636       9.146       3.594
20151217       3.556       6.313       7.561       3.367
20151218       3.495       8.308       7.216       4.193
20151219       6.317       6.909       6.673       5.045
20151220       9.000      21.528      10.577       8.917
20151221      20.663      31.784   -9999.000   -9999.000
20151222      14.621      27.983   -9999.000   -9999.000
20151223       9.539      16.631      19.865      14.447
20151224       9.396      34.116      17.677      11.883
20151225       9.754      38.288      18.501       8.971
20151226       5.577      17.277      20.040       6.914
20151227       6.048      14.268      17.277       7.162
20151228       5.644      11.783      14.268       4.377
20151229       4.627       9.702      11.783       5.790
20151230       4.141       9.227       9.789       4.582
20151231       3.829       9.921       8.826       4.063
20160101       3.481      11.398       8.024       4.069
20160102       3.134      10.448       9.285       3.872
20160103       2.055       8.722       9.395       3.559
20160104       2.282       6.995       8.458       2.463
20160105       3.908       5.759       6.995       1.886
20160106       7.434       4.774       5.759       2.743
20160107       9.403       3.929       4.774       4.687
20160108      10.850       3.235       3.958       6.765
20160109      21.086       2.693       3.258       6.803
20160110      28.590       2.218       2.693      11.512
20160111      27.048       1.833       2.218      17.139
20160112      21.368       1.508       1.833       1.833
20160113      15.526       1.263       1.526       1.526
20160114      14.050       1.086       1.278       1.278
20160115      11.760       0.934       1.086       1.086
20160116       9.443       0.803       0.934       0.934
20160117       6.571       0.691       0.803       0.803
20160118       4.172       0.594       0.691       0.691
20160119       2.672       0.511       0.594       0.594
20160120       1.657       0.439       0.511       0.511
20160121       0.996       0.378       0.439       0.439
20160122       0.686       0.325       0.378       0.378
20160123       0.421       0.037       0.325       0.325
20160124       0.205       0.032       0.279       0.279
20160125       0.127       0.027       0.240       0.240
20160126       0.420       0.177       0.027       0.027
20160127       0.794       1.388       0.023       0.023
20160128       0.213       0.546       0.458       0.583
20160129       0.122       0.414       0.517       0.509
20160130       0.217       3.705       0.414       0.414
20160131       0.202       3.688       1.399       1.562
20160201       0.130       2.529       3.826       4.032
20160202       0.096       2.086       2.529       2.529
20160203       0.066       1.720       2.163       2.163
20160204       0.062       1.418       1.720       1.720
20160205       0.062       1.170       1.418       1.418
