date          Qobs       Qsimobs        Qsim       Qusi
20150801      60.646     102.290     103.367      53.139
20150802      54.119     103.712     103.078      57.664
20150803      45.786     101.318     103.116      62.769
20150804      47.828     100.663     101.816      39.489
20150805      77.227     149.060     109.712      54.550
20150806     112.126     112.260     129.601      67.490
20150807      94.166     111.633     113.401     102.651
20150808      87.623     106.620     110.698      98.997
20150809      79.850     105.475     106.410      81.779
20150810      79.021     104.630     105.666      81.172
20150811      74.988     104.564     104.722      76.922
20150812      65.986     105.928     104.636      73.608
20150813      77.317     103.630     105.388      64.680
20150814      84.636     103.139     103.703      63.300
20150815      84.904     102.717     103.119      81.803
20150816      89.000     103.464     102.855      77.303
20150817      80.280     103.000     103.114      88.221
20150818      74.753     102.055     102.728      79.546
20150819      73.020     100.778     101.980      72.785
20150820      69.992     100.379     101.232      72.868
20150821      70.094      99.816     100.233      67.453
20150822      68.918      99.222      99.678      66.575
20150823      66.431      98.558      99.108      67.691
20150824      62.353      98.225      98.456      65.186
20150825      71.249     101.347      98.677      64.965
20150826     129.303     220.833     111.046      75.987
20150827     176.524     184.655     200.429     168.016
20150828     226.368     153.047     181.057     159.069
20150829     173.170     126.125     146.260     194.381
20150830     135.103     118.557     127.702     157.213
20150831     110.514     115.364     118.592     130.135
20150901     104.700     110.645     114.695     109.421
20150902     157.667     173.049     115.627     109.368
20150903     397.095     185.046     181.806     155.633
20150904     306.995     139.120     166.543     343.540
20150905     229.379     132.135     134.387     251.012
20150906     173.748     121.431     127.112     191.983
20150907     142.377     116.190     121.079     171.650
20150908     127.935     111.717     116.798     140.524
20150909     111.495     107.914     112.882     128.916
20150910     102.958     106.926     107.845     110.675
20150911      97.427     105.840     106.400     103.962
20150912      98.980     105.181     105.417      99.328
20150913     117.076     120.661     105.704      98.893
20150914     153.774     121.802     117.483     107.105
20150915     271.315     156.843     122.214     153.850
20150916     550.245     233.607     176.954     265.570
20150917     446.558     167.089     218.019     488.812
20150918     443.495     193.813     174.748     362.392
20150919     317.020     146.782     174.600     361.201
20150920     233.417     137.379     144.929     264.219
