date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.161       1.160       1.813       1.652
20150802      20.670      43.993      10.067      11.846
20150803       8.040       7.179      27.891      18.888
20150804      21.847       3.445       8.041       5.972
20150805      28.820      49.255       7.788       6.428
20150806      12.093       9.710      28.197      19.297
20150807       8.011       4.971       9.852       7.702
20150808       5.557       2.286       4.829       3.953
20150809       4.229       1.401       2.234       2.581
20150810       3.500       1.320       1.437       2.304
20150811       4.215       4.376       1.447       2.841
20150812       3.979       4.966       3.497       2.721
20150813       2.989       1.719       3.984       2.862
20150814       2.424       1.005       1.681       1.683
20150815      17.753      16.006       1.942       2.586
20150816      45.669      70.545      14.867       5.477
20150817      17.494      14.566      54.760      33.916
20150818       9.222       5.663      13.051       9.290
20150819       5.838       2.701       5.659       4.534
20150820       4.223       1.476       2.700       2.933
20150821       3.273       0.964       1.475       2.176
20150822       2.647       0.821       0.968       1.896
20150823       2.177       0.787       0.821       2.391
20150824       1.845       0.772       0.795       2.152
20150825       1.753       1.097       2.118       4.271
20150826      11.118      21.609       6.021       8.324
20150827      18.126      23.237      32.486      22.373
20150828      18.503      22.260      20.431      13.944
20150829      22.419      17.416      19.282      13.986
20150830      25.954      19.544      15.164      14.200
20150831      11.547       6.531      11.458      11.264
20150901       7.939       2.969       5.857       7.039
20150902      17.410      25.021       9.568      10.201
20150903      15.185      11.041      22.857      15.983
20150904       8.454       4.325      10.672       8.788
20150905       6.458       3.713       4.616       4.838
20150906       4.898       2.286       3.089       3.543
20150907       3.778       1.365       1.588       2.681
20150908       3.043       0.924       1.013       2.566
20150909       2.536       0.827       0.903       2.303
20150910       2.160       0.810       0.848       2.080
20150911       1.856       0.794       0.810       2.199
20150912       1.610       0.778       0.794       1.867
20150913      10.493       3.376       1.101       1.969
20150914      15.575      29.825       6.222      11.006
20150915      37.638      32.979      18.943      17.186
20150916      18.905      23.546      42.436      30.532
20150917      14.440       9.862      24.942      19.768
20150918      12.262       8.726      11.147       9.326
20150919       9.741       5.819       8.040       6.544
20150920       6.752       3.086       5.175       5.630
20150921       5.006       1.421       3.217       3.713
20150922       7.015       2.860       2.960       4.206
20150923       7.868       6.524       4.260       6.174
20150924      10.348       2.587       5.565       5.575
20150925      28.170      29.211      14.819      15.462
20150926      17.482      19.302      28.888      24.798
20150927      10.302       6.547      16.335      11.378
20150928       6.696       2.883       5.874       4.880
20150929       4.955       1.568       2.698       3.044
20150930       3.953       0.759       1.745       2.648
20151001       3.216       0.818       1.053       2.543
20151002       2.731       0.705       0.922       2.278
20151003       2.349       0.808       0.705       2.672
20151004       2.053       0.793       0.725       2.207
20151005       1.789       0.733       0.679       1.921
20151006       1.577       0.718       0.665       1.611
20151007       1.404       0.705       0.719       1.540
20151008       1.424       0.750       5.040       8.785
20151009       1.558       3.853       4.915       6.901
20151010       1.621       2.354       2.901       1.464
20151011       1.463       1.157       2.053       1.208
20151012       1.416       1.666       1.110       0.923
20151013       1.413       1.225       1.578       1.174
20151014       1.260       0.642       1.099       1.032
20151015       1.157       0.622       0.642       0.835
20151016       1.109       0.611       0.622       1.160
20151017       1.053       0.599       0.611       1.054
20151018       0.981       0.588       0.599       1.101
20151019       0.917       0.576       0.587       1.039
20151020       0.879       0.565       0.577       0.924
20151021       1.142       2.982       0.909       1.372
20151022      10.416      12.100       4.967       2.740
20151023      28.319      50.490      20.087      13.369
20151024      12.915       9.336      29.534      22.915
20151025      26.647      33.866      12.800      11.752
20151026      14.653      11.589      26.222      19.668
20151027       8.742       4.649       9.954       8.958
20151028       6.038       2.045       4.501       4.542
20151029       4.517       1.072       2.045       2.776
