date          Qobs       Qsimobs        Qsim       Qusi
20150801      11.906      11.971      13.890      13.550
20150802      11.665      14.925      12.800      11.862
20150803       9.294      11.128      14.693      12.281
20150804      11.152      10.510      11.552       9.377
20150805      16.709      15.604      14.116      11.409
20150806      13.952      11.292      14.504      17.793
20150807      14.564      12.342      12.046      13.009
20150808      11.912      11.015      11.825      12.754
20150809      10.431      10.105      10.809      10.830
20150810       9.337       8.699      10.003       9.453
20150811       9.873       7.999       8.823       8.146
20150812       8.081       9.838       8.658       9.430
20150813       7.695       7.206       9.182       8.219
20150814       7.039       6.620       7.242       6.475
20150815       6.159       6.208       6.658       6.731
20150816       8.306       9.035       6.663       6.565
20150817      11.627      11.560       8.511       6.522
20150818       9.328       7.293      10.319       9.226
20150819       7.866       6.088       7.292       7.617
20150820       6.606       5.466       6.100       6.878
20150821       5.652       5.053       5.467       6.212
20150822       4.787       4.738       5.056       5.560
20150823       4.232       4.460       4.737       5.056
20150824       4.006       4.194       4.461       4.232
20150825       5.177       5.442       5.113       4.811
20150826       6.371       9.058       7.906       6.141
20150827       6.186       7.406      12.252       9.704
20150828       5.517       6.266       7.643       6.184
20150829       5.083       7.410       7.054       5.697
20150830       4.536       5.655       7.389       5.082
20150831       4.089       4.681       5.705       4.155
20150901       3.772       4.128       4.683       3.691
20150902       7.188      11.880       6.101       5.351
20150903       0.000       8.106      11.230       5.929
20150904       0.000       6.118       7.843       4.760
20150905       0.000       9.864       7.075       0.000
20150906       0.000       6.103       8.744       0.000
20150907       0.000       5.100       6.064       0.000
20150908       0.000       4.358       4.962       0.000
20150909       0.000       4.017       4.275       0.000
20150910       0.000       3.866       4.084       0.000
20150911       0.000       3.718       3.892       0.000
20150912       0.000       3.622       3.741       0.000
20150913       0.000       4.923       3.721       0.000
20150914       0.000       4.293       5.215       0.000
20150915       0.000       5.087       5.055       0.000
20150916       0.000      15.872       8.055       0.000
20150917       0.000       8.327      14.560       0.000
20150918       0.000       9.161       9.287       0.000
20150919       0.000       8.237       8.942       0.000
20150920       0.000       8.046       8.145       0.000
20150921       0.000       5.926       7.589       0.000
20150922       0.000       4.863       5.931       0.000
20150923       0.000       6.287       5.849       0.000
20150924       0.000       4.224       5.790       0.000
20150925       0.000       5.454       5.038       0.000
20150926       0.000      13.316       5.675       0.000
20150927       0.000       8.386      11.825       0.000
20150928       0.000       6.299       8.051       0.000
20150929       0.000       5.135       6.191       0.000
20150930       0.000       3.939       5.047       0.000
20151001       0.000       4.127       4.290       0.000
20151002       0.000       3.781       4.294       0.000
20151003       0.000       4.900       3.779       0.000
20151004       0.000       4.049       4.175       0.000
20151005       0.000       3.869       3.728       0.000
20151006       0.000       3.758       3.594       0.000
20151007       0.000       3.706       3.746       0.000
20151008       0.000       3.628       3.970       0.000
20151009       0.000       4.302       4.037       0.000
20151010       0.000       3.609       4.108       0.000
20151011       0.000       3.425       3.541       0.000
20151012       0.000       3.253       3.413       0.000
20151013       0.000       3.184       3.304       0.000
20151014       0.000       3.044       3.213       0.000
20151015       0.000       2.933       3.041       0.000
20151016       0.000       2.836       2.960       0.000
20151017       0.000       2.737       2.846       0.000
20151018       1.715       2.635       2.740       0.000
20151019       1.649       2.566       2.635       0.000
20151020       1.563       2.474       2.538       0.000
20151021       1.631       2.586       2.492       1.308
20151022       2.268       2.872       2.689       1.279
20151023       4.809      12.833       4.850       2.550
20151024       3.408       5.862      10.364       3.668
20151025       3.341      10.187       6.173       2.492
20151026       3.393       7.816       9.479       3.194
20151027       3.141       5.842       6.906       1.759
20151028       2.762       4.509       5.427       2.245
20151029       2.614       3.464       4.462       1.460
20151030       2.979       3.198       4.537       0.460
20151031       4.160       6.663       5.470       3.781
20151101       5.351       6.881       6.517       3.722
20151102       4.239       5.629   -9999.000   -9999.000
20151103       4.047       4.593       5.533       2.876
20151104       3.819       3.565       4.537       2.687
20151105       3.658       3.215       3.785       2.705
20151106       3.656       3.200       3.298       2.687
20151107       6.432       3.858       3.627       3.048
20151108       4.973       9.006       4.353       4.114
20151109       5.066      12.103       5.630       5.280
20151110       4.448      18.753      11.541       5.516
20151111       4.331      16.455      16.916       3.621
20151112       4.251      15.990      15.789       3.474
20151113       4.082      18.586      15.229       2.867
20151114       3.602      12.180      14.767       2.636
20151115       4.103      17.545      12.986       2.625
