date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.650       1.567       1.678       1.385
20150802       1.678       2.132       1.731       1.747
20150803       1.364       1.590       1.649       1.699
20150804       1.405       1.502       1.575       1.349
20150805      16.563      26.911       2.991       2.447
20150806       8.066       8.315      12.812      23.793
20150807       4.848       4.080       8.326       5.681
20150808       3.463       1.988       4.066       2.752
20150809       2.325       1.747       1.978       1.829
20150810       1.982       1.668       1.747       2.162
20150811       1.679       1.593       1.668       1.951
20150812       1.504       1.487       1.595       1.572
20150813       1.287       1.417       1.520       1.469
20150814       1.052       1.351       1.450       1.273
20150815       0.769       1.287       1.351       1.150
20150816       0.930       1.226       1.287       0.618
20150817       0.851       1.167       1.226       0.915
20150818       0.806       1.111       1.168       0.841
20150819       0.935       1.058       1.112       0.755
20150820       1.036       1.007       1.058       0.892
20150821       1.067       0.958       1.007       0.960
20150822       1.100       0.911       0.958       1.021
20150823       1.055       0.867       0.911       1.070
20150824       1.020       0.824       0.867       0.974
20150825       3.426       1.044       0.909       1.054
20150826       7.111      13.220       4.587       7.296
20150827      19.819      15.645       7.753      14.546
20150828      15.984      12.336      10.193      16.003
20150829       7.463       4.721       9.062      12.372
20150830       4.501       1.855       4.721       3.742
20150831       2.947       1.429       1.854       1.872
20150901       2.817       1.364       1.428       2.480
20150902      41.002      30.341       9.601      13.444
20150903      59.885      36.152      20.895      43.030
20150904      24.326      24.665      24.953      41.051
20150905      13.375      15.649      20.097      18.913
20150906       9.614       8.474      14.846      11.931
20150907       6.175       4.478       7.978       5.904
20150908       4.358       2.131       4.008       3.137
20150909       3.078       1.889       2.074       2.227
20150910       2.815       1.811       1.888       2.846
20150911       2.408       1.736       1.810       2.748
20150912       2.177       1.664       1.736       2.331
20150913       2.321       1.695       1.798       2.325
20150914       2.903       2.024       1.666       2.222
20150915      26.442       9.739       7.821      11.213
20150916      35.948      28.089      14.500      32.108
20150917      51.469      26.206      23.801      42.114
20150918      60.853      51.271      35.351      48.159
20150919      19.881      21.138      32.940      56.032
20150920      10.720      12.206      21.124      17.498
20150921       7.229       6.910      12.079       8.484
20150922       6.671       3.397       6.471       4.170
20150923      10.292      12.680       5.916       5.668
20150924      10.843       6.191       7.559      10.271
20150925      14.968       9.701       7.367       7.699
20150926       8.767       3.790       6.620      12.979
20150927       5.663       2.543       3.787       4.530
20150928       4.345       2.517       2.542       3.614
20150929       3.449       2.418       2.442       4.155
20150930       2.924       1.973       2.346       3.323
20151001       2.524       1.893       2.323       2.821
20151002       2.354       1.816       2.231       2.392
20151003       2.120       1.742       1.816       2.321
20151004       1.981       1.973       1.742       2.062
20151005       1.807       1.895       1.671       1.972
20151006       1.659       1.820       1.603       1.662
20151007       1.532       1.748       1.820       1.648
20151008       1.263       1.679       1.748       1.566
20151009       1.551       1.614       1.681       1.163
20151010       1.533       1.551       1.613       1.508
20151011       1.555       1.490       1.553       1.517
20151012       1.727       1.432       1.492       1.557
20151013       1.715       1.380       1.433       1.596
20151014       1.475       1.323       1.378       1.709
20151015       1.396       1.273       1.324       1.448
20151016       1.128       1.222       1.271       1.355
20151017       1.530       1.174       1.222       1.115
20151018       1.375       1.129       1.174       1.417
20151019       1.319       1.083       1.127       1.341
20151020       1.300       1.072       1.084       1.273
20151021       1.125       1.040       1.044       1.208
20151022       1.296       3.368       1.033       1.110
20151023       1.430       1.238       1.178       1.958
20151024       1.402       1.189       1.225       0.869
20151025       1.378       1.301       1.210       1.410
20151026       1.463       1.232       1.161       1.479
20151027       1.580       1.191       1.231       1.213
20151028       1.269       1.144       1.183       1.429
20151029       1.176       1.099       1.144       1.244
20151030       1.077       1.056       1.099       1.167
20151031       1.104       1.093       1.056       1.051
20151101       1.185       1.073       1.019       1.129
20151102       1.231       1.030   -9999.000   -9999.000
20151103       1.253       0.989       1.037       1.135
20151104       1.154       0.984       0.989       1.221
20151105       1.129       0.949       0.951       1.174
20151106       1.083       1.001       0.927       1.097
20151107       3.387       6.077       2.627       2.718
20151108       6.435      17.357       2.611       3.262
20151109       7.757      12.994       7.727       7.402
20151110       5.746       5.805       9.929       7.768
20151111       4.093       2.429       5.676       2.982
20151112       3.269       1.586       2.372       1.861
20151113       3.250       2.974       1.891       2.548
20151114       3.650       1.880       1.699       2.924
20151115       3.103       1.721       1.703       3.158
20151116       3.098       1.660       1.716       2.622
20151117       3.715       2.699       2.741       3.662
20151118       2.996       1.597       2.319       3.209
20151119       3.010       1.537       1.610       2.225
20151120       2.110       1.474       1.530       2.750
20151121       1.832       1.418       1.474       1.998
20151122       1.684       1.364       1.418       1.716
20151123       1.646       1.311       1.364       1.626
20151124       1.932       1.261       1.411       1.636
20151125       2.005       5.825       1.261       1.621
20151126       1.790       1.732       3.066       2.855
20151127       1.592       1.428       4.940       2.300
20151128       3.777      16.196       2.991       2.361
20151129       6.708      12.215      11.330       7.157
20151130       5.608       5.532       9.437       5.681
20151201       3.776       2.562       5.415       3.113
20151202       3.083       1.872       2.919       2.120
20151203       2.867       1.784       1.783       1.998
20151204      10.436       3.242       6.688       8.256
20151205      11.233      18.249      12.859      28.934
20151206       9.189      10.939      12.376      18.131
20151207       6.623       6.099      10.257       6.466
20151208       5.083       3.123       6.098       4.463
20151209       8.621       7.571       4.070       3.348
20151210       6.967       3.047       4.481      10.327
20151211       5.210       2.365       2.832       3.856
20151212       3.914       2.120       2.328       3.540
20151213       3.031       2.042       2.120       3.065
20151214       2.167       1.966       2.042       2.760
20151215       1.980       1.893       1.966       1.972
20151216       2.208       1.862       1.893       1.930
20151217       2.580       1.793       1.855       2.095
20151218       2.179       2.444       3.413       4.106
20151219       2.018       4.588       4.014       4.607
20151220       2.574       3.932       5.082       2.784
20151221       3.107       2.203   -9999.000   -9999.000
20151222       2.869       1.959   -9999.000   -9999.000
20151223       3.144       4.062       2.378       2.828
20151224       2.871       2.080       2.178       3.973
20151225       3.683       2.408       3.001       3.018
20151226       2.902       2.133       2.065       3.177
20151227       2.108       2.054       2.123       2.915
20151228       2.265       1.978       2.054       2.003
20151229       2.159       1.905       1.978       2.046
20151230       2.768       1.835       1.909       2.122
20151231       7.304       6.947       1.835       2.099
20160101       5.597       3.313       5.069      11.895
20160102       5.293       3.858       3.187       3.284
20160103       3.614       2.034       3.134       4.176
20160104       2.733       1.839       2.034       2.413
20160105       2.324       1.771       1.839       2.340
20160106       1.968       1.705       1.771       2.237
20160107       2.148       1.645       1.705       1.812
20160108       2.230       1.584       1.643       2.019
20160109       2.313       1.526       1.582       1.924
20160110       2.278       1.470       1.526       1.989
20160111       2.344       1.415       1.470       1.981
20160112       2.176       1.328       1.415       1.415
20160113       1.834       1.279       1.363       1.363
20160114       1.484       1.232       1.313       1.313
20160115       1.604       1.186       1.232       1.232
20160116       1.625       1.143       1.186       1.186
20160117       1.490       1.100       1.143       1.143
20160118       1.395       1.060       1.100       1.100
20160119       1.294       1.021       1.060       1.328
20160120       1.209       0.983       1.021       1.190
20160121       1.155       0.947       0.983       1.138
20160122       1.149       0.912       0.947       1.035
20160123       1.218       0.878       0.912       1.151
20160124       1.247       0.846       0.878       1.083
20160125       1.190       0.815       0.991       1.350
20160126       1.174       0.785       1.537       2.220
20160127       1.712       7.118       1.984       2.149
20160128       3.028      18.128       3.620       3.588
20160129       2.188      10.963      10.555       4.848
20160130       2.212      13.815       9.193       1.878
20160131       1.750       5.791       9.654       2.578
20160201       1.530       2.579       5.635       0.889
20160202       1.459       1.451       2.767       1.022
20160203       1.335       1.438       1.438       0.875
20160204       1.261       1.375       1.411       1.369
20160205       1.271       1.325       1.375       1.175
20160206       1.380       1.293       4.180       4.546
20160207       3.862      12.083       5.269       4.155
20160208       9.469      15.071       8.634       6.567
20160209      16.224      26.002      13.454      12.425
20160210      11.187      11.811      17.006      18.346
20160211       6.540       6.041      11.028       7.758
20160212       4.361       3.058       6.015       3.737
20160213       3.153       1.861       3.058       2.277
20160214       2.375       1.793       1.861       2.122
20160215       2.260       1.728       1.793       2.138
20160216       2.143       1.666       1.728       1.990
20160217       2.406       1.647       1.666       2.008
20160218       1.911       1.595       1.606       2.247
20160219       1.625       1.537       1.555       1.790
20160220       1.656       1.521       1.537       1.570
20160221       1.522       1.443       1.493       1.848
20160222       1.333       1.390       1.442       1.539
20160223       1.305       1.340       1.391       1.349
20160224       1.329       1.296       1.340       1.353
20160225       1.239       1.253       1.292       1.429
20160226       1.213       1.507       1.247       1.334
20160227       1.140       1.303       1.527       1.823
20160228       1.129       1.182       1.226       1.079
20160229       1.071       1.149       1.182       1.108
20160301       1.021       1.107       1.139       1.078
20160302       1.011       1.070       1.098       1.016
20160303       1.061       1.032       1.067       1.118
20160304       1.180       2.206       1.030       1.176
20160305       1.164       2.103       1.546       1.441
20160306       1.121       1.705       2.185       1.410
20160307       1.082       1.263       1.580       1.131
20160308       1.048       1.096       1.231       0.837
20160309       1.002       0.974       1.008       0.876
20160310       1.031       1.169       0.971       0.970
20160311       1.013       1.809       1.056       1.137
20160312       0.973       1.351       1.356       1.244
20160313       0.957       1.294       1.271       1.102
20160314       1.162       3.382       2.967       2.872
20160315       2.251      16.118       7.378       4.030
20160316       3.870      19.847      14.716       4.192
20160317       4.828      15.272      18.501       5.389
20160318       6.047      12.054      14.813       4.500
20160319       5.861       7.976      11.086       5.453
20160320       5.368       5.356       7.236       4.265
20160321       5.022       3.898       5.381       3.696
20160322       4.556       3.922       3.920       3.691
20160323   -9999.000   -9999.000       2.855       3.393
20160324       3.711       1.685   -9999.000   -9999.000
20160325       3.312       1.498   -9999.000   -9999.000
20160326       3.418       1.888   -9999.000   -9999.000
20160327       7.629       3.145       2.411       4.618
20160328      14.945       7.944       6.117      14.974
20160329      46.196      24.635      13.907      34.829
20160330      27.095      13.040      18.264      52.045
20160331      14.975       6.536      10.710      17.785
