date          Qobs       Qsimobs        Qsim       Qusi
20150801      51.357      36.048      36.418      75.600
20150802      42.088      26.871      34.472      39.223
20150803      43.385      29.220      26.349      33.005
20150804      39.850      19.133      27.945      37.040
20150805      59.460      28.066      20.786      28.858
20150806      62.429      30.818      26.980      50.827
20150807      60.377      24.303      26.035      57.318
20150808      60.449      30.707      26.705      51.193
20150809      60.693      21.965      23.124      51.531
20150810      57.125      21.692      22.538      47.285
20150811      57.551      20.443      20.432      48.438
20150812      73.871      24.090      26.434      55.871
20150813      71.192      19.596      20.512      66.644
20150814      65.170      15.046      19.743      56.427
20150815      57.281      17.490      17.110      47.285
20150816      62.428      21.945      17.302      41.666
20150817      53.541      20.285      20.368      49.537
20150818      45.516      18.767      20.080      39.786
20150819      37.212      16.900      18.664      35.442
20150820      30.745      14.814      16.390      27.306
20150821      25.468      12.719      14.591      24.915
20150822      24.579      12.692      12.647      20.262
20150823      22.694      12.554      12.723      22.271
20150824      21.348      12.557      12.521      19.720
20150825      18.675      14.186      14.007      20.108
20150826      18.931      14.923      12.287      15.320
20150827      27.213      15.482      16.173      20.669
20150828      58.429      51.759      19.963      34.579
20150829      94.732      53.778      38.498      68.953
20150830      92.100      58.701      44.355      67.948
20150831      76.966      40.106      42.706      85.203
20150901      60.080      29.974      37.444      55.734
20150902      42.802      20.541      28.487      40.200
20150903      28.301      14.853      20.487      30.956
20150904      11.645      10.309      14.558      22.151
20150905      12.302      12.021      11.085       9.344
20150906      13.618      10.795       9.675      11.247
20150907      13.670       9.802       9.943      12.863
20150908      11.896       6.893       8.970      10.628
20150909      13.063       7.171       7.979      10.788
20150910      13.008       6.458       7.129      11.026
20150911      12.778       6.380       6.458      12.479
20150912      12.778       6.487       6.415      12.917
20150913      13.041       6.201       6.468      11.867
20150914      13.412       5.856       6.203      10.723
20150915      13.445       5.571       5.885      11.079
20150916      12.461       5.402       5.538      11.101
20150917      12.971       8.130       5.443      11.807
20150918      18.717      24.093       9.884      19.285
20150919      41.297      41.562      16.201      29.906
20150920      33.521      32.388      30.453      55.249
20150921      20.779      21.927      28.584      28.937
20150922      13.237      16.601      21.305      16.684
20150923      13.847      18.717      16.025      12.135
20150924      13.551      13.884      14.933      12.215
20150925      18.425      11.835      12.234      11.652
20150926      37.849      25.970      14.872      14.711
20150927      29.097      19.568      19.156      44.883
20150928      18.515      13.379      16.892      23.843
20150929      13.489       9.093      13.195      15.120
20150930      41.376      19.983      16.039      16.279
20151001      73.666      25.379      20.305      52.319
20151002     180.752     201.396      49.147      94.481
20151003      79.472      94.843      98.502     269.241
20151004      76.440      70.363      82.035      67.581
20151005      52.705      50.006      58.853      58.981
20151006      37.672      34.905      46.407      41.450
20151007      27.688      22.963      34.796      30.354
20151008      22.467      16.030      24.682      19.940
20151009      15.436      11.115      17.335      18.337
20151010      14.435       7.539      11.182      10.752
20151011      13.212       7.675       7.585       9.918
20151012      13.197       6.494       6.803      10.302
20151013      13.297       6.365       6.488      12.665
20151014      15.680      13.431       6.933      12.566
20151015      16.113       9.215       8.140      18.489
20151016      31.616      19.605      16.130      23.605
20151017      34.048      22.859      15.684      38.753
20151018      24.239      14.366      17.047      34.326
20151019      16.455      10.077      13.927      16.504
20151020      12.491       7.880       9.966      11.309
20151021      14.086       7.912       8.830      10.848
20151022      52.224      31.080      15.558      23.105
20151023      44.563      36.280      23.964      62.441
20151024      25.733      23.052      25.446      38.715
20151025      26.400      25.242      24.611      23.522
20151026      45.997      30.786      21.884      25.604
20151027      57.576      53.281      22.964      31.624
20151028      25.292      30.044      35.384      71.839
20151029      16.525      21.273      30.476      22.069
20151030      11.184      14.988      21.560      14.603
20151031      18.600      15.569      16.458      10.152
20151101      65.511      49.715      24.585      25.803
20151102     135.898     117.211   -9999.000   -9999.000
20151103      80.516      83.618      80.245     144.837
20151104      86.090      75.294      78.585      72.197
20151105      46.785      49.716      62.849      85.076
20151106      28.731      34.360      47.317      44.208
20151107      22.413      24.319      34.362      25.769
20151108      24.270      28.854      28.464      21.133
20151109      24.392      27.144      27.337      27.841
20151110      18.401      27.022      24.523      25.569
20151111      19.960      29.058      23.995      20.855
20151112      19.122      26.471      23.284      20.373
20151113      17.301      21.822      22.482      18.677
20151114      15.484      20.435      20.069      16.288
20151115      12.016      13.782      17.910      14.456
20151116       9.695      10.262      13.779       9.604
20151117       8.935       8.440      10.345       7.352
20151118       8.134       7.538       8.400       7.625
20151119       7.939       7.351       7.477       6.970
20151120       7.777       7.201       7.357       8.137
20151121       7.156       7.056       7.196       7.651
20151122       7.635       6.909       7.053       6.947
20151123       9.108       6.876       6.927       7.572
20151124       7.734       6.805       6.870       9.064
20151125       7.028       6.689       6.734       7.884
20151126       7.005       7.010       7.770       7.929
