date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.368       1.375       1.538       1.892
20150802       1.288       1.521       1.448       1.488
20150803       1.058       1.323       1.463       1.143
20150804       1.110       1.249       1.328       1.061
20150805       2.561       2.352       1.756       1.347
20150806       2.155       1.686       2.032       2.340
20150807       1.576       1.478       1.743       2.257
20150808       1.209       1.449       1.495       1.593
20150809       0.964       1.337       1.426       1.232
20150810       0.873       1.255       1.331       0.962
20150811       0.973       1.202       1.260       0.914
20150812       1.016       1.323       1.218       0.806
20150813       0.818       1.180       1.258       1.098
20150814       0.696       1.145       1.178       0.834
20150815       0.601       1.127       1.139       0.720
20150816       0.533       1.118       1.129       0.669
20150817       0.502       1.112       1.116       0.546
20150818       0.450       1.098       1.105       0.490
20150819       0.407       1.085       1.093       0.458
20150820       0.369       1.072       1.086       0.399
20150821       0.336       1.062       1.072       0.370
20150822       0.304       1.050       1.061       0.344
20150823       0.277       1.038       1.050       0.304
20150824       0.264       1.028       1.038       0.269
20150825       2.626       2.067       1.160       0.331
20150826       6.284      13.264       2.381       0.700
20150827       6.441       9.409       9.706      11.395
20150828       4.440       3.980       8.146       5.364
20150829       2.686       2.731       3.650       3.104
20150830       1.953       2.493       2.776       2.439
20150831       1.526       2.364       2.482       2.204
20150901       1.425       2.111       2.287       1.744
20150902      16.271      13.213       2.675       1.785
20150903      17.969      22.674      15.233      10.532
20150904       7.987       5.720      16.002      15.288
20150905       5.875       4.040       5.892       5.360
20150906       4.923       3.107       4.550       4.095
20150907       3.157       2.558       2.963       4.194
20150908       2.305       2.304       2.660       3.165
20150909       1.787       2.081       2.410       2.244
20150910       1.461       1.916       2.097       1.840
20150911       1.232       1.742       1.879       1.478
20150912       1.289       1.655       1.717       1.137
20150913       3.790       6.199       1.730       1.190
20150914       4.739       4.898       4.614       3.346
20150915      15.857      13.132       5.814       5.498
20150916      18.755      26.555      14.654      10.489
20150917       9.807      10.523      21.322      20.601
20150918       6.755      11.086      11.392       8.769
20150919       3.978       3.513       8.435       5.608
20150920       2.871       3.000       3.525       2.697
20150921       2.292       2.617       3.008       2.928
20150922       2.168       2.437       2.733       2.550
20150923       2.544       3.249       2.731       2.109
20150924       2.290       2.391       2.792       2.418
20150925       3.461       4.210       2.720       2.538
20150926       2.764       2.455       3.314       3.204
20150927       2.074       2.229       2.452       2.740
20150928       1.685       2.090       2.228       2.024
20150929       1.467       1.899       2.026       1.730
20150930       1.281       1.302       1.836       1.459
20151001       1.171       1.248       1.730       1.156
20151002       1.060       1.234       1.578       1.104
20151003       0.947       1.222       1.234       1.099
20151004       0.890       1.330       1.222       0.974
20151005       0.843       1.265       1.208       0.900
20151006       0.810       1.259       1.196       0.897
20151007       0.795       1.269       1.255       0.835
20151008       0.771       1.250       1.249       0.801
20151009       0.829       1.361       1.285       0.811
20151010       0.894       1.381       1.334       0.817
20151011       0.892       1.260       1.331       0.951
20151012       0.912       1.241       1.262       0.907
20151013       0.895       1.245       1.247       0.894
20151014       0.803       1.194       1.233       0.909
20151015       0.730       1.181       1.220       0.804
20151016       0.670       1.169       1.208       0.766
20151017       0.622       1.156       1.171       0.687
20151018       0.584       1.144       1.159       0.606
20151019       0.565       1.132       1.147       0.599
20151020       0.549       1.125       1.134       0.564
20151021       0.548       1.121       1.125       0.528
20151022       0.595       1.199       1.131       0.578
20151023       0.667       1.142       1.181       0.584
20151024       0.619       1.113       1.130       0.651
20151025       0.632       1.117       1.122       0.637
20151026       0.575       1.081       1.108       0.652
20151027       0.539       1.069       1.091       0.578
20151028       0.520       1.058       1.080       0.561
20151029       0.506       1.047       1.058       0.506
20151030       0.499       1.037       1.049       0.518
20151031       0.542       1.083       1.042       0.532
20151101       0.588       1.039       1.055       0.512
20151102       0.575       1.028   -9999.000   -9999.000
20151103       0.538       1.016       1.025       0.569
20151104       0.511       1.008       1.015       0.528
20151105       0.487       0.997       1.006       0.520
20151106       0.501       1.001       0.997       0.502
20151107       0.774       1.165       1.082       0.571
20151108       1.043       2.045       1.106       0.635
20151109       1.505       2.085       1.431       0.663
20151110       1.272       1.735       1.984       1.384
20151111       0.999       1.540       1.711       1.225
20151112       0.852       1.389       1.542       1.012
20151113       0.873       1.399       1.421       0.836
20151114       0.818       1.250       1.398       0.740
20151115       0.737       1.176       1.245       0.800
20151116       1.170       1.165       1.171       0.721
20151117       2.039       1.308       1.189       0.881
20151118       2.780       1.164       1.263       1.751
20151119       2.065       1.158       1.174       2.112
20151120       2.587       1.099       1.149       2.880
20151121       4.694       1.067       1.100       1.099
20151122       5.649       1.040       1.067       1.067
20151123       5.057       1.017       1.040       1.040
20151124       2.891       0.999       1.027       1.027
20151125       2.043       0.979       1.000       1.000
20151126       1.615       0.963       0.993       0.986
20151127       1.628       0.948       1.110       1.021
20151128       4.249       1.614       0.980       0.980
20151129       2.621       1.230       1.380       1.360
20151130       0.996       1.083       1.221       1.209
20151201       0.756       1.000       1.074       1.073
20151202       0.656       1.010       1.019       1.051
20151203       0.581       0.991       1.009       1.000
20151204       0.610       1.196       1.046       1.043
20151205       0.607       1.151       1.415       1.341
20151206       0.925       4.074       1.157       1.147
20151207       0.939       3.534       2.508       2.300
20151208       0.810       2.363       2.837       3.702
20151209       0.828       2.417       2.373       2.379
20151210       0.836       2.486       2.334       2.356
20151211       0.760       3.243       2.308       2.319
20151212       0.683       2.208       2.665       2.609
20151213       0.713       2.003       2.215       2.215
20151214       1.352       1.814       2.003       2.003
20151215       1.184       1.650       1.814       1.814
20151216       0.994       1.533       1.651       1.650
20151217       0.775       1.423       1.519       1.514
20151218       0.542       1.317       1.482       1.414
20151219       0.560       1.428       1.431       1.344
20151220       3.463       1.394       1.504       1.511
20151221       7.389       1.806   -9999.000   -9999.000
20151222       4.255       1.652   -9999.000   -9999.000
20151223       1.532       1.587       1.613       1.615
20151224       0.998       1.459       1.561       1.548
20151225       1.192       1.743       1.502       1.493
20151226       1.488       1.549       1.743       1.727
20151227       2.780       1.442       1.554       1.558
20151228       3.349       1.423       1.452       1.451
20151229       2.843       1.350       1.407       1.386
20151230       2.950       1.315       1.349       1.335
20151231       1.920       2.089       1.325       1.306
20160101       1.358       1.688       1.858       1.732
20160102       0.980       1.828       1.687       1.653
20160103       0.957       1.617       1.752       1.689
20160104       0.949       1.489       1.605       1.585
20160105       0.929       1.364       1.485       1.476
20160106       0.857       1.283       1.362       1.357
20160107       0.786       1.213       1.281       1.279
20160108       0.738       1.166       1.217       1.217
20160109       0.677       1.133       1.168       1.165
20160110       0.636       1.143       1.148       1.146
20160111       0.578       1.167       1.163       1.152
20160112       0.508       1.229       1.159       1.139
