date          Qobs       Qsimobs        Qsim       Qusi
20150801       7.151       8.975      10.340       9.624
20150802       6.464       9.128       8.617       7.030
20150803       6.486       8.670       9.812       7.511
20150804       8.249       8.883       9.598       7.425
20150805      11.921      13.010       9.736       8.104
20150806      10.981      12.147      12.345      12.666
20150807      13.964      14.411      11.643      10.636
20150808      11.643      13.730      12.924      13.018
20150809      10.093      11.887      13.227      12.417
20150810      12.118      10.958      12.048      10.450
20150811      15.738      11.741      10.673      10.401
20150812      14.179      13.554      10.858      12.880
20150813      11.656      10.301      13.044      13.679
20150814      12.134       8.957      11.401      10.971
20150815      13.760      11.381      10.324      11.072
20150816      19.201      15.149      11.571      13.764
20150817      17.571      15.014      15.055      18.171
20150818      16.144      14.099      15.081      16.312
20150819      15.211      14.563      14.677      15.589
20150820      15.185      16.047      14.425      14.348
20150821      14.775      13.993      15.109      15.143
20150822      14.689      15.543      14.272      13.211
20150823      14.657      14.146      15.386      15.288
20150824      15.564      13.308      13.887      13.193
20150825      18.948      15.704      13.440      14.036
20150826      20.601      19.696      15.789      18.383
20150827      19.563      16.510      18.291      19.535
20150828      15.717      15.224      16.100      16.460
20150829      14.745      14.385      14.654      14.646
20150830      13.501      13.530      15.297      14.476
20150831      11.687      12.216      14.504      13.242
20150901       9.738       8.532      12.172      11.417
20150902       8.846       7.592       9.595       8.309
20150903       8.973       8.863       8.229       7.917
20150904       8.346       9.111       7.666       8.549
20150905       8.968      10.068       7.708       7.766
20150906       6.822       8.598       8.602       8.553
20150907       6.494       7.998       8.219       6.860
20150908       6.873       6.948       8.285       7.029
20150909       7.272       6.494       7.795       6.473
20150910       6.840       5.540       7.408       6.695
20150911       6.745       5.828       5.990       5.809
20150912       7.393       6.201       5.712       5.553
20150913      10.300       9.540       6.306       7.505
20150914      13.427      13.062       8.415      11.610
20150915      13.616      12.880      10.318      14.126
20150916      13.973      14.437      13.128      14.738
20150917      10.625      10.836      12.979      13.963
20150918      12.682       9.697      10.602       9.202
20150919      11.930       9.651       8.985      10.082
20150920       8.544       7.816       8.541       9.828
20150921       6.449       5.879       7.237       6.793
20150922       5.632       5.311       5.770       5.758
20150923       5.356       5.617       5.601       5.185
20150924       7.234       6.220       5.415       5.937
20150925       8.192       8.360       5.620       6.092
20150926       6.676       6.740       6.901       7.819
20150927       4.896       5.333       6.466       6.425
20150928       4.113       4.599       5.333       5.034
20150929       3.833       4.079       4.741       3.917
20150930       5.120       4.482       4.454       3.540
20151001       6.396       5.985       4.797       4.610
20151002       8.859       7.616       5.582       6.537
20151003       6.408       7.347       6.596      10.130
20151004       5.430       6.695       6.414       6.821
20151005       4.644       4.796       6.130       5.434
20151006       4.111       4.770       4.697       4.409
20151007       3.209       5.605       4.518       3.780
20151008       2.731       5.481       4.904       3.546
20151009       2.433       5.103       5.042       3.083
20151010       2.281       4.532       4.687       2.487
20151011       2.094       3.768       4.303       2.170
20151012       1.958       3.679       3.692       1.852
20151013       1.775       3.008       3.322       1.762
20151014       1.677       2.446       2.886       1.556
20151015       1.583       1.967       2.438       1.538
20151016       1.508       1.604       1.994       1.320
20151017       1.485       1.358       1.644       1.413
20151018       1.479       1.141       1.373       1.270
20151019       1.407       0.968       1.153       1.157
20151020       1.340       0.796       0.989       1.236
20151021       1.622       0.835       0.960       1.247
20151022       9.154       2.168       1.485       2.308
20151023       8.724       9.307       2.559       9.674
20151024       4.765       5.368       6.610       9.425
20151025       5.956       6.981       5.077       4.309
20151026       4.383       4.893       6.460       5.632
20151027       3.070       4.427       5.065       4.197
20151028       2.271       3.469       4.479       3.027
20151029       1.869       2.768       3.634       2.168
20151030       1.733       2.241       3.076       1.748
20151031       5.903       2.740       2.992       1.752
