date          Qobs       Qsimobs        Qsim       Qusi
20150801      41.691      36.983      48.014      47.763
20150802      34.166      41.906      39.572      38.105
20150803      29.560      32.578      44.539      37.195
20150804      36.232      51.310      39.075      32.091
20150805      75.360     108.361      59.342      47.915
20150806      73.382      66.194      86.376      86.134
20150807      85.876      82.926      67.815      61.657
20150808      70.427      66.186      70.383      77.635
20150809      50.821      48.006      63.979      63.041
20150810      44.469      48.988      51.925      46.109
20150811      62.766      58.269      46.010      42.532
20150812      79.364      66.288      51.122      54.269
20150813      60.213      38.058      61.273      75.254
20150814      41.356      45.705      44.688      52.049
20150815      44.998      56.677      48.157      45.704
20150816      80.789      80.798      53.434      45.368
20150817      98.507      77.120      70.987      79.120
20150818      86.897      61.181      67.186      81.697
20150819      70.122      51.809      58.901      73.222
20150820      59.338      49.411      54.935      63.234
20150821      51.965      48.154      48.129      54.585
20150822      50.654      48.012      46.087      47.765
20150823      45.952      38.274      46.015      47.498
20150824      41.550      40.134      38.495      40.328
20150825      54.674      46.139      38.028      39.347
20150826      81.339      74.046      46.346      51.161
20150827      74.484      52.299      70.381      92.963
20150828      51.193      35.120      49.929      60.438
20150829      46.054      34.013      38.006      40.136
20150830      48.648      37.257      36.844      43.662
20150831      39.021      37.073      31.074      41.264
20150901      28.352      23.347      32.026      33.530
20150902      26.509      25.266      26.977      25.550
20150903      31.458      23.443      23.757      21.989
20150904      31.333      20.641      21.016      23.442
20150905      26.558      26.750      19.608      30.894
20150906      21.174      16.454      21.668      24.039
20150907      17.182      14.258      16.751      15.619
20150908      14.957      13.505      15.162      15.775
20150909      14.426      15.798      15.485      16.623
20150910      12.439      17.473      16.179      15.352
20150911       5.609      17.979      15.498      14.133
20150912       5.415      17.914      15.634       5.779
20150913       8.895      25.411      16.470       6.046
20150914      22.647      38.569      22.564       9.902
20150915      34.125      34.784      29.136      22.517
20150916      40.238      56.303      41.746      37.284
20150917      30.288      34.655      43.801      40.944
20150918      24.132      25.708      37.076      27.684
20150919      20.173      21.024      23.675      17.519
20150920      16.360      16.616      20.373      19.264
20150921      11.987      12.484      15.604      13.808
20150922       8.859      12.601      12.376      10.678
20150923       7.432      15.347      13.331       9.307
20150924       7.866      14.340      12.939       8.168
20150925      11.942      24.258      13.865       8.429
20150926      13.837      20.297      20.215      16.213
20150927      12.047      13.702      17.454      12.179
20150928       9.185      11.485      13.606      10.468
20150929       6.944      10.548      11.801       8.364
20150930       5.667       8.640      10.652       6.866
20151001       5.735       8.788      10.029       5.649
20151002       7.179      11.489       9.436       5.354
20151003       9.253      11.647      10.831       9.035
20151004       9.607      10.707       9.812       8.220
20151005       8.106       9.786       9.136       8.188
20151006       6.368      14.166       8.879       7.880
20151007       4.877      16.298      11.168       7.378
20151008       3.964      17.191      13.187       6.811
20151009       3.203      19.467      13.990       5.125
20151010       2.687      13.753      16.306       4.367
20151011       2.346      11.942      13.118       2.731
20151012       2.095      10.801      11.716       2.782
20151013       1.936       9.750      10.421       2.905
20151014       1.835       8.209       9.360       2.178
20151015       1.741       7.098       8.179       1.849
20151016       1.669       6.249       7.197       1.818
20151017       1.513       5.420       6.444       1.764
20151018       1.362       4.769       5.887       1.678
20151019       1.335       2.002       5.087       1.446
20151020       1.330       2.169       4.415       1.470
20151021       1.400       2.512       4.766       1.764
20151022       6.982       6.256       4.866       3.397
20151023      18.281      41.050       8.322       7.939
20151024      18.316      12.712      21.386      32.722
20151025      17.345      28.744      12.610      13.367
20151026      13.414      16.020      21.275      21.724
20151027      10.000      14.799      16.424      11.905
20151028       6.912      11.362      13.952      10.080
20151029       4.862       8.774      11.261       6.119
20151030       4.178       8.646      10.049       5.307
20151031       9.741      19.272      10.709       5.163
20151101      17.096      24.851      16.886      14.521
20151102      16.945      15.960   -9999.000   -9999.000
20151103      15.467      12.655      15.170      13.327
20151104      13.118      11.641      11.792      11.965
20151105      10.677       8.646      11.200      11.538
20151106       8.681       8.973       8.853       9.309
20151107      20.339      12.602      11.664      12.662
20151108      19.042      14.240      11.242      13.171
20151109      22.193      26.269      13.745      25.160
20151110      21.179      25.675      23.031      33.074
20151111      16.451      21.039      22.307      23.482
20151112      13.913      22.227      20.062      17.431
20151113      12.898      24.276      18.823      13.726
20151114      13.038      15.371      19.264      12.637
20151115      12.401      20.247      17.157      10.860
20151116       7.696      11.573      15.784      12.114
20151117       6.831      11.527      12.764       8.155
20151118       6.381      12.075      12.052       8.686
20151119       4.739       7.644       9.802       6.388
20151120       3.549       5.662       7.150       3.663
20151121       2.717       4.892       5.662       3.025
20151122       2.261       4.232       4.892       2.511
20151123       2.089       3.637       4.239       2.350
20151124       2.070       3.431       3.726       2.051
20151125       1.923       3.242       3.396       2.011
20151126       1.812       2.798       3.301       2.343
20151127      25.923      10.545       4.409       4.119
20151128      26.920      29.588       6.608      28.825
20151129      18.362      13.666      17.493      31.938
20151130      12.227       7.914      11.779      12.535
20151201       8.680      10.600       7.621       9.015
20151202       8.928       8.237       9.835      10.813
20151203      11.027      12.503       7.399       6.466
20151204       7.359       8.383       9.612      13.191
20151205      23.456      21.043      10.116      10.930
20151206      19.191      28.113      17.968      28.943
