date          Qobs       Qsimobs        Qsim       Qusi
20150801     119.320      86.508     104.334     126.392
20150802      97.846      85.841      99.593     118.642
20150803      90.204      74.530      99.645     106.263
20150804      93.878     101.924      90.818      99.511
20150805     174.676     156.809     120.789     115.124
20150806     172.234     108.113     142.997     169.144
20150807     191.168     139.289     108.596     140.851
20150808     201.559     119.946     129.857     160.875
20150809     154.290      88.652     115.059     159.215
20150810     133.190      82.146      91.956     127.490
20150811     160.842     103.297      81.049     121.097
20150812     207.434     127.506      96.934     138.866
20150813     164.996      74.443     116.077     175.514
20150814     115.599      73.242      85.455     144.743
20150815     118.265      95.757      79.932     120.130
20150816     188.441     161.089     105.600     136.884
20150817     225.642     122.451     139.891     161.023
20150818     197.673     101.125     119.505     184.778
20150819     153.399      86.281     101.487     163.923
20150820     131.636      82.367      88.127     130.023
20150821     122.213      76.362      81.295     116.277
20150822     119.899      78.475      75.183     107.336
20150823     114.690      64.813      77.348     114.706
20150824     103.135      59.223      65.700     100.751
20150825     115.060      53.771      56.966      91.006
20150826     153.453     109.203      69.029     124.391
20150827     166.607      87.087     116.095     175.085
20150828     153.692      89.320      90.188     151.564
20150829     158.080     100.114      95.329     154.693
20150830     230.886     147.602     113.169     160.253
20150831     254.692     183.265     142.490     208.076
20150901     181.388      88.400     148.471     205.286
20150902     121.322      84.629      95.941     135.163
20150903      97.908      62.810      85.693      98.427
20150904      78.821      47.973      60.164      75.825
20150905      71.055      63.924      56.317      73.731
20150906      61.634      37.230      55.391      60.079
20150907      49.347      29.222      37.517      47.425
20150908      40.905      23.253      30.529      41.718
20150909      35.998      23.298      26.621      36.499
20150910      35.699      23.709      24.860      34.468
20150911      31.809      23.758      23.225      35.721
20150912      31.748      25.399      23.235      30.697
20150913      43.083      33.227      24.544      32.034
20150914      90.159     133.507      43.890      47.576
20150915      93.623      78.146     108.158     100.803
20150916     128.779     142.389     107.114     104.418
20150917     100.196      72.855     120.563     118.200
20150918      74.523      53.970      78.200      77.294
20150919      59.949      41.960      54.295      56.984
20150920      50.826      35.770      41.808      44.598
20150921      42.407      23.342      33.392      38.619
20150922      35.100      20.164      23.696      31.779
20150923      30.114      20.755      21.413      29.877
20150924      28.511      18.740      19.162      25.706
20150925      43.009      66.652      30.585      42.316
20150926      72.951     107.243      65.336      52.797
20150927      72.019      56.882      88.917      70.040
20150928      55.241      38.857      56.458      55.231
20150929      42.243      27.893      39.347      41.050
