date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.458       0.414       0.441       0.441
20150802       0.437       0.441       0.430       0.430
20150803  -10000.000       0.397       0.432       0.432
20150804  -10000.000       0.373       0.397       0.356
20150805  -10000.000       0.519       0.472       0.472
20150806  -10000.000       0.434       0.509       0.509
20150807  -10000.000       0.406       0.432       0.431
20150808       0.391       0.379       0.405       0.405
20150809       0.364       0.355       0.380       0.379
20150810  -10000.000       0.332       0.355       0.355
20150811  -10000.000       0.310       0.332       0.340
20150812  -10000.000       0.304       0.312       0.311
20150813  -10000.000       0.279       0.300       0.300
20150814  -10000.000       0.260       0.279       0.279
20150815       0.223       0.243       0.260       0.260
20150816       0.214       0.230       0.245       0.245
20150817  -10000.000       0.220       0.230       0.230
20150818  -10000.000       0.209       0.220       0.199
20150819  -10000.000       0.199       0.209       0.209
20150820  -10000.000       0.189       0.199       0.199
20150821  -10000.000       0.179       0.189       0.189
20150822       0.152       0.171       0.179       0.179
20150823       0.147       0.162       0.170       0.170
20150824  -10000.000       0.153       0.162       0.162
20150825  -10000.000       0.180       0.168       0.126
20150826  -10000.000       0.661       0.276       0.276
20150827  -10000.000       0.649       0.478       0.479
20150828  -10000.000       0.673       0.589       0.590
20150829       0.720       0.557       0.607       0.607
20150830       0.689       0.520       0.559       0.559
20150831  -10000.000       0.486       0.523       0.523
20150901  -10000.000       0.451       0.487       0.645
20150902  -10000.000       0.716       0.513       0.513
20150903  -10000.000       0.875       0.685       0.684
20150904  -10000.000       0.706       0.755       0.756
20150905       1.730       0.688       0.699       0.701
20150906       1.573       0.655       0.676       0.679
20150907  -10000.000       0.574       0.632       0.635
20150908  -10000.000       0.536       0.579       1.310
20150909  -10000.000       0.501       0.542       0.542
20150910  -10000.000       0.469       0.501       0.501
20150911  -10000.000       0.438       0.468       0.468
20150912       0.638       0.422       0.439       0.439
20150913       0.654       0.649       0.428       0.426
20150914  -10000.000       0.569       0.555       0.558
20150915  -10000.000       1.691       0.612       0.512
20150916  -10000.000       2.830       1.061       1.071
20150917  -10000.000       1.780       2.111       2.113
20150918  -10000.000       1.856       1.841       1.852
20150919       1.982       1.334       1.663       1.689
20150920       1.638       1.054       1.334       1.334
20150921  -10000.000       0.848       1.054       1.055
20150922  -10000.000       0.714       0.836       1.201
20150923  -10000.000       1.005       0.781       0.781
