date          Qobs       Qsimobs        Qsim       Qusi
20150801      14.586       7.938       9.479      13.820
20150802      13.006       7.520       7.918      13.791
20150803      11.747       7.284       7.496      12.297
20150804      10.592       6.903       7.283      11.523
20150805       9.597       6.459       6.902      10.189
20150806       9.005       6.257       6.626       9.192
20150807       8.669       6.032       6.329       8.587
20150808       8.461       5.798       6.002       8.261
20150809       8.408       5.499       6.209       8.122
20150810       8.054       5.229       5.639       8.028
20150811       7.441       4.988       5.346       7.610
20150812       7.193       5.633       5.052       7.289
20150813       7.589       5.211       5.557       7.088
20150814       7.678       5.088       5.146       6.903
20150815       7.362       4.661       5.005       7.284
20150816       6.722       4.442       4.657       6.960
20150817       6.163       4.204       4.472       6.659
20150818       5.733       3.977       4.201       6.030
20150819       5.338       3.787       3.976       5.417
20150820       4.966       3.592       3.794       5.065
20150821       4.671       3.417       3.602       4.709
20150822       4.445       3.268       3.426       4.410
20150823       4.252       3.151       3.273       4.328
20150824       4.101       3.024       3.159       4.158
20150825       4.001       2.923       3.030       3.962
20150826       3.968       2.818       2.942       3.764
20150827       3.976       2.746       2.859       3.734
20150828       4.106       2.721       2.725       3.788
20150829       4.367       2.870       2.794       4.007
20150830       4.613       2.703       2.869       4.233
20150831       4.797       2.566       2.751       4.476
20150901       4.872       2.620       2.659       4.350
20150902       4.758       2.332       2.658       4.667
20150903       4.443       2.177       2.319       4.444
20150904       4.055       2.105       2.183       4.203
20150905       3.729       2.301       2.102       3.987
20150906       3.369       2.116       2.210       3.601
20150907       3.027       1.927       2.089       3.269
20150908       2.727       1.836       1.990       3.034
20150909       2.443       1.779       1.998       2.777
20150910       2.204       1.713       1.909       2.466
20150911       2.008       1.613       1.692       2.184
20150912       1.841       1.560       1.634       1.970
20150913       1.714       1.518       1.560       1.823
20150914       1.583       1.502       1.499       1.660
20150915       1.511       1.466       1.482       1.592
20150916       1.448       1.447       1.452       1.478
20150917       1.375       1.422       1.436       1.448
20150918       1.334       1.437       1.433       1.375
20150919       1.551       2.966       1.508       1.416
20150920       1.794       2.615       2.613       2.077
20150921       2.040       2.246       2.508       1.703
20150922       2.190       2.168       2.261       1.808
20150923       2.333       2.289       2.277       2.104
20150924       2.358       2.210       2.293       2.224
20150925       2.341       2.072       2.175       2.236
20150926       2.483       2.332       2.237       2.407
20150927       2.735       4.121       2.238       2.446
20150928       2.945       3.620       3.548       2.809
20150929       3.081       3.402       2.980       2.710
20150930       3.336       5.300       2.795       2.832
20151001       3.617       4.044       4.794       3.336
20151002       3.835       3.691       4.060       3.106
20151003  -10000.000       3.379       3.688       3.364
