date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.347       2.852       3.382       3.335
20150802       3.562       3.041       2.806       3.232
20150803       4.063       6.390       3.538       3.628
20150804       3.603       4.477       5.475       3.952
20150805       4.335       6.812       5.029       4.094
20150806       4.485       5.200       6.292       4.101
20150807       4.012       5.178       4.948       2.630
20150808       4.039       4.214       4.757       3.661
20150809  -10000.000       3.348       4.580       3.777
20150810  -10000.000       4.436       3.773       2.298
20150811  -10000.000       4.623       3.909       4.059
20150812       3.304       4.675       3.718       4.021
20150813       2.938       2.629       4.876       4.847
20150814       2.632       2.486       3.008       2.534
20150815       2.433       2.995       2.711       2.636
20150816       2.358       3.596       3.006       2.883
20150817       2.409       3.269       3.343       2.516
20150818       2.391       2.972       3.242       2.311
20150819       2.242       3.045       3.046       2.316
20150820       2.154       2.597       3.004       2.277
20150821       2.128       2.072       2.536       1.828
20150822       2.117       2.131       2.074       1.816
20150823       2.115       1.931       2.133       2.134
20150824       2.117       1.815       1.934       1.986
20150825       2.120       1.729       1.817       1.844
20150826       2.114       1.686       1.728       1.732
20150827       2.226       2.221       1.703       2.022
20150828       2.707       7.266       4.826       5.074
20150829       2.625       2.849       5.038       3.252
20150830       2.356       2.232       2.790       1.902
20150831       2.178       1.934       2.671       2.447
20150901       2.118       1.661       2.333       2.334
20150902       2.097       1.526       1.677       1.822
20150903       1.985       1.476       1.658       1.854
20150904       1.870       1.334       1.415       1.830
20150905       2.004       4.010       1.762       2.486
20150906       2.068       3.059       3.712       2.167
20150907       2.214       2.364       2.808       1.998
20150908       2.286       1.927       2.976       2.260
20150909       2.093       1.814       2.290       2.227
20150910       1.945       1.732       1.988       2.099
20150911       1.879       1.609       1.714       1.920
20150912       1.852       1.508       1.604       1.724
20150913       1.799       1.420       1.493       1.684
20150914       1.707       1.339       1.401       1.408
20150915       1.651       1.268       1.304       1.554
20150916  -10000.000       1.300       1.286       1.505
20150917  -10000.000       1.120       1.253       1.507
20150918  -10000.000       1.348       1.540       1.564
20150919  -10000.000       3.178       2.012       2.255
20150920  -10000.000       2.851       2.792       2.793
20150921  -10000.000       1.845       2.434       2.288
20150922  -10000.000       2.469       1.721       1.760
20150923  -10000.000       1.686       2.047       1.975
20150924       1.966       1.609       1.675       1.704
20150925       1.991       2.781       1.897       1.948
20150926       1.992       2.428       2.447       2.482
20150927       1.898       1.735       2.417       2.000
20150928       1.792       1.480       1.777       1.502
20150929       1.699       1.486       1.557       1.710
20150930       1.621       1.165       1.509       1.712
20151001       1.769       1.426       1.861       2.002
20151002       1.872       1.659       1.684       1.824
20151003       2.007       2.089       1.934       2.344
20151004       1.878       1.538       1.913       1.948
20151005       1.805       1.490       1.650       2.065
