date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.802       0.556       0.828       0.710
20150802       0.766       0.472       0.592       0.626
20150803       0.710       0.378       0.459       0.602
20150804       0.650       0.328       0.381       0.560
20150805       0.590       0.294       0.563       0.864
20150806       0.544       0.264       0.292       0.547
20150807       0.602       0.730       0.552       0.873
20150808       0.672       1.174       0.513       0.452
20150809       0.653       0.552       0.845       0.591
20150810       0.601       0.436       0.544       0.480
20150811       0.641       0.351       0.553       0.516
20150812       0.844       1.713       0.616       0.802
20150813      11.786       0.804       1.141       0.808
20150814       1.001       0.589       0.761       0.666
20150815       0.755       0.489       0.589       1.074
20150816       0.719       0.826       0.522       0.612
20150817       0.700       0.530       0.647       0.604
20150818       0.662       0.399       0.492       0.562
20150819       0.612       0.331       0.399       0.542
20150820       0.560       0.290       0.331       0.516
20150821       0.511       0.254       0.290       0.500
20150822       0.466       0.222       0.254       0.426
20150823       0.425       0.194       0.223       0.388
20150824       0.390       0.165       0.194       0.402
20150825       0.376       0.144       0.170       0.371
20150826       0.365       0.158       0.235       0.480
20150827       0.363       0.208       0.150       0.302
20150828       0.467       1.802       0.366       0.600
20150829       0.644       1.489       1.112       0.488
20150830       0.899       2.680       1.594       0.860
20150831       2.152       6.524       2.102       1.054
20150901       2.437       2.251       4.226       2.479
20150902       2.046       1.783       2.392       1.644
20150903       1.705       1.459       1.870       1.695
20150904       1.481       1.196       1.459       1.450
20150905       2.443       3.639       1.861       1.852
20150906       3.667       5.374       2.678       2.179
20150907       3.165       3.121       3.748       3.515
20150908       2.630       2.107       2.663       2.336
20150909       2.226       1.872       2.370       2.109
20150910       1.915       1.546       1.872       1.833
20150911       1.661       1.274       1.401       1.590
20150912       1.459       1.047       1.274       1.395
20150913       1.303       0.875       1.048       1.208
20150914       1.177       0.736       0.888       1.064
20150915       1.086       0.611       0.727       0.932
20150916       0.986       0.902       0.833       1.147
20150917       0.910       0.541       0.711       0.780
20150918       0.852       0.646       0.562       0.750
20150919       0.819       0.902       0.790       0.986
20150920       0.809       0.780       0.922       0.903
20150921       0.814       0.558       1.102       0.770
20150922       0.815       0.445       0.805       0.648
20150923       0.802       0.557       0.445       0.686
20150924       0.860       1.864       0.376       0.624
20150925       1.418       2.557       1.658       1.296
20150926       2.315       3.349       2.478       1.664
20150927       2.490       2.079       2.500       2.099
20150928       2.268       1.584       1.977       2.013
20150929       1.737       1.297       1.575       1.891
20150930       3.368       3.392       1.488       1.644
20151001       6.260       6.271       3.496       3.253
20151002       5.673       3.706       4.692       5.150
20151003       4.640       3.564       3.208       3.695
20151004       4.031       3.851       3.676       4.141
20151005       3.378       2.722       3.322       3.460
20151006       2.553       2.024       2.476       2.737
20151007       1.973       1.682       2.024       2.155
20151008       1.584       1.396       1.681       1.679
20151009       1.323       1.173       1.503       1.480
20151010       1.126       0.991       1.168       1.135
20151011       0.974       0.814       0.984       0.966
20151012       0.855       0.674       0.814       0.812
20151013       0.771       0.606       0.677       0.690
20151014       0.709       0.722       0.600       0.631
20151015       0.639       0.486       0.639       0.638
20151016       0.570       0.431       0.486       0.524
20151017       0.534       0.430       0.431       0.517
