date          Qobs       Qsimobs        Qsim       Qusi
20150801      11.828      12.870      16.069      16.442
20150802       7.692       6.746       9.422       9.586
20150803       9.078      10.410       6.985       6.990
20150804  -10000.000       6.303       6.777       7.446
20150805  -10000.000       8.139       6.401       5.838
20150806  -10000.000      13.879      15.258      15.507
20150807  -10000.000       6.811      13.186      13.675
20150808  -10000.000      36.271      13.385      13.375
20150809  -10000.000      17.306      22.470      22.851
20150810  -10000.000       9.057      14.866      14.946
20150811  -10000.000       6.557       8.446       8.478
20150812  -10000.000      11.086       8.165       8.160
20150813  -10000.000      12.843      10.989      11.343
20150814  -10000.000       6.505       9.182       9.600
20150815  -10000.000       5.862       6.505       6.505
20150816       3.099       5.307       5.862       5.862
20150817       2.452       4.760       5.291       5.293
20150818       1.979       4.276       4.760       4.760
20150819       1.630       3.838       4.276       2.052
20150820       1.359       3.456       3.838       1.780
20150821       1.203       3.092       3.449       1.438
20150822       1.143       2.769       3.092       1.245
20150823       1.097       2.479       2.769       1.199
20150824       1.054       2.218       2.479       1.137
20150825       1.013       1.983       2.218       1.083
20150826       1.020       2.167       1.983       1.026
20150827       1.070       2.186       2.332       1.262
20150828      27.466      48.212      15.324       8.603
20150829      29.674      53.473      35.253      39.799
20150830      13.101      19.131      33.501      31.953
20150831       7.643      13.085      18.367       9.306
20150901       5.350       6.275      12.330       6.373
20150902       4.089       4.115       6.272       3.405
20150903       3.197       3.707       4.112       2.960
20150904       2.546       3.338       3.707       3.119
20150905       2.440       5.642       6.220       4.747
20150906       2.710       6.931       4.785       3.123
20150907       5.312       5.697       6.014       4.271
20150908      16.608       4.015       7.623       5.013
20150909      11.038       7.327       7.782      14.742
20150910       6.604       4.435       5.430       6.742
20150911       4.454       3.999       3.194       5.672
20150912       3.261       3.604       3.999       4.191
20150913       2.644       3.248       3.604       3.006
20150914       2.173       2.917       3.246       2.559
20150915       1.861       2.662       2.922       2.131
20150916       1.626       2.405       2.651       1.860
20150917       1.532       2.153       2.390       1.676
20150918       2.352      13.450       3.945       2.702
20150919      65.597      36.262      25.960      20.657
20150920      54.213      40.603      33.544      47.995
20150921      34.058      22.948      32.965      39.152
20150922      19.381      12.054      18.819      22.793
20150923      13.172       6.043      11.244      11.618
20150924      10.199       4.500       5.837       7.189
20150925      15.479       6.405       5.951       9.284
20150926      20.109      17.652       8.811      13.362
20150927      35.743      25.055      16.960      30.120
20150928      23.613      14.182      20.888      35.709
20150929      15.361       6.636      10.563      14.909
20150930      22.991      11.174       9.909      13.436
20151001     138.931      37.190      17.152      33.083
20151002     201.173     217.886      95.891      95.097
20151003      80.423      65.030     157.431     138.581
20151004      48.719      27.404      48.674      49.372
20151005      33.594      14.592      25.433      27.801
20151006      23.780       7.666      13.556      18.351
20151007      17.776       6.670       7.666      11.997
20151008      13.760       6.054       6.674      14.070
20151009      11.078       5.495       6.175      11.511
20151010       9.244       5.762       5.508       9.329
20151011       7.735       4.969       5.282       8.007
20151012       6.484       4.505       4.955       6.922
20151013       5.559       4.090       4.505       5.572
20151014       5.219       4.449       4.711       5.822
20151015       4.631       3.771       3.836       4.565
20151016       4.642       3.683       3.873       4.216
20151017       4.548       3.329       3.704       4.482
