date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.658       1.189       1.387       1.514
20150802       1.707       8.303       3.359       4.153
20150803       2.075       4.533       6.216       1.744
20150804       2.278       3.154       3.424       1.638
20150805       2.458       7.507       3.566       2.244
20150806       2.820       3.599       5.382       2.304
20150807       2.686       3.239       3.574       2.287
20150808       2.371       2.178       3.166       2.324
20150809       2.084       1.601       2.179       1.784
20150810       1.841       1.375       1.697       1.676
20150811       1.655       2.196       1.293       1.574
20150812       1.522       1.854       1.997       1.577
20150813       1.462       1.056       1.666       1.177
20150814       1.437       0.958       1.112       1.191
20150815       1.406       1.747       0.993       1.315
20150816       1.526       9.549       1.861       1.728
20150817       1.774       3.876       4.304       1.484
20150818       2.003       2.514       3.319       1.208
20150819       1.935       1.993       2.482       1.513
20150820       1.722       1.733       2.017       1.608
20150821       1.496       1.317       1.730       1.516
20150822       1.295       1.004       1.338       1.208
20150823       1.122       0.836       1.004       1.010
20150824       0.985       0.715       0.834       0.960
20150825       0.873       0.751       0.738       0.861
20150826       0.825       3.342       1.274       1.054
20150827       0.811       1.853       3.730       1.723
20150828       1.119       5.607       2.974       1.410
20150829       1.964       8.445       4.154       1.512
20150830       3.205      22.864       6.855       2.182
20150831       3.352       7.017      17.865       5.437
20150901       2.742       3.928       6.471       2.417
20150902       2.403       4.837       4.740       2.885
20150903       2.175       3.051       4.410       2.131
20150904       1.920       2.169       3.021       1.669
20150905       1.695       1.914       2.320       1.775
20150906       1.501       1.334       1.838       1.326
20150907       1.335       1.033       1.335       1.189
20150908       1.186       0.780       1.014       0.997
20150909       1.050       0.590       0.765       0.921
20150910       0.925       0.458       0.592       0.790
20150911       0.816       0.366       0.459       0.746
20150912       0.714       0.325       0.366       0.688
20150913       0.626       0.332       0.325       0.566
20150914       0.557       1.767       0.317       0.462
20150915       0.505       1.081       0.755       0.484
20150916       0.455       1.038       1.286       0.626
20150917       0.426       0.780       0.987       0.408
20150918       0.406       1.094       1.208       0.602
20150919       0.392       1.235       0.989       0.431
20150920       0.379       0.689       1.077       0.398
20150921       0.377       0.495       0.662       0.270
20150922       0.398       0.388       0.521       0.352
20150923       0.426       0.603       0.527       0.459
20150924       0.450       0.310       0.451       0.336
20150925       0.654       6.608       2.296       2.479
20150926       1.583       9.336       8.125       1.631
20150927       2.553       3.278       6.904       1.719
20150928       2.530       2.374       3.250       1.789
20150929       2.167       1.753       2.356       1.901
20150930       1.812       0.580       1.753       1.598
20151001       1.529       0.452       1.327       1.434
20151002       1.287       0.370       1.012       1.153
20151003       1.116       0.357       0.362       0.838
20151004       0.977       0.473       0.330       0.643
20151005       0.864       0.363       0.252       0.844
20151006       0.771       0.291       0.213       0.790
20151007       0.685       0.285       0.326       0.550
20151008       0.620       1.351       0.378       0.587
20151009       0.577       1.210       1.143       1.001
20151010       0.525       0.560       0.931       0.456
20151011       0.475       0.420       0.558       0.383
20151012       0.431       0.329       0.419       0.366
20151013       0.397       0.276       0.324       0.338
20151014       0.366       0.242       0.275       0.346
20151015       0.340       0.216       0.241       0.315
20151016       0.316       0.193       0.216       0.300
20151017       0.294       0.173       0.193       0.292
20151018       0.275       0.154       0.173       0.266
20151019       0.257       0.138       0.154       0.243
20151020       0.241       0.123       0.138       0.227
20151021       0.240       0.452       0.237       0.342
20151022       0.422       3.014       0.772       0.616
20151023       4.824      18.151       4.957       1.929
20151024       7.280       4.011      12.268       3.781
20151025       6.646       9.964       5.342       6.170
20151026       6.626       4.914       8.843       6.350
20151027       4.883       3.227       4.567       4.222
20151028       3.348       2.353       3.154       3.766
20151029       2.438       1.773       2.363       2.543
20151030       1.964       1.384       1.796       1.958
20151031       1.620       1.405       1.366       1.385
20151101       1.371       0.944       1.327       1.275
20151102       1.171       0.683   -9999.000   -9999.000
20151103       1.015       0.515       0.769       0.933
20151104       0.898       0.447       0.515       0.780
20151105       0.797       0.370       0.407       0.598
20151106       0.714       0.308       0.323       0.576
20151107       0.796       1.812       0.862       1.571
20151108       1.605       4.589       1.670       0.853
20151109       5.030      12.222       3.321       2.300
20151110      10.514      17.308      14.739       7.787
20151111       9.503      11.103      13.039       8.739
20151112       9.111      20.191      12.005       9.184
20151113      11.502      17.008      14.661       9.644
20151114      10.674      11.533      16.987      11.392
20151115      11.760      25.602      13.331       9.682
20151116       9.922       9.770      20.005      10.970
20151117      11.389      17.947      12.359       8.648
20151118      11.229      15.570      15.678      10.575
20151119       7.976       5.619      12.454       8.034
20151120       5.241       3.771       5.345       4.380
20151121       3.486       2.816       3.771       3.918
20151122       2.473       2.117       2.818       2.640
20151123       1.944       1.715       2.117       1.898
20151124       1.620       1.922       2.147       2.045
20151125       1.512       2.618       1.839       1.488
20151126       1.435       1.435       2.339       1.559
20151127       5.132       9.319       3.712       3.173
20151128      10.422      16.298       4.173       3.367
20151129       9.914       8.979       7.918       7.877
20151130       7.053       5.743       8.116       6.396
20151201       4.817       5.975       5.578       5.751
20151202       4.148       3.832       5.498       4.388
20151203       8.462      19.624       4.008       3.413
20151204      13.652      23.200      16.587      13.716
20151205      39.048      37.709      29.246      20.697
20151206      65.262      62.534      33.573      33.076
20151207      27.280      25.590      34.846      36.963
20151208      11.159       7.908      22.096      16.858
20151209      10.615      19.070      11.016       8.915
20151210      17.601      26.960      16.187      10.695
20151211      14.391      10.409      18.021      12.056
20151212       8.051       5.645       8.423       6.719
20151213       4.873       3.959       5.202       5.219
20151214       3.226       2.882       4.005       3.712
20151215       2.382       2.167       2.857       2.617
20151216       1.929       1.668       2.424       2.125
20151217       1.788       2.894       2.984       2.582
20151218       5.391       7.020       3.813       2.745
20151219      13.585       6.398       7.632       6.295
20151220      24.010      30.404       9.075      13.148
20151221      21.799      20.547   -9999.000   -9999.000
20151222      15.649      13.492   -9999.000   -9999.000
20151223      15.360      20.123      12.416      10.739
20151224      11.724      11.154      17.384      15.426
20151225      12.637      25.147       9.864       7.335
20151226       8.857       6.616      15.748       9.785
20151227       5.207       4.499       6.377       4.513
20151228       3.360       3.313       4.413       4.045
20151229       2.370       2.580       3.327       2.694
20151230       1.926       2.529       2.822       2.063
20151231       1.688       2.694       2.551       1.926
20160101       1.747       5.061       2.643       1.846
20160102       1.942       3.121       4.513       1.724
20160103       1.735       2.099       2.865       1.650
20160104       1.386       1.570       2.091       1.403
20160105       1.050       1.194       1.572       1.177
20160106       0.857       0.915       1.194       0.840
20160107       0.755       0.702       0.915       0.712
20160108       0.664       0.526       0.701       0.582
20160109       0.581       0.427       0.525       0.512
20160110       0.513       0.631       0.461       0.518
20160111       0.458       0.410       0.480       0.468
20160112       0.413       0.339       0.379       0.386
20160113       0.381       0.321       0.369       0.400
20160114       0.356       0.522       0.572       0.600
20160115       0.325       0.274       0.383       0.253
20160116       0.302       0.431       0.373       0.366
20160117       0.276       0.230       0.326       0.198
20160118       0.251       0.199       0.234       0.240
20160119       0.233       0.195       0.237       0.250
20160120       0.212       0.158       0.197       0.188
20160121       0.195       0.140       0.156       0.204
20160122       0.182       0.127       0.140       0.318
20160123       0.172       0.509       0.641       1.210
20160124       0.167       1.668       1.142       0.674
20160125       0.178       2.165       1.762       0.298
20160126       0.769       7.605       2.958       0.311
20160127      10.033      24.885       5.762       0.924
20160128      12.114      10.696      13.302       8.732
20160129      10.922      11.502      10.185       7.656
20160130      11.270      20.355       8.468       6.502
20160131       6.918       5.901      14.124       9.271
20160201       4.569       4.247       5.582       3.895
20160202       6.771      17.083       5.123       5.067
20160203       7.784      14.983      13.230       5.820
20160204       5.070       4.203      10.014       5.317
20160205       3.288       2.811       4.222       2.814
20160206       3.259       7.346       3.852       3.638
20160207       5.150      14.339       7.143       3.760
20160208       6.512      12.743       7.797       4.127
20160209       5.440       9.088       8.128       4.441
20160210       4.043       4.122       5.720       3.570
20160211       2.803       2.918       3.921       2.928
20160212       2.137       2.191       2.920       2.332
20160213       1.683       1.652       2.192       1.682
20160214       1.374       1.261       1.652       1.368
20160215       1.136       0.965       1.260       1.112
20160216       0.957       0.740       0.965       0.869
20160217       0.835       0.803       0.744       0.729
20160218       0.739       0.500       0.575       0.610
20160219       0.659       0.407       0.528       0.593
20160220       0.642       1.654       0.703       0.984
20160221       0.708       2.658       2.379       1.188
20160222       0.749       2.056       2.618       0.876
20160223       0.763       1.556       1.721       0.696
20160224       0.739       0.867       1.046       0.609
20160225       0.711       0.861       0.901       0.723
20160226       0.657       0.456       0.639       0.499
20160227       0.606       0.345       0.464       0.460
20160228       0.558       0.276       0.360       0.476
20160229       0.515       0.227       0.277       0.406
