date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.279       1.559       1.619       1.149
20150802       3.392       6.382       6.316       5.819
20150803       2.052       4.006       4.605       3.975
20150804       3.296       3.420       3.651       2.128
20150805       5.581       9.531       5.162       4.248
20150806       2.694       2.658       4.829       4.575
20150807       6.997       6.000       2.915       2.151
20150808       3.083       5.338       3.506       4.210
20150809       1.862       2.682       3.511       2.864
20150810       2.072       2.218       2.751       2.213
20150811       4.036       4.459       3.037       2.839
20150812       3.275       3.687       3.158       2.578
20150813       1.480       1.738       3.084       2.414
20150814       1.058       1.906       2.424       1.754
20150815       1.775       3.269       2.235       1.618
20150816       6.913       9.114       4.592       3.677
20150817       2.618       3.548       7.150       6.083
20150818       1.457       2.179       3.048       1.921
20150819       1.085       1.587       2.195       1.446
20150820       0.984       1.535       1.562       0.962
20150821       0.935       1.201       1.500       1.093
20150822       0.960       1.355       1.474       1.180
20150823       0.784       1.103       1.345       0.944
20150824       0.579       1.336       1.177       0.744
20150825       0.671       1.587       1.372       0.742
20150826       1.970       5.776       2.129       1.412
20150827       4.435       3.846       6.150       4.562
20150828       6.873      10.856       7.434       6.782
20150829       4.212       6.083       7.207       6.058
20150830       3.268       5.844       5.750       3.872
20150831       2.650       4.166       3.939       2.941
20150901       0.955       1.314       2.806       2.024
20150902       2.250       5.927       3.059       1.791
20150903       1.131       1.878       2.843       1.867
20150904       0.607       0.944       1.504       1.014
20150905       0.849       2.577       1.366       0.772
20150906       0.566       0.920       1.371       0.761
20150907       0.347       0.528       0.837       0.422
20150908       0.245       0.400       0.573       0.282
20150909       0.190       0.314       0.441       0.207
20150910       0.145       0.292       0.379       0.177
20150911       0.112       0.271       0.308       0.134
20150912       0.087       0.332       0.286       0.114
20150913       0.078       1.059       0.395       0.188
20150914       0.156       3.734       0.776       0.252
20150915       0.303       1.253       1.320       0.288
20150916       1.002       3.824       2.690       0.807
20150917       0.385       0.961       2.203       1.177
20150918       1.573       1.198       1.529       0.800
20150919       2.310       1.286       1.438       0.783
20150920       0.927       1.824       1.126       1.377
20150921       0.420       0.664       0.976       0.625
20150922       0.229       0.405       0.562       0.382
20150923       0.165       0.498       0.899       0.564
20150924       0.442       0.231       0.448       0.191
20150925       6.829      11.371       3.856       2.826
20150926       6.423       9.840       8.877       6.571
20150927       1.501       2.323       4.145       3.363
20150928       0.525       0.944       1.359       0.752
20150929       0.264       0.632       0.829       0.420
20150930       0.156       0.305       0.585       0.199
20151001       0.117       0.293       0.378       0.168
20151002       0.288       0.535       0.317       0.146
20151003       0.515       0.417       0.436       0.194
20151004       0.313       0.555       0.222       0.326
20151005       0.396       0.249       0.255       0.248
20151006       0.437       0.172       0.321       0.225
20151007       0.329       0.179       0.161       0.272
20151008       0.420       1.931       0.703       0.830
20151009       2.166       3.307       1.430       0.653
20151010       1.063       0.825       1.355       1.147
20151011       0.630       0.486       0.946       0.913
20151012       0.442       0.308       0.488       0.384
20151013       0.335       0.199       0.312       0.252
20151014       0.275       0.136       0.192       0.192
20151015       0.228       0.087       0.120       0.186
20151016       0.189       0.067       0.078       0.144
20151017       0.157       0.032       0.054       0.124
20151018       0.131       0.035       0.032       0.104
20151019       0.119       0.032       0.019       0.100
20151020       0.111       0.034       0.064       0.120
20151021       3.610       1.377       0.496       1.051
20151022      16.209       7.403       2.218       3.480
20151023      10.311      22.575       9.961      11.288
20151024       3.844       1.510      10.976       8.030
20151025       9.141      14.634       3.995       2.508
20151026       7.748       8.242       7.144       6.906
20151027       2.751       2.783       3.794       2.871
20151028       1.232       1.095       1.836       1.213
20151029       0.769       0.676       1.084       0.847
20151030       0.555       0.458       0.742       0.686
20151031       0.586       1.064       0.518       0.416
20151101       2.450       2.457       1.286       0.875
20151102       1.220       0.674   -9999.000   -9999.000
20151103       0.751       0.391       0.595       0.833
20151104       0.618       0.393       0.416       0.503
20151105       0.529       0.228       0.309       0.410
20151106       0.445       0.240       0.403       0.481
20151107       5.190       3.155       2.357       3.437
20151108       2.534       2.202       1.537       1.199
20151109       7.549       9.105       2.832       3.455
20151110       8.926      13.933       7.715       6.413
20151111       8.097       8.299       9.834       8.238
20151112      12.723      10.037       5.372       4.457
20151113       7.147      12.026       6.959       7.324
20151114       7.455       5.235       9.408       7.107
20151115       9.530      14.557       6.321       4.960
20151116      10.029       6.730       5.675       5.162
20151117       9.052      13.104       5.017       5.262
20151118       9.249      13.179      11.533       9.312
20151119       4.092       3.466       7.496       5.896
20151120       1.871       1.234       1.913       1.518
20151121       1.176       0.740       1.234       1.256
20151122       0.776       0.443       0.740       0.666
20151123       0.653       0.269       0.443       0.458
20151124       1.935       2.469       1.561       1.497
20151125       2.949       2.547       2.033       1.041
20151126       2.174       0.938       2.320       1.893
20151127      39.303      15.813       6.848       8.359
20151128      10.974      18.700       9.446      10.186
20151129       5.583       6.404       8.862       8.072
20151130       3.898       6.202       5.394       2.897
20151201       2.532       2.323       3.471       2.280
20151202      17.518       3.537       2.348       2.819
20151203      10.951      19.366       2.651       3.915
20151204       9.307      13.406      16.429      12.134
20151205      33.334      23.889      10.125       8.941
20151206      17.196      21.387      20.203      18.477
20151207       5.903       9.976      13.092      10.842
20151208       7.227       2.150       4.979       4.383
20151209      12.699      16.277       4.362       3.946
20151210      15.025      19.741       9.745      10.793
20151211       5.349      11.163      10.033       7.474
20151212       3.480       4.286       4.763       3.537
20151213       2.322       1.789       2.207       1.543
20151214       1.708       0.906       1.438       1.418
20151215       1.398       0.571       0.893       1.026
20151216       1.284       0.334       0.863       1.241
20151217      12.130       3.720       5.116       5.995
20151218      25.733      12.743       6.664       8.389
20151219      25.299      11.628      12.712      12.582
20151220      29.148      21.357       8.043       8.556
20151221      13.201      22.248   -9999.000   -9999.000
20151222      11.640      13.299   -9999.000   -9999.000
20151223       7.942      11.670       8.776       6.573
20151224       8.178      11.575       7.543       6.626
20151225       8.955      19.541       4.638       4.467
20151226       3.919       2.986       7.529       5.971
20151227       2.105       1.182       2.101       1.323
20151228       1.601       1.545       1.715       1.790
20151229       1.376       1.193       1.852       1.935
20151230       1.383       2.920       1.848       1.825
20151231       3.728       6.443       2.477       1.820
20160101       4.105      11.423       3.390       3.503
20160102       2.589       2.136       4.775       3.432
