date          Qobs       Qsimobs        Qsim       Qusi
20150801  -10000.000       0.068       0.076       0.076
20150802  -10000.000       0.165       0.813       0.814
20150803  -10000.000       0.090       0.140       0.156
20150804  -10000.000       0.074       0.092       0.092
20150805  -10000.000       0.614       0.334       0.334
20150806  -10000.000       0.084       0.129       0.153
20150807  -10000.000       0.424       0.155       0.154
20150808  -10000.000       0.108       0.191       0.196
20150809  -10000.000       0.103       0.098       0.098
20150810  -10000.000       0.142       0.100       0.101
20150811  -10000.000       0.863       0.186       0.193
20150812       0.000       0.185       0.337       0.309
20150813       0.000       0.115       0.118       0.116
20150814       0.000       0.099       0.111       0.111
20150815  -10000.000       0.088       0.100       0.000
20150816  -10000.000       1.150       0.124       0.000
20150817  -10000.000       0.120       0.388       0.344
20150818  -10000.000       0.092       0.105       0.105
20150819  -10000.000       0.081       0.091       0.091
20150820  -10000.000       0.072       0.081       0.081
20150821  -10000.000       0.064       0.072       0.072
20150822  -10000.000       0.059       0.065       0.065
20150823  -10000.000       0.051       0.057       0.057
20150824  -10000.000       0.044       0.051       0.051
20150825  -10000.000       0.039       0.045       0.045
20150826  -10000.000       0.876       0.064       0.065
20150827  -10000.000       0.618       0.473       0.556
20150828  -10000.000       0.888       0.241       0.277
20150829  -10000.000       1.218       0.333       0.346
20150830  -10000.000       0.745       0.291       0.306
20150831  -10000.000       0.561       0.131       0.159
20150901  -10000.000       0.098       0.290       0.235
20150902  -10000.000       0.112       0.103       0.104
20150903  -10000.000       0.097       0.117       0.118
20150904  -10000.000       0.082       0.098       0.098
20150905  -10000.000       0.391       0.098       0.098
20150906  -10000.000       0.093       0.106       0.126
20150907  -10000.000       0.082       0.092       0.092
20150908  -10000.000       0.072       0.082       0.082
20150909  -10000.000       0.063       0.073       0.073
20150910  -10000.000       0.056       0.065       0.065
20150911  -10000.000       0.049       0.057       0.057
20150912  -10000.000       0.043       0.049       0.049
20150913  -10000.000       0.043       0.044       0.044
20150914  -10000.000       0.287       0.047       0.048
20150915  -10000.000       0.061       0.067       0.083
20150916  -10000.000       0.404       0.118       0.121
20150917  -10000.000       0.081       0.283       0.279
20150918  -10000.000       0.073       0.076       0.076
20150919  -10000.000       0.121       0.081       0.081
20150920  -10000.000       0.097       0.084       0.085
20150921  -10000.000       0.072       0.085       0.085
20150922  -10000.000       0.064       0.076       0.076
20150923  -10000.000       0.067       0.071       0.071
20150924  -10000.000       0.121       0.076       0.077
20150925  -10000.000       1.727       1.120       1.134
20150926  -10000.000       0.705       1.546       1.581
20150927  -10000.000       0.109       0.095       0.096
20150928  -10000.000       0.087       0.097       0.097
20150929  -10000.000       0.077       0.086       0.086
20150930  -10000.000       0.055       0.077       0.077
20151001  -10000.000       0.065       0.071       0.071
20151002  -10000.000       0.080       0.072       0.072
20151003  -10000.000       0.127       0.066       0.066
20151004  -10000.000       0.112       0.077       0.077
20151005  -10000.000       0.087       0.080       0.080
20151006  -10000.000       0.075       0.073       0.073
20151007  -10000.000       0.074       0.075       0.075
20151008  -10000.000       0.111       0.081       0.081
20151009  -10000.000       0.216       0.159       0.163
20151010  -10000.000       0.092       0.094       0.095
20151011  -10000.000       0.079       0.088       0.088
20151012  -10000.000       0.069       0.079       0.079
20151013  -10000.000       0.061       0.074       0.075
20151014  -10000.000       0.056       0.062       0.062
20151015  -10000.000       0.049       0.055       0.055
20151016  -10000.000       0.043       0.049       0.049
20151017  -10000.000       0.039       0.043       0.043
20151018  -10000.000       0.034       0.039       0.039
20151019  -10000.000       0.030       0.035       0.035
20151020  -10000.000       0.030       0.032       0.032
20151021  -10000.000       0.545       0.044       0.044
