date          Qobs       Qsimobs        Qsim       Qusi
20150801      13.709      10.801      12.424      10.818
20150802      12.831      10.098      10.566      11.594
20150803      15.029      27.002      21.037      21.166
20150804      10.739      10.369      17.458      17.434
20150805      21.587      24.779      12.034       8.511
20150806      22.733      26.299      23.838      22.790
20150807      14.589      12.631      19.511      19.822
20150808      14.795      17.344      20.625      18.551
20150809      12.420      11.210      14.077      12.836
20150810       9.833       9.959      10.524       9.656
20150811       8.250       9.492       9.934       9.630
20150812       7.373       9.185       9.712       8.495
20150813       6.794       9.217      10.003       8.236
20150814       5.621       8.653       9.089       6.780
20150815       4.736       8.255       8.647       5.518
20150816       4.004       7.880       8.255       4.595
20150817       3.518       7.509       7.878       3.820
20150818       3.057       7.158       7.509       3.449
20150819       2.615       6.814       7.157       2.946
20150820       2.285       6.484       6.813       2.492
20150821       2.105       6.167       6.484       2.172
20150822       1.734       5.867       6.167       1.951
20150823       1.660       5.576       5.866       1.632
20150824       1.502       5.301       5.576       1.530
20150825       1.410       5.081       5.299       1.423
20150826       1.474       5.562       5.123       1.862
20150827       1.826       5.247       4.949       1.929
20150828       8.009       8.214       5.103       2.166
20150829       9.000      12.175       7.841       5.666
20150830       5.327       8.028      10.070      11.949
20150831       4.949       7.754       8.558       5.969
20150901       4.070       7.153       8.674       6.110
20150902       3.436       6.877       7.861       3.912
20150903       3.093       6.897       6.988       3.764
20150904       2.994       6.572       6.810       3.825
20150905       6.973      20.960       7.126       3.684
20150906       9.977      16.556      12.906      11.276
20150907      12.380      16.273      15.217      12.183
20150908      23.377       9.639      19.209      13.936
20150909      13.951      11.905      19.402      21.276
20150910       8.959       9.196      11.674       8.816
20150911       6.714       8.816       8.391       9.018
20150912       5.411       8.443       8.816       6.784
20150913       4.791       8.139       8.469       5.553
20150914       4.406       7.795       8.094       5.329
20150915       3.933       7.443       7.726       4.867
20150916       3.734       7.346       7.568       4.522
20150917       4.058       7.086       7.352       4.383
20150918       7.781       8.710       7.835       4.777
20150919      15.478       9.598       8.333       7.996
20150920      27.565      15.783      10.024      15.009
20150921      20.468      15.685      13.811      26.281
20150922      13.936      14.129      11.532      17.086
20150923      11.541      10.536      12.375      11.988
20150924       9.218       8.935       9.458       8.938
20150925      10.788      13.820      10.190      10.100
20150926      17.840      22.068      16.906      15.953
20150927      30.151      26.228      22.988      24.150
20150928      27.104      21.235      22.554      24.193
20150929      14.480       9.821      16.528      21.415
20150930      11.619       9.081      10.274       9.859
20151001      18.638      13.148      12.975      14.239
20151002      31.409      15.146      19.668      21.980
20151003      29.822      28.181      17.272      26.184
20151004      16.564      11.172      19.236      28.108
20151005      13.618       9.947      10.764      10.361
20151006      10.811       9.452       9.343      11.316
20151007       8.522       9.065       9.452      10.673
20151008       7.196       8.700       9.066       8.405
20151009       7.101       8.599       8.783       7.389
20151010       8.326       9.774       8.729       7.132
20151011       7.746       8.901       9.288       8.526
20151012       6.748       8.533       8.876       7.631
20151013       6.105       8.249       8.525       6.768
20151014       5.546       8.125       8.249       6.069
20151015       4.979       7.738       8.044       5.447
20151016       4.681       7.468       7.738       4.800
20151017       4.486       7.171       7.471       4.585
