date          Qobs       Qsimobs        Qsim       Qusi
20150801       7.937       3.842       4.831       9.351
20150802       6.019       5.270       4.146       7.389
20150803       5.068       4.489       4.772       5.572
20150804       4.208       3.875       3.752       4.500
20150805      10.043      12.904       7.322       8.306
20150806      11.657       6.095       9.853      10.280
20150807       8.483       5.171       6.127      10.105
20150808       6.458       4.793       5.231       7.634
20150809       4.753       4.060       4.709       5.759
20150810       3.955       3.561       4.042       4.361
20150811       3.570       3.159       3.569       3.507
20150812       3.571       3.430       3.180       3.155
20150813       3.278       2.758       3.243       3.244
20150814       2.903       2.493       2.755       2.948
20150815       2.527       2.309       2.490       2.672
20150816       2.205       2.167       2.322       2.420
20150817       1.963       2.321       2.156       2.083
20150818       1.760       2.143       2.013       1.841
20150819       1.571       1.984       1.868       1.705
20150820       1.411       1.841       1.994       1.494
20150821       1.269       1.712       1.841       1.375
20150822       1.149       1.586       1.710       1.210
20150823       1.051       1.472       1.586       1.103
20150824       0.974       1.371       1.471       0.980
20150825      11.036       7.788       2.243       1.511
20150826      59.660      90.915       9.296       4.406
20150827      57.364      70.408      69.546      77.034
20150828      45.099      24.729      55.220      43.703
20150829      22.835      10.380      21.453      21.176
20150830      14.023       8.768      10.408      11.578
20150831       9.639       7.532       8.742      12.032
20150901       6.953       6.262       7.533       8.808
20150902      66.578      55.250      12.003      11.128
20150903      96.577      78.989      66.753      82.466
20150904      47.801      20.543      57.408      63.924
20150905      27.636      12.828      20.381      20.630
20150906      25.869      10.468      15.908      19.308
20150907      16.945       8.994      10.189      20.062
20150908      11.738       7.538       8.567      14.552
20150909       8.512       6.292       7.209       9.990
20150910       6.340       5.391       6.341       7.425
20150911       4.799       4.470       5.308       5.584
20150912       4.232       3.965       4.505       4.229
20150913      18.371      16.957       4.719       4.174
20150914      38.395      16.354      13.451      16.091
20150915     102.845      73.959      29.437      47.425
20150916     111.077      87.646      79.149      90.661
20150917      60.325      45.695      78.428      82.971
20150918      54.747      58.650      53.885      47.611
20150919      28.905      13.928      42.516      35.587
20150920      17.278      11.278      13.951      13.353
20150921      12.394       9.311      11.352      13.934
20150922      10.115       8.177       9.959      10.860
20150923      11.150      12.697       9.891      10.277
20150924      10.876       8.373      11.060       9.953
20150925      20.385      19.997      11.187      11.242
20150926      17.449       9.691      14.458      18.300
20150927      12.304       8.191       9.686      13.630
20150928       9.051       8.556       8.191      10.549
20150929       6.981       7.237       6.927       7.944
20150930       5.505       3.150       5.846       6.100
20151001       4.485       2.922       6.119       4.886
20151002       4.048       2.719       5.179       3.859
20151003       3.737       2.527       2.715       3.808
20151004       3.484       3.456       2.523       3.485
20151005       3.288       3.206       2.339       3.181
20151006       3.116       3.091       2.205       3.010
20151007       3.058       2.935       2.996       2.931
20151008       2.960       2.697       2.818       2.904
20151009       2.908       2.798       2.806       2.834
20151010       3.100       3.307       2.926       2.844
20151011       3.212       2.649       2.863       2.966
20151012       3.229       2.476       2.645       3.008
20151013       3.287       2.601       2.494       3.065
20151014       3.220       2.193       2.393       3.138
20151015       3.035       2.034       2.297       3.003
20151016       2.838       1.896       2.152       2.865
20151017       2.648       1.768       1.989       2.818
20151018       2.485       1.663       1.928       2.626
20151019       2.343       1.581       1.799       2.404
20151020       2.229       1.487       1.668       2.154
20151021       2.169       1.463       1.646       2.224
20151022       2.164       3.034       1.752       2.464
20151023       2.264       2.652       2.576       2.569
20151024       2.253       2.201       2.475       2.160
20151025       2.219       2.194       2.390       1.997
20151026       2.139       1.605       2.004       2.024
20151027       2.042       1.497       1.867       1.991
20151028       1.952       1.409       1.692       1.832
20151029       1.885       1.436       1.388       1.833
20151030       1.818       1.391       1.349       1.896
20151031       1.826       2.158       1.587       2.120
20151101       1.916       1.960       1.891       2.115
20151102       1.943       1.749   -9999.000   -9999.000
20151103       1.913       1.639       1.707       1.668
20151104       1.841       1.539       1.560       1.737
20151105       1.772       1.494       1.542       1.855
20151106       1.724       1.770       1.509       1.738
20151107       2.299       5.269       3.484       3.181
20151108       4.490      15.583       4.411       2.192
20151109       7.242      15.218       7.704       4.627
20151110       7.982       9.073      12.699       7.016
20151111       6.053       7.321       8.781       6.912
20151112       4.456       6.165       7.541       5.454
20151113       4.093       6.379       6.575       4.163
20151114       4.212       5.114       6.390       3.631
20151115       3.932       4.184       4.965       3.848
20151116       3.607       3.490       4.131       3.321
20151117       3.339       2.877       3.775       3.267
20151118       3.179       2.608       3.142       3.087
20151119       3.055       2.481       2.586       2.883
20151120       2.595       2.257       2.434       2.852
20151121       2.148       2.094       2.257       2.492
20151122       1.921       1.942       2.094       2.042
20151123       1.766       1.801       1.969       2.107
20151124       1.800       1.671       1.918       1.728
20151125       2.014       1.608       1.702       1.656
20151126       1.936       1.459       2.146       2.164
20151127       1.880       1.364       3.404       2.466
20151128       2.440       6.972       1.400       1.714
20151129       3.091       4.606       4.997       3.505
20151130       3.102       3.534       4.510       2.724
20151201       2.876       3.232       3.609       2.583
20151202       2.616       3.144       3.226       2.968
20151203       2.410       2.673       2.950       2.561
20151204       2.363       2.325       3.407       2.711
20151205       2.343       3.975       5.504       3.760
20151206       2.577      12.902       4.225       2.875
20151207       3.074      18.251       8.398       3.354
20151208       3.140       8.761      13.023       4.649
20151209       3.220       8.685       9.021       2.812
20151210       3.477       9.176       7.832       2.966
20151211       3.424      11.782       8.133       3.247
20151212       3.149       7.238       8.606       3.265
20151213       2.917       6.077       7.238       2.648
20151214       2.400       5.131       6.077       2.637
20151215       2.089       4.386       5.131       2.253
20151216       1.928       3.863       4.386       1.933
20151217       1.877       3.342       3.938       1.790
20151218       1.943       2.857       3.795       1.765
20151219       2.000       3.965       3.881       1.885
20151220       2.439       3.072       4.903       2.410
20151221       3.940       6.190   -9999.000   -9999.000
20151222       4.871       5.838   -9999.000   -9999.000
20151223       4.331       5.743       5.538       5.050
20151224       3.872       4.638       5.302       3.894
20151225       3.958       8.209       4.666       3.694
20151226       3.990       5.643       6.618       4.230
20151227       3.323       4.825       5.581       3.683
20151228       3.016       4.174       4.825       3.063
20151229       2.889       3.626       4.174       2.760
20151230       2.833       3.167       3.658       2.606
20151231       3.118      13.335       3.167       2.572
20160101       3.488       7.290       8.427       3.967
20160102       3.449      16.084       6.733       3.207
20160103       3.214       6.302      12.364       3.135
20160104       2.982       5.400       6.302       2.580
20160105       2.764       4.632       5.400       2.810
20160106       2.526       3.951       4.632       2.539
20160107       2.256       3.419       3.951       2.310
20160108       2.138       2.971       3.428       2.082
20160109       2.102       2.577       2.979       1.942
20160110       2.091       2.270       2.577       1.884
20160111       2.086       2.106       2.270       1.917
20160112       2.081       1.961       2.106       1.965
20160113       2.076       1.819       1.954       1.974
20160114       2.076       1.687       1.812       1.967
