date          Qobs       Qsimobs        Qsim       Qusi
20150801       7.894       7.315       8.840       7.130
20150802       9.223      11.097       9.448       8.431
20150803       9.510      11.027       9.537       9.442
20150804       8.903       8.016       9.592       8.509
20150805       8.094       7.022       8.020       7.732
20150806       7.128       6.651       7.011       7.372
20150807       8.014       6.737       7.390       7.530
20150808      10.482       6.391      10.204      11.282
20150809      10.245       8.024       7.724      11.390
20150810       9.120       6.704       9.076      12.017
20150811       7.911       6.105       6.420       8.382
20150812       9.010      12.265       7.054       8.666
20150813      39.885       8.676       9.411       9.495
20150814       9.024       8.743       8.581       8.477
20150815       7.672       7.027       7.754       8.886
20150816       7.076       6.449       6.756       6.737
20150817       6.367       6.158       6.449       6.671
20150818       5.835       5.941       6.158       6.074
20150819       5.450       5.700       5.915       5.659
20150820       5.015       5.412       5.670       5.282
20150821       4.631       5.165       5.412       4.865
20150822       4.322       4.981       5.165       4.504
20150823       3.998       4.727       4.954       4.103
20150824       3.769       4.653       4.745       3.835
20150825       3.613       4.372       4.580       3.612
20150826       3.425       4.169       4.391       3.556
20150827       3.310       3.975       4.175       3.350
20150828       3.199       3.932       3.993       3.183
20150829       3.467       4.192       3.960       3.060
20150830       3.883       3.952       3.955       3.188
20150831       3.874       3.961       3.844       3.820
20150901       3.910       4.352       4.814       4.736
20150902       3.773       3.838       4.264       3.896
20150903       3.447       3.651       3.895       3.726
20150904       3.331       3.467       3.682       3.427
20150905       3.717       4.555       3.759       3.470
20150906       4.375       6.220       6.124       5.546
20150907       4.398       3.956       4.736       4.127
20150908       4.035       3.763       3.940       3.796
20150909       3.812       3.777       3.788       3.933
20150910       3.689       3.511       3.685       3.655
20150911       3.379       3.350       3.435       3.603
20150912       3.196       3.196       3.350       3.289
20150913       3.061       3.048       3.196       3.024
20150914       2.978       2.911       3.049       2.946
20150915       2.870       2.824       2.908       2.816
20150916       2.825       2.690       2.797       2.702
20150917       2.830       2.810       2.678       2.724
20150918       3.110       2.611       2.833       2.814
20150919      14.369      29.412       7.018       7.388
20150920      13.395      14.355      19.243      19.236
20150921      11.398      11.344      14.338      11.610
20150922      10.520       8.736      11.291       9.802
20150923      10.087       7.783       9.523       9.294
20150924      10.379       7.527       8.268       9.142
20150925       9.753       5.765       6.838       8.572
20150926       9.631       6.497       6.158       8.787
20150927      12.323      10.757       7.178      10.508
20150928      11.844       7.588       8.841      12.779
20150929      11.174       6.019       7.414      10.427
20150930      11.331       9.188       6.805      10.319
20151001      10.066       8.785       7.750      11.808
20151002       9.559       6.590       7.590       9.290
20151003       9.710       6.371       7.192       8.955
20151004       8.625       5.744       6.094       8.386
20151005       7.925       6.608       6.052       8.210
20151006       7.060       5.280       5.939       7.542
20151007       6.077       5.019       5.250       6.030
20151008       6.194       4.798       5.019       5.442
20151009       4.576       4.587       4.798       5.570
20151010       4.573       4.385       4.587       4.601
20151011       5.102       4.192       4.654       4.733
20151012       5.035       5.110       5.597       6.327
20151013       5.164       6.486       4.754       5.477
20151014       5.253       5.578       5.866       5.387
20151015       5.637       6.543       6.261       5.195
20151016       5.639       6.285       6.447       5.905
20151017       5.647       6.706       7.237       6.391
20151018       6.423       7.920       6.988       6.148
20151019       6.885      19.470       7.001       6.170
20151020       6.551       5.994       6.840       6.142
20151021       6.224       5.759       6.061       5.765
20151022       5.727       5.474      14.295       5.983
20151023       5.074       5.207       5.311       5.460
20151024       4.788       4.981       5.226       5.046
20151025       5.257       4.907       5.137       4.309
20151026       4.355       5.566       4.984       5.056
20151027       3.557       5.767       5.583       4.756
20151028       3.605       5.058       5.599       3.652
20151029       3.760       4.490       5.033       3.253
20151030       2.792       4.358       4.512       3.509
20151031       2.737       3.850       4.185       2.923
20151101       4.029       4.955       5.583       3.150
20151102       4.493      12.664   -9999.000   -9999.000
20151103       4.169      10.791       9.975       7.285
20151104       3.981       9.098      10.029       4.069
20151105       3.448       7.635       8.802       3.918
20151106       2.920       6.697       7.762       3.309
20151107       2.979       5.783       6.553       2.801
20151108       3.110       5.560       5.874       2.752
20151109       2.872       5.221       5.475       3.088
20151110       2.997       5.252       5.455       2.939
20151111       2.802       4.795       5.193       2.944
20151112       2.919       5.043       5.147       3.062
20151113       4.940       5.636       5.331       3.050
20151114       7.162       5.159       5.234       4.485
20151115       8.566       4.999       5.378       7.082
20151116      12.156       4.137       4.782       7.219
20151117      14.079       3.832       4.185      10.006
20151118      12.668       3.796       4.113      12.692
20151119      12.504       3.493       3.745      11.011
20151120      14.517       3.335       3.567      10.358
20151121      18.804       3.349       3.282      11.603
20151122      20.002       3.015       3.228      14.676
20151123      19.355       2.802       2.974      15.409
20151124      21.609       2.590       2.807      15.034
20151125      20.945       2.526       2.797      18.566
20151126      18.996       2.339       2.500      16.184
20151127      17.655       2.392       2.526       2.526
20151128      16.116       2.555       2.646       2.641
20151129      15.130       2.305       2.506       2.496
20151130      13.474       2.269       2.463       2.449
20151201      10.781       3.227       2.869       2.872
20151202       8.973       2.425       2.766       2.732
20151203       8.376       2.203       2.534       2.519
20151204       6.984       1.882       2.116       2.121
20151205       5.874       1.751       1.897       1.900
20151206       5.675       3.504       2.332       2.330
20151207       5.388       2.698       3.038       2.979
20151208       5.340       2.982       2.745       2.734
20151209       5.546       2.642       2.690       2.665
20151210       5.499       3.274       2.720       2.702
