date          Qobs       Qsimobs        Qsim       Qusi
20150801      83.898      84.254      88.643      93.215
20150802      84.531      81.072      84.531      80.428
20150803     115.165     124.054      84.039      78.827
20150804      92.960      97.287     103.169     125.001
20150805     150.783     106.443     100.138      89.230
20150806     157.365     102.461     103.081     123.462
20150807     129.171      94.681      99.677     147.721
20150808     114.372      90.738      98.161     122.709
20150809     100.367      87.283      92.457     113.106
20150810      99.603      83.175      86.691      94.087
20150811      96.740      79.473      83.231      93.384
20150812     106.315      80.993      79.917      92.928
20150813      77.095      74.887      80.134     104.852
20150814      69.570      71.516      74.993      74.564
20150815      64.318      68.692      71.625      69.024
20150816      65.196      66.244      68.653      60.930
20150817      68.313      63.642      66.079      61.178
20150818      66.865      60.856      63.529      65.117
20150819      60.833      58.598      60.871      65.614
20150820      61.630      56.299      58.474      56.783
20150821      65.547      54.035      56.159      54.836
20150822      57.049      51.935      54.026      62.059
20150823      51.653      50.571      51.935      54.481
20150824      61.373      48.906      50.480      50.669
20150825      48.423      48.009      48.892      49.513
20150826      62.463      49.161      48.436      46.691
20150827      73.201      54.797      48.335      47.165
20150828      90.387      88.404      65.770      96.721
20150829      69.692      67.068      72.146     102.481
20150830      58.867      62.070      67.425      69.613
20150831      63.366      61.251      64.767      59.117
20150901      55.659      57.293      61.141      54.334
20150902      45.963      54.877      56.392      47.549
20150903      46.572      53.580      57.116      47.233
20150904      47.555      51.143      53.179      43.989
20150905      52.486      69.067      52.629      46.566
20150906      58.048      65.067      68.528      58.943
20150907      55.795      62.415      61.761      58.144
20150908      53.990      57.710      60.782      55.830
20150909      49.202      56.074      59.263      51.650
20150910      45.476      53.638      56.917      47.749
20150911      42.654      51.424      52.341      43.845
20150912      40.491      49.345      51.365      41.930
20150913      39.439      47.636      49.410      40.858
20150914      40.482      46.623      47.184      37.445
20150915      41.178      45.521      45.996      40.445
20150916      43.679      45.459      47.418      43.052
20150917      45.972      43.760      46.997      42.990
20150918      53.310      47.485      46.392      48.895
20150919      56.690      49.530      48.316      54.648
20150920      54.599      49.327      50.333      60.328
20150921      50.232      45.302      49.117      55.570
20150922      48.173      48.774      45.105      46.829
20150923      46.020      44.069      46.436      48.004
20150924      43.297      43.179      44.149      43.005
20150925      46.797      48.594      46.561      46.311
20150926      52.194      49.524      46.602      45.531
20150927      46.144      44.913      47.069      53.331
20150928      42.697      42.821      44.522      45.067
20150929      40.405      41.437      42.891      41.898
20150930      38.381      37.819      41.877      40.787
20151001      39.131      37.866      42.229      39.371
20151002      40.867      38.039      41.530      39.422
