date          Qobs       Qsimobs        Qsim       Qusi
20150801     352.114     326.802     490.088     444.346
20150802     329.781     316.463     332.536     335.211
20150803     336.482     338.780     326.069     337.730
20150804     325.219     298.715     322.709     332.416
20150805     390.823     581.244     322.826     334.956
20150806     511.912     464.847     449.206     414.424
20150807     503.350     406.235     443.707     471.640
20150808     443.545     403.455     441.709     468.008
20150809     376.376     362.181     398.860     453.077
20150810     321.271     336.605     363.506     369.104
20150811     307.496     308.316     331.934     315.805
20150812     303.930     296.823     306.454     296.190
20150813     308.125     281.137     297.144     285.596
20150814     260.802     265.714     280.083     303.754
20150815     229.184     253.327     265.613     286.159
20150816     203.933     241.835     253.327     231.216
20150817     203.011     231.773     241.835     205.020
20150818     211.440     222.849     231.480     189.877
20150819     201.388     214.594     222.595     232.735
20150820     198.140     208.258     213.929     194.464
20150821     184.840     204.308     207.824     195.478
20150822     181.990     200.566     204.308     196.239
20150823     179.319     196.907     200.549     172.911
20150824     180.042     194.012     196.907     178.066
20150825     179.599     194.135     194.009     185.145
20150826     206.692     262.904     200.298     184.375
20150827     274.969     313.384     231.031     211.738
20150828     379.214     420.513     298.495     286.583
20150829     312.713     337.234     359.937     418.018
20150830     265.883     301.802     334.385     302.648
20150831     232.566     273.192     304.661     256.606
20150901     233.229     249.237     276.668     212.910
20150902     281.498     257.282     251.418     216.674
20150903     586.572     385.781     293.739     274.216
20150904     443.547     324.096     319.203     577.808
20150905     370.102     447.896     346.849     459.255
20150906     370.163     369.684     393.319     409.618
20150907     365.964     590.017     363.630     338.328
20150908     329.070     542.911     333.455     342.332
20150909     307.913     280.120     304.244     303.571
20150910     266.961     262.521     501.677     292.899
20150911     244.336     249.164     460.519     251.380
20150912     229.601     237.897     249.164     234.730
20150913     249.387     239.653     239.493     226.772
20150914     268.208     233.457     232.749     236.946
20150915     290.470     228.022     225.951     259.325
20150916     421.371     314.289     265.812     312.260
20150917     474.688     281.125     285.309     445.587
20150918     693.105     479.046     348.365     480.911
20150919     565.179     375.351     383.331     688.208
20150920     482.864     341.204     371.405     495.278
20150921     409.016     337.072     341.878     433.496
20150922     372.459     340.941     329.091     377.303
20150923     413.137     410.644     340.561     380.517
20150924     443.747     352.369     356.190     398.086
20150925     459.222     410.573     369.995     433.122
20150926     416.896     353.317     376.213     449.780
20150927     391.140     322.463     351.931     376.175
20150928     351.453     301.271     322.621     358.471
20150929     329.912     278.487     296.655     323.863
20150930     307.573     204.303     275.652     309.559
20151001     272.741     201.392     263.651     296.161
20151002     259.912     198.368     253.566     265.899
20151003     276.908     198.339     199.127     248.885
20151004     265.143     226.866     197.295     261.400
20151005     252.933     218.903     195.938     256.221
20151006     239.124     212.154     194.567     246.615
20151007     229.711     207.191     210.879     232.262
20151008     216.648     203.221     207.374     220.204
20151009     218.290     202.441     203.415     210.523
20151010     206.725     201.749     202.767     213.454
20151011     191.071     200.049     201.403     207.137
20151012     202.588     221.622     200.041     197.439
20151013     212.891     197.281     198.655     197.681
20151014     223.780     195.872     197.284     206.900
20151015     213.390     194.501     208.784     217.894
20151016     200.411     193.155     194.570     211.383
20151017     191.070     191.820     193.177     200.743
20151018     191.450     190.499     191.851     191.072
20151019     210.530     189.236     190.530     185.396
20151020     213.871     187.948     189.219     206.447
20151021     208.262     186.634     188.028     213.517
20151022     185.749     192.230     187.122     203.549
20151023     176.481     193.591     189.124     206.779
20151024     178.357     185.707     189.316     173.317
20151025     161.082     189.993     188.117     176.325
20151026     171.452     184.617     187.492     164.425
20151027     186.398     183.323     184.803     163.578
20151028     175.395     182.320     183.130     184.702
20151029     172.192     181.058     182.082     173.148
20151030     167.092     179.824     180.834     185.469
20151031     150.465     179.373     179.871     168.204
20151101     145.967     181.809     178.883     153.877
20151102     150.487     182.312   -9999.000   -9999.000
20151103     158.794     179.033     181.904     158.052
20151104     165.852     175.049     178.960     153.125
20151105     164.384     173.843     175.639     174.661
20151106     157.578     172.680     174.457     171.844
20151107     151.136     200.203     178.184     173.046
20151108     161.528     210.833     186.843     159.526
20151109     179.375     209.989     196.470     168.212
20151110     198.769     189.368     208.318     172.865
20151111     174.611     180.221     191.805     189.334
20151112     160.014     176.924     181.674     172.509
20151113     149.201     176.630     177.094     156.461
20151114     145.584     175.952     176.767     152.253
20151115     141.288     173.403     175.390     142.989
20151116     155.924     170.898     172.596     139.784
20151117     150.095     178.375     175.141     157.284
20151118     145.562     171.524     176.986     151.765
20151119     131.515     169.042     171.628     141.983
20151120     136.566     166.967     169.118     130.630
20151121     139.010     165.462     167.100     132.036
20151122     123.969     163.640     165.415     138.293
20151123     131.950     163.193     164.521     126.443
20151124     136.963     163.057     164.230     124.099
20151125     140.797     161.783     162.369     137.277
20151126     164.326     160.031     162.004     133.171
20151127     139.397     159.918     170.075     165.669
20151128     144.056     245.091     162.422     166.316
20151129     158.255     205.056     209.839     159.341
20151130     134.031     182.234     205.523     150.411
20151201     131.409     169.471     181.696     127.837
20151202     136.250     168.076     169.218     121.843
20151203     140.074     167.040     168.582     136.761
20151204     128.405     175.115     168.626     137.725
20151205     105.538     177.135     182.647     141.278
20151206     124.062     215.751     178.223     107.469
20151207     133.353     216.843     185.850     127.898
20151208     143.988     188.567     208.546     143.248
20151209     157.775     218.824     190.785     134.320
20151210     172.829     204.853     200.658     163.635
20151211     159.639     196.600     201.631     168.539
20151212     151.447     181.018     194.770     152.944
20151213     157.047     172.624     181.259     137.817
20151214     160.441     165.347     172.459     146.853
20151215     151.247     162.230     165.533     153.647
20151216     149.439     160.219     162.180     148.469
20151217     153.454     160.858     160.942     149.879
20151218     157.640     166.224     161.808     152.966
20151219     150.218     169.660     171.984     163.332
20151220     147.511     177.137     182.935     163.154
20151221     197.797     252.973   -9999.000   -9999.000
20151222     201.191     225.297   -9999.000   -9999.000
20151223     187.807     205.947     219.941     190.248
20151224     155.148     188.297     207.460     191.614
20151225     174.288     245.282     191.625     151.488
20151226     189.340     214.988     218.354     185.039
20151227     170.643     194.067     210.646     176.511
20151228     176.394     181.503     194.186     159.325
20151229     165.089     171.213     181.471     165.998
20151230     154.700     166.594     171.450     153.187
20151231     137.351     166.452     167.257     148.331
20160101     151.384     165.957     166.816     139.877
20160102  -10000.000     166.402     166.236     152.055
20160103  -10000.000     163.447     165.256     150.433
20160104  -10000.000     160.712     163.604     163.182
20160105  -10000.000     159.229     160.838     160.740
20160106  -10000.000     157.256     159.298     159.086
20160107     220.923     155.916     157.267     157.202
20160108     251.345     154.374     155.699     155.676
20160109     289.795     153.223     154.362     249.526
20160110     297.003     154.028     153.658     234.689
20160111     309.840     165.653     157.169     156.653
20160112     326.760     159.021     162.676     159.539
20160113     342.049     157.656     160.168     159.182
20160114     372.938     153.744     156.840     156.095
20160115     416.523     151.289     153.750     153.702
20160116     450.033     149.321     151.292     151.223
20160117     486.063     147.620     149.301     149.300
20160118     539.247     147.449     148.394     148.282
20160119     557.934     145.232     147.293     146.914
20160120     585.921     143.905     145.491     145.385
20160121     611.677     143.673     144.674     144.637
20160122     632.305     141.419     143.196     142.876
20160123     630.292     140.887     141.499     141.452
20160124     607.885     139.314     140.578     140.471
20160125     572.280     138.954     139.411     139.334
20160126     477.272     138.497     138.876     138.606
20160127     409.138     152.145     141.226     140.616
20160128     359.869     165.241     150.532     148.762
20160129     306.870     150.267     158.543     154.931
20160130     263.432     174.992     153.529     153.415
20160131     239.265     155.214     163.335     164.246
20160201     225.644     148.763     155.368     155.158
20160202     229.759     148.850     150.349     150.295
20160203     221.015     143.439     148.605     147.467
20160204     222.234     139.843     144.091     143.752
20160205     255.557     136.601     140.741     140.460
20160206     223.591     138.649     139.052     139.217
20160207     185.329     150.937     145.496     150.188
20160208     187.406     186.339     149.942     149.309
20160209     205.483     176.486     169.013     167.441
20160210     201.911     158.046     168.452     166.347
20160211     202.034     151.547     157.244     157.432
20160212     198.649     144.975     150.939     150.691
20160213     200.556     137.821     144.572     144.483
20160214     187.029     134.001     138.113     137.990
20160215     196.278     132.049     134.043     133.961
20160216     200.176     130.326     132.215     132.088
20160217     191.042     128.625     130.354     130.287
20160218     198.511     127.236     129.088     129.069
20160219     203.338     126.063     127.539     127.484
20160220     188.035     127.932     126.981     126.976
20160221     182.082     132.958     130.619     129.778
20160222     193.387     126.824     130.822     128.922
20160223     190.058     125.087     127.274     127.229
20160224     188.748     125.105     126.176     126.205
20160225     193.337     124.301     125.044     124.690
20160226     192.455     128.364     125.459     125.171
20160227     187.120     125.717     127.978     126.398
20160228     178.762     124.618     125.685     125.167
20160229     180.747     121.792     123.896     123.508
20160301     174.378     119.964     122.397     122.272
20160302     166.842     122.116     121.659     121.625
20160303     168.149     122.481     123.709     122.653
20160304     163.857     122.465     123.459     122.415
20160305     134.784     130.147     125.991     124.979
20160306     116.334     122.084     127.060     124.337
20160307     137.504     121.998     123.298     123.243
20160308     148.768     120.693     122.731     121.938
20160309     146.831     117.197     120.276     119.571
20160310     144.865     115.134     117.060     117.008
20160311     152.008     113.288     114.922     114.940
20160312     137.917     111.731     113.326     113.282
20160313     123.635     110.428     111.699     111.726
20160314     128.586     117.979     117.356     116.813
20160315     132.445     147.249     129.947     129.025
20160316     124.467     159.616     148.088     148.483
20160317     117.202     164.131     164.980     165.298
20160318     125.675     189.637     157.166     160.602
20160319     125.727     158.900     170.584     172.561
20160320     118.240     152.701     161.394     163.662
20160321     124.781     143.123     151.442     151.317
20160322     136.579     143.586     142.939     142.945
20160323   -9999.000   -9999.000     137.714     137.567
20160324     134.642     139.343   -9999.000   -9999.000
20160325     122.167     131.304   -9999.000   -9999.000
20160326     113.674     124.066   -9999.000   -9999.000
20160327     119.732     153.413     128.547     130.572
20160328     139.050     180.095     144.014     153.968
20160329     154.931     226.880     181.128     190.846
20160330     207.140     215.998     205.410     219.599
20160331     205.813     187.089     205.815     204.820
20160401     182.747     173.222     188.622     188.587
20160402     159.328     166.217     174.397     175.936
20160403     150.030     156.767     166.834     173.588
20160404     163.989     181.532     166.093     167.148
20160405     191.008     221.358     184.656     191.248
20160406     217.639     225.889     212.287     215.402
20160407     221.964     233.154     221.342     227.082
20160408     228.635     210.369     220.647     223.752
20160409     210.727     191.711     208.497     208.477
20160410     199.448     176.200     191.799     191.771
20160411     196.588     173.918     176.293     176.746
20160412     200.991     160.462     169.657     172.635
20160413     199.722     153.162     159.055     161.014
20160414     189.357     145.602     155.450     155.603
20160415     183.144     147.493     150.335     156.452
20160416     200.954     148.319     156.851     165.375
20160417     202.144     139.035     146.916     148.174
20160418     186.237     148.088     140.241     143.952
20160419     205.262     161.399     146.410     149.545
20160420     208.633     167.248     150.234     159.746
20160421     203.623     167.178     160.415     169.200
20160422     201.916     169.972     162.385     201.861
20160423     184.919     150.811     162.218     189.517
20160424     169.001     142.367     150.873     176.260
20160425     158.273     134.770     143.110     163.118
20160426     150.525     130.549     135.910     152.775
20160427     144.352     126.277     130.430     146.406
20160428     143.218     126.368     126.655     139.560
20160429     153.661     157.779     137.783     159.829
20160430     197.305     187.734     163.410     178.938
20160501     337.040     291.788     208.242     229.970
20160502     329.391     231.718     244.275     282.067
20160503     302.126     252.146     234.397     326.710
20160504     346.700     277.577     252.229     307.294
20160505     352.834     301.405     265.049     346.947
20160506     383.402     346.812     306.219     396.117
20160507     426.259     381.901     344.876     419.121
20160508     510.208     494.207     390.074     483.078
20160509     679.742     676.715     501.746     609.966
20160510     822.023     782.289     671.541     815.156
20160511     890.835     655.869     722.197     821.599
20160512     839.853     679.996     676.974     848.690
20160513     840.614     641.473     659.618     786.109
20160514     718.413     507.143     600.021     746.639
20160515     587.417     457.864     510.534     649.021
20160516     503.576     414.046     454.036     531.310
20160517     473.329     405.667     422.014     481.338
20160518     453.764     392.875     409.360     460.474
20160519     496.940     475.857     426.049     476.909
20160520     582.940     431.262     440.945     498.765
20160521     733.348     684.843     474.766     598.937
20160522     893.604     576.742     583.440     772.346
20160523    1418.690    1150.263     676.064     940.053
20160524    1497.617    1063.771     904.235    1509.019
20160525    1141.769     822.118     913.995    1421.976
20160526     912.668     708.182     817.583     973.497
20160527     771.585     647.271     714.799     816.503
20160528     685.363     632.412     657.682     734.323
20160529     695.569     649.000     631.023     659.745
20160530     709.964     646.883     641.477     701.341
20160531     679.435     611.062     648.595     698.830
20160601     658.075     623.951     618.683     678.096
20160602     612.155     622.424     628.984     665.495
20160603     568.481     607.371     624.243     621.610
20160604     549.242     544.076     589.413     535.261
20160605     486.660     483.909     536.819     507.985
20160606     432.493     437.976     485.708     447.723
20160607     400.240     409.695     442.011     400.894
20160608     366.398     390.740     407.885     372.096
20160609     337.547     331.228     373.957     338.445
20160610     314.851     289.565     329.227     303.259
20160611     279.250     259.825     290.736     281.794
20160612     231.013     247.769     264.609     259.994
20160613     238.696     241.589     250.150     228.910
20160614     228.009     224.936     239.728     225.289
20160615     228.515     215.316     230.631     224.627
20160616     222.839     243.888     223.912     220.233
20160617     250.452     216.776     223.747     227.672
20160618     248.774     214.490     220.046     237.952
20160619     223.544     201.921     211.124     238.582
20160620     220.223     195.923     202.473     211.300
20160621     224.362     245.289     203.943     220.916
20160622     221.208     204.325     215.841     227.149
20160623     223.381     194.756     203.309     205.921
20160624     215.296     189.614     195.511     216.053
20160625     230.198     252.376     209.467     224.000
20160626     222.539     201.580     213.787     235.130
20160627     231.199     221.717     217.307     225.370
20160628     232.178     210.804     219.792     238.527
20160629     232.756     218.156     215.303     232.923
20160630     230.114     200.132     210.782     229.425
20160701     234.822     247.766     211.487     235.371
20160702     238.253     243.831     234.992     250.144
20160703     251.731     251.752     245.595     243.885
20160704     220.573     228.398     248.492     264.203
20160705     238.778     223.521     232.539     214.617
20160706     235.391     229.041     227.085     214.909
20160707     242.786     206.487     219.810     247.429
20160708     223.497     192.610     205.995     218.976
20160709     203.402     187.901     193.035     210.662
20160710     204.146     201.906     194.560     201.971
20160711     226.128     274.702     199.734     207.415
20160712     284.459     261.624     242.353     237.882
20160713     279.048     275.265     256.708     299.327
20160714     286.954     254.473     253.038     264.083
20160715     277.109     226.781     244.331     266.934
20160716     244.914     221.017     227.847     260.767
20160717     227.323     211.842     222.934     241.263
20160718     196.672     206.606     215.204     227.604
20160719     185.767     191.924     203.586     189.409
20160720     182.286     183.203     190.990     173.563
20160721     178.916     174.939     182.982     173.185
20160722     175.174     171.025     174.934     172.260
20160723     168.723     172.405     176.438     177.541
20160724     159.859     191.348     180.974     182.079
20160725     177.773     188.880     184.926     167.731
20160726     178.623     182.901     182.358     175.374
20160727     187.573     247.108     194.292     191.940
20160728     191.650     237.911     209.281     193.579
20160729     206.885     209.936     227.802     192.871
20160730     218.520     278.100     218.292     206.129
20160731     252.564     277.261     293.651     259.045
