date          Qobs       Qsimobs        Qsim       Qusi
20150801      13.785      11.465      11.977      13.875
20150802      13.142      11.023      11.517      13.306
20150803      12.524      10.896      11.364      13.186
20150804      11.931      10.328      10.782      12.195
20150805      12.113      15.082      10.673      12.010
20150806      12.668      12.156      13.018      12.887
20150807      12.637      11.593      12.134      11.769
20150808      12.512      11.487      12.563      13.146
20150809      12.590      12.448      11.972      12.623
20150810      12.386      11.301      11.864      12.496
20150811      11.971      10.820      11.310      12.013
20150812      11.426      10.404      11.002      11.768
20150813      11.018       9.978      10.464      11.225
20150814      10.476       9.643       9.979      10.649
20150815      10.040       9.323       9.643      10.229
20150816       9.558       9.008       9.319       9.800
20150817       9.159       8.783       9.008       9.317
20150818       8.751       8.485       8.703       8.933
20150819       8.394       8.116       8.408       8.586
20150820       8.026       7.851       8.195       8.265
20150821       7.738       7.595       7.927       7.894
20150822       7.549       7.346       7.595       7.566
20150823       7.410       7.105       7.346       7.279
20150824       7.245       6.880       7.105       7.245
20150825       7.039       6.735       6.871       7.148
20150826       7.132       8.302       7.198       7.450
20150827       7.270       8.436       7.857       7.471
20150828       7.641      11.158       8.260       7.221
20150829       7.843       9.400      10.237       8.204
20150830       7.843       8.881       9.481       7.411
20150831       7.665       8.744       8.882       7.581
20150901       7.513       8.325       8.703       7.620
20150902       7.358       8.156       8.048       7.203
20150903       7.671      11.107       8.899       7.944
20150904       8.390      10.811       9.830       7.880
20150905       9.187      13.096      11.059       8.779
20150906       9.916      11.547      12.224       9.409
20150907      10.172      22.252      11.524       9.398
20150908       9.985      19.577      10.907       9.727
20150909       9.752       9.907      10.386       9.707
20150910       9.433       9.471      17.513       8.893
20150911       9.067       9.059      16.044       8.852
20150912       8.781       8.696       9.060       8.784
20150913       8.533       8.532       8.741       8.607
20150914       8.301       8.550       8.639       8.512
20150915       8.189       8.371       8.423       8.253
20150916       8.538      10.312       9.045       8.702
20150917       9.463      10.597       9.841       8.928
20150918      12.866      18.465      11.754      10.425
20150919      15.778      14.088      14.311      13.439
20150920      16.390      12.814      13.741      14.178
20150921      16.157      12.264      13.081      15.563
20150922      15.787      12.283      12.671      15.959
20150923      16.204      16.935      13.009      16.584
20150924      16.720      13.643      14.494      16.551
20150925      17.287      15.883      14.236      16.233
20150926      17.377      13.434      14.206      16.708
20150927      16.845      12.535      13.429      16.084
20150928      16.157      11.838      12.521      15.994
20150929      15.431      11.348      11.837      15.463
20150930      14.609       7.957      11.347      15.050
20151001      13.941       7.701      10.887      14.337
20151002      13.295       7.454      10.454      13.591
20151003      12.581       7.221       7.463      13.180
20151004      11.937       9.469       7.223      11.999
20151005      11.446       9.157       6.982      11.451
20151006      10.951       8.855       6.769      11.120
20151007      10.477       8.531       8.853      10.625
20151008      10.077       8.269       8.559      10.211
20151009       9.743       8.029       8.295       9.834
20151010       9.446       8.443       8.089       9.565
20151011       9.167       7.925       8.199       9.395
20151012       8.901      11.046       7.904       8.864
20151013       8.669       7.445       7.666       8.573
20151014       8.422       7.273       7.436       8.400
20151015       8.135       7.041      10.295       8.325
20151016       7.868       6.816       6.968       7.891
20151017       7.641       6.609       6.821       7.621
20151018       7.525       6.417       6.614       7.440
20151019       7.497       6.176       6.419       7.272
20151020       7.358       5.999       6.238       7.181
20151021       7.358       5.827       6.064       7.146
20151022       7.358       6.262       5.893       7.228
20151023       7.315       6.116       6.006       7.293
20151024       7.292       5.810       6.001       7.204
20151025       7.221       6.320       5.905       7.122
20151026       7.170       5.838       6.106       7.223
20151027       7.027       5.648       5.834       6.825
20151028       6.963       7.141       5.645       6.849
20151029       6.802       6.854       5.501       6.745
20151030       6.757       6.603       5.363       6.624
20151031       6.685       6.440       6.616       6.553
20151101       6.543       6.265       6.438       6.565
20151102       6.443       6.072   -9999.000   -9999.000
20151103       6.556       5.899       6.058       6.222
20151104       7.138       4.668       5.899       6.228
20151105       7.358       4.563       5.735       6.646
20151106       7.300       4.463       5.580       7.071
20151107       7.323       5.175       4.644       7.370
20151108       7.358       5.823       5.000       8.069
20151109       7.414       7.496       5.528       7.614
20151110       7.358       6.442       6.940       7.916
20151111       7.358       6.130       6.407       7.016
20151112       7.358       5.903       6.131       7.024
20151113       7.358       5.710       5.859       7.031
20151114       7.358       5.623       5.721       7.091
20151115       7.358       5.911       5.520       6.980
20151116       7.351       5.340       5.265       7.047
20151117       7.292       5.360       5.487       7.197
20151118       7.170       4.961       5.461       7.060
20151119       7.027       4.739       5.121       6.816
20151120       7.039       4.576       4.738       6.777
20151121       7.296       4.438       4.577       6.733
20151122       7.351       4.327       4.438       6.882
20151123       7.191       4.286       4.340       7.127
20151124       6.955       4.230       4.316       7.265
20151125       6.794       4.269       4.234       7.046
20151126       6.802       4.138       4.205       6.628
20151127       6.719       4.120       4.522       4.258
20151128       6.663       7.761       4.231       4.229
20151129       6.904       6.855       6.294       6.336
20151130       6.828       6.784       6.823       6.731
20151201       6.916       6.272       6.590       6.524
20151202       6.901       5.947       6.212       6.206
20151203       6.802       5.760       5.979       5.982
20151204       6.912       5.828       5.791       5.779
20151205       7.016       6.050       6.485       6.023
20151206       6.985       7.604       5.894       5.774
20151207       6.993       7.357       6.825       6.868
20151208       7.008       6.736       7.231       7.406
20151209       7.105       8.135       6.945       7.155
20151210       7.339       8.129       7.610       7.652
20151211       7.358       7.881       7.815       7.858
20151212       7.358       7.482       7.785       7.788
20151213       7.358       7.180       7.478       7.475
20151214       7.358       6.898       7.181       7.181
20151215       7.358       6.630       6.899       6.897
20151216       7.323       6.373       6.633       6.633
20151217       7.170       6.224       6.394       6.395
20151218       7.170       6.288       6.270       6.233
20151219       7.170       6.445       6.469       6.375
20151220       7.237       6.648       6.996       7.068
20151221       7.475       8.378   -9999.000   -9999.000
20151222       7.549       7.827   -9999.000   -9999.000
20151223       7.549       7.677       7.783       7.790
20151224       7.569       7.255       7.714       7.794
20151225       7.706       9.524       7.435       7.437
20151226       7.637       8.401       8.446       8.484
20151227       7.565       8.055       8.397       8.398
20151228       7.549       7.757       8.070       8.069
20151229       7.549       7.451       7.753       7.751
20151230       7.549       7.180       7.462       7.463
20151231       7.549       6.962       7.227       7.222
20160101       7.549       6.729       6.988       6.977
20160102       7.549       6.464       6.739       6.726
20160103       7.458       6.262       6.472       6.467
20160104       7.358       6.009       6.225       6.221
20160105       6.869       5.770       6.003       6.002
20160106       6.757       5.567       5.771       5.772
20160107       7.441       5.394       5.567       5.568
20160108       7.387       5.224       5.391       5.391
20160109       7.187       5.118       5.222       5.223
20160110       7.190       5.019       5.111       5.101
20160111       7.170       5.244       5.170       5.151
20160112       7.154       5.003       5.296       5.206
20160113       7.004       4.848       5.040       5.017
20160114       6.985       4.650       4.834       4.820
20160115       6.947       4.529       4.650       4.650
20160116       6.905       4.418       4.528       4.529
20160117       6.920       4.337       4.420       4.419
20160118       6.924       4.252       4.334       4.332
20160119       6.828       4.176       4.255       4.254
20160120       6.802       4.134       4.183       4.182
20160121       6.802       4.093       4.159       4.157
20160122       6.794       4.030       4.086       4.082
20160123       6.794       4.053       4.032       4.030
20160124       6.738       3.975       3.993       3.991
20160125       6.621       3.925       3.976       3.973
20160126       6.566       3.904       3.945       3.946
20160127       6.606       4.201       4.011       3.987
20160128       6.621       4.668       4.186       4.166
20160129       6.629       4.265       4.474       4.403
20160130       6.621       4.834       4.393       4.393
20160131       6.536       4.419       4.529       4.553
20160201       6.443       4.272       4.411       4.409
20160202       6.443       4.287       4.324       4.324
20160203       6.443       4.120       4.283       4.257
20160204       6.435       4.019       4.122       4.122
20160205       6.329       3.926       4.027       4.025
20160206       6.267       4.007       4.009       4.031
20160207       6.451       4.487       4.305       4.506
20160208       6.564       5.792       4.407       4.327
20160209       6.621       5.664       5.197       5.238
20160210       6.479       5.159       5.398       5.309
20160211       6.443       4.814       5.124       5.105
20160212       6.329       4.578       4.816       4.815
20160213       6.267       4.413       4.610       4.608
20160214       6.267       4.273       4.426       4.421
20160215       6.267       4.137       4.255       4.252
20160216       6.259       4.023       4.137       4.136
20160217       6.169       3.948       4.028       4.027
20160218       6.093       3.851       3.941       3.941
20160219       6.093       3.762       3.831       3.830
20160220       6.093       3.760       3.812       3.811
20160221       6.093       3.976       3.883       3.872
20160222       6.093       3.726       3.901       3.848
20160223       5.933       3.639       3.721       3.719
20160224       5.922       3.562       3.637       3.638
20160225       5.922       3.489       3.563       3.564
20160226       5.922       3.546       3.539       3.536
20160227       5.922       3.500       3.557       3.541
20160228       5.922       3.410       3.486       3.474
20160229       5.915       3.350       3.413       3.414
20160301       5.922       3.297       3.358       3.356
20160302       5.820       3.289       3.361       3.360
20160303       5.753       3.386       3.354       3.350
20160304       5.753       3.429       3.418       3.393
20160305       5.753       3.605       3.520       3.491
20160306       5.753       3.377       3.553       3.498
20160307       5.753       3.506       3.437       3.436
20160308       5.753       3.524       3.521       3.487
20160309       5.753       3.336       3.480       3.446
20160310       5.753       3.249       3.344       3.345
20160311       5.753       3.174       3.252       3.253
20160312       5.753       3.109       3.174       3.174
20160313       5.753       3.049       3.109       3.109
20160314       5.820       3.097       3.274       3.261
20160315       5.922       4.178       3.544       3.609
20160316       5.880       4.644       4.027       4.094
20160317       5.792       4.167       4.621       4.707
20160318       5.760       4.852       4.197       4.226
20160319       5.753       4.413       4.576       4.578
20160320       5.753       4.307       4.432       4.478
20160321       5.674       4.148       4.289       4.295
20160322       5.587       4.145       4.164       4.163
20160323   -9999.000   -9999.000       4.031       4.026
20160324       5.587       3.112   -9999.000   -9999.000
20160325       5.587       2.996   -9999.000   -9999.000
20160326       5.587       2.935   -9999.000   -9999.000
20160327       5.674       4.536       3.082       3.078
20160328       5.753       5.349       3.577       3.784
20160329       5.792       6.319       4.504       4.575
20160330       5.788       7.337       6.122       6.293
20160331       5.753       6.346       6.778       6.664
20160401       5.667       6.039       6.342       6.338
20160402       5.653       5.799       6.061       6.069
20160403       5.653       5.689       5.896       6.249
20160404       5.674       6.417       6.017       6.067
20160405       5.753       6.704       6.407       6.571
20160406       5.753       7.145       6.736       6.723
20160407       5.820       7.011       7.424       7.447
20160408       5.815       6.582       6.881       6.898
20160409       5.799       6.310       6.601       6.603
20160410       5.919       6.059       6.312       6.310
20160411       5.820       6.043       6.070       6.121
20160412       5.922       5.743       6.022       6.259
20160413       5.922       5.541       5.776       5.903
20160414       5.922       5.409       5.644       5.647
20160415       5.947       5.520       5.502       5.777
20160416       6.093       6.530       5.949       5.974
20160417       6.093       5.835       6.308       6.322
20160418       6.093       5.794       5.905       6.090
20160419       6.162       6.319       6.013       6.135
20160420       6.267       6.298       5.946       6.133
20160421       6.267       6.197       6.096       6.396
20160422       6.267       6.565       6.163       6.249
20160423       6.267       6.086       6.311       6.306
20160424       6.267       5.847       6.092       6.026
20160425       6.267       5.639       5.856       6.062
20160426       6.267       5.466       5.673       6.085
20160427       6.267       5.266       5.441       6.018
20160428       6.134       5.076       5.241       6.021
20160429       6.267       6.461       5.407       6.373
20160430       6.267       6.689       6.764       7.220
20160501       6.417       8.295       7.713       7.498
20160502       6.443       7.793       7.716       7.061
20160503       6.650       8.430       7.874       6.588
20160504       6.870       9.164       8.757       7.191
20160505       7.343       9.710       9.222       7.254
20160506       7.589      11.159       9.974       7.765
20160507       8.785      12.445      11.080       8.360
20160508      11.771      16.731      13.299       9.870
20160509      17.518      22.039      17.428      13.914
20160510      24.814      25.676      22.357      19.794
20160511      31.444      22.603      24.284      24.569
20160512      36.284      22.962      23.164      28.604
20160513      40.085      24.115      22.904      33.052
20160514      39.622      21.852      22.451      37.041
20160515      36.388      18.964      19.919      34.427
20160516      32.961      16.900      18.771      32.868
20160517      30.252      16.013      17.220      30.428
20160518      28.230      16.580      16.905      29.207
20160519      27.128      20.640      17.583      29.618
20160520      27.974      20.301      19.063      28.474
20160521      33.702      24.416      21.199      28.657
20160522      38.073      21.998      22.674      31.929
20160523      52.826      42.944      25.376      39.026
20160524      76.376      49.929      38.188      53.893
20160525      73.636      37.839      42.067      70.396
20160526      62.956      32.830      37.909      63.577
20160527      52.662      29.525      32.982      55.294
20160528      44.682      26.853      29.621      47.322
20160529      39.303      27.857      26.899      41.487
20160530      35.563      26.694      27.131      37.623
20160531      32.057      22.382      25.845      33.166
20160601      28.813      19.816      22.398      29.084
20160602      25.901      17.708      20.006      26.405
20160603      23.296      16.183      17.975      23.703
20160604      21.065      14.862      16.218      21.963
20160605      19.228      13.830      14.864      20.050
20160606      17.609      12.908      13.830      18.150
20160607      16.304      12.080      12.909      16.922
20160608      14.955      11.409      12.091      15.649
20160609      13.786      10.958      11.395      14.346
20160610      12.788      10.591      10.958      13.447
20160611      11.892      10.220      10.588      12.693
20160612      11.188       9.865      10.224      11.740
20160613      10.533       9.526       9.874      10.961
20160614      10.049       9.316       9.850      10.681
20160615       9.640       8.947       9.286       9.922
20160616       9.212       8.865       9.057       9.563
20160617       8.751       8.519       8.819       9.020
20160618       8.402       8.273       8.671       8.786
20160619       8.048       7.962       8.255       8.667
20160620       7.790       7.709       7.962       7.822
20160621       7.896       8.853       8.138       8.021
20160622       7.689       7.940       8.544       8.130
20160623       7.549       7.592       7.940       7.441
20160624       7.549       7.324       7.591       7.217
20160625       7.549       8.663       7.744       7.707
20160626       7.549       7.671       8.145       7.683
20160627       7.549       7.539       7.809       7.300
20160628       7.549       7.583       8.105       7.613
20160629       7.549       8.272       7.776       7.710
20160630       7.549       8.081       8.001       7.557
20160701       7.549       8.992       8.300       7.750
20160702       7.549       9.050       8.813       7.880
20160703       7.549       9.500       9.341       7.994
20160704       7.549       8.686       9.341       7.725
20160705       7.549       8.570       8.816       7.375
20160706       7.549       9.483       8.547       7.394
20160707       7.549       8.518       9.038       7.605
20160708       7.549       8.122       8.518       7.260
20160709       7.549       7.771       8.122       7.261
20160710       7.549       8.152       7.923       7.388
20160711       7.549       9.557       8.054       7.670
20160712       7.549       9.745       9.053       7.781
20160713       7.549       8.962       9.375       7.580
20160714       7.549       8.580       8.910       7.264
20160715       7.549       8.149       8.546       7.252
20160716       7.549       8.170       8.156       7.262
20160717       7.549       8.397       8.180       7.494
20160718       7.549       8.466       8.029       7.381
20160719       7.549       7.851       7.890       7.219
20160720       7.545       7.557       7.852       7.269
20160721       7.358       7.249       7.551       7.288
20160722       7.440       7.062       7.249       7.090
20160723       7.549       7.821       7.197       7.330
20160724       7.489       7.318       7.643       7.734
20160725       7.358       7.283       7.462       7.543
20160726       7.488       6.885       7.133       7.175
20160727       7.549       7.849       7.167       7.369
20160728       7.549       7.709       7.570       7.630
20160729       7.549       7.900       7.584       7.439
20160730       7.549       8.116       8.042       7.825
20160731       7.549       8.819       8.515       8.079
