date          Qobs       Qsimobs        Qsim       Qusi
20150801      11.452       9.849      13.479      13.399
20150802      10.012       9.573      10.723       9.672
20150803       8.278       8.112       9.225       8.599
20150804       7.511       7.471       8.079       7.448
20150805      21.114      36.146      11.521      10.787
20150806      23.352      17.059      25.244      27.489
20150807      18.426      13.198      17.510      19.611
20150808      14.557      10.328      12.951      14.574
20150809      11.468       9.188      10.267      12.021
20150810       9.490       8.458       9.080      10.335
20150811       8.735       8.079       8.585       9.233
20150812       8.621       8.934       8.188       8.142
20150813       7.411       7.639       8.398       8.542
20150814       6.226       7.085       7.637       7.076
20150815       5.335       6.663       7.082       5.964
20150816       4.664       6.284       6.657       5.114
20150817       4.199       5.919       6.282       4.482
20150818       3.769       5.575       5.919       4.046
20150819       3.437       5.235       5.575       3.602
20150820       3.099       4.923       5.250       3.235
20150821       2.826       4.638       4.935       2.949
20150822       2.586       4.388       4.635       2.700
20150823       2.397       4.116       4.378       2.441
20150824       2.232       3.817       4.130       2.231
20150825       3.385       5.168       3.925       2.112
20150826      10.834      22.208       6.513       3.498
20150827      18.834      28.397      17.104      19.370
20150828      23.451      22.820      25.079      23.685
20150829      18.021      14.668      20.060      19.791
20150830      13.615      11.888      15.166      14.288
20150831      10.567       9.866      11.844      11.678
20150901       8.547       8.875       9.990       9.201
20150902      21.042      18.246      10.075       8.782
20150903      30.491      71.282      19.867      23.900
20150904      26.528      30.212      47.230      40.334
20150905      23.971      49.260      31.571      22.950
20150906      22.193      25.462      38.960      24.932
20150907      17.957      16.634      25.010      17.773
20150908      14.419      12.730      16.635      13.447
20150909      11.769      10.875      12.726      11.473
20150910       9.793      10.019      10.906      10.348
20150911       8.273       9.306      10.021       9.279
20150912       7.608       8.737       9.322       7.700
20150913       9.585      15.694       9.375       7.663
20150914      11.564      12.634      12.386      10.654
20150915      19.105      18.289      12.627      10.793
20150916      39.651      86.072      29.090      27.910
20150917      43.985      41.451      64.262      55.323
20150918      51.222      80.393      45.560      36.675
20150919      38.328      38.133      61.723      52.790
20150920      28.960      24.965      39.569      30.560
20150921      23.013      16.339      24.930      21.392
20150922      20.050      13.107      16.796      15.628
20150923      23.390      24.467      19.686      21.160
20150924      21.918      12.648      19.124      20.829
20150925      27.895      33.092      18.480      22.164
20150926      24.723      15.235      24.914      27.586
20150927      20.296      11.804      15.005      16.476
20150928      16.913      10.603      11.789      14.822
20150929      14.529       9.885      10.599      15.448
20150930      12.504       7.317       9.883      13.940
20151001      10.959       6.909       9.235      11.796
20151002       9.650       6.523       8.632      10.514
20151003       8.440       6.156       6.525       9.226
20151004       7.620       7.279       6.156       8.173
20151005       6.961       6.878       5.808       7.223
20151006       6.612       6.638       5.484       6.495
20151007       6.268       6.449       6.595       6.396
20151008       5.876       6.045       6.304       6.121
20151009       5.821       5.795       6.175       5.675
20151010       6.195       6.242       5.829       5.524
20151011       6.072       5.874       5.854       6.256
20151012       5.862       5.606       5.804       5.915
20151013       5.566       5.335       5.574       5.655
20151014       5.128       5.022       5.297       5.362
20151015       4.700       4.733       5.022       4.827
20151016       4.348       4.458       4.733       4.514
20151017       4.038       4.198       4.458       4.160
20151018       3.791       3.958       4.198       3.774
20151019       3.597       3.731       3.952       3.594
20151020       3.455       3.532       3.726       3.454
20151021       3.361       3.314       3.512       3.274
20151022       3.351       3.762       3.344       3.212
20151023       3.520       3.470       3.468       3.511
20151024       3.600       3.239       3.375       3.306
20151025       3.696       3.876       3.306       3.489
20151026       3.593       3.355       3.435       3.913
20151027       3.410       3.150       3.355       3.308
20151028       3.262       2.955       3.150       3.188
20151029       3.157       2.770       2.955       3.010
20151030       3.056       2.593       2.769       2.997
20151031       3.118       3.297       2.606       2.846
20151101       3.348       3.645       2.963       3.439
20151102       3.698       3.205   -9999.000   -9999.000
20151103       3.687       2.958       3.209       3.388
20151104       3.500       2.766       2.958       3.459
20151105       3.252       2.591       2.761       3.240
20151106       3.090       2.451       2.586       3.146
20151107       4.312       5.800       3.214       3.697
20151108       6.136       6.738       4.657       3.858
20151109       6.800       8.262       6.075       6.681
20151110       6.383       6.959       7.738       6.941
20151111       5.421       6.508       6.947       6.117
20151112       4.653       6.024       6.492       5.255
20151113       4.233       5.845       6.113       4.498
20151114       3.735       5.467       5.886       4.056
20151115       3.373       5.078       5.410       3.546
20151116       3.157       4.722       5.362       3.187
20151117       3.287       5.557       4.993       3.137
20151118       3.321       4.565       5.422       3.062
20151119       3.071       4.211       4.567       3.155
20151120       2.807       3.897       4.209       2.813
20151121       3.041       3.622       3.899       2.627
20151122       3.496       3.372       3.622       2.773
20151123       4.943       3.156       3.373       3.138
20151124       3.620       2.987       3.193       4.581
20151125       2.691       2.777       2.989       3.524
20151126       2.477       2.588       2.782       2.526
20151127       2.829       2.422       3.173       2.502
20151128       3.111       4.822       2.518       2.662
20151129       3.119       4.287       4.018       4.103
20151130       3.153       3.826       4.220       2.966
20151201       3.423       3.539       3.822       2.962
20151202       3.058       3.292       3.571       3.265
20151203       2.849       3.204       3.344       2.909
