date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.366       0.471       0.437       1.225
20150802       1.280       0.399       0.423       1.281
20150803       1.321       0.740       0.465       1.314
20150804       1.203       0.486       0.433       1.178
20150805       1.098       0.467       0.454       1.161
20150806       1.042       0.404       0.751       1.576
20150807       1.196       0.386       0.487       1.066
20150808       1.237       0.576       0.480       1.125
20150809       1.175       0.404       0.399       1.016
20150810       1.100       0.374       0.397       1.131
20150811       1.111       0.344       0.367       0.952
20150812       1.310       0.721       0.451       1.169
20150813       1.251       0.590       0.663       1.326
20150814       1.161       0.451       0.451       1.123
20150815       1.051       0.404       0.451       1.135
20150816       1.010       0.381       0.404       1.003
20150817       0.944       0.322       0.372       0.946
20150818       0.919       0.283       0.338       0.885
20150819       0.895       0.254       0.300       0.886
20150820       0.838       0.227       0.255       0.866
20150821       0.743       0.203       0.227       0.832
20150822       0.712       0.182       0.204       0.629
20150823       0.686       0.165       0.182       0.685
20150824       0.658       0.147       0.165       0.655
20150825       0.638       0.131       0.147       0.638
20150826       0.631       0.148       0.134       0.540
20150827       0.627       0.130       0.273       1.152
20150828       0.908       0.780       0.480       2.140
20150829       1.386       1.136       0.699       0.966
20150830       1.296       0.944       0.875       1.499
20150831       1.165       0.730       1.282       1.218
20150901       1.023       0.501       0.603       0.834
20150902       0.951       0.432       0.480       0.891
20150903       0.860       0.387       0.449       0.874
20150904       0.826       0.347       0.402       0.801
20150905       1.092       0.859       0.647       1.312
20150906       1.182       0.651       0.867       1.091
20150907       1.365       0.666       0.767       1.168
20150908       1.373       0.498       0.596       1.120
20150909       1.308       0.499       0.541       1.140
20150910       1.191       0.437       0.489       1.256
20150911       1.101       0.392       0.396       1.151
20150912       1.012       0.351       0.392       1.036
20150913       0.963       0.383       0.351       0.956
20150914       0.888       0.353       0.314       0.923
20150915       0.835       0.311       0.291       0.848
20150916       1.553       0.547       0.695       1.618
20150917       1.204       0.362       0.452       1.304
20150918       1.244       0.530       0.384       1.113
20150919       1.730       1.198       0.592       1.268
20150920       2.288       1.145       1.303       1.966
20150921       2.073       1.037       0.961       1.635
20150922       1.768       0.740       0.687       1.602
20150923       1.588       0.675       0.587       1.680
20150924       1.415       0.639       0.672       1.385
20150925       1.614       1.105       0.788       1.497
20150926       2.204       1.933       1.175       1.744
20150927       1.945       1.268       1.488       1.887
20150928       1.729       0.812       0.893       1.385
20150929       1.562       0.722       0.828       1.325
20150930       2.128       0.804       0.826       1.549
20151001       3.549       2.191       1.178       1.988
20151002       3.263       1.608       2.238       2.724
20151003       2.889       1.581       1.422       2.561
20151004       5.596       1.786       1.641       2.111
20151005       3.716       1.973       1.506       2.725
20151006       2.931       1.061       1.175       2.995
20151007       2.436       0.954       1.061       2.232
20151008       2.069       0.856       0.924       2.292
20151009       1.784       0.773       0.851       1.862
20151010       1.576       0.692       0.773       1.574
20151011       1.374       0.621       0.692       1.504
20151012       1.251       0.557       0.621       1.308
20151013       1.135       0.500       0.560       1.097
20151014       1.039       0.448       0.529       1.058
20151015       0.955       0.402       0.449       0.970
20151016       0.902       0.363       0.402       0.905
20151017       0.854       0.430       0.362       0.786
20151018       0.812       0.376       0.389       0.712
20151019       0.784       0.375       0.342       0.772
20151020       0.762       0.338       0.368       0.720
20151021       0.740       0.393       0.546       1.093
20151022       0.907       0.699       0.624       1.131
20151023       1.373       4.815       1.073       1.414
20151024       1.131       1.400       3.503       1.987
20151025       1.808       2.386       1.960       1.298
20151026       1.731       4.146       2.418       1.868
20151027       1.769       2.626       3.466       1.969
20151028       1.590       1.329       2.200       1.534
20151029       1.380       0.907       1.330       1.175
20151030       1.252       0.800       0.908       0.986
20151031       1.209       0.832       0.853       1.124
20151101       1.217       1.149       1.068       1.406
20151102       1.198       0.827   -9999.000   -9999.000
20151103       1.070       0.768       0.869       1.189
20151104       1.145       1.284       1.185       1.514
20151105       1.095       0.782       0.830       0.938
20151106       1.032       0.696       0.792       1.020
20151107       1.020       0.796       0.789       1.056
20151108       1.047       0.867       0.838       1.039
20151109       1.059       0.700       0.796       0.966
20151110       1.627       1.075       1.140       1.534
20151111       2.048       3.332       2.073       2.400
20151112       2.156       2.857       2.481       2.522
20151113       1.799       1.316       2.071       1.680
20151114       1.781       0.990       1.359       1.219
20151115       3.130       3.655       1.652       1.794
