date          Qobs       Qsimobs        Qsim       Qusi
20150801       8.940       4.091       4.568       9.832
20150802       7.075       5.778       4.345       8.273
20150803       6.497       4.367       5.792       7.507
20150804       6.215       4.454       4.935       5.735
20150805       8.936       5.624       4.694       6.087
20150806       8.865       4.791       6.176       9.234
20150807      12.704       7.386       5.049       8.100
20150808      11.156       7.287       6.217      10.647
20150809       8.389       4.687       6.594      10.080
20150810       9.215       5.039       5.066       6.753
20150811      10.232       6.279       4.585       7.944
20150812      12.078       6.863       5.436       8.518
20150813       8.211       4.084       6.038      10.318
20150814       6.418       4.039       4.763       7.013
20150815       6.433       4.863       4.741       6.775
20150816       8.033       6.075       5.012       6.384
20150817       8.326       5.165       5.883       7.867
20150818       6.951       4.458       5.336       7.047
20150819       5.538       4.731       4.942       6.547
20150820       5.178       5.161       4.974       5.602
20150821       5.326       5.029       5.331       5.520
20150822       6.695       6.033       5.256       5.197
20150823       7.517       5.600       5.793       6.263
20150824       6.307       4.987       5.666       6.543
20150825       5.546       5.248       5.096       5.489
20150826       6.394       5.025       5.203       5.447
20150827       6.149       4.593       4.861       5.844
20150828       5.733       4.286       7.347       9.099
20150829       6.608       5.139       4.632       5.209
20150830       8.148       5.993       4.738       6.111
20150831       6.983       5.312       6.080       8.146
20150901       4.889       3.320       4.772       5.696
20150902       3.923       3.272       3.532       3.768
20150903       3.457       3.253       3.442       3.616
20150904       3.973       3.911       2.774       2.923
20150905      11.056      10.652       5.235       4.825
20150906       9.414       6.496       9.269      11.517
20150907       7.041       7.421       5.977       7.262
20150908       6.649       3.927       6.005       5.459
20150909       4.932       3.375       5.513       5.400
20150910       3.916       3.167       4.090       4.320
20150911       3.645       2.939       3.478       3.840
20150912       3.260       3.100       3.291       3.401
20150913       3.084       4.066       3.493       3.449
20150914       3.782       4.294       4.140       3.700
20150915       4.655       5.092       4.712       3.840
20150916       5.334       6.498       5.298       5.542
20150917       4.210       3.441       5.428       4.882
20150918       6.018       5.183       3.525       3.200
20150919      15.107      11.255       4.823       4.462
20150920      14.408      13.199       9.118      14.021
20150921       7.382       3.985       9.641      11.326
20150922       4.730       2.813       4.080       4.179
20150923       3.651       2.861       3.095       3.566
20150924       3.669       3.320       3.001       3.613
20150925       5.904       8.078       3.298       3.660
20150926      10.605      20.469       7.156       6.911
20150927       7.762       7.312      10.093       8.454
20150928       4.947       3.386       7.967       5.170
20150929       4.223       3.574       3.989       2.955
20150930       5.718       4.476       3.559       4.212
20151001      10.150       9.271       4.668       5.229
20151002      10.740       4.978       5.258       8.524
20151003       9.965      11.827       7.749      10.969
20151004       6.735       4.925       8.781       9.988
20151005       4.975       2.833       5.277       4.715
20151006       3.515       2.694       3.178       3.916
20151007       2.708       3.921       2.935       3.524
20151008       2.334       3.828       3.558       3.149
20151009       2.308       3.596       3.436       2.316
20151010       2.198       2.977       3.061       2.071
20151011       2.010       2.062       2.665       1.962
20151012       1.836       2.047       1.964       1.596
20151013       1.693       1.918       1.937       1.703
20151014       1.583       1.954       1.899       1.615
20151015       1.482       1.854       1.858       1.542
20151016       1.406       1.748       1.802       1.468
20151017       1.354       1.476       1.580       1.288
20151018       1.336       1.721       1.451       1.190
20151019       1.313       1.452       1.485       1.328
20151020       1.284       1.314       1.380       1.178
20151021       1.385       1.934       1.719       1.655
20151022       3.827       3.587       3.628       3.204
20151023      21.695      28.100       6.310       5.681
20151024       8.695       6.396      17.053      19.794
