date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.901       0.520       0.574       1.702
20150802       0.592       0.519       0.547       0.892
20150803       0.453       0.453       0.499       0.532
20150804       0.420       0.406       0.453       0.422
20150805       1.198       1.438       0.551       0.473
20150806       1.113       0.681       0.760       1.489
20150807       0.728       0.616       0.683       0.866
20150808       0.530       0.557       0.631       0.712
20150809       0.389       0.503       0.557       0.514
20150810       0.306       0.452       0.503       0.368
20150811       0.253       0.406       0.452       0.282
20150812       0.214       0.364       0.406       0.236
20150813       0.178       0.323       0.363       0.202
20150814       0.151       0.286       0.323       0.163
20150815       0.128       0.252       0.286       0.139
20150816       0.116       0.222       0.252       0.123
20150817       0.110       0.192       0.222       0.105
20150818       0.091       0.167       0.192       0.095
20150819       0.078       0.144       0.167       0.080
20150820       0.069       0.125       0.144       0.067
20150821       0.060       0.109       0.125       0.060
20150822       0.051       0.095       0.109       0.054
20150823       0.049       0.082       0.095       0.045
20150824       0.046       0.072       0.082       0.041
20150825       1.460       0.537       0.151       0.086
20150826       5.203       3.994       0.515       1.521
20150827       5.655       2.771       1.497       8.585
20150828       5.122       1.995       1.901       3.902
20150829       2.455       1.020       1.414       2.552
20150830       1.368       0.932       1.020       1.467
20150831       0.906       0.851       0.932       1.241
20150901       0.742       0.775       0.876       0.934
20150902      18.927      12.321       2.277       1.890
20150903      28.661      14.026      11.155      23.306
20150904       9.950       3.871       8.803      15.721
20150905       4.308       1.723       3.452       4.101
20150906       2.848       1.158       1.658       2.010
20150907       1.731       1.030       1.124       1.752
20150908       1.182       0.943       1.030       1.499
20150909       0.862       0.906       0.981       1.064
20150910       0.675       0.827       0.901       0.828
20150911       0.549       0.754       0.786       0.641
20150912       0.494       0.686       0.755       0.497
20150913       0.646       0.809       0.687       0.457
20150914       0.887       0.874       0.791       0.686
20150915       9.792       9.387       1.199       1.248
20150916      13.476      10.457       8.031      14.216
20150917      13.631       6.886       8.733      12.308
20150918      16.963      10.884       8.236      10.143
20150919       5.655       2.214       6.602       9.759
20150920       2.720       1.154       2.214       2.144
20150921       1.690       1.076       1.156       1.507
20150922       1.433       0.991       1.139       1.573
20150923       1.856       2.084       1.092       1.247
20150924       1.658       1.298       1.221       1.872
20150925       2.015       1.381       1.432       1.666
20150926       1.602       1.049       1.151       1.640
20150927       1.138       0.960       1.049       1.365
20150928       0.886       0.879       0.960       1.005
20150929       0.742       0.804       0.879       0.846
20150930       0.655       0.625       0.803       0.698
20151001       0.565       0.568       0.733       0.585
20151002       0.501       0.515       0.669       0.530
20151003       0.447       0.466       0.515       0.467
20151004       0.406       0.531       0.466       0.412
20151005       0.369       0.481       0.421       0.375
20151006       0.341       0.435       0.379       0.334
20151007       0.317       0.393       0.435       0.318
20151008       0.291       0.354       0.393       0.294
20151009       0.283       0.322       0.372       0.277
20151010       0.280       0.315       0.322       0.264
20151011       0.269       0.282       0.289       0.290
20151012       0.260       0.258       0.280       0.252
20151013       0.303       0.261       0.259       0.244
20151014       0.251       0.226       0.231       0.317
20151015       0.229       0.202       0.230       0.219
20151016       0.216       0.177       0.203       0.213
20151017       0.206       0.155       0.177       0.194
20151018       0.197       0.139       0.155       0.178
20151019       0.188       0.127       0.139       0.179
20151020       0.183       0.119       0.127       0.170
20151021       0.179       0.113       0.115       0.169
20151022       0.191       0.252       0.109       0.164
20151023       0.185       0.193       0.161       0.282
20151024       0.174       0.168       0.193       0.166
20151025       0.168       0.157       0.169       0.157
20151026       0.159       0.139       0.144       0.161
20151027       0.152       0.125       0.137       0.143
20151028       0.146       0.115       0.126       0.134
20151029       0.145       0.109       0.112       0.131
20151030       0.146       0.099       0.105       0.139
20151031       0.144       0.110       0.099       0.134
20151101       0.144       0.114       0.091       0.160
20151102       0.144       0.102   -9999.000   -9999.000
20151103       0.139       0.096       0.096       0.133
20151104       0.135       0.086       0.093       0.128
20151105       0.132       0.096       0.088       0.126
20151106       0.136       0.142       0.084       0.129
20151107       0.259       0.420       0.176       0.256
20151108       1.098       1.108       0.298       0.279
20151109       1.163       0.786       0.521       0.878
20151110       0.833       0.728       0.745       1.217
20151111       0.610       0.664       0.715       0.806
20151112       0.519       0.633       0.664       0.605
20151113       0.538       0.819       0.627       0.521
