date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.246       1.989       2.177       2.289
20150802       2.481       2.647       1.951       1.966
20150803       2.113       2.639       2.566       2.547
20150804       3.358       2.761       2.589       2.401
20150805       5.064       4.168       3.117       2.638
20150806       4.306       3.018       3.533       4.096
20150807       5.363       3.872       2.937       3.185
20150808       4.352       3.960       3.243       3.426
20150809       3.542       2.881       3.468       3.728
20150810       4.124       2.490       2.903       2.771
20150811       5.207       3.631       2.571       2.831
20150812       4.376       3.073       2.815       3.151
20150813       3.058       2.220       2.819       3.604
20150814       2.802       2.366       2.403       2.727
20150815       4.707       3.531       2.571       2.471
20150816       8.344       4.242       3.721       3.984
20150817       6.195       3.752       4.047       5.155
20150818       4.564       3.007       3.605       4.640
20150819       3.952       3.009       2.930       3.519
20150820       3.990       3.080       2.820       3.257
20150821       4.090       2.865       2.853       3.194
20150822       4.820       3.612       2.963       3.099
20150823       4.379       2.776       3.195       4.069
20150824       3.890       3.000       2.682       3.423
20150825       5.215       3.512       2.973       3.327
20150826       6.046       4.378       3.626       4.075
20150827       6.125       3.438       4.241       4.343
20150828       4.869       4.641       3.847       4.274
20150829       4.194       4.536       4.015       4.437
20150830       5.321       5.187       4.125       3.957
20150831       4.320       4.040       3.861       3.655
20150901       2.931       2.323       3.191       3.604
20150902       5.787       3.801       3.380       2.750
20150903       4.247       3.048       3.508       3.732
20150904       3.112       2.554       2.662       3.072
20150905       2.698       2.741       1.905       2.236
20150906       1.846       2.141       2.256       2.402
20150907       1.371       1.311       1.513       1.363
20150908       1.178       1.166       1.348       1.199
20150909       1.255       1.163       1.415       1.121
20150910       1.335       1.342       1.412       1.180
20150911       1.450       1.375       1.317       1.150
20150912       1.796       1.846       1.307       1.092
20150913       4.426       2.737       1.856       1.673
20150914       5.825       4.659       2.917       2.785
20150915       5.714       3.944       3.625       4.454
20150916       4.134       3.903       3.951       4.247
20150917       2.903       2.231       3.673       3.989
20150918       3.100       2.370       2.556       2.221
20150919       3.340       2.467       2.068       1.994
20150920       2.264       2.013       2.073       2.998
20150921       1.632       0.973       1.737       1.918
20150922       1.253       0.713       1.146       1.102
20150923       1.215       1.446       1.111       1.156
20150924       2.092       1.693       1.295       1.172
20150925       3.280       2.216       1.479       1.193
20150926       2.630       1.564       1.690       2.748
20150927       1.528       1.339       1.444       1.748
20150928       1.134       1.242       1.295       1.405
20150929       0.931       0.525       1.003       0.886
20150930       0.823       0.514       0.598       0.508
20151001       0.836       1.062       0.495       0.560
20151002       0.989       1.295       0.759       0.736
20151003       1.284       1.175       1.096       0.926
20151004       1.085       1.078       0.916       0.909
20151005       0.848       0.426       0.904       0.870
20151006       0.747       0.719       0.680       0.576
20151007       0.653       1.165       0.709       0.809
20151008       0.807       1.387       1.190       0.972
20151009       0.945       1.203       1.201       0.694
20151010       0.823       0.956       1.012       0.736
20151011       0.693       0.403       0.852       0.742
20151012       0.586       0.296       0.386       0.409
20151013       0.500       0.277       0.285       0.439
20151014       0.434       0.259       0.273       0.468
20151015       0.381       0.246       0.259       0.430
20151016       0.335       0.234       0.246       0.364
20151017       0.298       0.222       0.234       0.290
20151018       0.270       0.211       0.222       0.296
20151019       0.244       0.200       0.211       0.264
20151020       0.226       0.197       0.210       0.242
20151021       0.253       0.316       0.378       0.384
20151022       2.393       0.821       0.532       0.450
20151023       3.285       7.029       0.778       0.500
20151024       2.053       2.406       4.226       5.079
20151025       2.112       2.045       2.261       1.397
20151026       1.608       0.951       1.666       1.564
20151027       1.090       0.779       1.100       0.961
20151028       0.798       0.378       0.766       0.914
20151029       0.632       0.310       0.459       0.527
20151030       0.832       0.488       0.429       0.544
20151031       1.910       1.061       1.012       0.949
20151101       2.035       2.420       0.977       1.553
20151102       1.589       1.572   -9999.000   -9999.000
20151103       1.507       0.754       1.441       1.329
20151104       1.381       0.490       0.725       0.742
20151105       1.125       0.321       0.782       1.106
20151106       1.027       0.909       0.563       0.771
20151107       3.294       0.826       1.332       1.813
20151108       2.306       1.790       0.789       0.496
20151109       2.457       1.802       0.672       1.326
20151110       1.955       2.183       1.998       2.491
20151111       1.652       2.047       1.638       1.885
20151112       1.614       1.408       1.591       1.322
20151113       1.495       1.159       1.098       1.024
20151114       1.221       0.600       0.912       0.855
20151115       1.243       0.682       0.637       0.662
20151116       1.011       0.815       0.483       0.962
20151117       0.955       0.516       0.514       0.680
20151118       0.893       0.557       0.479       0.747
20151119       0.666       0.467       0.378       0.632
20151120       0.461       0.275       0.350       0.566
20151121       0.357       0.242       0.273       0.386
20151122       0.298       0.223       0.242       0.336
20151123       0.268       0.208       0.224       0.295
20151124       0.295       0.260       0.235       0.288
20151125       0.291       0.236       0.221       0.262
20151126       0.290       0.192       0.256       0.307
20151127       3.961       0.586       0.304       0.361
20151128       2.287       0.795       0.351       1.268
20151129       1.375       0.502       0.551       2.275
20151130       1.094       0.423       0.414       0.958
20151201       0.861       0.325       0.462       0.794
20151202       1.277       0.249       0.281       0.744
20151203       1.606       0.397       0.302       0.647
20151204       0.880       0.315       0.282       1.475
20151205       3.763       1.302       0.395       0.865
20151206       2.012       4.330       0.909       1.366
20151207       1.027       2.169       2.328       2.880
20151208       2.017       0.794       1.746       0.933
20151209       2.491       2.724       0.997       0.594
20151210       2.260       2.467       2.483       3.188
20151211       1.134       1.470       1.735       2.014
20151212       0.780       0.575       1.138       0.842
20151213       0.563       0.297       0.515       0.428
20151214       0.449       0.194       0.275       0.338
20151215       0.383       0.169       0.191       0.284
20151216       0.338       0.157       0.203       0.427
20151217       1.437       0.199       0.533       0.607
20151218       3.676       0.368       0.326       0.446
20151219       3.692       2.159       2.171       4.899
20151220       7.386       6.717       2.989       3.992
20151221       4.120       7.695   -9999.000   -9999.000
20151222       2.717       3.909   -9999.000   -9999.000
20151223       2.027       2.668       3.148       2.210
20151224       1.844       2.064       2.093       1.737
20151225       1.587       3.263       1.604       1.131
20151226       1.020       1.162       2.095       1.707
20151227       0.728       0.438       1.047       0.651
20151228       0.673       0.257       0.515       0.447
20151229       0.598       0.205       0.242       0.372
20151230       0.713       0.371       0.241       0.526
20151231       0.816       1.719       0.481       0.828
20160101       0.647       1.898       1.007       0.970
20160102       0.566       0.625       1.209       0.591
20160103       0.658       0.280       0.559       0.258
20160104       1.285       0.212       0.278       0.292
20160105       2.192       0.199       0.212       0.618
20160106       3.098       0.188       0.199       1.293
20160107       3.854       0.178       0.188       1.730
20160108       4.143       0.169       0.178       2.466
20160109       3.802       0.160       0.169       2.546
20160110       2.534       0.158       0.161       2.914
20160111       1.037       0.161       0.171       2.466
20160112       0.408       0.141       0.148       0.149
20160113       0.241       0.136       0.142       0.142
20160114       0.177       0.158       0.152       0.152
20160115       0.150       0.165       0.133       0.135
20160116       0.133       0.151       0.144       0.146
20160117       0.114       0.117       0.126       0.128
20160118       0.099       0.107       0.124       0.124
20160119       0.091       0.100       0.113       0.113
20160120       0.084       0.094       0.104       0.104
20160121       0.078       0.089       0.094       0.094
20160122       0.074       0.084       0.089       0.089
20160123       0.075       0.121       0.102       0.108
20160124       0.083       0.163       0.182       0.221
20160125       0.433       0.240       0.171       0.144
20160126       2.364       0.557       0.199       0.200
20160127       2.064       0.437       0.394       0.396
20160128       1.054       0.358       0.287       0.298
20160129       1.144       0.381       0.282       0.294
20160130       0.910       1.018       0.371       0.367
20160131       0.680       0.430       0.597       0.598
20160201       0.590       0.244       0.378       0.394
