date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.411       0.535       0.630       0.412
20150802       0.387       0.566       0.572       0.311
20150803       0.387       0.574       0.540       0.323
20150804       0.273       0.487       0.532       0.356
20150805       4.166       6.695       0.776       0.492
20150806       1.944       1.097       3.085       4.197
20150807       0.832       0.552       1.077       0.732
20150808       0.565       0.526       0.552       0.518
20150809       0.377       0.483       0.514       0.574
20150810       0.273       0.456       0.482       0.356
20150811       0.241       0.422       0.446       0.270
20150812       0.245       0.396       0.513       0.364
20150813       0.178       0.363       0.393       0.232
20150814       0.140       0.335       0.363       0.169
20150815       0.113       0.309       0.335       0.135
20150816       0.094       0.285       0.309       0.112
20150817       0.081       0.264       0.285       0.086
20150818       0.069       0.243       0.263       0.074
20150819       0.062       0.224       0.243       0.068
20150820       0.056       0.206       0.224       0.061
20150821       0.051       0.190       0.206       0.055
20150822       0.047       0.175       0.190       0.047
20150823       0.043       0.161       0.175       0.044
20150824       0.040       0.148       0.161       0.041
20150825       0.050       0.236       0.148       0.050
20150826       0.337       2.195       0.689       0.216
20150827       8.651       3.951       2.107       1.426
20150828       4.083       5.086       2.581       4.098
20150829       1.245       0.776       2.892       3.367
20150830       0.576       0.369       0.757       0.382
20150831       0.363       0.341       0.368       0.274
20150901       0.263       0.316       0.343       0.382
20150902      11.135       2.364       0.408       0.359
20150903       8.002       3.258       3.749       9.113
20150904       2.701       1.154       1.821       3.208
20150905       4.152       4.068       1.027       1.228
20150906       1.900       0.659       2.534       3.436
20150907       0.806       0.491       0.606       0.586
20150908       0.524       0.455       0.488       0.653
20150909       0.367       0.423       0.454       0.534
20150910       0.278       0.393       0.423       0.352
20150911       0.224       0.364       0.392       0.260
20150912       0.200       0.338       0.364       0.218
20150913       0.211       0.365       0.341       0.192
20150914       0.296       0.328       0.337       0.204
20150915       3.054       0.322       0.324       0.252
20150916       5.350       5.817       3.119       3.514
20150917      11.804       2.876       5.168       7.498
20150918      13.134      13.829       9.688      12.512
20150919       2.954       2.408       6.369       7.801
20150920       1.267       0.562       2.335       1.796
20150921       0.721       0.496       0.573       0.404
20150922       0.755       0.471       0.497       0.554
20150923       2.698       2.041       1.091       1.034
20150924       1.340       0.555       1.019       2.064
20150925       3.007       1.900       2.393       2.556
20150926       1.453       0.556       0.896       1.883
20150927       0.787       0.517       0.555       0.862
20150928       0.546       0.481       0.517       0.806
20150929       0.429       0.447       0.481       0.548
20150930       0.355       0.268       0.447       0.402
20151001       0.302       0.249       0.416       0.350
20151002       0.258       0.231       0.387       0.294
20151003       0.220       0.214       0.231       0.236
20151004       0.201       0.311       0.214       0.210
20151005       0.188       0.289       0.198       0.180
20151006       0.171       0.268       0.184       0.198
20151007       0.159       0.249       0.268       0.154
20151008       0.147       0.232       0.249       0.156
20151009       0.141       0.219       0.232       0.158
20151010       0.139       0.204       0.219       0.149
20151011       0.136       0.189       0.203       0.132
20151012       0.131       0.175       0.189       0.142
20151013       0.129       0.177       0.175       0.124
20151014       0.121       0.163       0.167       0.120
20151015       0.115       0.152       0.161       0.116
20151016       0.112       0.142       0.152       0.103
20151017       0.108       0.132       0.143       0.101
20151018       0.107       0.122       0.133       0.108
20151019       0.105       0.115       0.124       0.109
20151020       0.104       0.109       0.115       0.094
20151021       0.129       0.108       0.107       0.098
20151022       0.262       0.197       0.115       0.117
20151023       0.240       0.179       0.125       0.292
20151024       0.187       0.162       0.154       0.265
20151025       0.446       0.227       0.484       0.439
20151026       0.387       0.193       0.174       0.444
20151027       0.284       0.180       0.195       0.363
20151028       0.231       0.168       0.182       0.278
20151029       0.207       0.156       0.168       0.218
20151030       0.184       0.147       0.158       0.196
20151031       0.189       0.157       0.148       0.176
20151101       0.214       0.154       0.140       0.194
20151102       0.198       0.142   -9999.000   -9999.000
20151103       0.170       0.133       0.142       0.192
20151104       0.156       0.123       0.132       0.160
20151105       0.144       0.115       0.123       0.152
20151106       0.142       0.111       0.116       0.130
20151107       1.999       4.009       1.399       1.549
20151108       1.831       2.640       2.163       0.950
20151109       2.575       1.654       2.805       2.122
20151110       2.257       1.120       1.656       1.588
20151111       0.981       0.338       0.403       1.156
20151112       0.583       0.316       0.338       0.468
20151113       0.834       0.294       0.319       0.565
20151114       0.868       0.518       0.305       0.630
20151115       0.566       0.314       0.331       0.701
20151116       0.426       0.290       0.311       0.592
20151117       0.366       0.275       0.293       0.421
20151118       0.311       0.316       0.273       0.373
20151119       0.244       0.250       0.269       0.304
20151120       0.147       0.233       0.250       0.234
20151121       0.166       0.217       0.233       0.130
20151122       0.158       0.202       0.217       0.156
20151123       0.159       0.189       0.202       0.144
20151124       0.180       0.176       0.201       0.156
20151125       0.223       0.167       0.176       0.176
20151126       0.165       0.154       0.165       0.220
20151127       0.216       0.143       0.990       0.871
20151128       2.311       5.194       0.146       0.169
20151129       1.358       1.432       2.983       3.251
20151130       0.643       0.292       1.165       0.568
20151201       0.434       0.272       0.294       0.193
20151202       0.369       0.254       0.298       0.442
20151203       0.325       0.250       0.254       0.342
20151204       0.262       0.226       0.277       0.374
20151205       0.471       0.215       2.990       2.098
20151206       1.174       4.766       0.361       0.400
20151207       0.957       4.103       2.473       1.648
20151208       0.626       0.643       3.402       1.029
20151209       2.280       3.000       1.225       0.287
20151210       2.326       2.312       1.678       2.280
