date          Qobs       Qsimobs        Qsim       Qusi
20150801      65.469      45.050      49.916      71.781
20150802      52.429      39.559      46.399      59.050
20150803      46.619      44.895      40.500      48.993
20150804      42.226      34.453      41.079      45.325
20150805      40.073      36.602      35.883      38.209
20150806      41.629      37.962      36.262      38.853
20150807      38.645      33.045      35.979      40.739
20150808      37.015      31.045      33.005      37.026
20150809      36.179      29.659      32.535      37.119
20150810      35.650      31.594      32.012      35.551
20150811      34.578      27.971      29.444      34.768
20150812      45.387      55.348      32.081      36.185
20150813      50.881      41.579      47.127      54.757
20150814      53.020      35.525      41.726      47.272
20150815      47.929      30.790      35.497      45.831
20150816      45.062      28.540      31.222      43.377
20150817      40.989      25.038      28.267      40.629
20150818      35.377      23.270      25.319      37.475
20150819      30.089      21.882      23.372      33.323
20150820      25.822      20.774      21.865      28.470
20150821      22.602      19.790      20.670      24.847
20150822      20.224      19.062      19.827      22.203
20150823      18.185      18.459      19.319      20.136
20150824      16.642      18.058      18.581      17.916
20150825      15.998      16.806      18.054      16.096
20150826      15.961      15.223      16.688      14.670
20150827      17.156      15.301      15.249      14.024
20150828      19.792      14.336      16.027      17.828
20150829      38.177      57.146      23.843      27.223
20150830      69.628      86.370      43.041      48.939
20150831      85.660      74.909      60.103      73.594
20150901      82.780      54.342      64.672      77.234
20150902      66.841      43.051      53.091      69.291
20150903      50.922      35.633      43.104      57.367
20150904      38.766      29.304      35.458      44.830
20150905      30.536      28.413      29.982      33.826
20150906      25.540      23.516      27.363      28.434
20150907      21.772      21.077      25.521      24.196
20150908      19.920      17.810      20.428      19.013
20150909      17.509      16.275      18.406      18.114
20150910      15.330      13.805      16.578      15.331
20150911      13.312      12.019      12.901      13.517
20150912      11.720      10.589      12.019      11.883
20150913      10.562       9.547      10.577      10.337
20150914       9.901       8.884       9.566       9.718
20150915       9.508       8.266       8.899       9.189
20150916       9.110       7.744       8.271       8.511
20150917       8.766       7.788       7.729       8.580
20150918       9.299       8.025       9.731      10.428
20150919      22.135      16.256      13.056      14.412
20150920      40.699      26.142      24.466      30.945
20150921      39.481      15.868      31.925      45.495
20150922      31.670      13.252      16.450      35.547
20150923      25.765      11.276      13.249      28.787
20150924      21.748      12.680      12.679      23.928
20150925      18.567       9.843      10.974      21.107
20150926      23.918      24.556      14.879      23.852
20150927      34.925      21.339      21.234      28.944
20150928      34.018      15.612      20.355      31.946
20150929      29.388      13.415      15.311      27.453
20150930      34.868      33.490      26.212      47.188
20151001      54.084      53.676      35.910      53.117
20151002     137.121     202.825      64.356      84.481
20151003     163.626     171.747     133.895     179.748
20151004     148.811     148.391     142.482     154.358
20151005     121.876     100.122     122.781     123.607
20151006      89.260      71.836      98.389      94.990
20151007      63.139      57.265      71.835      69.543
20151008      44.756      46.847      55.589      52.091
20151009      32.733      39.941      46.040      39.537
20151010      24.868      34.033      39.941      28.629
20151011      21.142      33.756      37.000      25.022
20151012      20.282      29.848      34.288      20.623
20151013      19.227      25.607      29.411      19.677
20151014      24.791      48.994      31.479      21.288
20151015      27.996      35.794      33.234      25.958
20151016      47.659     100.436      51.223      35.434
20151017      61.178      82.230      62.460      59.689
20151018      62.846      59.441      68.105      55.746
20151019      53.767      48.033      57.986      51.067
20151020      42.959      39.295      48.230      45.492
20151021      36.364      36.178      41.838      39.295
20151022      40.916      51.673      45.809      42.129
20151023      55.321      57.255      50.819      46.737
20151024      54.998      41.503      50.074      53.218
20151025      53.029      44.880      44.930      50.774
20151026      63.260      48.794      44.495      50.329
20151027      72.495      42.573      45.690      59.063
20151028      58.390      30.780      38.501      57.546
20151029      44.195      25.812      30.980      50.149
20151030      33.583      21.904      26.496      39.721
20151031      27.810      19.582      29.458      38.195
20151101      53.246      73.640      39.260      45.392
20151102      98.801     133.620   -9999.000   -9999.000
20151103     124.152     109.624     112.279     104.244
20151104     133.936     128.211     107.050     118.517
20151105     119.104      97.588     102.328     122.825
20151106      92.619      67.944      85.323      95.677
20151107      68.740      53.514      68.128      76.273
20151108      57.872      60.752      59.954      64.890
20151109      51.469      51.945      52.888      55.780
20151110      43.544      48.227      50.516      49.267
20151111      42.294      55.778      48.987      44.569
20151112      42.972      47.192      50.588      40.160
20151113      40.117      38.928      46.204      39.124
20151114      35.732      35.493      39.225      35.908
20151115      29.742      28.178      33.775      31.201
20151116      23.761      23.909      28.131      25.844
20151117      19.320      20.930      24.355      20.967
20151118      15.922      17.972      20.619      16.846
20151119      13.033      15.315      17.375      14.268
20151120      10.682      13.120      15.671      12.019
20151121       9.113      12.122      13.048       9.669
20151122       7.934       9.934      11.446       7.668
20151123       7.117       9.603      10.498       8.121
20151124       6.629       8.983      10.727       7.726
20151125       6.247       8.331       9.139       6.695
20151126       6.613      11.548      11.645       8.786
20151127      10.389      42.179      17.019      10.107
20151128      19.336      38.012      27.784      12.040
20151129      21.343      26.108      33.264      15.705
20151130      19.460      21.597      26.097      18.018
20151201      17.298      20.913      22.418      18.640
20151202      15.495      21.818      20.557      15.488
20151203      14.854      22.879      22.538      17.269
20151204      21.379      71.857      28.415      18.245
20151205      23.551      35.909      41.211      24.462
