date          Qobs       Qsimobs        Qsim       Qusi
20150801       8.758       9.016      12.824       9.728
20150802       7.410      12.485       9.203       6.824
20150803       6.318       7.665       9.775       6.829
20150804       5.721       6.901       7.705       4.900
20150805      12.060      35.626      16.284      13.168
20150806      14.937      12.851      22.408      19.405
20150807      11.709       8.565      12.947      10.726
20150808       9.041       7.389       8.589       8.191
20150809       7.254       7.013       7.480       8.101
20150810       5.894       6.785       7.013       7.157
20150811       4.847       6.565       6.785       5.903
20150812       4.119       6.377       6.568       4.796
20150813       3.495       6.158       6.366       4.101
20150814       3.012       5.953       6.158       3.530
20150815       2.637       5.754       5.953       2.980
20150816       2.339       5.560       5.754       2.622
20150817       2.113       5.415       5.560       2.296
20150818       1.902       5.230       5.371       2.071
20150819       1.747       5.051       5.188       1.808
20150820       1.602       4.876       5.053       1.664
20150821       1.495       4.706       4.876       1.518
20150822       1.397       4.541       4.706       1.441
20150823       1.305       4.380       4.541       1.347
20150824       1.240       4.226       4.380       1.264
20150825       2.374       5.957       4.600       1.314
20150826      12.012      40.394       6.115       1.997
20150827      26.401      46.930      23.462      27.265
20150828      53.177      28.723      34.072      30.801
20150829      35.368      14.343      24.460      31.098
20150830      19.317       9.626      14.440      20.118
20150831      12.788       7.784       9.466      13.344
20150901       9.713       7.054       8.112      10.953
20150902      61.979      97.562      16.346      19.441
20150903     130.020     122.074      78.488      92.200
20150904      93.327      53.852      88.206     112.203
20150905      50.420      41.997      57.787      60.916
20150906      36.064      22.661      42.549      42.356
20150907      26.043      12.644      22.162      22.432
20150908      17.802       8.328      12.709      14.931
20150909      13.007       7.326       8.332      12.303
20150910      10.123       7.061       7.329      11.626
20150911       8.226       6.834       7.061      10.108
20150912       6.955       6.622       6.836       7.934
20150913       8.018      18.698       6.825       6.850
20150914      10.894      11.796      10.702      11.070
20150915      40.244      48.571      24.254      20.986
20150916      96.873     112.245      51.404      56.959
20150917      83.811      72.085      87.874     114.000
20150918      98.584     100.121      81.582      80.836
20150919      73.627      43.775      74.005      82.308
20150920      40.231      25.569      43.863      46.004
20150921      24.789      14.561      25.595      25.700
20150922      18.061       8.895      14.791      15.268
20150923      16.376      21.828      12.770      14.403
20150924      16.667       9.618      15.087      16.581
20150925      23.752      40.018      14.256      14.165
20150926      24.013      15.101      25.916      27.088
20150927      18.662       8.809      15.081      13.742
20150928      14.274       7.480       8.802      11.384
20150929      11.449       7.193       7.480      12.956
20150930       9.574       6.208       7.192      11.457
20151001       8.184       6.007       6.965       9.320
20151002       7.067       5.816       6.743       7.903
20151003       6.110       5.625       5.814       7.014
20151004       5.391       6.120       5.625       6.112
20151005       4.833       5.923       5.441       5.188
20151006       4.398       5.751       5.263       4.790
20151007       4.057       5.563       5.743       4.333
20151008       3.783       5.380       5.562       3.978
20151009       3.554       5.211       5.387       3.699
20151010       3.384       5.124       5.217       3.588
20151011       3.268       4.952       5.057       3.378
20151012       3.164       4.792       4.954       3.245
20151013       3.091       4.714       4.796       3.135
20151014       2.973       4.581       4.645       3.077
20151015       2.856       4.447       4.556       2.848
20151016       2.746       4.311       4.428       2.793
20151017       2.639       4.172       4.305       2.681
20151018       2.525       4.052       4.178       2.577
20151019       2.430       3.969       4.043       2.486
20151020       2.351       3.850       3.934       2.399
20151021       2.367       3.777       3.836       2.268
20151022       2.435       4.549       3.742       2.370
20151023       2.410       4.071       4.045       2.590
20151024       2.357       3.954       4.000       2.308
20151025       2.297       3.897       3.969       2.369
20151026       2.213       3.763       3.828       2.268
20151027       2.141       3.675       3.763       2.140
20151028       2.077       3.568       3.640       2.141
20151029       2.040       3.530       3.549       2.014
20151030       2.006       3.440       3.455       2.006
20151031       2.012       3.666       3.410       1.969
20151101       2.034       3.502       3.368       2.027
20151102       2.061       3.407   -9999.000   -9999.000
20151103       2.062       3.327       3.381       1.944
20151104       2.052       3.291       3.292       2.023
20151105       2.024       3.222       3.219       2.009
