date          Qobs       Qsimobs        Qsim       Qusi
20150801      71.545      58.846      65.427      74.570
20150802      60.313      46.397      54.080      60.278
20150803      83.778     118.455      91.731      96.744
20150804      59.071      51.440      79.016      91.090
20150805      74.950      86.961      58.730      48.712
20150806     151.470     206.956      99.989      81.374
20150807      78.995      99.728     140.864     145.410
20150808      69.117      98.688     140.225     120.472
20150809      66.832      82.477      88.727      64.419
20150810      51.527      58.800      71.518      56.939
20150811      38.294      45.951      55.585      42.913
20150812      36.679      44.929      50.189      38.376
20150813      36.798      44.973      70.970      58.448
20150814      30.253      40.010      42.764      35.736
20150815      25.475      37.372      39.976      31.148
20150816      21.977      34.989      37.342      25.239
20150817      19.027      32.557      34.910      22.618
20150818      16.653      30.475      32.557      19.091
20150819      14.339      28.331      30.405      17.459
20150820      12.460      26.382      28.331      14.540
20150821      10.967      24.558      26.382      13.120
20150822      10.096      22.954      24.558      11.573
20150823       9.450      21.313      22.900      10.325
20150824       9.095      19.912      21.311       9.650
20150825       8.115      18.648      19.856       9.101
20150826       7.639      18.596      18.769       8.934
20150827       8.238      17.591      17.996       8.627
20150828      55.130     270.550      59.298      31.245
20150829      62.433     172.077     170.855     126.953
20150830      33.329      78.826     160.543     114.755
20150831      28.239      78.995     109.722      38.078
20150901      24.772      37.709      74.001      29.946
20150902      21.327      26.992      44.250      20.068
20150903      19.299      28.329      30.494      17.012
20150904      17.992      25.044      26.293      18.674
20150905      42.643     151.316      42.978      30.402
20150906      71.600     106.122     118.765      92.020
20150907      65.869      81.602     102.876      75.118
20150908     103.492      48.059      88.458      66.066
20150909      80.068      57.503      71.318      81.601
20150910      47.324      35.301      53.676      61.519
20150911      32.973      31.024      29.542      45.115
20150912      26.468      29.013      31.024      30.237
20150913      23.525      27.600      29.066      25.861
20150914      21.968      25.927      27.164      23.033
20150915      20.521      24.131      25.321      21.383
20150916      18.209      23.309      24.780      21.130
20150917      16.851      21.906      23.173      18.057
20150918      21.189      53.551      29.416      23.068
20150919      50.857      65.307      52.646      38.313
20150920     112.516     119.275      72.993      60.483
20150921     132.097      91.934      89.512     109.727
20150922      76.315      59.837      72.046     102.156
20150923      55.144      42.672      54.078      58.402
20150924      41.356      32.038      38.838      39.350
20150925      37.110      56.060      39.796      42.373
20150926      94.664     137.561      80.803      71.543
20150927      96.881     107.197     120.663     130.456
