date          Qobs       Qsimobs        Qsim       Qusi
20150801       8.472       5.589      10.369       7.012
20150802       5.493       4.811       7.221       6.316
20150803       4.178       2.513       3.905       3.558
20150804       3.677       2.157       2.786       2.883
20150805      10.759      13.890       5.551       7.039
20150806      10.486       4.251       7.568      11.547
20150807       6.678       2.925       4.142       5.491
20150808       4.511       2.342       2.922       4.293
20150809       3.200       2.043       2.342       3.546
20150810       2.500       1.768       2.046       2.572
20150811       2.064       1.539       1.781       2.155
20150812       1.780       1.350       1.556       1.793
20150813       1.509       1.167       1.343       1.570
20150814       1.276       1.014       1.167       1.300
20150815       1.090       0.880       1.013       1.132
20150816       2.932      17.746       1.813       1.852
20150817       9.591       7.888       7.384       3.299
20150818       7.739       2.923       6.075       6.060
20150819       4.579       2.116       2.923       3.844
20150820       3.022       1.725       2.140       3.438
20150821       2.220       1.503       1.740       2.422
20150822       1.738       1.307       1.503       1.973
20150823       1.396       1.136       1.307       1.528
20150824       1.185       0.987       1.139       1.244
20150825      22.140      46.048       3.757       3.711
20150826      38.863      33.001      37.375      36.219
20150827      63.138      74.642      29.549      30.662
20150828      32.027      20.827      44.645      46.776
20150829      14.592       9.083      16.452      13.910
20150830       8.959       5.128       9.082       8.953
20150831       6.011       2.915       5.158       5.416
20150901       5.656       2.554       3.919       4.857
20150902      75.715      72.544      31.444      37.251
20150903      95.654      94.978      61.984      76.868
20150904      44.135      28.442      64.436      60.944
20150905      20.490      10.755      21.793      20.913
20150906      12.193       6.467      10.774      10.292
20150907       8.233       3.746       6.470       7.487
20150908       5.801       3.311       3.728       4.958
20150909       4.405       2.923       3.294       5.142
20150910       3.491       2.576       2.923       3.941
20150911       2.893       2.267       2.576       3.125
20150912       2.543       2.008       2.269       2.426
20150913       8.137      28.885       8.651       8.642
20150914      98.370      98.203      35.405      30.799
20150915     139.620     235.781     113.162     109.352
20150916      73.225      76.687     163.038     166.897
20150917      84.608      86.254     100.676     101.677
20150918      84.090     105.507      78.938      76.430
20150919      29.602      17.684      67.904      60.029
20150920      14.675      10.467      17.683      10.973
20150921       9.667       6.200      10.467       9.598
20150922      13.843       8.992       7.097       7.034
20150923      30.625      78.990      14.764      15.086
20150924      24.967      19.689      51.805      49.951
20150925      28.247      33.624      18.054      12.249
20150926      16.499      11.229      17.067      18.434
20150927      10.328       6.959      11.324       9.696
20150928       7.151       4.318       6.966       6.821
20150929       5.393       3.827       4.317       4.580
20150930       4.339       2.829       3.827       4.912
20151001       3.616       2.497       3.389       3.817
20151002       3.070       2.202       2.998       3.159
20151003       2.648       1.941       2.202       2.726
20151004       2.332       2.050       1.940       2.378
20151005       2.077       1.808       1.709       1.994
20151006       1.874       1.596       1.527       1.857
20151007       1.719       1.407       1.596       1.689
20151008       1.596       1.255       1.982       2.154
20151009       1.605       1.797       1.647       1.779
20151010       2.126       6.406       1.769       1.644
20151011       2.465       2.114       3.273       2.349
20151012       2.580       3.321       2.150       1.550
20151013       2.653       2.123       2.455       2.312
20151014       2.525       1.828       2.037       2.181
20151015       2.257       1.614       1.824       2.172
20151016       2.014       1.424       1.611       1.998
