date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.233       1.339       1.845       1.563
20150802       1.693       3.613       1.721       1.491
20150803       1.248       1.673       1.942       1.356
20150804       1.543       1.264       1.718       1.323
20150805       2.552       4.458       3.022       2.468
20150806       1.579       1.983       2.928       2.884
20150807       1.320       1.865       2.096       1.689
20150808       1.108       1.270       1.844       1.445
20150809       0.955       0.961       1.272       0.942
20150810       0.868       0.726       0.966       0.780
20150811       1.095       0.593       0.735       0.708
20150812       0.979       1.118       0.620       0.667
20150813       0.797       0.578       0.810       0.862
20150814       0.699       0.470       0.577       0.653
20150815       0.630       0.418       0.470       0.609
20150816       1.279       2.117       0.604       0.788
20150817       1.022       0.992       1.006       0.858
20150818       0.840       0.653       0.952       0.863
20150819       0.743       0.494       0.685       0.663
20150820       0.666       0.405       0.493       0.585
20150821       0.604       0.361       0.405       0.565
20150822       0.553       0.321       0.361       0.570
20150823       0.512       0.286       0.321       0.509
20150824       0.699       0.254       0.286       0.456
20150825       7.090       6.027       1.371       2.045
20150826       5.914       8.928       5.431       6.254
20150827       7.609       8.661       7.996       7.333
20150828       4.796       6.020       7.239       7.184
20150829       3.001       3.582       5.182       3.602
20150830       2.162       2.711       3.673       2.724
20150831       1.680       2.069       2.726       1.800
20150901       2.871       1.548       2.318       1.847
20150902      24.233      16.401       5.134       4.293
20150903      16.015      15.682      13.380      21.882
20150904       7.706       8.223      12.897      13.947
20150905       6.019       5.437       7.891       6.764
20150906       4.572       4.827       5.835       5.037
20150907       3.124       3.057       3.968       3.579
20150908       2.318       2.319       3.361       2.567
20150909       1.864       1.772       2.479       1.821
20150910       1.569       1.344       1.762       1.428
20150911       1.367       1.011       1.336       1.204
20150912       1.318       0.792       1.162       1.207
20150913       5.256       3.698       1.456       1.721
20150914       9.191       4.869       3.359       4.567
20150915      19.305      13.515       7.179      10.130
20150916      10.033      11.949       9.677      16.104
20150917       8.591       7.977       9.598       9.953
20150918       6.038       6.451       8.381       7.152
20150919       3.976       3.968       5.609       4.610
20150920       2.808       3.024       3.968       3.072
20150921       2.252       2.443       3.056       2.393
20150922       2.713       1.994       2.531       2.285
20150923       2.533       3.241       2.245       2.316
20150924       2.657       1.807       2.593       2.453
20150925       3.401       3.475       2.546       2.387
20150926       2.239       1.842       2.637       2.633
20150927       1.764       1.402       1.840       1.792
20150928       1.525       1.144       1.402       1.408
20150929       1.372       0.863       1.067       1.182
20150930       1.230       0.437       0.802       1.032
20151001       1.195       0.391       0.666       0.946
20151002       1.073       0.351       0.536       0.960
20151003       0.892       0.314       0.350       0.931
20151004       0.825       0.359       0.314       0.806
20151005       0.784       0.322       0.281       0.740
20151006       0.762       0.291       0.261       0.612
20151007       0.754       0.362       0.291       0.506
