date          Qobs       Qsimobs        Qsim       Qusi
20150801      13.961       6.521       7.078       3.659
20150802      15.084      10.450       7.187       4.511
20150803      14.640       7.918       8.528       5.192
20150804      14.144       7.429       8.323       4.559
20150805      16.769      11.718       8.608       5.230
20150806      17.966       9.068       9.602       5.406
20150807      17.309       8.195       9.271       4.943
20150808      16.360       7.496       8.084       5.331
20150809      14.698       6.774       7.425       5.342
20150810      12.923       6.367       6.846       5.034
20150811      12.739       6.655       6.473       4.726
20150812      12.740       6.920       6.370       4.493
20150813      12.422       6.001       6.489       3.896
20150814      11.424       5.524       6.018       3.890
20150815      10.452       5.638       5.597       3.923
20150816      13.530      11.613       6.318       4.506
20150817      17.268      10.692       8.835       5.301
20150818      18.135       8.695       9.497       5.279
20150819      16.830       7.624       8.626       5.000
20150820      15.094       6.822       7.629       5.503
20150821      13.310       6.200       6.829       5.351
20150822      11.888       5.640       6.181       4.747
20150823      10.399       5.150       5.639       4.322
20150824       9.451       4.801       5.176       3.751
20150825      12.629       5.853       5.525       3.848
20150826      18.171       9.478       5.823       7.021
20150827      22.152      11.208       8.648       5.201
20150828      22.855      13.003       9.466       6.710
20150829      21.496      11.593      11.131       7.850
20150830      19.332      14.171      11.137       7.443
20150831      16.629      10.623      12.043       7.910
20150901      14.478       8.883      10.761       6.179
20150902      17.768      12.985      12.963       7.393
20150903      24.959      14.844      13.245       6.696
20150904      25.076      11.311      12.670       6.040
20150905      21.308       9.511      11.114      16.013
20150906      17.167       8.136       9.396       7.399
20150907      13.858       7.267       8.076       6.538
20150908      11.300       6.585       7.110       5.457
20150909       9.218       6.068       6.435       4.395
20150910       7.846       5.638       6.092       3.588
20150911       6.354       5.243       5.642       3.003
20150912       5.250       5.269       5.291       2.508
20150913       5.493       6.351       5.537       2.135
20150914       9.003       6.672       6.654       2.266
20150915      18.748      10.813       7.612       2.354
20150916      22.123      11.241       9.618       3.998
20150917      21.017       9.523      10.937       6.992
20150918      19.491      10.146       9.711      18.498
