date          Qobs       Qsimobs        Qsim       Qusi
20150801      22.793      20.342      26.481      25.225
20150802      18.103      25.868      22.872      28.220
20150803      17.243      20.966      35.592      29.728
20150804      22.831      24.528      33.169      26.031
20150805      47.923      47.246      32.389      25.087
20150806      40.337      32.790      46.172      46.308
20150807      54.015      53.997      29.818      29.323
20150808      44.528      38.541      39.526      37.467
20150809      30.388      24.916      36.874      38.733
20150810      37.562      27.627      31.666      33.169
20150811      51.249      35.767      25.702      30.103
20150812      51.282      44.514      27.656      30.770
20150813      29.503      16.630      42.494      44.184
20150814      24.013      27.840      36.726      39.973
20150815      34.375      43.383      44.189      43.718
20150816      56.687      47.786      43.034      34.325
20150817      58.570      36.278      48.107      42.700
20150818      42.927      32.409      38.306      45.304
20150819      34.560      37.068      40.063      47.989
20150820      33.757      40.673      38.737      34.795
20150821      33.445      33.087      39.847      34.481
20150822      39.850      45.519      36.634      30.907
20150823      38.625      30.065      44.627      42.961
20150824      33.460      34.377      33.321      31.778
20150825      41.586      43.828      34.765      32.039
20150826      55.911      57.225      48.436      48.092
20150827      46.326      30.476      43.743      40.147
20150828      35.197      31.354      39.037      39.109
20150829      32.677      31.067      34.881      35.681
20150830      33.289      33.896      31.200      30.572
20150831      27.827      30.515      38.846      32.228
20150901      20.195      10.593      24.305      22.424
20150902      15.425      16.698      14.666      12.469
20150903      14.850      19.044      19.401      19.203
20150904      14.807      20.287      14.210      12.849
20150905      21.766      51.840      16.503      17.255
20150906      16.901      18.890      21.155      14.155
20150907      12.632      14.969      10.499      10.713
20150908      13.677      13.813      20.310      18.593
20150909      12.545      13.266      25.499      21.579
20150910      12.321      14.571      24.672      18.197
20150911      12.481      14.291      20.248      13.355
20150912      14.106      17.985      16.230       8.936
20150913      18.763      27.666      20.205      16.785
20150914      40.148      34.207      28.805      24.584
20150915      38.668      31.112      23.248      25.997
20150916      32.290      41.050      36.116      43.448
20150917      20.003      13.616      24.799      21.957
20150918      17.350      17.403      12.790      12.087
20150919      24.032      35.098      16.120      16.979
20150920      22.774      17.419      24.310      17.212
20150921      14.179       8.070      11.921      11.385
20150922      10.280       7.986      10.252      16.194
20150923       8.601      12.637      13.404      13.796
20150924      10.666      14.699      12.737      11.702
20150925      20.714      39.815      15.082      10.530
20150926      17.059      20.428      27.614      20.225
20150927      12.863       7.779      13.699       9.340
20150928       9.106       7.302      11.773      16.002
20150929       7.429       7.806      10.076      10.938
20150930       7.860      18.479      10.184       8.373
20151001      14.652      25.051      14.349      10.314
20151002      20.181      19.267      11.231       8.701
20151003      22.539      22.542      18.819      19.471
20151004      16.675      11.946      14.842      16.960
20151005      12.459       7.263      11.116      13.481
20151006       8.798       8.629       8.162      12.883
20151007       6.685      18.730       9.720      10.490
20151008       5.482      14.014      13.239       9.434
20151009       4.884       9.775       8.832       5.126
20151010       4.593       7.418       7.132       4.598
20151011       4.253       6.942       7.042       4.460
20151012       3.912       6.886       6.921       4.456
20151013       3.579       6.751       6.835       4.181
20151014       3.299       6.600       6.737       3.947
20151015       3.069       6.461       6.595       3.891
20151016       2.897       6.331       6.465       3.421
20151017       2.739       6.203       6.349       3.562
20151018       2.621       6.079       6.212       3.396
20151019       2.522       5.956       6.085       2.989
20151020       2.461       5.834       5.964       3.211
20151021       2.540       5.915       7.267       3.430
20151022      11.599      32.787      24.126      12.529
20151023      45.012     139.810      65.937      28.137
20151024      17.282       7.130      59.436      23.529
20151025      22.051      66.055      10.581       9.439
20151026      20.171      15.336      47.721      23.968
20151027      17.396      11.450      16.045       9.378
20151028      10.600       6.087       8.943      14.075
20151029       7.621       5.941       7.032       8.591
20151030       6.223       5.814      13.145       8.866
20151031      14.304      15.544      18.777      10.082
20151101      33.285      85.003      26.428      19.020
20151102      21.104      17.297   -9999.000   -9999.000
20151103      17.174      13.700      11.921       7.851
20151104      16.966      23.227      11.425      16.561
20151105      15.425       9.633      12.654      12.729
20151106      11.185       6.957       9.516       9.915
20151107      14.686      15.443      17.952      19.581
20151108      12.499       8.110      11.465       6.439
20151109      14.792      43.223      16.128      21.681
20151110      28.281      65.386      33.078      23.379
20151111      23.497      22.721      40.584      21.547
20151112      21.720      31.173      28.883      23.071
20151113      14.961      17.296      19.352      11.474
20151114      14.697      19.543      13.197       7.508
20151115      23.001      41.480      28.323      39.009
20151116      11.843       6.605      27.109      11.747
20151117       9.281      15.373      10.634      11.744
20151118      12.174      19.120      13.607      11.080
20151119       7.876       6.376      10.793       4.800
20151120       5.421       6.218       6.398       7.595
20151121       4.284       6.138       6.233       5.956
20151122       3.621       5.961       6.086       4.662
