date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.065       0.062       0.074       0.058
20150802       0.077       0.157       0.075       0.066
20150803       0.079       0.078       0.116       0.079
20150804       0.079       0.067       0.078       0.059
20150805       0.117       0.261       0.123       0.118
20150806       0.123       0.129       0.191       0.140
20150807       0.112       0.102       0.154       0.117
20150808       0.100       0.080       0.101       0.084
20150809       0.088       0.068       0.080       0.079
20150810       0.079       0.063       0.068       0.075
20150811       0.079       0.062       0.063       0.072
20150812       0.081       0.107       0.068       0.083
20150813       0.073       0.064       0.087       0.076
20150814       0.065       0.060       0.064       0.064
20150815       0.057       0.059       0.060       0.062
20150816       0.064       0.225       0.060       0.056
20150817       0.077       0.185       0.117       0.068
20150818       0.074       0.116       0.164       0.080
20150819       0.067       0.083       0.118       0.063
20150820       0.060       0.070       0.083       0.050
20150821       0.053       0.064       0.070       0.050
20150822       0.047       0.059       0.064       0.050
20150823       0.041       0.058       0.060       0.043
20150824       0.038       0.056       0.058       0.042
20150825       0.089       0.269       0.085       0.057
20150826       0.334       0.481       0.320       0.160
20150827       0.686       0.698       0.398       0.378
20150828       0.643       0.430       0.650       0.732
20150829       0.355       0.302       0.402       0.510
20150830       0.239       0.241       0.307       0.302
20150831       0.166       0.190       0.241       0.209
20150901       0.158       0.147       0.198       0.160
20150902       0.673       0.704       0.272       0.226
20150903       1.060       0.806       0.593       0.779
20150904       0.598       0.376       0.651       0.854
20150905       0.364       0.297       0.377       0.448
20150906       0.246       0.257       0.308       0.298
20150907       0.167       0.161       0.246       0.211
20150908       0.133       0.124       0.196       0.149
20150909  -10000.000       0.091       0.153       0.117
20150910  -10000.000       0.075       0.092       0.102
20150911  -10000.000       0.070       0.075       0.075
20150912  -10000.000       0.068       0.072       0.072
20150913  -10000.000       0.263       0.093       0.093
20150914  -10000.000       0.261       0.240       0.215
20150915  -10000.000       0.907       0.307       0.291
20150916  -10000.000       1.064       0.552       0.474
20150917  -10000.000       0.557       0.764       0.690
20150918  -10000.000       0.650       0.627       0.612
20150919  -10000.000       0.363       0.543       0.496
20150920  -10000.000       0.290       0.363       0.363
20150921  -10000.000       0.228       0.290       0.290
20150922  -10000.000       0.183       0.235       0.235
20150923  -10000.000       0.247       0.208       0.208
20150924  -10000.000       0.163       0.221       0.208
20150925  -10000.000       0.287       0.222       0.222
20150926  -10000.000       0.176       0.242       0.224
20150927  -10000.000       0.137       0.176       0.176
20150928  -10000.000       0.091       0.137       0.137
20150929  -10000.000       0.077       0.105       0.105
20150930  -10000.000       0.067       0.080       0.080
20151001  -10000.000       0.065       0.073       0.073
20151002  -10000.000       0.063       0.071       0.071
20151003  -10000.000       0.061       0.063       0.063
20151004  -10000.000       0.064       0.061       0.061
20151005  -10000.000       0.062       0.059       0.059
20151006  -10000.000       0.061       0.058       0.058
20151007  -10000.000       0.061       0.061       0.061
20151008  -10000.000       0.060       0.061       0.061
20151009  -10000.000       0.064       0.065       0.063
20151010  -10000.000       0.069       0.092       0.073
20151011  -10000.000       0.061       0.071       0.069
20151012  -10000.000       0.061       0.062       0.062
20151013  -10000.000       0.059       0.060       0.061
20151014       0.091       0.057       0.058       0.058
20151015       0.086       0.056       0.057       0.057
20151016       0.081       0.055       0.056       0.056
20151017       0.076       0.055       0.055       0.080
20151018       0.071       0.054       0.055       0.077
20151019       0.067       0.054       0.054       0.069
20151020       0.063       0.053       0.054       0.067
20151021       0.062       0.053       0.053       0.063
20151022       0.064       0.058       0.053       0.060
20151023       0.068       0.054       0.055       0.061
20151024       0.067       0.053       0.054       0.066
20151025       0.067       0.054       0.054       0.065
20151026       0.064       0.052       0.054       0.068
20151027       0.062       0.052       0.053       0.065
20151028       0.059       0.052       0.052       0.062
20151029       0.057       0.051       0.052       0.059
20151030       0.056       0.051       0.051       0.055
20151031       0.060       0.093       0.052       0.057
20151101       0.063       0.054       0.053       0.059
20151102       0.062       0.053   -9999.000   -9999.000
20151103       0.061       0.052       0.053       0.060
20151104       0.058       0.051       0.052       0.060
20151105       0.056       0.050       0.051       0.058
20151106       0.057       0.051       0.051       0.057
20151107       0.074       0.125       0.075       0.079
20151108       0.102       0.280       0.098       0.076
20151109       0.134       0.349       0.197       0.142
