date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.320       0.391       0.474       0.244
20150802       0.820       3.002       0.812       0.668
20150803       0.631       0.682       1.534       0.576
20150804       0.797       0.436       0.663       0.358
20150805       2.786       5.221       2.339       2.003
20150806       1.538       1.011       3.126       2.113
20150807       0.957       0.632       2.050       1.864
20150808       0.672       0.473       0.693       0.655
20150809       0.512       0.445       0.473       0.576
20150810       0.428       0.672       0.445       0.500
20150811       0.672       0.514       0.426       0.440
20150812       0.840       2.780       0.755       0.476
20150813       0.565       0.504       1.768       0.870
20150814       0.429       0.445       0.579       0.310
20150815       0.354       0.424       0.445       0.406
20150816       5.360      11.614       1.288       1.121
20150817       3.274       4.693       4.880       2.340
20150818       1.643       1.473       3.898       2.827
20150819       0.966       0.640       1.473       1.003
20150820       0.706       0.495       0.640       0.520
20150821       0.559       0.466       0.495       0.559
20150822       0.451       0.439       0.466       0.536
20150823       0.382       0.413       0.439       0.438
20150824       0.383       0.388       0.413       0.392
20150825       8.950       4.556       2.541       2.178
20150826       6.274      12.530       5.530       8.091
20150827      12.946      11.393       9.576       7.844
20150828       5.599       6.012       9.206       8.134
20150829       2.639       2.024       4.680       4.105
20150830       1.766       0.933       2.278       1.933
20150831       1.197       0.532       0.908       0.760
20150901       1.066       0.502       0.695       0.990
20150902       8.978       9.926       2.154       3.072
20150903      13.835      19.125       7.587       6.453
20150904       3.393       4.005      10.702      10.061
20150905       2.092       1.790       3.870       2.544
20150906       1.443       0.673       1.907       1.477
20150907       0.987       0.588       0.673       0.614
20150908       0.797       0.555       0.586       0.842
20150909       0.662       0.524       0.553       0.754
20150910       0.570       0.494       0.524       0.634
20150911       0.495       0.466       0.494       0.557
20150912       0.824       1.455       0.472       0.489
20150913       3.366       4.621       2.241       1.359
20150914      12.675       5.586       5.539       5.314
20150915      26.593      16.686       6.630       8.507
20150916      13.484      16.025      15.563      19.713
20150917       8.526       5.373      11.497      10.383
20150918       3.891       5.403       5.635       5.445
20150919       2.156       1.730       4.164       2.910
20150920       1.379       0.697       1.730       1.320
20150921       1.007       0.618       0.724       0.631
20150922       1.170       0.617       0.714       0.921
20150923       1.456       2.520       1.334       1.930
20150924       1.820       0.851       1.913       1.349
20150925       2.689       3.938       2.333       2.196
20150926       1.661       0.904       2.676       2.525
20150927       1.136       0.650       0.907       0.748
20150928       0.904       0.614       0.650       0.786
20150929       0.802       0.581       0.614       0.829
20150930       0.664       0.436       0.581       0.749
20151001       0.592       0.411       0.548       0.630
20151002       0.542       0.388       0.518       0.542
20151003       0.498       0.366       0.388       0.514
20151004       0.431       0.436       0.366       0.470
20151005       0.407       0.411       0.345       0.389
20151006       0.428       0.407       0.326       0.354
20151007       0.468       0.698       0.398       0.400
20151008       0.482       0.439       0.605       0.528
20151009       0.728       1.838       0.665       0.644
20151010       0.933       1.297       1.832       0.982
20151011       0.811       0.826       1.079       0.941
20151012       0.774       1.068       0.785       0.677
20151013       0.790       0.677       0.849       0.736
20151014       0.679       0.490       0.577       0.532
20151015       0.586       0.463       0.490       0.561
20151016       0.498       0.437       0.467       0.560
20151017       0.447       0.413       0.471       0.493
20151018       0.415       0.391       0.473       0.469
20151019       0.394       0.378       0.394       0.399
20151020       0.381       0.363       0.375       0.384
20151021       0.377       0.337       0.392       0.410
20151022       0.471       0.625       0.460       0.477
20151023       0.487       0.442       0.621       0.472
20151024       0.441       0.341       0.429       0.414
20151025       0.536       0.504       0.442       0.428
20151026       0.493       0.354       0.336       0.448
20151027       0.428       0.334       0.352       0.448
20151028       0.390       0.315       0.334       0.408
20151029       0.361       0.298       0.315       0.365
20151030       0.352       0.286       0.298       0.330
20151031       0.418       0.920       0.433       0.504
20151101       0.447       0.360       0.387       0.284
20151102       0.412       0.324   -9999.000   -9999.000
20151103       0.363       0.307       0.324       0.288
20151104       0.329       0.289       0.307       0.357
20151105       0.329       0.279       0.291       0.328
20151106       0.423       0.396       0.322       0.324
20151107       2.555       2.526       1.360       0.908
20151108       3.324       5.301       1.711       1.144
20151109       3.642       4.354       3.672       4.190
20151110       2.640       1.877       3.476       2.913
20151111       1.766       0.649       1.655       1.591
20151112       1.485       0.985       0.620       0.665
20151113       2.327       2.175       0.606       0.844
20151114       1.886       0.681       1.162       1.311
20151115       1.236       0.554       0.576       0.722
20151116       0.943       0.613       0.530       0.828
20151117       0.897       0.673       0.641       0.894
20151118       0.789       0.463       0.500       0.730
20151119       0.715       0.501       0.497       0.692
20151120       0.665       0.395       0.413       0.545
20151121       0.939       0.369       0.389       0.536
20151122       2.557       0.347       0.367       0.644
20151123       1.896       0.328       0.346       1.224
20151124       0.740       0.352       0.374       1.423
20151125       0.648       0.299       0.316       0.499
20151126       0.506       0.277       0.389       0.614
20151127       2.110       0.270       1.107       1.097
20151128       3.112       3.540       0.351       1.364
20151129       1.744       0.868       1.855       4.238
20151130       1.041       0.435       0.728       0.684
20151201       0.856       0.356       0.387       0.490
20151202       0.806       0.389       0.450       1.025
20151203       0.709       0.313       0.335       0.471
20151204       0.549       0.703       0.552       1.041
20151205       2.594       0.917       2.062       1.422
20151206       9.690      16.266       0.739       0.954
20151207       4.292       3.399       5.616      11.006
20151208       2.472       1.339       3.675       2.590
20151209       3.905       3.500       1.585       1.373
20151210       4.355       2.791       1.537       2.654
20151211       3.164       0.983       2.054       3.057
20151212       2.008       0.435       0.865       1.135
20151213       1.130       0.418       0.435       0.800
20151214       1.394       0.386       0.410       0.808
20151215       2.242       0.364       0.386       0.858
20151216       4.057       0.344       0.364       1.009
20151217       2.054       0.404       1.199       4.710
20151218       0.854       0.802       1.525       7.979
20151219       1.077       1.971       1.844       3.020
20151220       6.998       5.519       3.749       1.978
20151221       5.568       7.123   -9999.000   -9999.000
20151222       2.733       2.740   -9999.000   -9999.000
20151223       1.803       1.260       2.561       1.655
20151224       1.469       0.638       1.383       1.159
20151225       2.622       2.645       0.724       0.790
20151226       1.633       0.856       1.528       1.613
20151227       1.805       0.523       0.882       1.030
20151228       2.298       0.501       0.530       0.892
