date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.047       0.075       0.093       0.047
20150802       0.060       0.148       0.102       0.056
20150803       0.052       0.093       0.070       0.054
20150804       0.047       0.078       0.067       0.050
20150805       0.388       0.967       0.153       0.090
20150806       0.274       0.278       0.139       0.372
20150807       0.199       0.232       0.277       0.230
20150808       0.155       0.211       0.231       0.181
20150809       0.118       0.168       0.200       0.136
20150810       0.094       0.185       0.168       0.103
20150811       0.079       0.153       0.138       0.079
20150812       0.066       0.124       0.112       0.068
20150813       0.055       0.100       0.124       0.056
20150814       0.047       0.085       0.100       0.063
20150815       0.040       0.080       0.085       0.043
20150816       0.035       0.076       0.080       0.040
20150817       0.031       0.071       0.076       0.035
20150818       0.027       0.067       0.071       0.030
20150819       0.024       0.063       0.067       0.027
20150820       0.022       0.059       0.063       0.024
20150821       0.020       0.055       0.059       0.021
20150822       0.018       0.052       0.055       0.019
20150823       0.017       0.049       0.052       0.018
20150824       0.016       0.046       0.049       0.016
20150825       0.031       0.060       0.046       0.016
20150826       0.039       0.141       0.079       0.030
20150827       0.316       0.743       0.173       0.085
20150828       0.261       0.550       0.271       0.352
20150829       0.163       0.275       0.327       0.266
20150830       0.148       0.228       0.276       0.162
20150831       0.094       0.179       0.228       0.141
20150901       0.096       0.146       0.190       0.089
20150902       2.274       1.997       0.355       0.198
20150903       2.323       2.771       0.372       2.045
20150904       0.855       1.013       1.785       2.330
20150905       0.540       0.781       0.952       0.667
20150906       0.389       0.442       0.643       0.399
20150907       0.291       0.291       0.365       0.248
20150908       0.219       0.244       0.300       0.222
20150909       0.174       0.205       0.253       0.186
20150910       0.142       0.170       0.204       0.153
20150911       0.117       0.141       0.170       0.123
20150912       0.101       0.115       0.141       0.099
20150913       0.091       0.092       0.115       0.088
20150914       0.087       0.089       0.094       0.081
20150915       0.233       0.135       0.137       0.128
20150916       0.417       0.755       0.278       0.348
20150917       1.807       0.763       0.933       1.453
20150918       2.985       3.012       1.313       2.211
20150919       0.964       0.921       1.700       3.239
20150920       0.515       0.441       0.920       0.551
20150921       0.345       0.329       0.468       0.332
20150922       0.271       0.279       0.326       0.286
20150923       0.235       0.311       0.310       0.276
20150924       0.197       0.237       0.273       0.236
20150925       0.202       0.276       0.320       0.260
20150926       0.170       0.207       0.268       0.209
20150927       0.145       0.175       0.207       0.150
20150928       0.127       0.154       0.175       0.127
20150929       0.112       0.128       0.146       0.110
20150930       0.099       0.083       0.121       0.097
20151001       0.089       0.079       0.106       0.082
20151002       0.080       0.075       0.100       0.084
20151003       0.072       0.071       0.075       0.077
20151004       0.068       0.087       0.071       0.070
20151005       0.061       0.082       0.067       0.065
20151006       0.056       0.078       0.064       0.060
20151007       0.052       0.075       0.078       0.055
20151008       0.049       0.071       0.074       0.051
20151009       0.046       0.067       0.071       0.047
20151010       0.045       0.064       0.067       0.046
20151011       0.042       0.061       0.064       0.042
20151012       0.040       0.058       0.061       0.040
20151013       0.039       0.055       0.058       0.037
20151014       0.037       0.052       0.055       0.038
20151015       0.036       0.050       0.052       0.034
20151016       0.034       0.047       0.050       0.035
20151017       0.033       0.045       0.047       0.033
20151018       0.032       0.043       0.045       0.032
20151019       0.032       0.041       0.043       0.032
20151020       0.032       0.039       0.041       0.031
20151021       0.039       0.037       0.039       0.031
20151022       0.040       0.072       0.045       0.039
20151023       0.036       0.047       0.042       0.043
20151024       0.034       0.044       0.044       0.033
20151025       0.038       0.055       0.053       0.041
20151026       0.035       0.047       0.045       0.038
20151027       0.033       0.045       0.046       0.033
20151028       0.032       0.041       0.044       0.033
20151029       0.031       0.039       0.043       0.030
20151030       0.030       0.038       0.041       0.029
20151031       0.030       0.036       0.038       0.028
20151101       0.029       0.035       0.036       0.029
20151102       0.028       0.033   -9999.000   -9999.000
20151103       0.028       0.031       0.033       0.027
20151104       0.028       0.031       0.031       0.027
20151105       0.027       0.030       0.030       0.026
20151106       0.028       0.031       0.030       0.028
20151107       0.162       0.178       0.089       0.086
20151108       0.290       0.398       0.095       0.080
20151109       0.331       0.471       0.185       0.307
20151110       0.279       0.265       0.299       0.314
20151111       0.215       0.221       0.265       0.238
20151112       0.175       0.185       0.219       0.188
20151113       0.164       0.179       0.187       0.159
20151114       0.149       0.160       0.172       0.153
20151115       0.130       0.129       0.156       0.146
20151116       0.137       0.103       0.129       0.106
20151117       0.168       0.146       0.136       0.125
20151118       0.160       0.126       0.092       0.120
20151119       0.145       0.091       0.088       0.140
20151120       0.128       0.077       0.091       0.110
20151121       0.113       0.071       0.077       0.108
20151122       0.100       0.068       0.071       0.105
20151123       0.093       0.066       0.068       0.096
20151124       0.134       0.065       0.075       0.100
20151125       0.382       0.326       0.069       0.102
20151126       0.300       0.185       0.201       0.504
20151127       0.248       0.159       0.222       0.300
20151128       0.408       0.472       0.235       0.304
20151129       0.613       0.842       0.324       0.540
20151130       0.510       0.284       0.490       0.631
20151201       0.349       0.235       0.331       0.312
20151202       0.265       0.208       0.262       0.316
20151203       0.217       0.207       0.204       0.232
20151204       0.600       0.201       0.271       0.279
20151205       0.610       0.779       0.403       0.844
20151206       0.428       0.531       0.449       1.006
20151207       0.315       0.335       0.530       0.384
20151208       0.258       0.283       0.335       0.224
20151209       0.364       0.395       0.299       0.231
20151210       0.314       0.289       0.302       0.371
20151211       0.255       0.243       0.283       0.281
20151212       0.210       0.205       0.243       0.225
20151213       0.177       0.173       0.205       0.184
20151214       0.149       0.145       0.173       0.152
20151215       0.135       0.120       0.145       0.124
20151216       0.119       0.104       0.120       0.111
20151217       0.118       0.109       0.109       0.106
20151218       0.125       0.121       0.156       0.158
20151219       0.140       0.156       0.146       0.162
20151220       0.241       0.218       0.208       0.188
20151221       0.260       0.178   -9999.000   -9999.000
20151222       0.263       0.149   -9999.000   -9999.000
20151223       0.343       0.225       0.193       0.253
20151224       0.282       0.165       0.170       0.356
20151225       0.250       0.229       0.176       0.252
20151226       0.205       0.169       0.183       0.266
20151227       0.176       0.142       0.171       0.179
20151228       0.159       0.126       0.149       0.150
20151229       0.141       0.109       0.118       0.123
20151230       0.132       0.106       0.111       0.134
20151231       0.132       0.129       0.109       0.128
20160101       0.127       0.115       0.118       0.130
20160102       0.122       0.106       0.125       0.131
20160103       0.110       0.093       0.102       0.112
20160104       0.102       0.089       0.092       0.103
20160105       0.105       0.083       0.088       0.096
20160106       0.060       0.080       0.083       0.099
20160107       0.039       0.081       0.080       0.065
20160108       0.037       0.076       0.079       0.040
20160109       0.064       0.073       0.075       0.038
20160110       0.057       0.079       0.078       0.069
20160111       0.066       0.080       0.093       0.064
20160112       0.065       0.067       0.072       0.058
20160113       0.064       0.063       0.066       0.061
20160114       0.060       0.057       0.062       0.057
20160115       0.056       0.054       0.057       0.057
20160116       0.055       0.058       0.056       0.055
20160117       0.052       0.050       0.053       0.047
20160118       0.048       0.048       0.050       0.050
20160119       0.045       0.046       0.048       0.048
20160120       0.043       0.044       0.046       0.043
20160121       0.040       0.042       0.044       0.044
20160122       0.037       0.040       0.042       0.039
20160123       0.038       0.044       0.043       0.039
20160124       0.038       0.039       0.040       0.033
20160125       0.037       0.036       0.037       0.035
20160126       0.040       0.035       0.037       0.038
20160127       0.054       0.088       0.046       0.050
20160128       0.080       0.306       0.054       0.100
20160129       0.089       0.219       0.186       0.124
20160130       0.121       0.275       0.213       0.085
20160131       0.115       0.205       0.226       0.141
20160201       0.107       0.165       0.203       0.099
20160202       0.105       0.146       0.176       0.098
20160203       0.103       0.127       0.138       0.083
20160204       0.094       0.093       0.117       0.088
20160205       0.088       0.077       0.093       0.076
20160206       0.108       0.085       0.145       0.138
20160207       0.374       0.284       0.180       0.184
20160208       0.829       0.530       0.247       0.498
20160209       1.455       1.552       0.501       1.442
20160210       0.803       0.677       0.877       1.682
20160211       0.496       0.342       0.571       0.495
20160212       0.342       0.286       0.340       0.298
20160213       0.264       0.242       0.289       0.300
20160214       0.211       0.201       0.242       0.232
20160215       0.183       0.168       0.201       0.178
20160216       0.155       0.140       0.168       0.150
20160217       0.156       0.113       0.140       0.126
20160218       0.122       0.091       0.117       0.135
20160219       0.106       0.087       0.095       0.101
20160220       0.104       0.095       0.095       0.106
20160221       0.097       0.103       0.100       0.112
20160222       0.090       0.079       0.084       0.080
20160223       0.084       0.076       0.079       0.082
20160224       0.076       0.072       0.075       0.081
20160225       0.072       0.068       0.072       0.074
20160226       0.071       0.066       0.068       0.068
20160227       0.061       0.063       0.065       0.068
20160228       0.048       0.060       0.063       0.060
20160229       0.059       0.058       0.060       0.047
20160301       0.052       0.055       0.058       0.056
20160302       0.050       0.073       0.066       0.061
20160303       0.057       0.081       0.077       0.055
20160304       0.059       0.060       0.065       0.047
20160305       0.060       0.070       0.070       0.063
20160306       0.058       0.052       0.055       0.048
20160307       0.058       0.055       0.059       0.062
20160308       0.055       0.045       0.050       0.052
20160309       0.053       0.041       0.045       0.053
20160310       0.052       0.040       0.042       0.052
20160311       0.050       0.038       0.039       0.047
20160312       0.048       0.036       0.038       0.047
20160313       0.046       0.035       0.036       0.045
20160314       0.047       0.051       0.038       0.052
20160315       0.055       0.200       0.086       0.102
20160316       0.088       0.327       0.182       0.104
20160317       0.135       0.395       0.296       0.133
20160318       0.186       0.495       0.366       0.160
20160319       0.215       0.312       0.391       0.199
20160320       0.213       0.315       0.327       0.186
20160321       0.210       0.336       0.326       0.230
20160322       0.200       0.325       0.317       0.220
20160323   -9999.000   -9999.000       0.304       0.202
20160324       0.177       0.283   -9999.000   -9999.000
20160325       0.174       0.270   -9999.000   -9999.000
20160326       0.186       0.258   -9999.000   -9999.000
20160327       0.520       0.305       0.300       0.208
20160328       0.808       1.097       0.481       0.649
20160329       0.840       1.097       0.828       1.380
20160330       0.756       0.883       0.837       0.814
20160331       0.559       0.372       0.671       0.566
20160401       0.392       0.310       0.369       0.322
20160402       0.550       0.351       0.340       0.358
20160403       0.617       0.656       0.355       0.539
20160404       0.541       0.418       0.474       0.686
20160405       0.733       0.735       0.592       0.650
20160406       0.606       0.394       0.506       0.732
20160407       0.504       0.663       0.392       0.429
20160408       0.489       0.362       0.556       0.606
20160409       0.400       0.311       0.393       0.410
20160410       0.324       0.271       0.303       0.344
20160411       0.269       0.240       0.269       0.283
20160412       0.229       0.208       0.250       0.256
20160413       0.197       0.196       0.207       0.204
20160414       0.176       0.171       0.179       0.174
20160415       0.163       0.154       0.160       0.155
20160416       0.155       0.203       0.161       0.153
20160417       0.260       0.264       0.285       0.301
20160418       0.247       0.259       0.215       0.248
20160419       0.217       0.264       0.248       0.272
20160420       0.179       0.211       0.224       0.212
20160421       0.153       0.181       0.210       0.153
20160422       0.132       0.153       0.179       0.133
20160423       0.116       0.128       0.153       0.115
20160424       0.105       0.117       0.128       0.103
20160425       0.096       0.117       0.116       0.097
20160426       0.088       0.108       0.109       0.100
20160427       0.080       0.103       0.109       0.082
20160428       0.075       0.099       0.104       0.082
20160429       0.125       0.595       0.287       0.216
20160430       0.451       0.942       0.422       0.336
20160501       0.742       1.631       1.067       0.891
20160502       0.519       0.553       0.991       0.805
20160503       0.415       0.394       0.554       0.356
20160504       0.343       0.367       0.383       0.284
20160505       0.263       0.293       0.340       0.319
20160506       0.208       0.248       0.293       0.246
20160507       0.170       0.210       0.248       0.190
20160508       0.142       0.178       0.210       0.146
