date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.303       0.591       0.648       0.646
20150802       0.298       0.768       0.685       0.685
20150803  -10000.000       0.577       0.673       0.648
20150804  -10000.000       0.543       0.578       0.204
20150805  -10000.000       1.993       0.921       0.920
20150806  -10000.000       1.035       1.425       1.289
20150807  -10000.000       0.915       1.044       1.043
20150808       0.300       0.788       0.899       0.895
20150809       0.261       0.696       0.788       0.788
20150810  -10000.000       0.642       0.696       0.696
20150811  -10000.000       0.596       0.640       0.309
20150812  -10000.000       0.799       0.598       0.598
20150813  -10000.000       0.574       0.669       0.643
20150814  -10000.000       0.541       0.574       0.574
20150815       0.168       0.509       0.541       0.541
20150816       0.158       0.527       0.513       0.513
20150817  -10000.000       0.476       0.496       0.492
20150818  -10000.000       0.448       0.472       0.166
20150819  -10000.000       0.426       0.448       0.448
20150820  -10000.000       0.404       0.426       0.426
20150821  -10000.000       0.384       0.404       0.404
20150822       0.106       0.365       0.384       0.384
20150823       0.099       0.348       0.365       0.365
20150824  -10000.000       0.329       0.347       0.347
20150825  -10000.000       0.560       0.450       0.136
20150826  -10000.000       2.282       1.207       1.175
20150827  -10000.000       1.977       1.577       1.412
20150828  -10000.000       1.594       1.810       1.727
20150829       0.762       1.179       1.451       1.418
20150830       0.681       1.044       1.183       1.182
20150831  -10000.000       0.925       1.037       1.036
20150901  -10000.000       0.822       0.924       0.637
20150902  -10000.000       3.098       1.173       1.172
20150903  -10000.000       3.421       2.640       2.432
20150904  -10000.000       2.370       2.614       2.464
20150905       1.329       2.053       2.287       2.268
20150906       1.228       1.804       2.014       2.021
20150907  -10000.000       1.578       1.777       1.773
20150908  -10000.000       1.426       1.577       1.172
20150909  -10000.000       1.286       1.428       1.427
20150910  -10000.000       1.161       1.288       1.288
20150911  -10000.000       1.047       1.163       1.163
20150912       0.530       0.978       1.047       1.047
20150913       0.577       1.762       1.007       0.994
20150914  -10000.000       1.473       1.453       1.374
20150915  -10000.000       2.528       1.652       0.527
20150916  -10000.000       5.062       2.591       2.499
20150917  -10000.000       2.842       3.715       3.354
20150918  -10000.000       3.649       2.955       2.921
20150919       3.070       2.414       3.064       2.950
20150920       2.427       2.139       2.412       2.411
20150921  -10000.000       1.943       2.136       2.137
20150922  -10000.000       1.769       1.942       2.143
20150923  -10000.000       2.264       2.011       2.010
20150924  -10000.000       1.734       2.037       1.970
20150925  -10000.000       1.982       2.040       2.037
20150926       1.215       1.578       1.819       1.783
20150927       1.043       1.431       1.577       1.577
20150928  -10000.000       1.298       1.431       1.431
20150929  -10000.000       1.177       1.298       0.950
20150930  -10000.000       0.827       1.177       1.177
20151001  -10000.000       0.762       1.066       1.066
20151002  -10000.000       0.702       0.959       0.959
20151003       0.501       0.646       0.702       0.702
20151004       0.460       0.744       0.645       0.645
20151005  -10000.000       0.684       0.604       0.604
20151006  -10000.000       0.636       0.559       0.434
20151007  -10000.000       0.617       0.635       0.635
20151008  -10000.000       0.582       0.616       0.623
20151009  -10000.000       0.675       0.664       0.722
20151010  -10000.000       0.652       0.648       0.630
20151011       0.368       0.578       0.619       0.630
20151012  -10000.000       0.552       0.576       0.578
20151013  -10000.000       0.530       0.546       0.550
20151014  -10000.000       0.504       0.529       0.534
20151015  -10000.000       0.480       0.504       0.504
20151016  -10000.000       0.458       0.482       0.481
