date          Qobs       Qsimobs        Qsim       Qusi
20150801       6.944       3.678       4.070       6.335
20150802       6.922       6.646       4.682       7.156
20150803       6.291       3.891       4.737       5.756
20150804       5.606       3.211       3.830       4.915
20150805       5.115       2.979       3.269       5.002
20150806       4.857       3.031       2.984       4.611
20150807       4.614       2.755       3.444       5.664
20150808       4.253       2.525       2.744       4.283
20150809       3.939       3.531       2.662       4.120
20150810       3.661       2.659       3.129       3.610
20150811       3.379       2.397       2.713       3.224
20150812       3.537       3.167       2.605       3.401
20150813       3.749       3.448       2.834       3.178
20150814       3.562       3.030       3.333       3.926
20150815       3.336       2.617       2.823       3.268
20150816       3.116       2.334       2.572       3.053
20150817       2.886       2.137       2.336       2.875
20150818       2.698       1.969       2.137       2.672
20150819       2.534       1.821       1.981       2.436
20150820       2.390       1.662       1.811       2.296
20150821       2.249       1.528       1.663       2.156
20150822       2.126       1.413       1.529       2.027
20150823       2.020       1.295       1.409       1.957
20150824       1.964       1.829       1.528       2.199
20150825       1.910       1.309       1.465       1.687
20150826       1.842       1.201       1.312       1.655
20150827       1.753       1.104       1.202       1.675
20150828       1.690       1.042       1.107       1.589
20150829       1.637       1.009       1.030       1.521
20150830       1.594       0.946       0.978       1.490
20150831       1.562       1.088       0.970       1.440
20150901       1.513       1.064       2.093       3.075
20150902       1.467       1.010       1.120       1.606
20150903       1.451       0.898       1.158       1.607
20150904       1.384       0.893       0.950       1.334
20150905       1.368       1.047       1.475       2.066
20150906       1.370       1.188       1.716       2.193
20150907       1.333       0.906       1.141       1.297
20150908       1.296       0.843       0.952       1.282
20150909       1.267       1.278       0.941       1.219
20150910       1.196       0.894       1.019       1.030
20150911       1.174       0.829       0.735       1.056
20150912       1.162       0.768       0.829       1.052
20150913       1.144       0.729       0.768       1.056
20150914       1.121       0.681       0.712       1.010
20150915       1.100       0.641       0.660       1.007
20150916       1.078       0.584       0.630       0.986
20150917       1.053       0.592       0.589       0.936
20150918       1.101       0.532       0.584       0.949
20150919       1.750       3.207       1.731       2.950
20150920       2.036       1.430       2.070       1.571
20150921       2.005       1.743       1.816       1.787
20150922       1.927       1.392       1.647       1.699
20150923       1.858       1.349       1.219       1.604
20150924       1.873       1.760       1.352       1.644
20150925       1.880       1.283       1.447       1.546
20150926       1.912       2.138       1.484       1.862
20150927       2.205       2.646       2.361       2.290
20150928       2.462       1.740       2.048       1.820
20150929       2.593       1.667       1.932       2.320
20150930       3.259       3.379       3.108       4.451
20151001       4.739       6.005       3.798       4.304
20151002       4.879       3.454       4.254       4.015
20151003       4.400       3.235       3.744       4.569
20151004       3.900       3.088       3.280       4.176
20151005       3.553       3.534       2.872       3.524
20151006       3.231       2.517       2.906       2.759
20151007       2.970       2.215       2.510       2.934
20151008       2.732       1.985       2.214       2.632
20151009       2.533       1.817       1.981       2.474
20151010       2.341       1.660       1.800       2.396
20151011       2.245       1.535       1.720       2.590
20151012       2.242       2.168       2.036       2.833
20151013       2.639       5.192       2.621       3.266
20151014       2.776       3.607       3.971       2.570
20151015       2.803       3.602       3.976       3.000
20151016       3.047       4.407       4.127       3.158
20151017       4.018       7.328       5.877       4.424
20151018       5.654       5.858       6.241       3.671
20151019       6.729      16.470       6.075       5.114
20151020       6.422       4.739       5.654       6.086
20151021       5.610       4.199       4.774       6.091
20151022       4.863       3.767       8.895       4.208
20151023       4.205       3.378       3.765       4.425
20151024       3.697       3.064       3.519       3.804
20151025       3.403       2.894       3.267       3.708
20151026       3.196       2.945       3.004       3.354
20151027       2.948       2.826       3.525       3.775
20151028       2.762       3.214       3.241       3.263
20151029       2.705       2.706       2.567       2.221
20151030       2.534       2.104       2.363       2.378
20151031       2.243       1.916       2.195       2.708
20151101       2.522       2.164       2.691       3.023
20151102       5.264      13.376   -9999.000   -9999.000
20151103       6.248       8.370       8.463       5.463
20151104       5.442       8.114       7.990       6.723
20151105       4.639       6.937       7.915       5.369
20151106       4.016       6.240       7.101       4.625
20151107       3.532       5.453       6.083       3.914
20151108       3.209       4.945       5.491       3.442
20151109       2.940       4.458       4.897       3.058
20151110       2.791       4.170       4.465       2.788
20151111       2.580       3.757       4.130       2.721
20151112       2.303       3.393       3.796       2.506
20151113       2.032       3.466       3.558       2.329
20151114       1.921       2.736       3.060       1.941
20151115       1.900       2.544       2.831       1.864
20151116       1.812       2.193       2.567       1.804
20151117       1.711       2.058       2.186       1.590
20151118       1.655       1.973       2.089       1.715
20151119       1.599       1.815       1.927       1.502
20151120       1.552       1.755       1.857       1.560
20151121       1.351       1.696       1.772       1.540
