date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.111       0.714       0.822       0.962
20150802       1.238       4.203       1.741       1.933
20150803       1.174       1.668       1.900       0.861
20150804       1.214       1.489       1.815       1.369
20150805       1.800       4.503       3.727       2.838
20150806       1.711       2.169       2.399       1.474
20150807       1.690       1.974       2.174       1.636
20150808       1.659       1.768       1.971       1.692
20150809       1.597       1.589       1.768       1.527
20150810       1.531       1.433       1.588       1.511
20150811       1.488       1.846       3.113       2.860
20150812       1.531       1.326       1.556       1.169
20150813       1.418       1.171       1.319       1.371
20150814       1.296       1.036       1.171       1.244
20150815       1.253       1.680       1.436       1.473
20150816       1.689       6.840       3.292       2.471
20150817       1.712       2.525       3.474       1.898
20150818       1.574       2.252       2.500       1.577
20150819       1.450       2.028       2.252       1.488
20150820       1.364       1.824       2.028       1.326
20150821       1.275       1.638       1.824       1.272
20150822       1.202       1.468       2.028       1.522
20150823       1.080       1.312       1.468       1.125
20150824       0.991       1.169       1.312       0.996
20150825       1.033       1.039       1.625       1.371
20150826       4.273       5.684       2.330       2.135
20150827       6.730       6.582       5.670       5.893
20150828       6.322       5.264       3.662       4.803
20150829       6.808       3.826       3.992       4.800
20150830       5.616       3.120       3.228       4.546
20150831       4.554       2.711       2.996       4.614
20150901       3.876       2.450       3.036       4.094
20150902       9.446      11.281       3.711       4.766
20150903      10.299      14.706       6.622       8.953
20150904       8.914       5.455       9.202       9.390
20150905       7.822       6.215       6.081       6.255
20150906       6.019       3.492       4.735       5.278
20150907       4.395       3.196       3.492       4.399
20150908       3.369       2.897       3.174       4.091
20150909       2.712       2.617       2.877       3.155
20150910       2.393       2.366       2.623       2.565
20150911       2.172       2.136       2.370       2.222
20150912       1.960       1.925       2.136       1.952
20150913       3.290       2.476       2.077       2.007
20150914       6.181      12.920       2.803       2.511
20150915      25.342      28.483      13.425      13.145
20150916      18.945      16.406      18.601      22.117
20150917      14.657      10.790      15.160      15.127
20150918      10.576       6.790      10.115      10.631
20150919       8.758       4.323       6.673       7.062
20150920       7.469       5.398       4.303       5.224
20150921       5.663       3.482       3.754       5.830
20150922       5.621       4.091       4.209       5.104
20150923       5.413       5.371       4.163       4.579
20150924       8.806       4.677       3.583       4.202
20150925      18.094      20.915       8.980      10.662
20150926      17.331      15.558      13.453      15.785
20150927      13.282       6.716      11.573      12.230
20150928       9.457       4.104       6.749       7.806
20150929       6.997       3.507       4.118       5.874
20150930       5.299       2.437       3.508       5.190
20151001       4.160       2.215       3.180       4.005
20151002       3.433       2.022       2.895       3.575
20151003       2.915       1.845       2.016       2.803
20151004       2.576       2.197       1.838       2.652
20151005       2.375       1.985       1.662       2.329
20151006       2.196       1.790       1.494       2.079
20151007       2.010       1.611       1.790       2.023
20151008       1.812       1.453       1.645       1.836
20151009       1.699       2.464       1.886       1.992
20151010       1.570       1.535       1.808       1.530
20151011       1.477       1.380       1.540       1.548
20151012       1.414       1.263       1.381       1.378
20151013       1.352       1.125       1.260       1.302
20151014       1.290       1.003       1.126       1.224
20151015       1.250       0.890       1.004       1.142
20151016       1.203       0.784       0.890       1.128
20151017       1.166       0.687       0.784       1.034
20151018       1.130       0.597       0.687       1.027
20151019       1.121       0.518       0.597       0.996
20151020       1.116       0.438       0.520       0.837
20151021       1.516       0.949       0.549       1.015
20151022       2.613       3.617       1.161       1.461
20151023       2.481       4.059       2.393       2.563
20151024       4.693       2.404       2.547       2.044
20151025      11.808      18.017       4.404       4.220
20151026       9.038       6.812       4.421       8.208
20151027       7.791       4.019       6.065       6.125
20151028       6.156       3.396       4.005       5.178
20151029       4.620       3.095       3.396       5.274
20151030       3.582       2.819       3.098       4.040
20151031       3.026       2.794       2.836       3.213
20151101       2.617       2.509       2.725       2.624
20151102       2.410       2.261   -9999.000   -9999.000
20151103       2.281       2.102       2.266       2.104
20151104       2.157       1.923       2.078       2.210
20151105       2.049       1.790       1.915       2.066
20151106       1.970       1.655       1.819       1.827
20151107      10.268       5.039       2.739       2.768
20151108      15.269      23.008       3.529       6.696
20151109      25.543      28.664      19.787      31.715
20151110      18.880      23.171      22.649      24.160
20151111      13.928      13.544      18.832      17.417
20151112      16.716      14.140      14.480      12.416
20151113      14.330      16.402      16.299      17.436
20151114      13.814      15.137      19.623      19.105
20151115      11.766      11.076      16.284      15.134
20151116      15.437      12.367      10.721      10.399
20151117      14.313      19.343      12.429      13.758
20151118      13.780      15.654      14.132      14.396
20151119      16.338      20.921      16.097      13.945
20151120      12.503       9.197      15.630      14.951
20151121       9.625       5.270       8.950       8.267
20151122       7.430       3.967       5.260       5.796
20151123       5.982       3.681       3.967       5.632
20151124      11.938      15.128       8.161      10.799
20151125      13.210      13.039      13.072      15.623
20151126       9.915       7.363       9.784      10.899
20151127      17.835      18.343      11.479      11.000
20151128      28.920      34.484      20.493      20.265
20151129      33.785      38.573      28.948      32.548
20151130      24.997      24.222      28.770      29.732
20151201      18.967      20.427      22.868      21.669
20151202      15.897      15.030      17.793      16.020
20151203      15.657      17.629      14.652      12.587
20151204      44.389      57.596      29.522      29.348
20151205      36.440      38.735      35.871      37.849
20151206      36.298      49.751      41.312      38.093
20151207      27.291      39.178      47.791      42.018
20151208      24.226      19.860      43.962      33.276
20151209      27.519      35.435      32.924      28.085
20151210      28.676      33.814      24.495      24.609
20151211      22.618      24.158      30.952      29.530
20151212      19.650      22.253      22.189      20.678
20151213      13.746      12.256      15.630      14.934
20151214      10.589      10.100      11.137      10.185
20151215       8.449       5.984      10.390       8.966
20151216       6.933       4.067       5.716       5.619
20151217       6.008       3.945       4.317       5.107
20151218       7.078       9.336       4.915       5.864
20151219      17.913       7.095       7.267       8.256
20151220      32.493      41.792      10.945      16.431
20151221      20.568      17.336   -9999.000   -9999.000
20151222      18.200      16.330   -9999.000   -9999.000
20151223      15.557      20.412      19.454      18.850
20151224      17.062      14.527      18.155      17.115
20151225      22.631      39.748      23.430      19.866
20151226      16.927      18.930      22.473      21.365
20151227      12.148      10.759      20.782      17.093
20151228       8.699       7.787      12.194      10.540
20151229       6.795       4.272       7.049       5.863
20151230       5.604       4.398       8.168       8.492
20151231      13.106      10.433      15.940      15.855
20160101      17.254      29.398      19.046      21.390
20160102      12.251      10.802      16.251      16.996
20160103       8.955       6.316      11.784       7.622
20160104       5.464       4.154       6.348       5.746
20160105       3.430       3.813       4.154       3.630
20160106       2.881       3.516       3.813       3.566
20160107       8.972       3.241       3.516       2.174
20160108       9.647       2.988       3.242       7.358
20160109       5.975       2.756       2.990       7.936
20160110       3.893       2.595       3.035       5.438
20160111       2.545       2.904       2.974       3.840
20160112       2.324       2.454       2.781       2.532
20160113       2.094       2.366       2.524       2.304
20160114       1.860       2.436       2.807       2.304
20160115       2.274       1.980       2.147       1.512
20160116       2.579       2.183       2.211       2.525
20160117       4.746       1.683       1.825       1.946
20160118       6.258       1.552       1.751       3.906
20160119       5.936       1.963       2.043       2.043
20160120       5.840       1.320       1.431       1.431
20160121       5.843       1.217       1.320       1.320
20160122       7.008       1.131       1.252       1.251
20160123       5.335       1.676       2.208       2.360
20160124       3.832       2.239       1.995       2.015
20160125       3.598       3.499       2.331       2.325
20160126      11.287       7.357       4.225       4.212
20160127      20.597      34.319      16.014      15.808
20160128      20.523      26.120      28.407      27.696
20160129      20.242      25.415      21.183      20.873
20160130      16.238      20.143      23.994      23.696
20160131      12.797      15.519      20.608      20.371
20160201      11.555      10.595      14.366      14.218
20160202      15.792      25.543      12.505      12.486
20160203      16.581      22.773      29.843      29.350
20160204      14.097      18.625      16.652      17.043
