date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.982       2.614       2.903       2.188
20150802      19.566      13.591       5.993       6.838
20150803      12.294       5.398       7.941      11.186
20150804      11.094       4.555       5.777       9.503
20150805      30.865      27.543       6.887       9.977
20150806      14.406      16.422      14.813      21.407
20150807       9.024      11.500      13.842      13.191
20150808       6.782       9.681      11.269       8.810
20150809       6.372       8.616       9.655       6.902
20150810       5.261       7.847       8.691       5.828
20150811       5.017       9.323       8.692       6.111
20150812       5.687       7.250       8.225       4.992
20150813       8.578       6.354       7.176       4.899
20150814       7.082       5.678       6.351       7.757
20150815       5.245      11.856       7.111       8.596
20150816      26.725      33.471      10.362       5.752
20150817      17.198      13.450      18.840      21.248
20150818      10.259      11.107      12.993      15.036
20150819       9.076       9.740      11.087       9.134
20150820       8.227       8.716       9.752       8.244
20150821       7.656       7.788       8.718       7.522
20150822       7.075       6.964       7.794       7.327
20150823       6.491       6.227       6.964       6.316
20150824       6.473       5.590       6.232       5.797
20150825       7.186       5.055       7.028       6.697
20150826      14.470      14.278       6.515       7.528
20150827      19.332      17.398      17.111      17.431
20150828      21.079      15.552      12.347      14.246
20150829      20.489      13.139      12.814      15.291
20150830      18.469      11.864      11.458      14.951
20150831      15.055       9.796      10.558      14.649
20150901      12.976       8.751      10.263      13.835
20150902      17.901      16.749      10.952      12.776
20150903      20.652      15.638      14.350      14.363
20150904      14.834      11.329      13.512      17.775
20150905      13.943      10.686      11.146      12.018
20150906      10.937       8.969       9.677      12.288
20150907      11.335       8.333       8.917      10.002
20150908      12.225       7.468       7.990       9.606
20150909      11.367       6.674       7.186      10.767
20150910      10.569       5.966       6.694       9.970
20150911       9.723       5.335       5.974       9.346
20150912       8.851       4.740       5.335       8.791
20150913      13.794       6.836       4.921       7.517
20150914      13.819      19.504       7.793      11.586
20150915      34.450      31.450      15.688      15.182
20150916      28.318      23.468      23.549      28.303
20150917      18.035      15.404      22.450      26.637
20150918      16.057      13.771      15.362      14.518
20150919      14.693      12.158      13.416      14.136
20150920      13.793      11.388      11.803      12.191
20150921      12.915       9.727      10.804      12.003
20150922      13.778      10.696      10.789      12.604
20150923      13.468      12.286      10.417      11.815
20150924      14.428       9.930      10.518      11.886
20150925      18.113      19.163      15.852      18.495
20150926      21.131      16.069      15.902      15.455
20150927      16.534      11.549      13.799      17.257
20150928      13.930      10.074      11.414      14.697
20150929      12.930       9.041      10.064      12.445
20150930      12.121       5.598       9.081      11.656
20151001      11.358       5.005       8.127      10.911
20151002      10.618       4.491       7.305       9.600
20151003       9.848       4.041       4.484       7.922
20151004       9.108       5.303       4.029       9.029
20151005       8.427       4.746       3.591       8.360
20151006       7.554       4.252       3.199       6.729
20151007       6.685       3.834       4.257       5.947
20151008       5.979       3.676       4.654       6.478
20151009       5.462       4.880       6.739       9.601
20151010       5.066       3.602       4.101       4.648
20151011       4.811       3.165       3.516       4.167
20151012       4.438       2.888       3.166       3.926
20151013       3.540       2.687       2.916       3.763
20151014       3.199       2.316       2.628       3.205
20151015       3.037       2.048       2.326       2.914
20151016       3.050       1.841       2.050       2.664
20151017       3.300       1.639       1.834       2.795
20151018       3.337       1.464       1.639       3.022
20151019       3.298       1.304       1.464       3.044
20151020       3.236       1.180       1.307       3.165
20151021       3.718       2.492       1.300       2.689
20151022       5.778       6.782       3.523       5.239
20151023       7.302      15.767       7.059       7.409
20151024       8.888       7.547       9.837       6.760
20151025      24.339      17.978      11.278      10.262
20151026      18.229      12.401      12.238      19.041
20151027      11.712       9.671      11.261      15.226
20151028      12.760       8.468       9.587      10.099
20151029      12.825       7.595       8.468      10.753
20151030      12.056       7.013       7.638      10.747
20151031      11.619       8.243       6.975      10.112
20151101      11.124       6.413       7.193       9.730
20151102      10.579       5.748   -9999.000   -9999.000
20151103       9.955       5.239       5.783       8.708
20151104       9.365       4.764       5.218       7.770
20151105       8.871       4.351       4.749       7.293
20151106       8.340       4.409       5.028       8.543
20151107      11.878       8.870       6.405      10.119
20151108      14.318      15.307       7.445       9.335
20151109      29.313      21.796      16.740      25.880
20151110      31.783      27.270      18.104      21.052
20151111      19.428      15.905      18.712      23.368
20151112      18.255      19.358      17.639      19.016
20151113      27.223      35.314      20.194      19.150
20151114      28.828      35.216      35.799      33.764
20151115      24.886      27.689      30.528      26.809
20151116      31.716      19.589      25.709      21.116
