date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.327       1.575       1.705       1.084
20150802       1.328       1.941       1.926       1.640
20150803       1.394       1.559       1.545       1.240
20150804       1.282       1.436       1.429       1.369
20150805       5.710      16.010       3.882       3.251
20150806       4.594       5.243       4.559       2.134
20150807       5.206       3.066       5.262       4.002
20150808       6.617       4.680       3.067       4.245
20150809       5.277       2.443       3.567       5.643
20150810       4.999       2.317       2.443       3.910
20150811       4.718       2.151       2.260       4.529
20150812       4.329       1.993       2.091       5.163
20150813       3.859       1.834       1.989       3.952
20150814       3.437       1.691       1.834       3.455
20150815       3.049       1.558       1.691       3.136
20150816       2.631       1.434       1.558       2.748
20150817       2.022       1.327       1.434       2.468
20150818       1.605       1.220       1.319       1.967
20150819       1.318       1.122       1.214       1.578
20150820       1.128       1.031       1.122       1.304
20150821       0.985       0.948       1.032       1.095
20150822       0.867       0.872       0.948       0.934
20150823       0.776       0.801       0.872       0.843
20150824       0.703       0.736       0.801       0.741
20150825       0.841       0.913       0.740       0.690
20150826       1.395       4.121       1.935       1.445
20150827      13.634      20.605       9.185       6.567
20150828      11.499      13.521      13.065      12.081
20150829       5.921       7.567      12.142      11.886
20150830       5.238       4.797       7.576       5.256
20150831       4.761       3.140       4.797       3.383
20150901       4.795       2.343       3.046       3.117
20150902      33.741      30.781      12.231      15.550
20150903      41.547      30.904      19.437      28.683
20150904      27.789      18.677      26.374      35.731
20150905      21.547      14.654      20.638      21.078
20150906      18.120      12.103      14.863      16.784
20150907      12.919       7.171      12.083      12.079
20150908       9.267       4.759       8.049       8.891
20150909       7.116       3.592       5.217       6.305
20150910       5.888       3.312       3.593       5.172
20150911       5.020       3.078       3.314       5.354
20150912       4.356       2.856       3.078       4.693
20150913       3.896       2.653       2.873       4.168
20150914       3.598       2.716       2.658       3.340
20150915       8.682       4.012       3.724       4.681
20150916      21.726      19.078      10.650      12.739
20150917      36.197      21.682      23.057      31.434
20150918      58.803      50.074      30.644      41.998
20150919      34.022      25.239      36.819      45.335
20150920      25.509      18.798      25.251      26.075
20150921      19.374      14.421      18.874      19.683
20150922      14.184      10.389      13.659      14.578
20150923      11.632       9.845      10.478      10.355
20150924       9.885       7.111       9.552       9.325
20150925      16.331      14.068       8.930       8.783
20150926       9.490       7.206      12.317      15.012
20150927       7.106       4.972       7.206       6.610
20150928       6.041       4.068       4.972       5.079
20150929       5.474       3.792       4.199       5.117
20150930       5.049       2.173       3.915       4.879
20151001       4.600       2.013       3.530       4.660
20151002       4.138       1.865       3.286       4.270
20151003       3.727       1.727       1.865       3.727
20151004       3.386       2.641       1.727       3.249
20151005       3.068       2.455       1.599       3.060
20151006       2.763       2.280       1.480       2.782
20151007       2.498       2.118       2.280       2.522
20151008       2.209       1.967       2.118       2.353
20151009       1.833       1.826       1.969       2.143
20151010       1.566       1.695       1.826       1.701
20151011       1.394       1.573       1.701       1.562
20151012       1.303       1.483       1.586       1.360
20151013       1.232       1.368       1.482       1.230
20151014       1.090       1.268       1.365       1.141
20151015       0.992       1.177       1.269       1.060
20151016       0.920       1.093       1.177       0.924
20151017       0.852       1.014       1.092       0.858
20151018       0.794       0.941       1.014       0.820
20151019       0.735       0.873       0.941       0.736
20151020       0.708       0.811       0.875       0.712
20151021       0.911       1.008       0.811       0.642
20151022       1.736       1.688       1.049       0.722
20151023       1.270       1.149       1.111       1.693
20151024       0.983       1.043       1.098       1.192
20151025       1.427       1.483       1.368       1.268
20151026       1.353       1.137       1.272       1.120
20151027       1.056       1.058       1.142       1.320
20151028       0.919       0.980       1.023       1.026
20151029       0.846       0.911       0.985       0.878
20151030       0.770       0.848       0.916       0.815
20151031       0.727       0.826       0.848       0.703
20151101       0.743       0.749       0.810       0.659
20151102       0.719       0.696   -9999.000   -9999.000
20151103       0.682       0.648       0.698       0.691
20151104       0.684       0.615       0.648       0.618
20151105       0.660       0.569       0.618       0.639
20151106       0.688       0.582       0.604       0.636
20151107       5.077       4.151       2.174       1.701
20151108      13.416      12.048       3.186       1.474
20151109      10.649      10.044       6.287       7.906
20151110       6.676       5.207       8.845       8.643
20151111       4.637       2.950       5.406       4.538
20151112       3.974       2.609       3.069       2.723
20151113       5.639       5.958       2.850       3.724
20151114       5.687       3.336       3.609       5.602
20151115       4.299       2.637       3.587       4.926
20151116       3.970       2.475       2.637       3.624
20151117       5.015       6.249       3.540       7.274
20151118       4.218       2.980       3.670       5.556
20151119       3.894       2.975       2.912       2.872
20151120       3.543       2.707       2.879       3.694
20151121       3.160       2.543       2.707       3.223
20151122       2.833       2.390       2.543       2.836
20151123       2.496       2.200       2.390       2.641
20151124       3.448       2.068       2.689       2.744
20151125      11.175      14.333       3.040       2.460
20151126       6.112       6.768       7.691      12.880
20151127       5.500       4.474       6.765       5.630
20151128      13.575      13.064       8.173       7.072
20151129      19.352      16.719      14.956      17.073
20151130      14.832      11.362      12.111      15.372
20151201      10.072       7.525      10.142      12.061
20151202       8.592       5.182       7.945       8.053
20151203       7.625       4.536       5.093       5.950
20151204      23.187      17.882       8.116      10.208
20151205      24.984      21.836      16.345      23.165
20151206      13.891      13.151      18.414      24.764
20151207      11.039       9.543      13.120      11.782
20151208       9.182       6.787       9.553       8.450
20151209       9.603       9.282       7.842       7.742
20151210       8.129       5.285       5.678       7.348
20151211       6.797       4.610       5.416       5.999
20151212       5.836       4.348       4.610       6.015
20151213       5.060       4.101       4.348       5.553
20151214       4.292       3.867       4.101       4.891
20151215       3.764       3.647       3.867       4.116
20151216       3.315       3.450       3.647       3.726
20151217       3.231       3.254       4.048       3.897
20151218       4.635      10.302       5.909       5.107
20151219       5.722       8.595       8.113       7.362
20151220       7.663       6.376       7.601       6.188
20151221       6.322       4.171   -9999.000   -9999.000
20151222       5.347       3.776   -9999.000   -9999.000
20151223       5.765       4.964       4.334       5.046
20151224       5.653       3.831       3.906       5.487
20151225       6.709       5.820       6.330       7.777
20151226       5.249       4.001       3.978       6.472
20151227       4.318       3.774       4.001       5.079
20151228       3.944       3.561       3.774       4.201
20151229       3.588       3.359       3.561       3.795
20151230       3.392       3.169       3.386       3.574
20151231       4.410       6.752       3.169       3.357
20160101       3.978       5.322       5.103       7.383
20160102  -10000.000       5.526       4.815       3.213
20160103  -10000.000       3.789       4.408       6.635
20160104  -10000.000       3.575       3.789       3.789
20160105  -10000.000       3.374       3.575       3.575
20160106  -10000.000       3.184       3.374       3.374
20160107       5.218       2.993       3.184       3.184
20160108       5.529       2.824       3.004       3.004
20160109       4.185       2.665       2.835       5.030
20160110       2.586       2.515       2.665       5.577
20160111       1.891       2.374       2.515       2.785
20160112       1.828       2.183       2.374       1.772
20160113       1.818       2.060       2.240       1.816
20160114       3.101       1.944       2.114       1.718
20160115       4.962       1.834       1.944       2.611
20160116       5.512       1.731       1.834       4.360
20160117       6.525       1.634       1.731       4.819
20160118       7.431       1.542       1.634       5.429
20160119       6.983       1.455       1.542       1.542
20160120       6.879       1.373       1.455       1.455
20160121       6.865       1.296       1.373       1.373
20160122       6.577       1.223       1.296       1.296
20160123       3.458       1.112       1.223       1.223
20160124       1.224       1.050       1.154       1.154
20160125       1.048       0.991       1.560       1.696
20160126       1.241       1.431       1.960       1.898
20160127      11.576      12.103       3.446       2.682
20160128      11.887      20.083      12.567      12.450
20160129       9.000      17.437      14.265      15.067
20160130      10.701      19.681      16.486      17.689
20160131       6.362      14.281      16.942      17.770
20160201       5.227       9.458      14.041      14.284
20160202       5.380       6.832      10.788      10.812
20160203       5.699       9.344       6.836       6.823
20160204       4.571       5.629       7.502       8.465
20160205       4.093       3.523       5.825       6.021
20160206       6.262       3.354       7.481       7.458
20160207      18.069      19.024       9.960       9.229
20160208      31.658      26.682      17.809      17.687
20160209      42.680      43.037      32.912      32.510
20160210      25.938      26.654      33.932      33.047
20160211      20.057      20.406      26.580      27.375
20160212      14.807      14.912      19.785      20.211
20160213      11.041      10.901      14.912      14.912
20160214       8.450       7.883      10.901      10.901
20160215       6.598       5.611       7.883       7.883
20160216       5.703       4.584       5.611       5.611
20160217       4.870       4.244       4.584       4.584
20160218       4.219       4.008       4.329       4.329
20160219       3.659       3.785       4.089       4.089
20160220       3.612       3.706       3.842       4.197
20160221       4.022       3.507       3.640       4.617
20160222       3.441       3.387       3.459       3.584
20160223       2.989       3.139       3.324       3.404
20160224       2.631       2.960       3.139       2.819
20160225       2.304       2.795       2.964       2.415
20160226       2.256       2.640       2.799       2.143
20160227       2.049       2.493       2.640       2.158
20160228       1.770       2.354       2.493       1.938
20160229       1.707       2.223       2.354       1.550
20160301       1.694       2.099       2.223       1.757
20160302       1.610       1.983       2.099       1.622
20160303       1.614       1.872       1.983       1.725
20160304       1.643       3.096       1.875       1.753
20160305       1.681       2.099       2.198       2.024
20160306       1.688       2.760       2.509       1.924
20160307       1.684       1.946       2.363       1.953
20160308       1.617       1.863       1.955       1.548
20160309       1.568       2.001       1.907       1.712
20160310       1.641       3.432       2.118       1.978
20160311       1.832       2.195       2.490       1.925
20160312       1.674       2.601       2.422       2.303
20160313       1.944       4.083       2.844       2.349
20160314       2.956       6.270       4.088       3.224
20160315       4.730       9.337       8.428       5.138
20160316       6.088      12.635      10.176       6.059
20160317       6.006      12.133      12.229       7.966
20160318       5.901       8.808      11.968       9.695
20160319       5.978      10.162       9.961       6.222
20160320       6.171       9.798      10.111       5.915
20160321       6.089       9.094       9.704       5.689
20160322       6.404       9.094       8.987       6.582
20160323   -9999.000   -9999.000       8.331       6.139
20160324       5.657       6.492   -9999.000   -9999.000
20160325       6.282       6.953   -9999.000   -9999.000
20160326       6.431       6.367   -9999.000   -9999.000
20160327      16.333       7.582       7.523       7.893
20160328      23.228      23.933      11.501      16.406
20160329      19.608      19.631      24.021      29.275
20160330      17.016      15.399      18.654      18.904
20160331      13.806      10.896      15.637      14.837
20160401      11.170       8.377      10.886      10.974
20160402      10.989       9.558       8.813       9.061
20160403      11.043      10.534       8.997       9.306
20160404       9.573       8.093       9.567      10.608
20160405      12.419      14.191      11.316      12.169
20160406      10.097       7.673      11.609      12.422
20160407       8.260       6.195       8.516       8.368
20160408       7.408       5.871       9.360       8.822
20160409       6.876       5.588       6.376       6.354
20160410       6.173       4.961       5.292       6.551
20160411       5.710       4.697       4.966       5.642
20160412       5.283       4.358       4.575       5.306
20160413       4.780       4.043       4.231       4.999
20160414       4.292       3.804       4.102       4.702
20160415       3.908       3.586       3.883       4.268
20160416       3.670       3.422       3.622       3.890
20160417      14.179      18.749       8.417       8.213
20160418       8.232       8.524      13.048      14.582
20160419       6.232       5.918       8.729       6.689
20160420       5.679       4.074       5.914       5.131
20160421       5.150       3.816       4.072       3.996
20160422       4.602       3.582       3.816       4.890
20160423       4.086       3.361       3.582       4.355
20160424       3.711       3.153       3.361       3.886
20160425       3.414       3.003       3.200       3.628
20160426       3.111       2.868       2.986       3.089
20160427       2.850       2.691       2.842       3.102
20160428       2.619       2.521       2.633       2.754
20160429       3.682      13.291       6.617       6.677
20160430      14.125      17.565      14.377       8.333
20160501      23.137      26.292      21.439      15.873
20160502      11.328      14.810      22.691      24.914
20160503       9.456      11.321      14.571      10.128
20160504       8.492       8.098      11.066       8.609
20160505       7.218       5.439       7.698       6.998
20160506       6.201       3.906       5.439       5.012
20160507       5.499       3.637       3.906       4.665
20160508       4.820       3.390       3.637       5.087
20160509       4.273       3.153       3.390       4.449
20160510       3.816       2.905       3.153       4.120
20160511       3.390       2.692       2.927       3.752
20160512       2.986       2.492       2.712       3.181
20160513       2.697       2.306       2.492       2.776
20160514       2.432       2.131       2.305       2.360
20160515       2.178       1.970       2.133       2.408
20160516       1.940       1.820       1.970       1.998
20160517       1.739       1.680       1.820       1.854
20160518       1.566       1.550       1.680       1.652
20160519       1.416       1.430       1.550       1.413
20160520       1.334       1.327       1.434       1.353
20160521       1.296       1.286       1.376       1.332
20160522       1.226       1.274       1.279       1.261
20160523       1.545       2.427       1.816       1.692
20160524       1.775       1.727       1.894       1.454
20160525       1.651       1.709       1.935       1.578
