date          Qobs       Qsimobs        Qsim       Qusi
20150801      15.763      13.551      14.992      14.601
20150802      11.425       8.972      11.147      12.420
20150803      10.087      13.275      11.686      11.430
20150804       9.501       7.948       9.485       9.686
20150805  -10000.000      11.092       8.800       8.408
20150806  -10000.000      20.703      20.211      25.919
20150807  -10000.000      10.812      15.845      16.424
20150808  -10000.000      40.189      16.931      16.933
20150809  -10000.000      24.275      24.731      25.737
20150810  -10000.000      16.700      21.494      21.681
20150811       8.335      12.405      16.069      16.087
20150812      11.235      16.893      13.931   -9999.000
20150813      13.170      19.767      16.803      13.114
20150814       9.091      11.426      14.661      11.798
20150815       7.506       8.537      11.416       7.411
20150816       6.478       7.248       8.537       5.857
20150817       5.715       6.389       7.240       5.822
20150818       5.106       5.632       6.388       5.127
20150819       4.572       4.959       5.632       4.508
20150820       4.110       4.369       4.959       4.040
20150821       3.732       3.838       4.366       3.604
20150822       3.437       3.370       3.838       3.247
20150823       3.175       2.958       3.370       3.237
20150824       2.997       2.594       2.958       2.972
20150825       2.952       2.274       2.594       2.611
20150826       2.892       2.513       2.297       2.381
20150827       2.907       2.575       4.820       5.535
20150828      50.887      50.115      19.941      22.003
20150829      30.297      48.331      36.456      50.950
20150830      15.196      26.308      32.385      36.298
20150831      11.856      24.905      25.795      15.091
20150901       9.921      16.085      22.812      12.066
20150902       8.540      11.565      16.078       8.872
20150903       7.477       8.477      11.556       7.053
20150904       6.552       6.096       8.477       5.768
20150905       6.393       8.896       9.721       7.574
20150906       7.011      10.216       8.203       6.538
20150907       9.661       9.257      10.683       9.370
20150908      20.169       6.556      10.769       9.720
20150909      13.292      11.303      11.313      15.951
20150910       9.478       7.477      10.119      10.484
20150911       7.703       6.145       4.840       7.891
20150912       6.551       5.434       6.145       6.255
20150913       5.896       4.809       5.434       5.901
20150914       5.255       4.243       4.803       5.047
20150915       4.831       3.812       4.243       4.643
20150916       4.493       3.347       3.781       4.194
20150917       4.008       2.947       3.347       3.842
20150918       5.671      13.242       5.525       6.344
20150919      54.429      38.039      27.646      23.763
20150920      46.338      40.182      32.582      49.110
20150921      33.691      28.246      34.323      41.026
20150922      21.394      20.228      24.587      25.262
20150923      16.754      14.227      19.411      16.587
20150924      14.385      10.561      14.194      12.478
20150925      21.403      12.628      14.867      14.507
20150926      22.877      21.744      16.852      21.470
20150927      52.962      29.825      23.783      29.319
20150928      26.534      26.304      22.467      43.936
20150929      19.290      17.549      16.987      20.419
20150930      28.044      18.472      17.386      17.866
20151001     151.100      42.977      32.897      34.417
20151002     164.769     123.703      78.911     121.544
20151003      92.847      87.604      88.044     115.866
20151004      71.608      58.211      77.102      78.126
20151005      54.100      44.346      54.289      50.595
20151006      40.821      31.490      40.917      42.032
20151007      31.950      22.830      31.490      30.812
20151008      25.286      17.304      23.465      23.620
20151009      21.266      12.943      18.162      19.797
20151010      18.863      12.132      13.037      15.351
20151011      16.599       9.080      10.958      14.480
20151012      14.658       7.542       9.072      12.447
20151013      13.048       6.728       7.546      11.655
20151014      11.779       6.443       7.806      11.562
20151015      10.580       5.581       6.198       9.756
20151016       9.842       5.270       5.581       9.027
20151017       9.443       4.897       5.154       7.909
20151018      10.662       5.514       4.800       7.716
20151019       9.941       5.061       4.573       8.438
20151020       8.855       4.565       4.507       7.998
20151021       8.093       3.989       4.690       7.544
20151022      13.164      14.044      12.575      19.847
20151023      21.095      24.926      15.699      21.220
20151024      16.805      14.128      18.206      19.534
20151025      23.073      21.017      17.536      16.965
20151026      26.062      17.020      20.637      25.822
20151027      40.119      31.773      25.744      33.453
20151028      19.355      16.814      22.064      38.495
20151029      15.273      12.341      16.787      14.753
20151030      12.983       9.125      12.414      11.983
20151031      14.230       9.376       9.218       9.463
20151101      45.518      20.361      14.242      17.438
20151102      80.236      42.265   -9999.000   -9999.000
20151103      57.563      41.559      45.891      76.029
20151104      42.723      34.662      38.349      55.608
20151105      33.109      24.705      29.091      28.587
20151106      24.273      18.131      22.602      28.090
20151107      25.356      15.903      18.095      20.034
20151108      23.668      22.819      20.978      22.888
20151109      19.775      16.094      18.633      21.133
20151110      18.128      12.887      16.726      17.502
20151111      32.141      25.768      18.054      19.309
20151112      27.301      23.561      22.070      31.573
20151113      20.493      15.577      18.847      23.374
20151114      16.552      12.659      15.367      15.300
20151115      14.011       9.121      11.446      11.884
20151116      12.402       7.902       9.112      10.808
20151117      11.686      13.417       9.155      11.945
20151118      10.381       7.870       8.720       9.985
20151119       9.511       6.648       7.703       8.250
20151120       8.779       6.166       6.772       7.562
20151121       7.977       5.540       6.141       7.964
20151122       7.331       4.733       5.311       6.761
20151123       7.158       7.168       6.232      10.902
20151124       6.902       4.659       6.038       5.836
20151125       6.349       3.447       4.127       5.349
20151126       6.376       3.695       7.425      11.354
20151127      64.396      29.389      22.217      34.329
20151128      56.354      41.352      26.803      36.564
20151129      21.080      22.018      29.790      61.751
20151130      15.454      16.803      22.981      18.617
20151201      14.348      19.181      19.285      15.235
20151202      13.620      10.915      17.541      13.633
20151203      13.657      17.054      12.467      12.402
20151204      12.157       9.436      11.421      11.221
