date          Qobs       Qsimobs        Qsim       Qusi
20150801      31.208      29.747      32.986      34.249
20150802      27.347      37.977      30.440      30.539
20150803      24.918      30.947      37.357      29.435
20150804      29.339      31.265      32.024      25.359
20150805      37.087      47.282      36.730      32.861
20150806      35.556      36.957      41.809      38.791
20150807      41.352      44.152      37.514      34.386
20150808      40.940      40.367      39.564      37.968
20150809      35.843      32.789      38.361      37.764
20150810      35.563      29.085      33.127      32.291
20150811      43.062      34.312      29.055      31.626
20150812      41.978      33.807      31.329      37.234
20150813      34.907      24.627      31.500      37.528
20150814      31.138      23.455      25.726      31.242
20150815      35.517      26.558      24.312      28.801
20150816      49.221      33.732      27.847      36.800
20150817      52.098      36.611      31.165      43.887
20150818      49.973      28.075      32.080      45.082
20150819      45.003      25.890      27.728      44.297
20150820      40.087      24.323      26.132      41.794
20150821      36.271      22.189      23.939      37.166
20150822      33.940      20.678      21.988      31.195
20150823      30.761      18.198      20.365      31.767
20150824      30.399      16.961      18.217      28.384
20150825      35.027      16.801      17.399      27.142
20150826      34.391      24.048      18.031      31.058
20150827      33.555      20.243      23.989      35.565
20150828      31.454      22.139      20.444      30.812
20150829      29.713      23.820      22.107      28.812
20150830      26.039      23.411      24.248      30.150
20150831      23.159      20.339      21.477      23.513
20150901      20.510      16.434      19.021      19.713
20150902      36.576      23.765      21.059      22.078
20150903      28.859      17.467      20.389      31.025
20150904      25.216      15.424      17.181      24.950
20150905      24.838      19.621      17.190      25.027
20150906      18.660      14.746      16.824      22.627
20150907      14.654      13.601      14.685      17.675
20150908      12.022      12.463      13.586      13.501
20150909      10.315      11.395      12.566      11.557
20150910       9.114      10.673      11.617       9.581
20150911       8.704       9.846      10.627       8.667
20150912       8.762       9.093       9.783       8.314
20150913       9.812       9.131       9.152       8.309
20150914      12.167       9.097      12.374       8.716
20150915      16.499       8.022      11.004      11.159
20150916      20.990      17.125      11.017      17.560
20150917      19.217      10.342      13.659      19.077
20150918      19.216      11.510      12.230      18.269
20150919      19.928      10.572      10.855      16.965
20150920      17.445      10.076      10.862      18.647
20150921      14.141       8.714       9.311      16.154
20150922      11.554       7.985       8.623      12.811
20150923      10.158       8.553       8.360      11.355
20150924       9.196       7.272       7.915       9.335
20150925      11.700      15.196       8.455       9.870
20150926      14.282      19.078      13.042      12.103
20150927      12.844      13.639      15.703      13.797
20150928      10.927      12.000      13.119      12.032
20150929       9.236      10.952      11.996      10.389
20150930       8.007       7.516      11.039       8.629
20151001       7.253       7.337      10.214       7.999
20151002       6.887       6.748       9.878       6.729
20151003       7.170       7.426       6.732       6.462
20151004       6.234       8.220       6.753       6.502
20151005       5.533       7.580       6.152       5.846
20151006       4.992       7.032       5.684       5.268
20151007       4.302       7.065       6.989       4.741
20151008       3.879       7.043       7.338       4.865
20151009       3.784       7.577       6.900       4.135
20151010       3.581       5.949       6.920       3.287
20151011       3.335       5.438       5.924       3.234
20151012       3.128       7.386       5.438       3.119
20151013       2.838       6.775       4.987       3.095
20151014       2.738       3.983       4.573       2.567
20151015       2.625       3.635       6.172       2.451
20151016       2.509       3.304       5.669       2.333
20151017       2.395       2.977       3.324       2.290
20151018       2.287       2.671       3.009       2.154
20151019       2.135       2.381       2.689       2.057
20151020       2.028       2.170       2.393       1.860
20151021       1.993       2.690       2.641       2.212
20151022       4.828       6.105       4.189       2.855
20151023      14.706      53.310       8.622       5.780
20151024      10.228      18.185      24.608      12.821
20151025      11.827      27.250      20.436      10.962
20151026      10.760      23.840      24.387      12.895
20151027       9.520      17.467      21.388       9.197
20151028       7.824      13.497      17.251       8.577
20151029       6.295      12.160      15.428       7.510
20151030       5.927      11.207      14.366       6.357
20151031       8.895      13.031      13.005       6.470
20151101      12.581      16.505      12.977       8.936
20151102      10.603      13.198   -9999.000   -9999.000
20151103      10.491      11.969      13.094      10.046
20151104       9.725      11.406      11.934       9.502
20151105       8.535      10.521      10.942       9.139
20151106       7.813       9.721      10.063       8.285
20151107      11.462      10.620      11.289       9.052
20151108      12.422      17.112      10.651       7.973
20151109      17.161      28.090      11.709      14.542
20151110      16.936      49.624      24.652      18.280
20151111      14.362      44.597      36.605      22.464
20151112      14.552      34.074      36.693      15.710
20151113      14.261      34.518      30.855      11.794
20151114      11.565      25.649      28.607      11.347
20151115      10.031      36.556      28.208      12.080
20151116       8.565      31.170      27.272       7.221
20151117       8.595      22.997      22.021       8.735
20151118       7.845      24.359      22.642       7.557
20151119       6.351      14.063      21.609       5.928
20151120       5.177      12.277      14.057       5.810
20151121       4.112      11.173      12.155       5.100
20151122       4.074       9.908      10.980       4.123
20151123       4.176       8.998       9.914       4.223
20151124       4.443       8.988       9.492       4.176
20151125       3.828       8.012       9.099       4.470
20151126       3.479       7.192       8.655       4.444
20151127      18.550      14.922       9.693       4.884
20151128      21.668      15.103      11.988      11.171
20151129      14.801      15.622      11.920      17.480
20151130      12.295      13.957      13.579      11.201
20151201      10.267      11.232      12.242       9.663
20151202      11.202       7.838       9.140       7.934
20151203      13.911      14.004       8.171       8.645
20151204       9.992       9.316      10.867      10.608
20151205      26.661      19.780      11.340      12.154
20151206      22.126      64.064      19.527      21.542
20151207      13.149      46.777      37.378      26.020
20151208      12.140      23.359      38.576      13.055
20151209      15.358      44.709      25.082      12.007
20151210      18.928      57.897      36.117      17.264
20151211      11.791      42.115      46.831      20.491
20151212       9.075      26.506      39.963      10.056
20151213       7.377      19.651      25.314       6.647
20151214       6.134      17.833      19.703       5.907
20151215       4.714      15.536      17.254       5.352
20151216       4.140      14.071      15.556       5.122
20151217       6.189      14.659      15.264       3.857
20151218      16.978      16.188      15.116       5.826
20151219      25.543      20.527      21.793      18.508
20151220      59.285      69.975      22.182      25.175
20151221      53.431     102.068   -9999.000   -9999.000
20151222      37.834      79.097   -9999.000   -9999.000
20151223      30.328      59.115      68.677      37.914
20151224      23.959      54.076      55.132      27.608
20151225      19.821      72.330      48.663      22.250
20151226      14.144      40.329      59.324      21.235
20151227      11.949      27.159      39.066      10.623
20151228       9.730      22.630      26.820       8.480
20151229       7.937      19.758      21.879       7.700
20151230       6.718      18.895      20.036       7.698
20151231       6.077      24.997      19.548       7.358
20160101       5.791      25.149      22.037       6.700
20160102       5.076      21.161      22.466       5.853
20160103       6.391      17.894      19.990       4.476
20160104      11.559      16.265      17.907       4.790
20160105      20.754      14.848      16.276      10.633
20160106      19.195      13.691      14.848      14.854
20160107      16.035      12.403      13.600      13.580
20160108      12.210      11.490      12.411      12.412
20160109       9.612      10.377      11.386      11.367
20160110       7.740      10.017      10.547      10.541
20160111       6.513      10.251      10.075       9.999
20160112       4.424       7.929       8.990       8.866
20160113       4.238       7.347       8.161       8.147
20160114       3.817       7.476       8.472       8.436
20160115       3.597       6.645       6.769       6.623
20160116       3.251       6.858       7.097       7.002
20160117       3.204       5.073       5.876       5.667
20160118       3.038       5.016       5.327       5.327
20160119       2.816       4.820       5.392       5.329
20160120       2.748       3.837       4.467       4.373
20160121       2.627       3.481       3.840       3.837
20160122       2.586       3.151       3.477       3.568
20160123       2.512       4.512       3.414       3.560
