date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.891       1.366       1.592       1.832
20150802       1.710       1.484       1.395       1.848
20150803       1.514       1.276       1.480       1.687
20150804       1.362       1.190       1.293       1.441
20150805       1.727       2.594       1.594       1.651
20150806       2.194       1.640       2.406       1.972
20150807       2.117       1.440       1.727       1.982
20150808       1.873       1.352       1.442       1.853
20150809       1.606       1.259       1.348       1.750
20150810       1.397       1.173       1.260       1.504
20150811       1.250       1.116       1.176       1.344
20150812       1.158       1.173       1.144       1.231
20150813       1.061       1.040       1.147       1.122
20150814       0.964       0.968       1.038       0.996
20150815       0.871       0.916       0.968       0.888
20150816       0.794       0.867       0.916       0.826
20150817       0.735       0.822       0.867       0.764
20150818       0.680       0.779       0.822       0.712
20150819       0.632       0.736       0.779       0.651
20150820       0.593       0.697       0.737       0.609
20150821       0.563       0.660       0.697       0.566
20150822       0.529       0.626       0.660       0.543
20150823       0.491       0.593       0.626       0.501
20150824       0.466       0.560       0.593       0.471
20150825       0.593       0.651       0.601       0.476
20150826       2.030       4.784       0.931       0.696
20150827       3.867       2.935       3.035       2.797
20150828       4.473       2.287       3.011       3.912
20150829       3.713       1.844       2.347       3.910
20150830       2.991       1.652       1.898       3.263
20150831       2.446       1.481       1.657       2.700
20150901       2.061       1.367       1.479       2.253
20150902       9.985       6.490       1.653       2.334
20150903      18.328      11.230       6.429       9.478
20150904      11.399       5.170       8.167      15.761
20150905       7.717       5.115       5.118       8.165
20150906       6.001       3.635       4.688       5.859
20150907       4.549       2.437       3.463       4.476
20150908       3.529       2.139       2.641       3.529
20150909       2.845       2.000       2.263       3.094
20150910       2.357       1.864       2.000       2.670
20150911       1.992       1.742       1.860       2.202
20150912       1.780       1.670       1.744       1.910
20150913       2.169       4.893       1.769       1.796
20150914       2.809       4.068       3.253       2.488
20150915       5.880       5.296       4.321       3.412
20150916      12.025      12.802       7.870       6.602
20150917      11.161       8.747      17.449      14.171
20150918      10.512       8.624       9.168       9.707
20150919       7.339       4.689       7.463       8.441
20150920       5.241       3.135       4.684       4.862
20150921       4.022       2.395       3.174       3.672
20150922       3.346       2.216       2.443       3.205
20150923       3.434       2.669       2.440       3.325
20150924       3.403       2.144       3.577       3.419
20150925       3.560       2.628       2.331       3.397
20150926       3.440       2.102       2.410       3.267
20150927       2.953       1.965       2.100       3.224
20150928       2.517       1.826       1.966       2.815
20150929       2.198       1.712       1.841       2.375
20150930       1.928       1.370       1.726       2.064
20151001       1.727       1.298       1.608       1.836
20151002       1.555       1.229       1.510       1.660
20151003       1.397       1.166       1.229       1.466
20151004       1.246       1.276       1.166       1.328
20151005       1.136       1.208       1.103       1.207
20151006       1.053       1.319       1.046       1.099
20151007       1.001       1.184       1.257       1.032
20151008       0.969       1.159       1.155       0.946
20151009       0.962       1.107       1.161       0.966
20151010       0.990       1.369       1.100       0.904
20151011       1.001       1.185       1.270       1.026
20151012       0.995       1.084       1.186       0.929
20151013       0.972       1.041       1.123       0.926
20151014       0.928       0.983       1.060       0.920
20151015       0.878       0.930       0.981       0.891
20151016       0.831       0.881       0.931       0.842
20151017       0.785       0.834       0.882       0.798
20151018       0.743       0.790       0.835       0.753
20151019       0.706       0.748       0.791       0.703
20151020       0.676       0.709       0.748       0.681
20151021       0.663       0.671       0.710       0.649
20151022       0.654       0.726       0.676       0.620
20151023       0.663       0.691       0.734       0.640
20151024       0.655       0.649       0.683       0.644
20151025       0.657       0.618       0.657       0.613
20151026       0.640       0.584       0.619       0.631
20151027       0.622       0.553       0.586       0.600
20151028       0.606       0.523       0.553       0.594
20151029       0.590       0.496       0.523       0.576
20151030       0.575       0.469       0.496       0.554
20151031       0.588       0.576       0.471       0.562
20151101       0.614       0.511       0.569       0.591
20151102       0.611       0.483   -9999.000   -9999.000
20151103       0.605       0.452       0.482       0.579
20151104       0.593       0.430       0.452       0.566
20151105       0.578       0.407       0.428       0.564
20151106       0.571       0.397       0.405       0.552
20151107       0.617       0.688       0.513       0.651
20151108       0.728       0.944       0.602       0.670
20151109       0.825       0.867       0.790       0.718
20151110       0.858       0.815       0.894       0.827
20151111       0.830       0.746       0.806       0.813
20151112       0.773       0.698       0.759       0.786
20151113       0.724       0.722       0.714       0.728
20151114       0.678       0.647       0.703       0.698
20151115       0.639       0.604       0.653       0.631
20151116       0.620       0.581       0.604       0.607
20151117       0.607       0.687       0.622       0.625
20151118       0.584       0.569       0.668       0.572
20151119       0.568       0.528       0.571       0.544
20151120       0.543       0.493       0.530       0.532
20151121       0.513       0.461       0.493       0.512
20151122       0.481       0.431       0.461       0.476
20151123       0.461       0.404       0.431       0.451
20151124       0.461       0.382       0.411       0.440
20151125       0.452       0.357       0.384       0.434
20151126       0.432       0.335       0.358       0.430
20151127       0.424       0.316       0.461       0.462
20151128       0.456       0.363       0.338       0.427
20151129       0.476       0.366       0.353       0.469
20151130       0.473       0.321       0.360       0.450
20151201       0.462       0.298       0.319       0.444
20151202       0.453       0.290       0.306       0.453
20151203       0.448       0.286       0.295       0.435
20151204       0.479       0.373       0.332       0.496
20151205       0.491       0.351       0.448       0.502
20151206       0.535       0.830       0.390       0.518
20151207       0.551       0.676       0.650       0.641
20151208       0.553       0.592       0.680       0.645
20151209       0.572       0.563       0.602       0.539
20151210       0.581       0.531       0.574       0.535
20151211       0.586       0.724       0.528       0.549
20151212       0.573       0.596       0.639       0.621
20151213       0.557       0.559       0.601       0.545
20151214       0.532       0.526       0.560       0.528
20151215       0.496       0.495       0.526       0.499
20151216       0.461       0.466       0.495       0.473
20151217       0.446       0.464       0.477       0.450
20151218       0.456       0.446       0.472       0.428
20151219       0.456       0.585       0.585       0.440
20151220       0.485       0.419       0.824       0.663
20151221       0.574       0.630   -9999.000   -9999.000
20151222       0.678       0.593   -9999.000   -9999.000
20151223       0.745       0.556       0.632       0.736
