date          Qobs       Qsimobs        Qsim       Qusi
20150801      47.334      57.806      68.370      45.898
20150802      42.703      61.019      55.856      42.860
20150803      41.970      58.409      64.189      45.335
20150804      37.792      50.679      60.210      40.504
20150805      52.433      70.463      57.141      40.791
20150806      64.779      59.655      66.333      49.093
20150807      61.180      62.098      58.766      60.285
20150808      64.785      56.746      60.753      57.173
20150809      52.442      55.693      57.894      63.038
20150810      48.448      46.808      53.133      51.870
20150811      51.452      55.338      52.279      45.344
20150812      60.331      58.770      51.666      50.297
20150813      48.385      42.299      56.836      56.715
20150814      38.405      38.949      44.400      41.727
20150815      33.977      38.306      39.286      38.389
20150816      38.387      41.163      40.122      32.799
20150817      44.790      38.039      41.485      38.760
20150818      43.598      35.530      37.688      42.709
20150819      36.600      35.765      35.762      42.218
20150820      31.862      34.320      35.153      36.046
20150821      28.744      31.493      33.729      30.848
20150822      27.981      31.274      31.366      26.628
20150823      30.539      29.081      30.797      26.725
20150824      29.793      28.126      31.406      28.502
20150825      27.842      32.464      28.142      29.177
20150826      37.066      35.883      32.197      31.023
20150827      40.338      34.787      34.367      34.279
20150828      41.736      54.598      52.523      58.147
20150829      35.434      32.101      46.860      37.674
20150830      27.446      27.743      31.658      29.061
20150831      22.538      26.769      28.365      25.296
20150901      20.025      25.204      28.155      24.035
20150902      18.292      23.982      25.578      20.108
20150903      16.811      24.148      24.902      18.636
20150904      16.286      22.915      23.702      16.807
20150905      17.269      36.589      25.136      17.639
20150906      18.472      31.453      33.990      17.621
20150907      18.168      30.494      29.795      18.432
20150908      19.196      26.490      30.137      19.012
20150909      17.715      25.579      29.107      17.684
20150910      15.823      24.015      26.434      16.804
20150911      14.269      22.730      23.152      15.100
20150912      12.970      21.874      22.721      13.865
20150913      11.286      21.640      21.802      12.809
20150914      10.793      21.541      21.221      12.022
20150915      10.925      20.717      20.790      11.456
20150916      13.139      24.805      22.307      12.242
20150917      15.646      20.871      22.997      12.624
20150918      16.526      23.580      23.368      17.003
20150919      22.403      33.785      27.237      18.428
