date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.873       1.714       3.337       3.791
20150802       4.001       7.556       2.914       3.748
20150803       2.834       2.069       2.734       3.136
20150804       2.764       1.503       2.017       1.458
20150805       9.424      18.700       6.014       6.742
20150806       5.030       4.466      10.068      12.012
20150807       3.516       2.244       4.688       2.940
20150808       2.494       1.684       3.365       2.984
20150809       1.859       1.562       1.681       2.020
20150810       1.498       1.451       1.562       1.800
20150811       1.379       1.356       1.450       1.531
20150812       1.462       2.256       1.364       1.257
20150813       1.114       1.376       1.497       1.327
20150814       0.894       1.277       1.376       1.193
20150815       0.731       1.184       1.277       0.917
20150816       4.524       9.472       1.586       1.081
20150817       2.959       2.814       5.045       5.351
20150818       2.068       1.436       2.343       1.540
20150819       1.607       1.333       1.436       1.312
20150820       1.257       1.236       1.333       1.476
20150821       0.994       1.146       1.237       1.229
20150822       0.787       1.062       1.146       0.993
20150823       0.642       0.984       1.062       0.817
20150824       0.588       0.911       0.984       0.663
20150825      35.123      23.601       6.812       4.998
20150826      29.021      36.784      22.763      32.670
20150827      40.708      35.084      30.752      35.121
20150828      20.159      16.232      29.808      33.328
20150829       8.912       6.053      14.167      12.208
20150830       4.976       2.234       6.052       4.539
20150831       3.311       1.637       2.213       1.989
20150901       2.728       1.521       2.200       2.890
20150902      69.577      49.601      26.906      31.541
20150903      46.643      70.639      50.482      63.491
20150904      17.844      23.451      48.737      49.925
20150905      10.053      10.509      21.954      15.350
20150906       7.204       7.260      11.939       9.430
20150907       4.236       2.507       5.172       4.127
20150908       2.939       2.024       2.468       1.802
20150909       2.269       1.864       2.022       2.428
20150910       1.849       1.740       1.891       2.054
20150911       1.560       1.625       1.766       1.789
20150912       1.362       1.516       1.942       1.914
20150913       3.551       6.964       3.600       3.194
20150914      18.245      17.448      15.297      12.562
20150915      87.547      43.829      34.672      42.986
20150916      41.833      55.835      45.194      54.043
20150917      45.338      30.161      58.386      54.700
20150918      41.451      44.962      37.829      34.976
20150919      13.755      14.734      31.554      38.156
20150920       7.011       6.614      14.734       7.666
20150921       4.373       2.727       6.723       4.466
20150922       9.186       5.417       5.212       4.076
20150923      10.513      12.307      10.369      10.357
20150924      14.627       5.299      10.210      12.602
20150925      19.267      18.290       8.222       8.441
20150926       9.238       5.407      11.455      16.469
20150927       5.300       2.607       5.359       5.007
20150928       3.552       2.463       2.607       2.899
20150929       2.722       2.310       2.445       3.237
20150930       2.229       1.695       2.292       2.490
20151001       1.907       1.579       2.161       2.268
20151002       1.636       1.475       2.021       1.880
20151003       1.432       1.377       1.475       1.618
20151004       1.274       1.661       1.377       1.320
20151005       1.148       1.549       1.291       1.247
20151006       1.038       1.458       1.216       1.148
20151007       0.949       1.394       1.456       0.992
20151008       0.877       1.288       1.544       1.101
20151009       1.017       5.307       2.775       2.136
20151010       1.559       6.267       3.188       1.240
20151011       1.427       1.671       3.815       1.594
20151012       1.337       1.675       1.854       0.774
20151013       1.433       1.950       1.712       1.364
20151014       1.275       1.658       1.644       1.418
20151015       1.129       1.567       1.646       1.353
20151016       1.018       1.466       1.545       1.119
20151017       0.916       1.391       1.475       1.068
20151018       0.830       1.317       1.387       0.985
20151019       0.762       1.286       1.329       0.928
20151020       0.706       1.239       1.257       0.780
20151021       0.694       1.148       1.212       0.724
20151022       0.766       2.429       1.225       0.789
20151023       0.849       1.652       1.460       0.932
20151024       0.722       1.296       1.551       0.922
20151025       1.119       1.282       1.606       0.808
20151026       1.000       1.196       1.233       0.978
20151027       0.847       1.113       1.244       0.975
20151028       0.760       1.057       1.143       0.876
20151029       0.715       1.027       1.042       0.735
20151030       0.672       0.956       1.004       0.738
20151031       0.831       1.588       0.974       0.637
20151101       1.037       1.388       1.034       0.767
20151102       0.909       1.219   -9999.000   -9999.000
20151103       0.807       1.156       1.159       0.964
20151104       0.741       1.079       1.137       0.819
20151105       0.694       1.095       1.092       0.746
20151106       0.785       2.143       1.206       0.764
20151107       8.370      11.872       6.873       5.136
20151108      13.775      21.788       7.285       4.494
20151109      15.568      14.560      15.352      17.360
20151110       8.339       6.711      11.339      11.166
20151111       4.971       2.110       5.282       4.766
20151112       3.411       1.803       2.206       2.003
20151113       7.773       3.764       2.037       3.101
20151114       7.176       6.521       3.938       4.768
20151115       4.723       2.524       4.268       7.607
20151116       3.786       1.871       2.546       2.498
20151117       3.766       1.919       3.539       3.159
20151118       3.152       1.869       3.074       3.674
20151119       2.782       1.823       1.796       2.963
20151120       2.300       1.554       1.664       2.271
20151121       1.955       1.456       1.554       2.063
20151122       2.562       1.364       1.456       1.672
20151123       3.696       1.278       1.376       2.188
20151124       1.767       1.197       1.629       3.639
20151125       1.630       1.275       1.242       1.545
20151126       1.716       1.081       2.012       2.000
20151127       2.791       1.013       5.027       4.813
