date          Qobs       Qsimobs        Qsim       Qusi
20150801      15.494      12.271      14.504      14.500
20150802      14.125      12.731      12.641      14.447
20150803      13.382      14.818      15.928      16.169
20150804      14.085      12.628      14.513      13.724
20150805      20.255      15.865      18.034      17.513
20150806      19.716      14.656      16.037      17.608
20150807      31.615      28.252      24.510      29.321
20150808      27.023      22.473      21.625      22.736
20150809      21.834      20.843      22.814      21.779
20150810      25.534      18.490      18.993      16.091
20150811      37.075      23.016      14.674      18.086
20150812      38.110      35.990      23.284      26.820
20150813      23.569      14.818      27.620      27.252
20150814      16.366      11.051      15.352      16.576
20150815      16.091      13.983      11.924      13.009
20150816      25.111      26.006      14.212      16.191
20150817      24.107      19.614      20.507      18.431
20150818      17.818      12.579      17.007      17.703
20150819      14.710      12.249      12.449      13.213
20150820      13.126      12.614      12.450      14.163
20150821      12.233      10.722      12.471      12.204
20150822      13.345      10.088      10.810       9.750
20150823      13.507       8.538       9.621      11.044
20150824      11.924       7.399       8.911      11.064
20150825      11.749       7.354       7.633       9.892
20150826      13.887      11.791      10.523      14.153
20150827      15.398      15.917      12.325      13.688
20150828      17.770      23.610      16.910      15.067
20150829      24.868      40.082      26.873      22.489
20150830      42.131      65.701      45.462      30.055
20150831      36.603      37.760      54.090      40.302
20150901      17.564      10.233      29.782      24.319
20150902      11.751       6.117      12.826       9.856
20150903       9.106       5.399       6.769       6.649
20150904       7.985       5.380       5.378       7.624
20150905      12.070      27.122      11.817      15.354
20150906       9.658       7.378      16.898      11.840
20150907       7.684       5.541       7.222       5.319
20150908       6.751       5.544       5.624       6.151
20150909       5.954       4.852       5.749       6.771
20150910       5.449       4.655       5.568       5.485
20150911       5.148       4.590       4.831       5.126
20150912       4.749       4.375       4.451       4.633
20150913       4.810       4.512       4.650       4.685
20150914       6.664       6.984       4.962       5.022
20150915       7.277       4.638       5.304       5.058
20150916       8.243      15.968      10.454      13.255
20150917       7.263       4.345       9.740       6.918
20150918       6.181       3.784       4.285       3.799
20150919       6.619       6.300       5.113       6.542
20150920       8.375      16.230       5.714       5.470
20150921       6.971       4.456      10.556       6.944
20150922       5.763       3.421       4.157       3.516
20150923       5.076       3.168       3.782       4.807
20150924       5.604       8.238       3.827       5.059
20150925      12.977      25.365      16.993      14.730
20150926      28.400      59.583      27.544      21.042
20150927      16.010      18.438      42.510      28.812
20150928      10.101       7.330      16.237      11.910
20150929       7.397       4.341       7.369       5.673
20150930      13.744       6.145       5.026       5.222
20151001      19.057      22.005      11.115      12.463
20151002      33.996      13.701      15.683      15.518
20151003      26.465      28.946      18.759      24.660
20151004      23.557      26.369      18.303      20.150
20151005      14.229       8.545      18.258      16.093
20151006       9.439       4.350       7.583       7.488
20151007       7.063       4.068       4.379       4.684
20151008       5.967       4.391       3.961       5.815
20151009       5.944       7.577       4.262       4.831
20151010       5.282       3.845       5.000       4.447
20151011       4.659       3.323       3.617       3.928
20151012       4.119       3.053       3.289       3.978
20151013       3.647       2.847       3.089       3.740
20151014       3.262       2.567       2.858       3.345
20151015       2.947       2.296       2.551       2.948
20151016       2.660       2.125       2.317       2.478
20151017       2.418       1.923       2.101       2.417
20151018       2.223       1.784       1.920       2.253
20151019       2.050       1.650       1.758       1.874
20151020       1.967       1.554       1.649       1.894
20151021       6.762      12.319       5.405       5.986
20151022      56.161      84.192      28.621      25.538
20151023      49.714     114.307      83.057      71.565
20151024      34.579      18.350      74.635      58.794
20151025      63.628     114.375      36.569      25.723
20151026      52.211      59.553      92.208      68.043
20151027      33.656      40.919      51.047      42.659
20151028      15.689      10.914      27.514      19.228
20151029      10.586       4.186      10.547       8.791
20151030       8.222       3.242       5.162       4.752
20151031      21.219      17.786      11.348      15.451
20151101      40.397      81.699      22.798      25.072
20151102      40.106      41.198   -9999.000   -9999.000
20151103      18.335      10.962      25.650      20.418
20151104      32.304      35.059      15.535      15.386
20151105      20.599      19.976      22.792      17.247
20151106      12.526       8.271      15.115      13.828
20151107      21.711      26.739      18.558      18.181
20151108      16.439      18.797      20.654      14.970
20151109      47.136      73.713      25.648      22.074
20151110      66.151     100.642      67.915      68.411
20151111      53.241      71.187      85.060      75.480
20151112      43.590      61.895      85.754      63.910
20151113      43.719      61.699      52.031      38.492
20151114      42.330      66.908      45.251      37.208
20151115      52.034      80.158      51.589      52.254
20151116      30.127      19.821      51.900      41.367
20151117      38.339      66.055      30.258      23.968
20151118      39.648      97.438      49.065      40.614
20151119      14.122      14.450      61.198      36.370
20151120       9.189       6.863      14.398       6.884
20151121       6.911       4.262       7.029       5.442
20151122       6.312       3.832       4.214       4.389
20151123       5.775       3.536       4.041       5.806
20151124       6.366      12.555       7.847       9.988
20151125       8.127      19.296       8.288       8.133
20151126      18.793       9.303      19.751      13.922
20151127     198.377     160.113      53.861      35.144
20151128      75.970     191.679     101.678     136.594
20151129      28.409      49.227     112.816      63.998
20151130      17.923      23.568      46.268      18.986
20151201      13.685      22.460      20.356      12.994
20151202      33.084      15.025      28.865      23.569
20151203      40.923      95.602      15.305      18.962
20151204      19.682      32.577      65.493      53.945
20151205      82.175     133.954      40.178      27.107
20151206      48.013     122.470      88.292      80.826
20151207      24.007      59.437      88.410      60.900
20151208      28.846      13.911      53.044      24.061
20151209      71.333      85.556      27.782      19.070
20151210      83.921     129.217      46.590      62.827
20151211      34.323      94.005      89.212      85.058
20151212      18.237      36.670      66.829      29.682
20151213      12.567      13.052      47.245      14.601
20151214      10.336       5.639      11.075       7.351
20151215       9.578       4.151       5.798       5.212
20151216      10.977       3.614       5.694       9.078
20151217      29.756       9.527      25.811      43.345
20151218     107.695      82.124      33.660      50.162
20151219      88.376      96.261     100.016     140.713
20151220     175.257     167.072     110.736     102.722
20151221     132.061     217.517   -9999.000   -9999.000
20151222      60.821     118.736   -9999.000   -9999.000
20151223      44.332      81.215      93.558      61.442
20151224      64.943      93.193      86.015      62.022
20151225      57.550     160.424      67.107      42.427
20151226      20.566      40.508     102.453      48.454
20151227      13.921      13.287      31.456      13.631
20151228      11.267       5.961      14.516      10.157
20151229      10.487       5.841       8.342       7.729
20151230       7.698      20.665       8.371      12.292
20151231      32.330      64.131      20.078      22.497
20160101      18.551      36.073      36.513      31.403
20160102      11.288      18.163      25.797      16.320
20160103       7.507       6.650      14.185       7.066
20160104       6.078       4.322       6.209       4.155
20160105       6.886       3.933       4.322       4.431
20160106      12.443       3.578       3.933       5.249
20160107      17.609       3.256       3.578       8.555
20160108      19.250       2.962       3.256      11.367
20160109      17.808       2.695       2.963      12.944
20160110      16.352       2.452       2.695      10.680
20160111      12.591       2.478       2.483      11.232
20160112       8.280       2.095       2.256       8.228
20160113       7.108       1.979       2.356       7.280
20160114       5.640       3.223       2.361       6.716
20160115       4.907       2.761       2.382       4.347
20160116       3.460       2.641       3.525       5.255
20160117       3.019       1.481       1.625       1.894
20160118       3.035       5.146       2.904       4.331
20160119       2.857       1.285       1.584       1.583
20160120       2.513       1.141       1.841       1.841
20160121       2.268       1.014       1.194       1.194
20160122       2.096       0.922       1.746       1.518
20160123       2.469       7.491       5.729       7.622
20160124      15.329      55.145      23.839      26.620
20160125      65.050      32.098      47.035      44.270
20160126      72.255     117.376      34.435      33.675
20160127      47.553      78.305      75.425      71.817
20160128      18.059      21.943      56.178      51.355
20160129      35.987      42.250      26.135      31.979
20160130      22.624     131.582      33.366      29.203
20160131      11.240      34.055      84.952      72.978
20160201       8.646      14.982      27.662      36.578
20160202      12.510      27.039      14.872      15.992
20160203       8.656      14.010      15.571      14.188
20160204       6.656      10.247       9.918       9.667
20160205       5.682       5.379       8.757      11.832
20160206      11.825      25.136       8.621      15.243
20160207      15.363      37.843      21.244      22.724
20160208      14.808      41.260      28.084      31.138
20160209       9.753      28.184      25.628      26.572
20160210       7.184      14.278      16.473      17.051
20160211       5.625       6.250      11.070      11.138
20160212       4.753       3.194       5.626       5.658
20160213       4.059       2.908       3.228       3.228
20160214       6.067       2.648       2.908       2.909
20160215       9.805       2.410       2.721       2.721
20160216       9.706       2.217       2.657       2.657
20160217      10.482      12.626       3.983       4.222
20160218       6.436      19.562       8.588      10.282
20160219       3.683       6.674      11.773      11.771
20160220       3.894      16.754       7.344       9.792
20160221       3.646      26.797      13.300      17.917
20160222       3.657      22.916      21.033      30.849
20160223       3.764      15.540      15.201      17.643
20160224       3.480      14.308      10.953      11.796
20160225       3.384       8.381       7.517       8.128
20160226       3.229       9.915       6.859       7.699
20160227       3.109       8.293       7.599       9.335
20160228       2.858       6.752       6.577       8.115
20160229       2.622       5.954       4.991       5.983
20160301       2.428       7.323       4.667       6.651
20160302       2.308       9.053       6.563       8.445
20160303       2.300       3.833       6.432       8.293
20160304       2.094       2.678       3.982       4.116
20160305       1.936       3.266       3.452       3.899
20160306       2.012       2.201       2.421       2.664
20160307       1.867       1.982       2.199       2.218
