date          Qobs       Qsimobs        Qsim       Qusi
20150801      10.138      11.387      12.055      12.282
20150802      12.133      10.244      11.236      10.347
20150803      14.925      12.647      11.628      10.184
20150804       9.253      10.434      11.559      13.529
20150805      18.775      10.940      10.483       9.797
20150806      40.667      31.638      11.943      10.156
20150807      16.481      13.954      17.759      25.411
20150808      14.554      14.170      18.138      17.508
20150809      12.750      13.025      13.896      13.580
20150810       9.390      11.939      12.793      12.875
20150811       7.447      10.845      11.847       9.098
20150812       7.552      10.289      11.100       8.511
20150813       6.890       9.398      11.060       8.808
20150814       5.490       8.539       9.351       6.537
20150815       4.513       7.851       8.539       5.070
20150816       3.723       7.206       7.834       4.207
20150817       3.279       6.620       7.203       3.320
20150818       2.833       6.118       6.620       2.902
20150819       2.492       5.666       6.116       2.595
20150820       2.200       5.267       5.666       2.287
20150821       1.977       4.897       5.267       2.014
20150822       1.820       4.553       4.897       1.788
20150823       1.742       4.270       4.551       1.585
20150824       1.643       4.023       4.270       1.548
20150825       1.532       3.798       4.022       1.518
20150826       1.520       3.627       3.799       1.958
20150827       2.548       3.602       3.705       1.983
20150828      21.483      26.970       8.293       4.592
20150829      10.608      12.654      13.586      25.931
20150830       6.247      11.066      13.138      11.206
20150831       6.454      12.068      12.366       7.409
20150901       5.471      10.232      11.825       7.279
20150902       4.369       9.284      11.079       5.100
20150903       4.333       8.692      10.189       5.226
20150904       4.348       7.816       8.582       4.724
20150905      16.759      12.625       8.476       5.056
20150906      18.244      12.655      11.804      14.488
20150907      12.826      11.044      11.356      15.551
20150908      13.728       9.936      10.417      11.955
20150909       8.990       9.530       9.925      12.352
20150910       6.397       8.603       9.554       8.602
20150911       4.963       7.821       8.158       5.978
20150912       4.075       7.101       7.821       4.431
20150913       3.630       6.535       7.101       3.614
20150914       3.309       5.982       6.465       3.294
20150915       3.190       5.494       5.915       3.040
20150916       3.134       5.069       5.518       3.641
20150917       3.114       4.706       5.069       2.836
20150918       3.937       5.533       5.026       3.595
20150919       9.455       6.673       5.505       4.450
20150920      12.377       9.121       7.054       8.059
20150921      14.428       7.907       7.996      11.043
20150922       8.990       7.030       7.491      11.983
20150923       6.709       6.396       6.945       7.973
20150924       5.469       5.912       6.374       6.322
20150925       5.907       6.474       6.333       5.764
20150926      15.202      10.144       7.530       6.216
20150927       9.375       7.938       8.635      13.305
20150928       6.961       7.176       7.824       8.423
20150929       5.780       6.573       7.135       6.247
20150930       5.371       5.572       6.611       5.691
20151001       6.006       5.440       6.454       5.105
20151002       6.728       5.493       6.292       5.461
20151003      11.259       8.613       5.622       6.101
20151004       7.871       7.457       7.131      10.642
20151005       7.741       7.387       6.809       6.733
20151006       5.929       6.591       6.319       7.818
20151007       4.735       5.980       6.552       5.357
20151008       4.058       5.518       5.987       4.460
20151009       4.034       5.456       5.573       4.027
20151010       4.324       5.270       5.311       4.360
20151011       3.913       4.820       5.117       4.119
20151012       3.652       4.507       4.820       3.666
20151013       3.484       4.262       4.495       3.310
20151014       3.271       4.047       4.236       3.178
20151015       3.073       3.798       4.014       3.084
20151016       2.958       3.575       3.798       2.793
20151017       2.873       3.416       3.575       2.732
20151018       2.823       3.260       3.406       2.641
20151019       2.792       3.127       3.253       2.691
20151020       2.664       2.999       3.123       2.697
20151021       2.646       2.888       2.998       2.636
20151022       3.529       4.689       2.930       2.535
20151023       8.155       6.570       4.738       4.348
20151024       6.318       5.253       5.871       8.053
20151025       6.517       6.159       5.367       6.106
20151026       6.361       5.521       5.252       5.607
20151027       6.291       5.919       5.453       6.319
20151028       5.603       5.315       5.584       5.804
20151029       4.025       4.745       5.223       5.175
20151030       3.474       4.302       4.796       3.997
20151031       4.392       4.277       4.404       3.567
20151101       4.333       3.964       4.386       4.111
20151102       4.022       3.840   -9999.000   -9999.000
20151103       3.731       3.623       3.786       3.923
20151104       3.728       3.674       3.625       3.846
20151105       3.859       3.456       3.520       3.274
20151106       3.475       3.321       3.424       3.941
20151107       3.412       3.671       3.544       3.649
20151108       3.910       3.454       3.769       3.740
20151109       3.744       3.409       3.548       3.848
20151110       3.202       3.355       3.326       3.567
20151111       3.508       3.757       3.437       3.146
20151112       3.073       3.257       3.462       3.820
20151113       2.214       3.093       3.251       2.928
20151114       2.054       2.954       3.093       2.086
20151115       2.437       2.881       2.953       2.024
20151116       2.381       2.796       2.877       2.449
20151117       2.061       2.808       2.792       2.418
20151118       2.757       2.674       2.754       2.111
20151119       3.572       2.596       2.674       2.517
20151120       3.680       2.520       2.596       3.277
20151121       3.697       2.446       2.520       2.520
20151122       3.771       2.375       2.446       2.446
20151123       4.716       2.305       2.375       2.450
20151124       4.271       2.238       2.305       2.312
20151125       3.420       2.172       2.238       2.240
20151126       3.560       2.109       2.863       3.162
20151127       3.633       2.250       3.715       3.797
20151128       6.693       4.897       2.204       2.197
20151129       4.350       3.511       3.727       3.964
20151130       3.412       3.083       3.511       3.511
20151201       3.919       2.701       3.079       3.079
20151202       4.860       2.393       2.778       2.824
20151203       5.018       2.427       2.393       2.393
20151204       6.423       2.236       2.360       2.402
