date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.239       0.160       0.383       0.148
20150802       0.367       0.399       0.531       0.476
20150803       0.240       0.180       0.164       0.321
20150804       0.192       0.168       0.174       0.189
20150805       1.427       2.358       0.836       0.851
20150806       0.467       0.190       1.260       1.310
20150807       0.353       0.265       0.189       0.128
20150808       0.260       0.189       0.196       0.242
20150809       0.157       0.182       0.188       0.272
20150810       0.122       0.178       0.183       0.168
20150811       0.102       0.172       0.176       0.130
20150812       0.084       0.166       0.171       0.101
20150813       0.051       0.161       0.166       0.088
20150814       0.059       0.155       0.161       0.074
20150815       0.053       0.150       0.155       0.060
20150816       0.058       0.158       0.164       0.078
20150817       0.049       0.148       0.162       0.051
20150818       0.040       0.142       0.147       0.052
20150819       0.036       0.132       0.142       0.042
20150820       0.033       0.127       0.137       0.034
20150821       0.032       0.123       0.132       0.033
20150822       0.030       0.119       0.123       0.031
20150823       0.027       0.115       0.119       0.031
20150824       0.045       0.111       0.115       0.028
20150825       4.123       3.299       0.802       0.370
20150826       2.116       4.571       2.656       2.800
20150827       4.320       4.329       3.237       3.085
20150828       1.737       0.916       2.178       2.075
20150829       0.874       0.166       0.323       0.253
20150830       0.537       0.161       0.166       0.292
20150831       0.364       0.156       0.161       0.532
20150901       1.506       0.151       0.165       0.282
20150902      16.227      17.970       3.866       4.790
20150903       4.106       2.043       3.887       4.860
20150904       2.634       1.114       4.332       3.399
20150905       1.711       0.358       0.796       0.600
20150906       1.139       0.201       0.263       0.587
20150907       0.682       0.189       0.201       0.670
20150908       0.441       0.183       0.189       0.598
20150909       0.309       0.176       0.183       0.438
20150910       0.231       0.170       0.177       0.278
20150911       0.186       0.165       0.172       0.232
20150912       0.150       0.160       0.165       0.162
20150913       0.129       0.157       0.160       0.134
20150914       0.449       1.284       0.614       0.573
20150915       7.782       2.831       2.377       1.861
20150916       6.960       8.007       4.771       5.764
20150917      11.565       8.280       5.266       5.795
20150918       6.827       7.830       7.990       7.774
20150919       2.740       0.832       4.859       3.872
20150920       1.599       0.225       0.832       0.597
