date          Qobs       Qsimobs        Qsim       Qusi
20150801      10.278       9.118       8.618       9.692
20150802      10.042       9.452       9.078      10.136
20150803       9.892       9.171       9.019      10.108
20150804      10.071       8.431       9.388       9.879
20150805       9.137       7.564       8.885       9.909
20150806       8.527       9.225       7.939       8.805
20150807       8.195       8.673       8.723       8.982
20150808       7.926       8.734       8.474       7.973
20150809       7.829       9.222       8.473       7.822
20150810       7.246       8.452       9.050       8.317
20150811       6.670       8.442       8.810       7.373
20150812       7.509      10.851       8.294       6.514
20150813       8.582       9.803       9.525       7.827
20150814       8.661       9.177       9.811       8.444
20150815       8.354       8.152       9.281       8.326
20150816       7.791       8.261       8.527       7.934
20150817       7.131       7.910       8.385       7.748
20150818       6.624       7.624       7.903       6.877
20150819       6.322       7.052       7.787       6.634
20150820       6.100       6.624       7.305       6.206
20150821       5.783       6.602       6.891       5.982
20150822       5.479       6.549       6.878       5.935
20150823       5.331       6.705       6.711       5.521
20150824       5.464       7.176       6.887       5.511
20150825       5.503       6.588       6.724       5.422
20150826       5.152       6.133       6.578       5.319
20150827       4.886       6.028       6.401       5.063
20150828       5.085       6.264       6.132       4.832
20150829       5.511       6.236       6.161       5.021
20150830       5.374       5.994       6.129       5.380
20150831       5.418       7.067       5.873       5.215
20150901       7.083       7.011       6.625       5.743
20150902       7.168       5.938       6.434       6.630
20150903       6.315       5.259       5.896       6.542
20150904       5.746       4.953       5.316       5.782
20150905       5.369       4.792       5.149       5.678
20150906       5.151       5.348       5.197       5.626
20150907       4.998       4.614       4.929       5.280
20150908       4.712       4.203       4.703       4.745
20150909       4.566       4.383       4.499       4.653
20150910       4.870       4.386       4.389       4.492
20150911       4.873       4.151       4.364       4.945
20150912       4.765       3.878       4.274       4.779
20150913       4.552       3.716       4.017       4.546
20150914       4.283       3.562       3.803       4.401
20150915       4.012       3.656       3.656       4.165
20150916       3.736       3.483       3.662       4.027
20150917       3.545       3.690       3.604       3.708
20150918       3.516       3.986       3.653       3.660
20150919       3.678       4.639       4.156       3.902
20150920       3.752       4.810       4.307       3.985
20150921       3.676       4.458       4.546       3.872
20150922       3.527       4.218       4.405       3.546
20150923       3.414       4.427       4.267       3.437
20150924       3.224       4.114       4.230       3.448
20150925       3.014       3.760       4.094       3.136
20150926       2.959       4.332       3.987       3.027
20150927       4.318       5.644       4.450       3.377
20150928       5.044       4.770       5.027       4.687
20150929       4.911       5.017       4.833       4.807
20150930       5.704       7.745       5.089       5.087
20151001       6.478       8.646       6.327       6.652
20151002       6.505       6.636       7.223       6.706
20151003       6.061       6.102       6.550       5.732
20151004       5.503       5.729       5.825       5.328
20151005       4.964       4.934       5.044       4.704
20151006       4.401       4.097       4.358       4.383
20151007       3.854       3.553       4.220       3.895
20151008       3.417       3.256       3.568       3.438
20151009       3.057       3.181       3.242       3.136
20151010       2.761       2.957       3.129       2.998
20151011       2.532       2.818       2.995       2.659
20151012       3.097       3.942       3.245       2.809
20151013       5.964       7.819       3.672       3.588
20151014       7.183       6.112       6.713       8.070
20151015       7.372       6.654       5.973       6.540
20151016       8.798       9.098       6.209       7.304
20151017      12.365      11.316       8.763      10.404
20151018      17.322      11.616      10.207      13.763
20151019      18.505       9.901      10.241      16.026
20151020      15.676       8.532       9.494      16.360
20151021      12.563       7.583       8.379      13.555
20151022      10.122       6.464       7.321      11.123
20151023       8.223       5.406       6.379       8.701
20151024       6.766       4.688       5.705       7.505
20151025       5.968       5.164       4.891       6.203
20151026       6.370       5.509       4.969       5.873
20151027       6.219       4.677       5.297       6.154
20151028       6.791       5.054       4.823       5.929
20151029       6.754       4.974       4.622       6.200
20151030       5.876       4.252       4.635       6.616
20151031       4.985       3.958       4.528       5.989
20151101       5.640       4.742       4.200       4.807
20151102      12.437      17.556   -9999.000   -9999.000
20151103      15.003      14.378      12.166      18.341
20151104      14.073      13.499      14.095      16.052
20151105      12.851      12.253      13.052      13.219
20151106      10.721       9.670      11.431      11.595
20151107       8.591       8.382       9.699       9.653
20151108       7.177       7.157       8.488       8.082
20151109       6.072       6.135       7.127       6.470
20151110       5.170       5.502       6.116       5.342
20151111       4.497       4.855       5.390       4.538
20151112       3.920       4.391       4.817       4.097
20151113       3.444       4.131       4.405       3.695
20151114       3.070       3.915       4.115       3.244
20151115       2.816       3.722       3.914       2.920
20151116       2.696       3.531       3.746       2.734
20151117       2.429       3.344       3.529       2.615
20151118       2.240       3.170       3.344       2.348
20151119       2.090       3.004       3.170       2.172
20151120       1.993       2.849       3.004       1.990
20151121       2.145       2.723       2.856       1.842
20151122       2.034       2.582       2.721       2.059
20151123       1.861       2.444       2.582       1.972
20151124       1.758       2.316       2.474       1.825
20151125       1.682       2.197       2.320       1.663
20151126       1.597       2.083       2.200       1.614
20151127       1.701       2.563       2.115       1.550
20151128       1.751       2.462       2.273       1.745
20151129       1.673       2.255       2.415       1.792
20151130       1.580       2.132       2.255       1.590
20151201       1.516       2.043       2.140       1.545
20151202       1.486       1.936       2.049       1.490
20151203       1.439       1.963       1.972       1.463
20151204       1.445       2.588       1.935       1.499
20151205       1.671       3.167       2.374       1.657
20151206       1.688       2.847       2.988       1.930
20151207       2.013       3.706       2.790       1.688
20151208       2.199       4.494       3.162       2.079
20151209       2.230       3.593       3.761       2.393
20151210       2.651       5.088       3.596       2.073
20151211       2.455       3.863       4.257       2.732
20151212       2.289       3.537       3.859       2.226
20151213       2.192       3.351       3.539       2.138
20151214       2.237       3.201       3.363       2.087
20151215       2.336       3.067       3.210       2.155
20151216       2.219       2.923       3.062       2.216
20151217       2.024       2.773       2.926       2.151
20151218       1.829       2.629       2.791       1.973
20151219       1.833       2.632       2.632       1.746
20151220       1.789       2.701       2.552       1.763
20151221       1.966       2.951   -9999.000   -9999.000
20151222       1.988       2.679   -9999.000   -9999.000
20151223       1.888       2.540       2.696       1.936
20151224       1.765       2.445       2.690       1.982
20151225       1.773       3.019       2.438       1.760
20151226       1.947       3.070       2.762       1.853
20151227       1.900       2.762       2.899       1.938
20151228       1.787       2.622       2.754       1.840
20151229       1.637       2.493       2.636       1.783
20151230       1.572       2.375       2.576       1.611
20151231       1.512       2.263       2.475       1.562
20160101       1.428       2.932       2.269       1.473
20160102       1.419       3.240       2.629       1.502
20160103       1.346       2.839       3.002       1.483
20160104       1.256       2.702       2.839       1.308
20160105       1.172       2.572       2.702       1.229
20160106       1.091       2.449       2.572       1.143
20160107       1.032       2.330       2.449       1.047
20160108       0.993       2.219       2.332       0.992
20160109       0.982       2.126       2.227       0.964
20160110       1.006       2.033       2.134       0.962
20160111       0.969       1.936       2.039       0.981
20160112       0.937       1.852       1.935       0.950
20160113       0.918       1.769       1.845       0.910
20160114       0.894       1.688       1.760       0.881
20160115       0.890       1.614       1.687       0.864
20160116       0.910       1.549       1.619       0.863
20160117       0.937       1.488       1.549       0.868
20160118       0.911       1.419       1.482       0.907
