date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.529       0.776       0.828       0.473
20150802       0.532       0.811       0.781       0.498
20150803       0.513       0.660       0.788       0.518
20150804       0.521       0.619       0.723       0.494
20150805       0.948       2.761       0.961       0.666
20150806       1.149       1.268       1.806       0.864
20150807       1.136       1.146       1.262       0.982
20150808       1.052       1.097       1.146       1.008
20150809       0.952       1.030       1.094       0.992
20150810       0.859       0.971       1.030       0.898
20150811       0.783       0.916       0.971       0.832
20150812       0.717       0.871       0.925       0.768
20150813       0.653       0.815       0.869       0.696
20150814       0.595       0.765       0.815       0.619
20150815       0.543       0.717       0.765       0.576
20150816       0.498       0.671       0.717       0.514
20150817       0.463       0.296       0.671       0.481
20150818       0.432       0.275       0.622       0.437
20150819       0.409       0.262       0.586       0.407
20150820       0.387       0.250       0.262       0.388
20150821       0.367       0.239       0.250       0.355
20150822       0.353       0.228       0.239       0.350
20150823       0.345       0.218       0.228       0.324
20150824       0.345       0.208       0.218       0.328
20150825       0.371       0.439       0.208       0.320
20150826       0.397       1.236       0.629       0.575
20150827       0.581       1.313       1.025       0.438
20150828       0.892       1.337       1.161       0.543
20150829       0.951       0.880       1.178       0.823
20150830       0.908       0.838       0.920       0.870
20150831       0.840       0.783       0.829       0.859
20150901       0.787       0.735       0.803       0.823
20150902       2.111       2.721       1.365       1.367
20150903       4.367       5.232       2.235       2.096
20150904       5.467       3.585       3.777       4.334
20150905       5.492       3.848       4.428       6.586
20150906       5.071       2.837       3.984       5.351
20150907       4.427       2.359       3.069       4.537
20150908       3.787       2.012       2.520       4.091
20150909       3.244       1.822       2.012       3.556
20150910       2.714       1.729       1.820       3.425
20150911       2.214       1.640       1.727       2.668
20150912       1.898       1.555       1.640       2.150
20150913       1.699       1.787       1.584       1.888
20150914       1.711       1.550       1.572       1.598
20150915       2.033       1.587       1.635       1.630
20150916       3.446       4.826       2.151       2.393
20150917       4.268       5.674       4.754       4.745
20150918       6.369      13.947       6.654       6.715
20150919       7.932       7.467      10.672       6.373
20150920       7.904       6.041       7.399       6.334
20150921       7.240       3.501       6.173       6.623
20150922       6.461       2.981       5.064       5.993
20150923       5.780       3.172       4.460       5.859
20150924       5.189       2.746       3.011       5.143
20150925       4.739       3.144       2.998       5.081
20150926       4.308       2.375       2.870       4.167
20150927       3.903       2.071       2.369       4.148
20150928       3.544       1.965       2.071       3.744
20150929       3.232       1.866       1.968       3.785
20150930       2.967       1.371       1.869       3.208
20151001       2.792       1.298       1.772       2.973
20151002       2.545       1.229       1.682       2.942
20151003       2.327       1.162       1.229       2.338
20151004       2.134       1.557       1.162       2.146
20151005       1.955       1.477       1.099       2.021
20151006       1.787       1.401       1.039       1.825
20151007       1.637       1.329       1.401       1.713
20151008       1.501       1.259       1.329       1.534
20151009       1.379       1.194       1.263       1.455
20151010       1.284       1.136       1.194       1.286
20151011       1.202       1.074       1.131       1.235
20151012       0.809       1.016       1.075       1.111
20151013       0.375       0.968       1.018       0.907
20151014       0.379       0.917       0.966       0.362
20151015       1.017       0.866       0.915       0.372
20151016       1.321       0.820       0.866       0.804
20151017       1.165       0.775       0.819       1.260
20151018       1.042       0.732       0.774       1.107
20151019       0.953       0.696       0.732       0.974
20151020       0.879       0.662       0.694       0.900
20151021       0.831       0.624       0.659       0.831
20151022       0.800       0.672       0.634       0.772
20151023       0.758       0.601       0.633       0.754
20151024       0.716       0.566       0.601       0.709
20151025       0.701       0.556       0.585       0.671
20151026       0.673       0.515       0.562       0.696
20151027       0.652       0.485       0.556       0.617
20151028       0.627       0.467       0.485       0.609
20151029       0.606       0.444       0.464       0.601
20151030       0.588       0.422       0.443       0.562
20151031       0.573       0.444       0.423       0.568
20151101       0.557       0.423       0.427       0.566
20151102       0.546       0.397   -9999.000   -9999.000
20151103       0.533       0.386       0.397       0.522
20151104       0.519       0.365       0.386       0.520
20151105       0.506       0.358       0.377       0.510
20151106       0.497       0.374       0.378       0.506
20151107       0.563       0.699       0.561       0.793
20151108       0.714       2.226       0.569       0.542
20151109       0.907       1.699       1.094       0.800
20151110       1.002       1.461       1.639       0.841
20151111       1.024       1.054       1.446       0.936
20151112       1.019       1.000       1.371       0.983
20151113       1.046       1.091       1.326       0.970
20151114       1.097       1.467       1.134       1.098
20151115       1.102       1.159       1.063       1.042
20151116       1.092       1.100       1.157       1.049
20151117       1.096       1.238       1.271       1.167
20151118       1.074       1.020       1.112       1.002
20151119       1.038       0.954       1.015       0.982
20151120       0.991       0.905       0.954       0.984
20151121       0.938       0.857       0.905       0.950
20151122       0.864       0.812       0.857       0.871
20151123       0.809       0.769       0.812       0.814
20151124       0.794       0.745       0.837       0.812
20151125       0.815       1.000       0.738       0.725
20151126       0.792       0.783       0.869       0.811
20151127       0.784       0.742       0.984       0.964
20151128       1.058       1.998       0.963       0.942
20151129       1.351       2.210       1.762       1.324
20151130       1.585       1.676       2.189       1.348
20151201       1.631       1.569       1.754       1.488
20151202       1.615       1.484       1.664       1.562
20151203       1.574       1.491       1.497       1.506
20151204       1.693       1.611       1.822       1.833
20151205       2.024       2.636       2.355       2.250
20151206       2.327       2.191       2.388       2.112
20151207       2.438       2.078       2.168       2.367
20151208       2.456       1.956       2.077       2.295
20151209       2.619       2.278       2.071       2.437
20151210       2.675       2.023       2.105       2.558
20151211       2.630       1.941       2.015       2.557
20151212       2.508       1.845       1.932       2.503
20151213       2.361       1.757       1.845       2.383
20151214       2.196       1.674       1.757       2.255
20151215       2.016       1.594       1.674       2.056
20151216       1.831       1.518       1.594       1.949
20151217       1.726       1.502       1.555       1.805
20151218       1.651       1.547       1.661       1.830
20151219       1.577       1.641       1.658       1.753
20151220       1.756       1.953       1.775       1.717
20151221       1.826       1.764   -9999.000   -9999.000
20151222       1.794       1.673   -9999.000   -9999.000
20151223       1.803       1.949       1.806       1.833
20151224       1.739       1.695       1.803       1.789
20151225       1.759       1.966       1.750       1.737
20151226       1.697       1.719       1.820       1.736
20151227       1.586       1.630       1.716       1.621
20151228       1.510       1.639       1.672       1.564
20151229       1.430       1.492       1.588       1.405
20151230       1.361       1.424       1.501       1.387
20151231       1.322       1.727       1.444       1.335
20160101       1.280       1.579       1.799       1.409
20160102       1.214       1.636       1.619       1.268
20160103       1.148       1.491       1.596       1.209
20160104       1.083       1.417       1.487       1.125
20160105       1.010       1.335       1.416       1.067
20160106       0.940       1.267       1.335       1.009
20160107       0.874       1.205       1.267       0.910
20160108       0.815       1.160       1.217       0.854
20160109       0.779       1.117       1.164       0.814
20160110       0.770       1.238       1.149       0.798
20160111       0.783       1.323       1.248       0.814
20160112       0.766       1.083       1.178       0.725
20160113       0.747       1.001       1.051       0.716
20160114       0.703       0.886       0.971       0.700
20160115       0.677       0.827       0.883       0.651
20160116       0.670       0.859       0.845       0.673
20160117       0.645       0.751       0.809       0.633
20160118       0.621       0.704       0.750       0.597
20160119       0.592       0.671       0.705       0.581
20160120       0.567       0.636       0.670       0.577
