date          Qobs       Qsimobs        Qsim       Qusi
20150801       4.363       0.587       0.656       1.563
20150802       6.018       7.767       2.481       3.770
20150803       1.954       1.234       5.109       5.471
20150804       4.629       0.781       1.412       0.864
20150805       4.277       6.759       2.292       2.979
20150806       2.231       1.228       4.495       3.771
20150807       2.191       0.666       1.396       0.928
20150808       1.525       0.548       0.607       0.768
20150809       1.106       0.469       0.530       0.933
20150810       1.284       0.456       0.557       0.708
20150811       3.879       1.228       0.761       1.153
20150812       1.707       1.612       1.004       2.065
20150813       0.995       0.497       1.116       1.225
20150814       1.050       0.423       0.492       0.480
20150815       3.297       1.158       0.835       1.227
20150816      13.642       9.493       2.614       3.723
20150817       5.008       3.987       7.141       6.672
20150818       1.762       0.802       2.828       2.506
20150819       1.173       0.404       0.769       0.575
20150820       0.822       0.376       0.404       0.549
20150821       0.612       0.363       0.376       0.622
20150822       0.537       0.331       0.357       0.526
20150823       0.447       0.307       0.331       0.476
20150824       0.489       0.299       0.307       0.396
20150825       3.153       0.949       0.961       1.191
20150826       6.865       5.340       3.052       5.134
20150827       8.480       6.342       8.309       6.985
20150828       4.604       6.050       5.145       4.614
20150829       5.729       3.107       4.704       3.937
20150830       5.676       7.396       2.561       1.911
20150831       1.272       0.906       4.990       4.101
20150901       1.647       0.374       1.263       0.817
20150902       4.945       4.144       2.890       2.619
20150903       2.806       4.471       3.726       3.522
20150904       1.126       0.914       3.062       1.716
20150905       0.655       0.654       0.877       0.665
20150906       0.445       0.405       0.495       0.340
20150907       0.347       0.368       0.394       0.335
20150908       0.279       0.342       0.365       0.358
20150909       0.231       0.331       0.339       0.286
20150910       0.198       0.301       0.325       0.242
20150911       0.178       0.279       0.295       0.208
20150912       0.212       0.535       0.280       0.188
20150913       1.000       2.615       0.685       0.334
20150914       3.451       2.377       2.393       1.576
20150915       8.776       6.618       4.429       4.302
20150916       2.414       3.666       5.776       5.626
20150917       3.235       1.676       3.919       3.558
20150918       2.061       1.782       1.918       2.048
20150919       1.136       0.728       1.414       1.150
20150920       0.644       0.360       0.610       0.568
20150921       0.445       0.334       0.360       0.440
20150922       2.281       0.474       0.598       0.706
20150923       1.276       1.581       0.672       1.308
20150924       2.021       0.364       1.151       1.159
20150925       7.500       6.240       1.384       1.218
20150926       2.709       3.478       5.169       4.963
20150927       1.017       0.686       1.964       1.222
20150928       0.565       0.385       0.650       0.478
20150929       0.435       0.358       0.382       0.332
20150930       0.349       0.287       0.356       0.427
20151001       0.293       0.267       0.340       0.314
20151002       0.254       0.247       0.310       0.262
20151003       0.231       0.229       0.247       0.245
20151004       0.200       0.250       0.229       0.232
20151005       0.176       0.232       0.213       0.179
20151006       0.173       0.215       0.200       0.182
20151007       0.179       0.243       0.231       0.186
20151008       0.296       0.345       0.367       0.316
