date          Qobs       Qsimobs        Qsim       Qusi
20150801       4.485       1.748       5.458       4.930
20150802       4.375       5.457       2.598       2.422
20150803       3.752       1.425       1.811       2.480
20150804       3.620       1.192       1.340       1.814
20150805       8.417      16.964       7.473      11.104
20150806       5.459       2.922       8.694       8.116
20150807       3.781       1.510       2.957       2.242
20150808       2.711       1.320       2.067       2.474
20150809       2.017       1.224       1.320       2.246
20150810       1.605       1.133       1.224       1.724
20150811       1.304       1.048       1.133       1.538
20150812       1.107       1.005       1.053       1.253
20150813       0.893       0.910       0.982       0.991
20150814       0.732       0.840       0.909       0.869
20150815       0.615       0.776       0.840       0.662
20150816       0.557       0.885       0.836       0.658
20150817       0.513       0.708       0.761       0.452
20150818       0.444       0.652       0.705       0.500
20150819       0.397       0.601       0.651       0.420
20150820       0.347       0.554       0.601       0.398
20150821       0.314       0.511       0.554       0.329
20150822       0.283       0.471       0.511       0.294
20150823       0.259       0.434       0.471       0.267
20150824       0.254       0.400       0.434       0.262
20150825       9.910      16.628       2.909       1.898
20150826      14.451      47.629      21.313      19.858
20150827      23.999      27.955      32.672      23.059
20150828      15.641      14.939      23.229      18.177
20150829       7.638       4.276      11.918       9.601
20150830       4.557       1.364       4.278       3.729
20150831       3.150       1.087       1.358       1.430
20150901       2.785       1.011       1.765       3.405
20150902      56.327      69.745      17.925      29.395
20150903      83.709      67.533      56.717      68.071
20150904      29.955      22.728      46.076      53.983
20150905      12.523      11.950      22.763      20.253
20150906       9.384       7.127      12.526       9.530
20150907       5.918       2.011       5.548       4.903
20150908       4.013       1.515       2.065       2.044
20150909       2.976       1.418       1.515       2.852
20150910       2.366       1.322       1.413       2.529
20150911       1.969       1.231       1.317       1.988
20150912       1.743       1.156       1.235       1.810
20150913       2.669       7.812       1.904       2.588
20150914       7.748      10.882       9.171       6.740
20150915      57.145      50.623      17.993      16.864
20150916      36.655      44.725      41.476      54.294
20150917      37.898      30.443      40.411      40.209
20150918      35.052      32.864      33.520      29.852
20150919      13.347       9.362      22.822      25.704
20150920       6.985       3.570       9.362       6.511
20150921       4.618       1.957       3.597       2.781
20150922       5.344       1.761       3.570       4.582
20150923       6.286       9.013       5.308       9.396
20150924       5.525       4.674       5.253       6.107
20150925       7.536       8.049       5.636       5.404
20150926       5.319       2.069       5.102       5.139
20150927       3.874       1.859       2.066       2.311
20150928       3.016       1.725       1.859       3.260
20150929       2.494       1.609       1.734       2.650
20150930       2.123       1.287       1.618       2.240
20151001       1.866       1.198       1.500       1.928
20151002       1.648       1.116       1.398       1.716
20151003       1.425       1.039       1.116       1.429
20151004       1.253       1.196       1.039       1.313
20151005       1.118       1.114       0.967       1.164
20151006       1.035       1.042       0.903       1.056
20151007       0.947       0.987       1.040       0.937
20151008       0.887       0.912       0.978       0.841
20151009       0.909       1.069       1.243       1.182
20151010       0.996       1.275       0.967       0.881
20151011       1.006       0.988       0.956       0.856
20151012       0.991       0.995       0.982       0.890
20151013       0.987       1.078       0.929       0.898
20151014       0.950       0.951       0.924       1.010
20151015       0.899       0.887       0.963       0.911
20151016       0.841       0.833       0.902       0.812
20151017       0.780       0.778       0.830       0.766
20151018       0.730       0.729       0.782       0.776
20151019       0.688       0.682       0.733       0.706
20151020       0.655       0.636       0.684       0.639
20151021       0.672       0.604       0.638       0.622
20151022       0.716       2.296       0.609       0.636
20151023       0.648       0.796       0.864       0.616
20151024       0.600       0.739       0.778       0.552
20151025       0.596       0.724       0.788       0.572
20151026       0.582       0.679       0.697       0.565
20151027       0.565       0.631       0.682       0.525
20151028       0.549       0.589       0.639       0.564
20151029       0.541       0.566       0.589       0.540
20151030       0.521       0.526       0.552       0.503
20151031       0.522       0.654       0.531       0.507
20151101       0.530       0.610       0.512       0.485
20151102       0.531       0.565   -9999.000   -9999.000
20151103       0.534       0.526       0.539       0.508
20151104       0.526       0.495       0.526       0.494
20151105       0.517       0.632       0.492       0.502
20151106       0.534       0.858       0.525       0.496
20151107       2.382       4.976       3.368       2.574
20151108       6.397      15.573       2.665       0.869
20151109       5.982       6.076       6.963       6.569
20151110       4.615       2.017       5.112       3.639
20151111       3.367       1.156       1.552       1.778
20151112       2.672       1.100       1.160       1.775
20151113       3.459       3.750       1.192       2.045
20151114       3.720       3.521       2.558       2.474
20151115       2.973       1.310       1.566       2.365
20151116       2.481       1.295       1.309       1.746
20151117       2.173       1.742       2.461       2.784
20151118       1.975       1.069       1.805       1.732
20151119       1.815       1.255       1.269       1.886
20151120       1.973       0.945       1.011       1.311
20151121       1.244       0.884       0.945       1.409
20151122       0.856       0.826       0.884       1.109
20151123       0.916       0.773       0.826       1.014
20151124       1.111       0.828       1.205       0.894
20151125       1.126       0.841       0.747       0.866
20151126       0.878       0.649       0.983       1.063
20151127       1.055       0.607       5.151       5.142
20151128       3.173      12.606       1.117       1.196
20151129       3.527       3.694       7.806       4.960
20151130       2.881       1.373       3.419       1.892
20151201       2.201       1.021       1.331       1.230
20151202       1.847       1.015       1.783       2.551
20151203       1.573       0.982       0.996       1.438
20151204       1.809       1.797       5.588       2.984
20151205       3.638       5.132      11.643       7.389
20151206       8.225      25.539       6.133       4.998
20151207       5.914      13.519      12.044      10.668
20151208       4.229       4.361      12.562       5.542
20151209       6.871       5.704       5.689       2.191
20151210       6.282       5.434       3.148       3.725
20151211       4.748       4.568       3.873       4.781
20151212       4.758       1.702       3.455       3.724
20151213       6.153       1.401       1.707       2.064
20151214       6.634       1.306       1.394       3.380
20151215       5.058       1.226       1.305       3.947
20151216       4.672       1.150       1.223       3.333
20151217       3.300       1.243       1.424       3.188
20151218       2.073       1.031       1.942       2.781
20151219       1.661       2.854       2.812       3.153
20151220       1.998       2.033       4.144       2.762
20151221       2.389       4.745   -9999.000   -9999.000
